model,batch,method,seconds,iterations
IFAD-0.97,0,mif,32.32641232851893,200
IFAD-0.97,0,train,73.94917915482074,200
IFAD-0.97,1,mif,21.6151853678748,200
IFAD-0.97,1,train,51.45302668213844,200
IFAD-0.97,2,mif,20.20943417865783,200
IFAD-0.97,2,train,51.44440019968897,200
IFAD-0.97,3,mif,20.818598246201873,200
IFAD-0.97,3,train,51.44265090674162,200
IFAD-0.97,4,mif,22.039627715945244,200
IFAD-0.97,4,train,51.43792553152889,200
IFAD-0.97,5,mif,21.732110809534788,200
IFAD-0.97,5,train,51.46172456815839,200
IFAD-0.97,6,mif,21.73842424713075,200
IFAD-0.97,6,train,51.44049317855388,200
IFAD-0.97,7,mif,19.82356650289148,200
IFAD-0.97,7,train,51.44869244005531,200
IFAD-0.97,8,mif,20.197055370546877,200
IFAD-0.97,8,train,51.445614725351334,200
IFAD-0.97,9,mif,21.526808543130755,200
IFAD-0.97,9,train,51.46125024557114,200
IFAD-0.97,10,mif,21.861555366776884,200
IFAD-0.97,10,train,51.46301211602986,200
IFAD-0.97,11,mif,21.379606635309756,200
IFAD-0.97,11,train,51.44412264600396,200
IFAD-0.97,12,mif,21.600161514244974,200
IFAD-0.97,12,train,51.44235481321812,200
IFAD-0.97,13,mif,20.26818026881665,200
IFAD-0.97,13,train,51.46507754456252,200
IFAD-0.97,14,mif,21.63781425356865,200
IFAD-0.97,14,train,51.44645125325769,200
IFAD-0.97,15,mif,20.37386855017394,200
IFAD-0.97,15,train,51.46204537246376,200
IFAD-0.97,16,mif,19.91021449584514,200
IFAD-0.97,16,train,51.46680259518325,200
IFAD-0.97,17,mif,20.65456477366388,200
IFAD-0.97,17,train,51.44353229086846,200
IFAD-0.97,18,mif,21.161410845816135,200
IFAD-0.97,18,train,51.46171252802014,200
IFAD-0.97,19,mif,19.956293781287968,200
IFAD-0.97,19,train,51.44153913669288,200
IFAD-0.97,20,mif,20.694762364029884,200
IFAD-0.97,20,train,51.441793826408684,200
IFAD-0.97,21,mif,20.38184569403529,200
IFAD-0.97,21,train,51.44523964449763,200
IFAD-0.97,22,mif,20.103112339042127,200
IFAD-0.97,22,train,51.44392178580165,200
IFAD-0.97,23,mif,21.750752856954932,200
IFAD-0.97,23,train,51.46701342519373,200
IFAD-0.97,24,mif,21.099974492564797,200
IFAD-0.97,24,train,51.4387903502211,200
IFAD-0.97,-1,pfilter,281.4731307812035,27
IFAD-1,0,mif,32.17508452478796,200
IFAD-1,0,train,73.50595108792186,200
IFAD-1,1,mif,19.792053033597767,200
IFAD-1,1,train,51.638867324218154,200
IFAD-1,2,mif,20.326911811716855,200
IFAD-1,2,train,51.63297412265092,200
IFAD-1,3,mif,20.91429150942713,200
IFAD-1,3,train,51.631350135430694,200
IFAD-1,4,mif,19.810675544664264,200
IFAD-1,4,train,51.63198765832931,200
IFAD-1,5,mif,20.308429115451872,200
IFAD-1,5,train,51.63179915770888,200
IFAD-1,6,mif,20.04740280099213,200
IFAD-1,6,train,51.62676868401468,200
IFAD-1,7,mif,19.749097529798746,200
IFAD-1,7,train,51.63639533240348,200
IFAD-1,8,mif,20.360201174393296,200
IFAD-1,8,train,51.63545580022037,200
IFAD-1,9,mif,20.950663287192583,200
IFAD-1,9,train,51.62940170057118,200
IFAD-1,10,mif,21.361639499664307,200
IFAD-1,10,train,51.62938798870891,200
IFAD-1,11,mif,20.160926717333496,200
IFAD-1,11,train,51.62833204306662,200
IFAD-1,12,mif,19.69064300879836,200
IFAD-1,12,train,51.63072766177356,200
IFAD-1,13,mif,20.457406286150217,200
IFAD-1,13,train,51.633378013037145,200
IFAD-1,14,mif,20.102062582038343,200
IFAD-1,14,train,51.63724496867508,200
IFAD-1,15,mif,20.69043275527656,200
IFAD-1,15,train,51.62889903690666,200
IFAD-1,16,mif,21.146023031324148,200
IFAD-1,16,train,51.632324028760195,200
IFAD-1,17,mif,19.807527646422386,200
IFAD-1,17,train,51.627512170001864,200
IFAD-1,18,mif,19.804203980602324,200
IFAD-1,18,train,51.63013500440866,200
IFAD-1,19,mif,20.305797112174332,200
IFAD-1,19,train,51.630518950521946,200
IFAD-1,20,mif,19.9848888264969,200
IFAD-1,20,train,51.631400214508176,200
IFAD-1,21,mif,20.554055421613157,200
IFAD-1,21,train,51.631405242718756,200
IFAD-1,22,mif,21.128394866362214,200
IFAD-1,22,train,51.627508223988116,200
IFAD-1,23,mif,19.841919856145978,200
IFAD-1,23,train,51.63848910294473,200
IFAD-1,24,mif,20.41962490323931,200
IFAD-1,24,train,51.62839048542082,200
IFAD-1,-1,pfilter,270.2641156576574,26
IFAD-0,0,mif,32.60163482930511,200
IFAD-0,0,train,73.59094737935811,200
