model,effort,n_monitors,rep,logLik,se,gamma,epsilon,rho,m,c,beta_trend,bs1,bs2,bs3,bs4,bs5,bs6,sigma,tau,alpha,delta,S_0,I_0,Y_0,R1_0,R2_0,R3_0,omegas1,omegas2,omegas3,omegas4,omegas5,omegas6
IFAD-0.97,comparable,0,0,-3744.1639591732915,0.17156520150285143,21.569963455200195,14.937093734741211,0.0,0.0702928900718689,1.0,-0.004355075303465128,1.2524996995925903,5.919008731842041,-2.3929121494293213,4.028187274932861,3.4929535388946533,4.369433403015137,3.067945718765259,0.22336366772651672,1.0,0.019999993965029716,0.032828476279973984,0.3630934953689575,0.0,0.41022107005119324,0.12025328725576401,0.07360368967056274,-2.6465282440185547,-2.0422418117523193,-3.800553321838379,-3.894820213317871,-10.811023712158203,-3.564052104949951
IFAD-0.97,comparable,0,1,-3744.613190535232,0.1471619552640165,20.790725708007812,15.086869239807129,0.0,0.06762809306383133,1.0,-0.004324181936681271,1.0732570886611938,6.0596699714660645,-2.884783983230591,4.042203426361084,3.427753448486328,4.3914055824279785,3.09464955329895,0.22357773780822754,1.0,0.019999993965029716,0.00846766959875822,0.37559932470321655,0.0,0.384319931268692,0.21482272446155548,0.016790324822068214,-2.410193920135498,-2.1899971961975098,-3.6611998081207275,-4.050599098205566,-10.044677734375,-3.855356216430664
IFAD-0.97,comparable,0,2,-3746.1304848932523,0.13191111620650048,18.790523529052734,15.028796195983887,0.0,0.0631922259926796,1.0,-0.004687975160777569,0.5136700868606567,6.560495853424072,-4.676671981811523,4.187393665313721,3.2663991451263428,4.4716033935546875,3.0544562339782715,0.2288004755973816,1.0,0.019999993965029716,0.010366496630012989,0.3871503174304962,0.0,0.4599723517894745,0.07624996453523636,0.06626082956790924,-2.631804943084717,-1.7303047180175781,-4.306436061859131,-3.259427309036255,-11.75546646118164,-2.994258165359497
IFAD-0.97,comparable,0,3,-3744.9572828153223,0.09957979084016158,19.95453453063965,14.48123836517334,0.0,0.06683526188135147,1.0,-0.004706383217126131,0.9014610052108765,6.209989547729492,-3.484257698059082,4.119935989379883,3.393524646759033,4.413022041320801,3.069777011871338,0.22551500797271729,1.0,0.019999993965029716,0.027478087693452835,0.37891751527786255,0.0,0.558194100856781,0.006904147565364838,0.028506185859441757,-2.7553696632385254,-1.777252197265625,-4.091756343841553,-3.5094964504241943,-11.505078315734863,-3.168501853942871
IFAD-0.97,comparable,0,4,-3744.8061692987617,0.12883179283362056,21.760578155517578,15.103806495666504,0.0,0.07007136940956116,1.0,-0.004278378561139107,1.2647976875305176,5.9201884269714355,-2.334245443344116,4.001585006713867,3.481311798095703,4.353511333465576,3.0907039642333984,0.22490353882312775,1.0,0.019999993965029716,0.09873676300048828,0.3623555600643158,0.0,0.5039953589439392,0.02574581280350685,0.009166469797492027,-2.504430055618286,-2.1903417110443115,-3.6676206588745117,-4.034099578857422,-10.371118545532227,-3.8136563301086426
IFAD-0.97,comparable,0,5,-3744.4647632006095,0.12636461466988752,22.15284538269043,15.54753303527832,0.0,0.07256528735160828,1.0,-0.004075286444276571,1.379915475845337,5.8502020835876465,-2.0366945266723633,4.001730918884277,3.529484987258911,4.3658366203308105,3.0796124935150146,0.22364439070224762,1.0,0.019999993965029716,0.05353343486785889,0.3691067695617676,0.0,0.5387182831764221,0.015096206218004227,0.02354533039033413,-2.4439473152160645,-2.2496273517608643,-3.5506205558776855,-4.167658805847168,-10.04237174987793,-3.9801712036132812
IFAD-0.97,comparable,0,6,-3744.9185109251425,0.13613257285378402,19.565736770629883,14.85155200958252,0.0,0.06536167114973068,1.0,-0.0047196075320243835,0.8320075273513794,6.270963668823242,-3.6976571083068848,4.107917785644531,3.3511502742767334,4.412390232086182,3.050363302230835,0.227215975522995,1.0,0.019999993965029716,0.032583869993686676,0.38366472721099854,0.0,0.49546149373054504,0.07783586531877518,0.010453994385898113,-2.743164300918579,-1.7861281633377075,-4.143155097961426,-3.445704698562622,-11.632911682128906,-3.063152313232422
IFAD-0.97,comparable,0,7,-3743.8923990628455,0.1395965100147722,21.547229766845703,15.453413963317871,0.0,0.06992180645465851,1.0,-0.004345778375864029,1.2590433359146118,5.914138317108154,-2.345813035964966,4.014789581298828,3.4765186309814453,4.3641462326049805,3.0832180976867676,0.22481845319271088,1.0,0.019999993965029716,0.0782381147146225,0.3659200668334961,0.0,0.5198557376861572,0.009865859523415565,0.026120135560631752,-2.5649099349975586,-2.0960545539855957,-3.6902058124542236,-4.034337520599365,-10.419200897216797,-3.7248141765594482
IFAD-0.97,comparable,0,8,-3774.6623696194983,0.22744027879967604,18.727930068969727,0.09456910192966461,0.0,1.2713685035705566,1.0,-0.01000965479761362,1.2887893915176392,6.5024518966674805,-3.2571215629577637,4.491883277893066,3.8821969032287598,4.559909820556641,4.261303901672363,0.24574868381023407,1.0,0.019999993965029716,0.36313596367836,0.01667470484972,0.0,0.045172542333602905,0.10664457082748413,0.4683721661567688,-5.398409366607666,-3.965806245803833,-6.745162010192871,-5.980738639831543,-13.821494102478027,-5.211900234222412
IFAD-0.97,comparable,0,9,-3744.084356342417,0.1807746404397088,21.091550827026367,14.965112686157227,0.0,0.06974087655544281,1.0,-0.0044165379367768764,1.1626404523849487,6.0136847496032715,-2.6879358291625977,4.04352331161499,3.4564380645751953,4.375336647033691,3.070094347000122,0.22392834722995758,1.0,0.019999993965029716,0.009131286293268204,0.3753146231174469,0.0,0.5112348794937134,0.019630681723356247,0.08468852192163467,-2.6295838356018066,-1.9664009809494019,-3.834097146987915,-3.83589768409729,-10.896191596984863,-3.504943609237671
