model,effort,n_monitors,method,seconds
IFAD-0.97,comparable,0,mif,92.16042757034302
IFAD-0.97,comparable,0,train,850.6569547653198
IFAD-0.97,comparable,0,pfilter,10.442195177078247
IFAD-0.97,comparable,0,pfilter,6.052001476287842
IFAD-0.97,comparable,1,mif,136.06375885009766
IFAD-0.97,comparable,1,train,876.2823383808136
IFAD-0.97,comparable,1,pfilter,11.219104051589966
IFAD-0.97,comparable,1,pfilter,5.887535810470581
IFAD-1,comparable,0,mif,34.59949493408203
IFAD-1,comparable,0,train,901.9771945476532
IFAD-1,comparable,0,pfilter,10.415162086486816
IFAD-1,comparable,0,pfilter,6.081398010253906
IFAD-1,comparable,1,mif,54.74136686325073
IFAD-1,comparable,1,train,942.8720245361328
IFAD-1,comparable,1,pfilter,11.572697639465332
IFAD-1,comparable,1,pfilter,6.212895154953003
IFAD-0,comparable,0,mif,36.37593674659729
IFAD-0,comparable,0,train,912.3878571987152
IFAD-0,comparable,0,pfilter,11.050658226013184
IFAD-0,comparable,0,pfilter,5.798199415206909
IFAD-0,comparable,1,mif,54.61342096328735
IFAD-0,comparable,1,train,929.4075639247894
IFAD-0,comparable,1,pfilter,11.5205659866333
IFAD-0,comparable,1,pfilter,6.232534408569336
IF2,comparable,0,mif,945.8982901573181
IF2,comparable,0,pfilter,10.402715921401978
IF2,comparable,0,pfilter,6.1420509815216064
IF2,comparable,1,mif,1398.1253290176392
IF2,comparable,1,pfilter,10.503452777862549
IF2,comparable,1,pfilter,6.148414134979248
IFAD-0.97,extended,0,mif,96.14071846008301
IFAD-0.97,extended,0,train,3557.0806839466095
IFAD-0.97,extended,0,pfilter,11.514917135238647
IFAD-0.97,extended,0,pfilter,6.192647695541382
IFAD-0.97,extended,1,mif,134.94280982017517
IFAD-0.97,extended,1,train,3458.3513815402985
IFAD-0.97,extended,1,pfilter,10.458498001098633
IFAD-0.97,extended,1,pfilter,6.013293743133545
IFAD-1,extended,0,mif,35.00218868255615
IFAD-1,extended,0,train,3582.818705558777
IFAD-1,extended,0,pfilter,10.41746187210083
IFAD-1,extended,0,pfilter,6.18530011177063
IFAD-1,extended,1,mif,53.61895799636841
IFAD-1,extended,1,train,3746.1012341976166
IFAD-1,extended,1,pfilter,11.132815599441528
IFAD-1,extended,1,pfilter,5.876029014587402
IFAD-0,extended,0,mif,34.9551944732666
IFAD-0,extended,0,train,3464.982634782791
IFAD-0,extended,0,pfilter,10.411820650100708
IFAD-0,extended,0,pfilter,6.131333112716675
IFAD-0,extended,1,mif,53.53884196281433
IFAD-0,extended,1,train,3581.6201481819153
IFAD-0,extended,1,pfilter,11.20975637435913
IFAD-0,extended,1,pfilter,5.835718154907227
IF2,extended,0,mif,3782.044771671295
IF2,extended,0,pfilter,10.437363624572754
IF2,extended,0,pfilter,6.175501823425293
IF2,extended,1,mif,5565.345527410507
IF2,extended,1,pfilter,10.493850231170654
IF2,extended,1,pfilter,6.04213809967041
