method,inference_nstep,evaluation_nstep,start,euler20_loglik,euler20_se,eval_particles,eval_replicates,evaluation_seed,evaluation_status
Corenflos DPF,20,20,0,-5894.673604621504,0.11630592093653029,5000,36,70636411,ok
Corenflos DPF,20,20,1,-5801.221097373149,0.31046893787039453,5000,36,70637408,ok
Corenflos DPF,20,20,2,-4592.094497839735,0.12849167055627456,5000,36,70638405,ok
Corenflos DPF,20,20,3,-4812.410021268898,0.3996603751631048,5000,36,70639402,ok
Corenflos DPF,20,20,4,-4487.487674217888,0.0960671316124285,5000,36,70640399,ok
Corenflos DPF,20,20,5,-5882.8000456329355,0.083424612933451,5000,36,70641396,ok
Corenflos DPF,20,20,6,-4179.730719301903,0.12182349913957392,5000,36,70642393,ok
Corenflos DPF,20,20,7,-4665.837794983585,0.7350208226718269,5000,36,70643390,ok
Corenflos DPF,20,20,8,-4609.183731896586,0.7287294478130418,5000,36,70644387,ok
Corenflos DPF,20,20,9,-4010.992738648535,0.08543713144585985,5000,36,70645384,ok
Corenflos DPF,20,20,10,-4297.645831662101,0.7879669027561024,5000,36,70646381,ok
Corenflos DPF,20,20,11,-5942.149697743342,0.05259386057682636,5000,36,70647378,ok
Corenflos DPF,20,20,12,-6261.3442445391,0.10717687717967833,5000,36,70648375,ok
Corenflos DPF,20,20,13,-4128.881044085005,0.14771542703721563,5000,36,70649372,ok
Corenflos DPF,20,20,14,-7684.352843491178,114.79808923846512,5000,36,70650369,ok
Corenflos DPF,20,20,15,-4457.930371280868,0.4972505516573998,5000,36,70651366,ok
Corenflos DPF,20,20,16,-4365.301242128803,0.5126689291842452,5000,36,70652363,ok
Corenflos DPF,20,20,17,-5871.323520574785,0.19621675935318592,5000,36,70653360,ok
Corenflos DPF,20,20,18,-4372.175074233409,0.1581593458579556,5000,36,70654357,ok
Corenflos DPF,20,20,19,-5970.224837248037,0.15938717603905397,5000,36,70655354,ok
Corenflos DPF,20,20,20,-4919.848786710794,0.1536657545778566,5000,36,70656351,ok
Corenflos DPF,20,20,21,-4660.064834408239,3.098628398944151,5000,36,70657348,ok
Corenflos DPF,20,20,22,-4279.754476682082,0.10717497802520062,5000,36,70658345,ok
Corenflos DPF,20,20,23,-24636.06061585145,0.03768911392538558,5000,36,70659342,ok
