method,inference_nstep,evaluation_nstep,start,euler20_loglik,euler20_se,eval_particles,eval_replicates,evaluation_seed,evaluation_status
Corenflos DPF,20,20,0,-5680.989043449752,2.005034490517618,5000,36,70636411,ok
Corenflos DPF,20,20,1,-5800.194742593629,0.6280760811448368,5000,36,70637408,ok
Corenflos DPF,20,20,2,-4944.887322901716,0.876262434409458,5000,36,70638405,ok
Corenflos DPF,20,20,3,-4883.1514690326685,0.3733340389222454,5000,36,70639402,ok
Corenflos DPF,20,20,4,-8899.553255750465,23.692819979586805,5000,36,70640399,ok
Corenflos DPF,20,20,5,-5830.663412599624,0.10196784864164114,5000,36,70641396,ok
Corenflos DPF,20,20,6,-4169.781824544001,0.1586880365097966,5000,36,70642393,ok
Corenflos DPF,20,20,7,-4584.422432615185,0.35644099349372443,5000,36,70643390,ok
Corenflos DPF,20,20,8,-4774.59566881241,0.0977791446076754,5000,36,70644387,ok
Corenflos DPF,20,20,9,-3999.406343512127,0.07707398453737332,5000,36,70645384,ok
