method,inference_nstep,start,start_type,particles,updates_completed,termination_reason,elapsed_seconds,output_selected_iteration,output_selected_elapsed_seconds,initial_pseudo_loglik,selected_pseudo_loglik,terminal_pseudo_loglik,minimum_ess,maximum_invalid_fraction,restarts,gamma,m,epsilon,beta_trend,sigma,tau,bs1,bs2,bs3,bs4,bs5,bs6,omegas1,omegas2,omegas3,omegas4,omegas5,omegas6,S_0,I_0,R1_0,R2_0,R3_0,raw_0,raw_1,raw_2,raw_3,raw_4,raw_5,raw_6,raw_7,raw_8,raw_9,raw_10,raw_11,raw_12,raw_13,raw_14,raw_15,raw_16,raw_17,raw_18,raw_19,raw_20,raw_21,raw_22
Corenflos DPF,20,0,global-box,100,561,time-budget,800.052927857032,496,695.385921329027,-6234.697812049728,-5703.610199622737,-5707.987280170166,1.0000172125357278,0.0,2,12.208139344122873,0.6,30.000000000000004,-0.00538543876667238,2.2436801896697167,0.5,1.8717543630573867,5.025927716875884,-2.4596859070648183,5.496768919906346,5.908555280305896,3.3039875688039215,-3.5034925786138253,-3.3294139751278835,-1.92738187198625,-7.380541426210532,-6.710521433389727,-9.388396852173909,0.2004017277600334,0.41715880921851806,0.10854229437948171,0.08751228949597027,0.18638487914599647,2.502102888641678,-0.5108256237659907,3.4011973816621555,-0.538543876667238,0.8081174595313015,-0.6931471805599453,1.8717543630573867,5.025927716875884,-2.4596859070648183,5.496768919906346,5.908555280305896,3.3039875688039215,-3.5034925786138253,-3.3294139751278835,-1.92738187198625,-7.380541426210532,-6.710521433389727,-9.388396852173909,-0.7331429960225072,0.0,-1.34632707977961,-1.5616877518693904,-0.8056532082534485
Corenflos DPF,20,1,global-box,100,352,time-budget,801.8623486299766,236,549.4652228680206,-7509.3611052178,-5848.022281112748,-5869.468719182292,1.000000000000174,0.02,5,12.76101345923516,0.2740916760443197,24.39363169285715,-0.0031723196795084875,4.173000179146208,0.4537076055254254,0.17104568679412951,3.5222412256442963,3.0329073027701328,5.777731374123148,2.8965511171099245,3.7474321902401657,-2.581506762056418,-0.3427490071402134,-1.8528969480446882,-5.507438362069872,-2.420642159528292,-3.675620850095183,0.23766069346346927,0.11411061200756367,0.26815918802693045,0.26815918802693045,0.11191031847510602,2.5463946994676188,-1.2942926444514893,3.194322102039343,-0.31723196795084874,1.4286352445392512,-0.7903023291169816,0.17104568679412951,3.5222412256442963,3.0329073027701328,5.777731374123148,2.8965511171099245,3.7474321902401657,-2.581506762056418,-0.3427490071402134,-1.8528969480446882,-5.507438362069872,-2.420642159528292,-3.675620850095183,-0.12073679060852166,-0.8544125306021209,0.0,0.0,-0.8738829667061674
Corenflos DPF,20,2,global-box,100,274,maximum-restarts,799.2316973999841,209,613.1234255450545,-11192.017487742356,-5003.140406399312,-5035.860015892858,1.0000000000000888,0.26,6,18.31298637667149,0.2870985660024496,17.752422602035637,-0.0023543891803725733,4.991991596637688,0.5,-3.060810999768495,6.12133148281075,-0.6784217580813157,1.7802151568218205,2.3113564682294343,7.163271282980554,-3.1928706667834463,-2.10399820942073,-3.7877277370303095,-1.3277383557173708,-1.3669470330882176,-7.6689953948775695,0.045277189709530256,0.2940055600425377,0.084466007261725,0.2722997968853878,0.30395144610081926,2.9076104462428187,-1.2479296866344,2.876521991229972,-0.23543891803725733,1.607834947699862,-0.6931471805599453,-3.060810999768495,6.12133148281075,-0.6784217580813157,1.7802151568218205,2.3113564682294343,7.163271282980554,-3.1928706667834463,-2.10399820942073,-3.7877277370303095,-1.3277383557173708,-1.3669470330882176,-7.6689953948775695,-1.9040646046265404,-0.0332692930073494,-1.2805187993764007,-0.10996431811927239,0.0
Corenflos DPF,20,3,global-box,100,236,maximum-restarts,485.0010494880844,96,189.18158468801994,-7498.918048586884,-4998.1134509567755,-5042.87267681991,1.000000000043677,0.01,6,15.858293997584838,0.19551481972055698,1.5329416757000498,-0.0013297742879075306,4.999999999999999,0.5,4.0,5.211870318813573,3.2741509119581673,4.27265195107386,1.7654850815111696,6.316012229883048,-5.501006738796678,-0.5666493198830367,-2.8332814623437708,-9.059915932386854,-1.5313288041925888,-6.0883350641577705,0.22055548443272568,0.37084488736411486,0.3288015396986102,0.009352044573735913,0.07044604393081337,2.763692644064459,-1.6321190982324871,0.4271885533081523,-0.13297742879075305,1.6094379124341003,-0.6931471805599453,4.0,5.211870318813573,3.2741509119581673,4.27265195107386,1.7654850815111696,6.316012229883048,-5.501006738796678,-0.5666493198830367,-2.8332814623437708,-9.059915932386854,-1.5313288041925888,-6.0883350641577705,-0.5196345885101068,0.0,-0.12032953587113547,-3.680188891440479,-1.660936799338159
Corenflos DPF,20,4,global-box,100,0,no-valid-filter-evaluation,2.9891048319404945,0,2.9891048319404945,-11052.136731297758,-11052.136731297758,-11052.136731297758,1.0000000000001315,0.93,0,24.214281062976966,0.3580815985401582,2.381229416753962,-0.009877190622179857,3.7565973442732203,0.23003454753868038,2.080316866412839,4.055784952714765,2.611698907788444,0.009247947093431463,7.146427570857983,4.795752208689171,-0.2199555776744635,-6.918954441448173,-5.019868229624852,-7.2132387623366885,-9.322873336924197,-2.92970793953788,0.019912385694508726,0.1857073088921001,0.15081814906808277,0.31433247010534343,0.3292296862399649,3.1869425856757263,-1.0269943896701548,0.8676169159726648,-0.9877190622179857,1.3235135860473561,-1.4695257746489223,2.080316866412839,4.055784952714765,2.611698907788444,0.009247947093431463,7.146427570857983,4.795752208689171,-0.2199555776744635,-6.918954441448173,-5.019868229624852,-7.2132387623366885,-9.322873336924197,-2.92970793953788,-2.8054137068199188,-0.572583815466283,-0.7806808414083362,-0.0463043939076877,0.0
Corenflos DPF,20,5,global-box,100,430,time-budget,801.5646078119753,156,270.781041434966,-13659.66066425326,-5848.2464840016655,-5877.986703586593,1.0000000000003197,0.04,5,12.697030891670694,0.34636327429454167,6.0125722711968,-0.003955812322188627,4.999999999999999,0.5,0.2398690504097434,5.044623292755035,1.1017284221598502,4.652901633177801,4.598274339572695,7.961481879044198,-4.975125811812903,-7.100358095899915,-0.608829939222987,-2.0633778726997116,-5.536007871207115,-0.47277014500389,0.3468160338425617,0.08526543776332796,0.02865992254965613,0.28660053815583975,0.25265806768861443,2.541368178074432,-1.0602671290041503,1.79385265551711,-0.39558123221886266,1.6094379124341003,-0.6931471805599453,0.2398690504097434,5.044623292755035,1.1017284221598502,4.652901633177801,4.598274339572695,7.961481879044198,-4.975125811812903,-7.100358095899915,-0.608829939222987,-2.0633778726997116,-5.536007871207115,-0.47277014500389,0.0,-1.403025289622355,-2.4932947575126523,-0.1907050844075818,-0.3167574140239196
Corenflos DPF,20,6,global-box,100,222,time-budget,803.487111613038,190,689.912322469987,-14271.968341159005,-4206.981138020205,-4228.0515278562225,1.0000000000000426,0.28,3,15.724113886757628,0.3928120542750757,16.451581182606752,-0.0001161204212086258,4.936414801571523,0.5,0.8682480082472604,3.1478992226462976,2.9219412190238185,0.0,1.3370918954929487,5.3084762657557265,-8.5030147771913,-0.4925196955339135,-6.708203281669871,-4.687266538079564,-4.11182857194398,-1.6894379767330425,0.3323736143918641,0.07797652043600241,0.21084335060707,0.33330360097178224,0.045502913593281374,2.755195450395101,-0.9344240148996922,2.8004215931153063,-0.01161204212086258,1.5966393190470438,-0.6931471805599453,0.8682480082472604,3.1478992226462976,2.9219412190238185,0.0,1.3370918954929487,5.3084762657557265,-8.5030147771913,-0.4925196955339135,-6.708203281669871,-4.687266538079564,-4.11182857194398,-1.6894379767330425,-0.0027941085063188497,-1.4526460279283668,-0.4579383456854012,0.0,-1.9912774303271539
Corenflos DPF,20,7,global-box,100,385,time-budget,801.0190265940037,299,598.9681374910288,-6977.010127179827,-4646.45259272965,-4668.66901270865,1.0000000000652634,0.08,2,15.849317997967171,0.49827958548786744,0.799917091934112,-0.004294823690385729,4.999999999999999,0.5,3.2221035874579163,6.455972139342343,-1.5851123298622063,3.3508216506600292,7.006549080356591,0.30116070656004784,-7.162742207006116,-1.2946420122542823,-6.618458648353138,-9.61194298343943,-1.0726953983275673,-4.177761278696271,0.23944154793996153,0.04326063771648607,0.2138173714324665,0.25711600066514273,0.24636444224594317,2.763126470878115,-0.696593942850544,-0.2232471917670559,-0.4294823690385729,1.6094379124341003,-0.6931471805599453,3.2221035874579163,6.455972139342343,-1.5851123298622063,3.3508216506600292,7.006549080356591,0.30116070656004784,-7.162742207006116,-1.2946420122542823,-6.618458648353138,-9.61194298343943,-1.0726953983275673,-4.177761278696271,-0.07121801915873384,-1.7822841856190594,-0.18440510137301594,0.0,-0.04271543533771344
Corenflos DPF,20,8,global-box,100,425,time-budget,800.28422253998,349,650.6324148150161,-10254.29860748082,-4798.297774640305,-4805.819618691214,1.0000000076233349,0.0,4,20.52967617269313,0.19799824984586145,12.807067366718677,-0.0008248844938052374,2.077213716619658,0.5,3.428828194586384,4.390126451878587,-2.0668816949119044,3.917796911272915,3.9379272136130683,4.928276293090534,-5.306305628131413,-0.024775646043182324,-7.066363877959947,-6.05335266368566,-4.9504028244790375,-7.795513687462118,0.036145750895251384,0.3327988929928257,0.23459795510391163,0.06074604587433261,0.33571135513367867,3.0218714575354295,-1.6194970874889834,2.5499971565783532,-0.08248844938052374,0.7310274363841224,-0.6931471805599453,3.428828194586384,4.390126451878587,-2.0668816949119044,3.917796911272915,3.9379272136130683,4.928276293090534,-5.306305628131413,-0.024775646043182324,-7.066363877959947,-6.05335266368566,-4.9504028244790375,-7.795513687462118,-2.2286923278930226,-0.008713346057899201,-0.35837850899647755,-1.7095497370417896,0.0
Corenflos DPF,20,9,global-box,100,234,time-budget,801.6332391379401,172,590.1789710980374,-8109.287728032153,-3959.5253846092683,-3978.0519438387555,1.0000000000000782,0.37,1,22.463195538635063,0.4085364236711586,1.7214243929656925,-0.005862236464771724,4.956236955097148,0.4385685403718616,2.761858483738562,5.408447737071991,-2.6871168916363315,4.555756479727381,3.2482639181054886,2.4958659540035972,-4.273589364576889,-9.026346650879416,-2.1148605383389154,-8.354019388307488,-4.067281515878062,-0.4991660152777965,0.2937910398948485,0.03409765536982283,0.28489250811532013,0.1958513922592293,0.1913674043607793,3.111878216065907,-0.8951742042233105,0.5431520835555705,-0.5862236464771724,1.6006467743868935,-0.8242391729492172,2.761858483738562,5.408447737071991,-2.6871168916363315,4.555756479727381,3.2482639181054886,2.4958659540035972,-4.273589364576889,-9.026346650879416,-2.1148605383389154,-8.354019388307488,-4.067281515878062,-0.4991660152777965,0.0,-2.153640141537766,-0.03075682136355213,-0.4055125970897329,-0.42867360260951815
