method,inference_nstep,evaluation_nstep,start,euler20_loglik,euler20_se,eval_particles,eval_replicates,evaluation_seed,evaluation_status
Corenflos DPF,20,20,0,-4647.444204206475,0.30891737750583287,5000,36,70631586,ok
Corenflos DPF,20,20,1,-4796.283375680664,1.2573418104371372,5000,36,70632583,ok
Corenflos DPF,20,20,2,-4419.188872347001,0.3158361021719139,5000,36,70633580,ok
Corenflos DPF,20,20,3,-3861.2218426130125,0.08777192589093881,5000,36,70634577,ok
Corenflos DPF,20,20,4,-5257.913936617776,0.7219297960744474,5000,36,70635574,ok
Corenflos DPF,20,20,5,-4274.745567031443,0.09233915122787872,5000,36,70636571,ok
Corenflos DPF,20,20,6,-10666.198638222595,3.2893032927829933,5000,36,70637568,ok
Corenflos DPF,20,20,7,-5051.499077662661,0.3793641050779657,5000,36,70638565,ok
Corenflos DPF,20,20,8,-6094.292675493983,0.7078806362635544,5000,36,70639562,ok
Corenflos DPF,20,20,9,-4026.3905885959884,0.07335992364995834,5000,36,70640559,ok
Corenflos DPF,20,20,10,-4506.502391931315,1.1254131066980424,5000,36,70641556,ok
Corenflos DPF,20,20,11,-6110.431590809867,0.14807353610580082,5000,36,70642553,ok
Corenflos DPF,20,20,12,-11920.020437681918,43.39604618841627,5000,36,70643550,ok
Corenflos DPF,20,20,13,-5234.819921631088,0.5794446290516063,5000,36,70644547,ok
Corenflos DPF,20,20,14,-9089.576662522495,33.30045242211428,5000,36,70645544,ok
Corenflos DPF,20,20,15,-5719.439076502127,0.28786982163563446,5000,36,70646541,ok
Corenflos DPF,20,20,16,-4299.861892606822,0.15811717936931863,5000,36,70647538,ok
Corenflos DPF,20,20,17,-4029.4791608459004,0.26209567933300315,5000,36,70648535,ok
Corenflos DPF,20,20,18,-4101.473418392197,0.07474577832608412,5000,36,70649532,ok
Corenflos DPF,20,20,19,-4646.590767810878,0.8306335486737747,5000,36,70650529,ok
Corenflos DPF,20,20,20,-4315.6953164192855,0.0795450411822759,5000,36,70651526,ok
Corenflos DPF,20,20,21,-4311.72808515021,0.13398621880702274,5000,36,70652523,ok
Corenflos DPF,20,20,22,-4767.387056153528,0.2529008817844405,5000,36,70653520,ok
Corenflos DPF,20,20,23,-4815.9954059122665,1.3677633495723134,5000,36,70654517,ok
Corenflos DPF,20,20,24,-4114.3678804703095,0.18602969841994,5000,36,70655514,ok
Corenflos DPF,20,20,25,-4120.406755103406,0.09717261803420046,5000,36,70656511,ok
Corenflos DPF,20,20,26,-4691.039362294042,0.15230837059512822,5000,36,70657508,ok
Corenflos DPF,20,20,27,-4461.819970498741,0.38686864805793203,5000,36,70658505,ok
Corenflos DPF,20,20,28,-4189.565496614492,0.10983870900686865,5000,36,70659502,ok
Corenflos DPF,20,20,29,-4952.968545816361,10.498976525065466,5000,36,70660499,ok
Corenflos DPF,20,20,30,-4858.273939226031,0.6638124230121507,5000,36,70661496,ok
Corenflos DPF,20,20,31,-4140.895430119582,0.09533309095409251,5000,36,70662493,ok
Corenflos DPF,20,20,32,-5314.972624061807,0.36565650443963876,5000,36,70663490,ok
Corenflos DPF,20,20,33,-5721.653482991913,0.10799296100002007,5000,36,70664487,ok
Corenflos DPF,20,20,34,-6197.220608711894,0.06233604344980493,5000,36,70665484,ok
Corenflos DPF,20,20,35,-4243.760557714501,0.14829795059171136,5000,36,70666481,ok
Corenflos DPF,20,20,36,-4502.016683431951,0.060798927975491246,5000,36,70667478,ok
Corenflos DPF,20,20,37,-5700.7746699522995,0.30909156560471573,5000,36,70668475,ok
Corenflos DPF,20,20,38,-5798.688364996488,0.44453376559193253,5000,36,70669472,ok
Corenflos DPF,20,20,39,-4154.49309425435,0.1406141016839811,5000,36,70670469,ok
Corenflos DPF,20,20,40,-4273.90615041728,0.16887511149109477,5000,36,70671466,ok
Corenflos DPF,20,20,41,-5629.349776336899,0.18138028712317264,5000,36,70672463,ok
Corenflos DPF,20,20,42,-4207.454778042159,0.1306452473180972,5000,36,70673460,ok
Corenflos DPF,20,20,43,-5154.049021666098,0.21378183384670826,5000,36,70674457,ok
Corenflos DPF,20,20,44,-13084.385011757939,18.084170192093705,5000,36,70675454,ok
Corenflos DPF,20,20,45,-3997.236376875126,0.09789842015166236,5000,36,70676451,ok
Corenflos DPF,20,20,46,-6215.521000807124,0.2801244125286771,5000,36,70677448,ok
Corenflos DPF,20,20,47,-4819.967844215145,4.31163237390421,5000,36,70678445,ok
Corenflos DPF,20,20,48,-4306.758653193116,0.15262433730781028,5000,36,70679442,ok
Corenflos DPF,20,20,49,-4623.922626860748,1.642851665973772,5000,36,70680439,ok
Corenflos DPF,20,20,50,-4424.570043966207,0.6477569118813512,5000,36,70681436,ok
Corenflos DPF,20,20,51,-4095.3955752321513,0.11389221576828114,5000,36,70682433,ok
Corenflos DPF,20,20,52,-6896.604514926802,1.8615378462470844,5000,36,70683430,ok
Corenflos DPF,20,20,53,-4857.001183462289,0.5350283871079495,5000,36,70684427,ok
