method,inference_nstep,evaluation_nstep,start,iteration,elapsed_seconds,pseudo_loglik,euler20_loglik,euler20_se,eval_particles,eval_replicates,evaluation_seed,evaluation_status
Corenflos DPF,20,20,0,0,96.0717580972705,-3866.6616038233005,-3770.966947959281,,5000,1,70631410,ok
Corenflos DPF,20,20,0,1,100.54574645822868,-3825.0072003405644,-3769.274315635432,,5000,1,70631411,ok
Corenflos DPF,20,20,0,2,104.40379646327347,-3837.03596697413,-3770.3349223659507,,5000,1,70631412,ok
Corenflos DPF,20,20,0,3,108.2663390263915,-3820.049092913408,-3771.118873590437,,5000,1,70631413,ok
Corenflos DPF,20,20,0,4,112.1080432033632,-3820.2285698993383,-3769.477781796021,,5000,1,70631414,ok
Corenflos DPF,20,20,0,5,115.93253935035318,-3826.8659011867235,-3771.8174053572393,,5000,1,70631415,ok
Corenflos DPF,20,20,0,6,119.73535452224314,-3853.3109488266227,-3769.9827899211805,,5000,1,70631416,ok
Corenflos DPF,20,20,0,7,123.593899194384,-3823.0710609579123,-3768.693635785959,,5000,1,70631417,ok
Corenflos DPF,20,20,0,8,127.4121738714166,-3825.5635858593614,-3769.8656271301757,,5000,1,70631418,ok
Corenflos DPF,20,20,0,9,131.26030921540223,-3827.0924598723886,-3770.3132147841793,,5000,1,70631419,ok
Corenflos DPF,20,20,0,10,135.1339854763355,-3845.354154789527,-3769.2973292295264,,5000,1,70631420,ok
Corenflos DPF,20,20,0,11,138.98360648821108,-3832.087638023099,-3771.4837017270356,,5000,1,70631421,ok
Corenflos DPF,20,20,0,12,142.8338378733024,-3814.9034488438742,-3770.964350787637,,5000,1,70631422,ok
Corenflos DPF,20,20,0,13,146.66889484319836,-3831.602291581862,-3770.7869658151385,,5000,1,70631423,ok
Corenflos DPF,20,20,0,14,150.52631579735316,-3830.3189190349467,-3770.445140818449,,5000,1,70631424,ok
Corenflos DPF,20,20,0,15,154.3921904482413,-3839.173679386906,-3770.1445674768024,,5000,1,70631425,ok
Corenflos DPF,20,20,0,16,158.22161179641262,-3832.6445609935936,-3770.5713569536047,,5000,1,70631426,ok
Corenflos DPF,20,20,0,17,162.04770229221322,-3875.410642442034,-3769.0038133567123,,5000,1,70631427,ok
Corenflos DPF,20,20,0,18,165.90656042122282,-3851.545024451823,-3770.2079858520597,,5000,1,70631428,ok
Corenflos DPF,20,20,0,19,169.7608353192918,-3824.522753206022,-3771.0220221043796,,5000,1,70631429,ok
Corenflos DPF,20,20,0,20,173.5922349554021,-3829.7025858128736,-3769.6128115184124,,5000,1,70631430,ok
Corenflos DPF,20,20,0,21,177.44691832526587,-3824.455987274979,-3769.227164750026,,5000,1,70631431,ok
Corenflos DPF,20,20,0,22,181.27790348324925,-3825.431997084981,-3769.6020959026737,,5000,1,70631432,ok
Corenflos DPF,20,20,0,23,185.10894101532176,-3840.330922077017,-3769.758445290361,,5000,1,70631433,ok
Corenflos DPF,20,20,0,24,189.0015552684199,-3839.151801912972,-3771.8982897904207,,5000,1,70631434,ok
Corenflos DPF,20,20,0,25,192.8898926593829,-3845.8951503129438,-3770.3057493603665,,5000,1,70631435,ok
Corenflos DPF,20,20,0,26,196.74758741119877,-3831.1182589414875,-3771.140827074783,,5000,1,70631436,ok
Corenflos DPF,20,20,0,27,200.63297976739705,-3874.9341813718916,-3771.808269632894,,5000,1,70631437,ok
Corenflos DPF,20,20,0,28,204.48789778840728,-3846.847484235976,-3769.1159787326174,,5000,1,70631438,ok
Corenflos DPF,20,20,0,29,208.38154596439563,-3835.726190501912,-3770.5601307989764,,5000,1,70631439,ok
Corenflos DPF,20,20,0,30,212.205181020312,-3814.6095785930656,-3770.5088941456743,,5000,1,70631440,ok
Corenflos DPF,20,20,0,31,216.08401252538897,-3814.3677260247723,-3770.1166802680914,,5000,1,70631441,ok
Corenflos DPF,20,20,0,32,219.95765238022432,-3845.8364641708276,-3771.844114795261,,5000,1,70631442,ok
Corenflos DPF,20,20,0,33,223.89768968336284,-3847.158153306992,-3770.439170046143,,5000,1,70631443,ok
Corenflos DPF,20,20,0,34,227.75986596220173,-3828.888945638576,-3770.5099902891657,,5000,1,70631444,ok
Corenflos DPF,20,20,0,35,231.5912312893197,-3804.9075611834646,-3771.423820757065,,5000,1,70631445,ok
Corenflos DPF,20,20,0,36,235.38685189327225,-3798.8149130282604,-3769.050006303156,,5000,1,70631446,ok
Corenflos DPF,20,20,0,37,239.2495720044244,-3858.0631867976313,-3770.8772736008113,,5000,1,70631447,ok
Corenflos DPF,20,20,0,38,243.09927916130982,-3812.188493647984,-3771.6710265128972,,5000,1,70631448,ok
Corenflos DPF,20,20,0,39,246.9379258933477,-3829.7497493846968,-3771.052938952293,,5000,1,70631449,ok
Corenflos DPF,20,20,0,40,250.8317410973832,-3856.334711820084,-3770.386434722714,,5000,1,70631450,ok
Corenflos DPF,20,20,0,41,254.67833809624426,-3837.772265853074,-3770.4084413478786,,5000,1,70631451,ok
Corenflos DPF,20,20,0,42,258.4783131573349,-3833.0052099669433,-3769.8191053739374,,5000,1,70631452,ok
Corenflos DPF,20,20,0,43,262.2833828823641,-3849.0618255699433,-3771.001295708303,,5000,1,70631453,ok
Corenflos DPF,20,20,0,44,266.1067570822779,-3867.06164209791,-3770.6710475354107,,5000,1,70631454,ok
Corenflos DPF,20,20,0,45,269.9460502443835,-3830.3227765920983,-3771.180352306844,,5000,1,70631455,ok
Corenflos DPF,20,20,0,46,273.8085247713607,-3904.3039829959935,-3771.372138421719,,5000,1,70631456,ok
Corenflos DPF,20,20,0,47,277.6649687842,-3849.0478515616715,-3769.9465314597956,,5000,1,70631457,ok
Corenflos DPF,20,20,0,48,281.51139511726797,-3863.024803502455,-3770.0811134936034,,5000,1,70631458,ok
Corenflos DPF,20,20,0,49,285.4182563512586,-3848.1109318955696,-3769.1334764030257,,5000,1,70631459,ok
Corenflos DPF,20,20,0,50,289.2412676983513,-3850.611792562626,-3772.218220573525,,5000,1,70631460,ok
Corenflos DPF,20,20,0,51,293.12648451840505,-3851.362199033131,-3770.1432079475208,,5000,1,70631461,ok
Corenflos DPF,20,20,0,52,297.0164629302453,-3830.223314601741,-3769.3117177488916,,5000,1,70631462,ok
Corenflos DPF,20,20,0,53,300.8525108222384,-3887.4104314210554,-3770.88542839632,,5000,1,70631463,ok
Corenflos DPF,20,20,0,54,304.7255349752959,-3833.738271085083,-3769.4691474912865,,5000,1,70631464,ok
