method,start,if2_elapsed_seconds,evaluation_nstep,euler20_loglik,euler20_se,eval_particles,eval_replicates,evaluation_seed,evaluation_status
IF2 checkpoint (175 updates),0,92.16042757034302,20,-3769.8552254561687,0.14017133758746905,5000,36,80631412,ok
IF2 checkpoint (175 updates),1,92.16042757034302,20,-3761.585264697371,0.11852166711630491,5000,36,80632409,ok
IF2 checkpoint (175 updates),2,92.16042757034302,20,-3768.083258412748,0.2211168141178769,5000,36,80633406,ok
IF2 checkpoint (175 updates),3,92.16042757034302,20,-3775.55374077038,0.17722991394763685,5000,36,80634403,ok
IF2 checkpoint (175 updates),4,92.16042757034302,20,-3756.3506529223596,0.14061674725088436,5000,36,80635400,ok
IF2 checkpoint (175 updates),5,92.16042757034302,20,-3788.4437307354256,0.14519403803403808,5000,36,80636397,ok
IF2 checkpoint (175 updates),6,92.16042757034302,20,-3772.556295002618,0.16957743995787766,5000,36,80637394,ok
IF2 checkpoint (175 updates),7,92.16042757034302,20,-3760.5285676063427,0.11303541895916863,5000,36,80638391,ok
IF2 checkpoint (175 updates),8,92.16042757034302,20,-3789.307048614451,0.12446332046290046,5000,36,80639388,ok
IF2 checkpoint (175 updates),9,92.16042757034302,20,-3756.1499322473555,0.36206690763232763,5000,36,80640385,ok
IF2 checkpoint (175 updates),10,92.16042757034302,20,-3791.718424662233,0.23826147465687897,5000,36,80641382,ok
IF2 checkpoint (175 updates),11,92.16042757034302,20,-3894.1117850284654,0.2512579559667774,5000,36,80642379,ok
IF2 checkpoint (175 updates),12,92.16042757034302,20,-3834.582275661378,0.1807155465988446,5000,36,80643376,ok
IF2 checkpoint (175 updates),13,92.16042757034302,20,-3809.084499926474,0.19661998278729897,5000,36,80644373,ok
IF2 checkpoint (175 updates),14,92.16042757034302,20,-3779.649127196927,0.16234722474297622,5000,36,80645370,ok
IF2 checkpoint (175 updates),15,92.16042757034302,20,-3756.0104885700134,0.19430706168334735,5000,36,80646367,ok
IF2 checkpoint (175 updates),16,92.16042757034302,20,-3752.5050418190076,0.173944337723668,5000,36,80647364,ok
IF2 checkpoint (175 updates),17,92.16042757034302,20,-3765.0757871393853,0.1760976230249804,5000,36,80648361,ok
IF2 checkpoint (175 updates),18,92.16042757034302,20,-3803.8035308255317,0.1280573928642794,5000,36,80649358,ok
IF2 checkpoint (175 updates),19,92.16042757034302,20,-3757.1663305038096,0.11744420345839535,5000,36,80650355,ok
IF2 checkpoint (175 updates),20,92.16042757034302,20,-3780.127494603593,0.1443686866412849,5000,36,80651352,ok
IF2 checkpoint (175 updates),21,92.16042757034302,20,-3783.2929357695652,0.16535270213025713,5000,36,80652349,ok
IF2 checkpoint (175 updates),22,92.16042757034302,20,-3770.440647309832,0.22101649705031087,5000,36,80653346,ok
IF2 checkpoint (175 updates),23,92.16042757034302,20,-3768.1821670812205,0.15430494241118325,5000,36,80654343,ok
IF2 checkpoint (175 updates),24,92.16042757034302,20,-3774.492588209927,0.1389452298605633,5000,36,80655340,ok
IF2 checkpoint (175 updates),25,92.16042757034302,20,-3771.6618739757805,0.22794468183744582,5000,36,80656337,ok
IF2 checkpoint (175 updates),26,92.16042757034302,20,-3762.3769124771156,0.16939360580864832,5000,36,80657334,ok
IF2 checkpoint (175 updates),27,92.16042757034302,20,-3754.6101701220196,0.19439345335507607,5000,36,80658331,ok
IF2 checkpoint (175 updates),28,92.16042757034302,20,-3768.137676219486,0.20445199300460656,5000,36,80659328,ok
IF2 checkpoint (175 updates),29,92.16042757034302,20,-3767.66423129942,0.22410710295876612,5000,36,80660325,ok
IF2 checkpoint (175 updates),30,92.16042757034302,20,-3753.463373986948,0.10218140733767896,5000,36,80661322,ok
IF2 checkpoint (175 updates),31,92.16042757034302,20,-3749.873023031473,0.19583502900358413,5000,36,80662319,ok
IF2 checkpoint (175 updates),32,92.16042757034302,20,-3829.162527422065,0.19613992660897983,5000,36,80663316,ok
IF2 checkpoint (175 updates),33,92.16042757034302,20,-3756.068148342237,0.13795606936921864,5000,36,80664313,ok
IF2 checkpoint (175 updates),34,92.16042757034302,20,-3770.8418835053444,0.13250095667074763,5000,36,80665310,ok
IF2 checkpoint (175 updates),35,92.16042757034302,20,-3754.9580942749335,0.12614864324468272,5000,36,80666307,ok
IF2 checkpoint (175 updates),36,92.16042757034302,20,-3754.6990047573636,0.18778166476933178,5000,36,80667304,ok
IF2 checkpoint (175 updates),37,92.16042757034302,20,-3756.860603152021,0.16712457849243886,5000,36,80668301,ok
IF2 checkpoint (175 updates),38,92.16042757034302,20,-3757.2990330250877,0.1447583752400571,5000,36,80669298,ok
IF2 checkpoint (175 updates),39,92.16042757034302,20,-3816.5102622570394,0.35658510787464154,5000,36,80670295,ok
IF2 checkpoint (175 updates),40,92.16042757034302,20,-3754.6597181677153,0.16794819291253818,5000,36,80671292,ok
IF2 checkpoint (175 updates),41,92.16042757034302,20,-3754.9101945836164,0.09625967699490477,5000,36,80672289,ok
IF2 checkpoint (175 updates),42,92.16042757034302,20,-3756.215737525498,0.18771698798793587,5000,36,80673286,ok
IF2 checkpoint (175 updates),43,92.16042757034302,20,-3843.0086956945074,0.17999893475717268,5000,36,80674283,ok
IF2 checkpoint (175 updates),44,92.16042757034302,20,-3754.3974068875264,0.16642913635566248,5000,36,80675280,ok
IF2 checkpoint (175 updates),45,92.16042757034302,20,-3770.4908207855433,0.1785105377447442,5000,36,80676277,ok
IF2 checkpoint (175 updates),46,92.16042757034302,20,-4006.48939106368,2.5294199678763123,5000,36,80677274,ok
IF2 checkpoint (175 updates),47,92.16042757034302,20,-3770.673990300301,0.21106272860912043,5000,36,80678271,ok
IF2 checkpoint (175 updates),48,92.16042757034302,20,-3761.1035087560567,0.12889518815818013,5000,36,80679268,ok
IF2 checkpoint (175 updates),49,92.16042757034302,20,-3760.9400099604327,0.153598354798174,5000,36,80680265,ok
IF2 checkpoint (175 updates),50,92.16042757034302,20,-3757.250431889104,0.16437206359954146,5000,36,80681262,ok
IF2 checkpoint (175 updates),51,92.16042757034302,20,-3751.3940871292793,0.18603191570451819,5000,36,80682259,ok
IF2 checkpoint (175 updates),52,92.16042757034302,20,-3754.8004532146883,0.16102700632885444,5000,36,80683256,ok
IF2 checkpoint (175 updates),53,92.16042757034302,20,-3758.789629217411,0.16609541696298785,5000,36,80684253,ok
IF2 checkpoint (175 updates),54,92.16042757034302,20,-3760.928031460015,0.12886153612322512,5000,36,80685250,ok
IF2 checkpoint (175 updates),55,92.16042757034302,20,-3755.176180601873,0.16454261852581134,5000,36,80686247,ok
IF2 checkpoint (175 updates),56,92.16042757034302,20,-3767.119577830342,0.11267895864528081,5000,36,80687244,ok
IF2 checkpoint (175 updates),57,92.16042757034302,20,-3764.3431551649683,0.10724323018365614,5000,36,80688241,ok
IF2 checkpoint (175 updates),58,92.16042757034302,20,-3784.1441757716093,0.17339365524470726,5000,36,80689238,ok
IF2 checkpoint (175 updates),59,92.16042757034302,20,-3803.479798464085,0.12735017254293612,5000,36,80690235,ok
IF2 checkpoint (175 updates),60,92.16042757034302,20,-3775.768039651793,0.20415989909144075,5000,36,80691232,ok
IF2 checkpoint (175 updates),61,92.16042757034302,20,-3772.0521243703924,0.15744889975755622,5000,36,80692229,ok
IF2 checkpoint (175 updates),62,92.16042757034302,20,-3769.000507802111,0.13307761144645025,5000,36,80693226,ok
IF2 checkpoint (175 updates),63,92.16042757034302,20,-3833.086226400011,0.2282348408736269,5000,36,80694223,ok
IF2 checkpoint (175 updates),64,92.16042757034302,20,-3774.255880334076,0.11659398084961507,5000,36,80695220,ok
