method,inference_nstep,evaluation_nstep,start,iteration,elapsed_seconds,pseudo_loglik,euler20_loglik,euler20_se,eval_particles,eval_replicates,evaluation_seed,evaluation_status
Corenflos DPF,20,20,0,0,1.5568357580341399,-6231.270667517555,-6209.205917143907,,5000,1,70631410,ok
Corenflos DPF,20,20,0,1,3.626577057992108,-6219.320878573585,-6199.648369995387,,5000,1,70631411,ok
Corenflos DPF,20,20,0,2,5.029547809041105,-6202.676828430911,-6184.375805121364,,5000,1,70631412,ok
Corenflos DPF,20,20,0,3,6.39480025600642,-6182.831859246426,-6167.765505858027,,5000,1,70631413,ok
Corenflos DPF,20,20,0,4,7.743516187998466,-6165.989674971185,-6150.785201725089,,5000,1,70631414,ok
Corenflos DPF,20,20,0,5,9.008843248011544,-6153.733537746752,-6136.965377998316,,5000,1,70631415,ok
Corenflos DPF,20,20,0,6,10.27441994403489,-6140.602995972469,-6125.5869222118445,,5000,1,70631416,ok
Corenflos DPF,20,20,0,7,11.500674154027365,-6130.508905949046,-6116.510530008257,,5000,1,70631417,ok
Corenflos DPF,20,20,0,8,12.6961467100773,-6120.086459929212,-6108.713194732469,,5000,1,70631418,ok
Corenflos DPF,20,20,0,9,13.861207672045566,-6113.15826293863,-6101.812718467898,,5000,1,70631419,ok
Corenflos DPF,20,20,0,10,14.987704041064717,-6106.543915067251,-6096.596917733046,,5000,1,70631420,ok
Corenflos DPF,20,20,0,11,16.113960743066855,-6099.555638133053,-6091.0851538069755,,5000,1,70631421,ok
Corenflos DPF,20,20,0,12,17.2176161960233,-6103.124829095601,-6095.271138803213,,5000,1,70631422,ok
Corenflos DPF,20,20,0,13,18.313282801071182,-6106.729210794625,-6099.300727863013,,5000,1,70631423,ok
Corenflos DPF,20,20,0,14,19.401597775053233,-6109.963219102472,-6103.22936413878,,5000,1,70631424,ok
Corenflos DPF,20,20,0,15,20.4666512850672,-6111.668994103411,-6106.720472251171,,5000,1,70631425,ok
Corenflos DPF,20,20,0,16,21.523916402016766,-6115.807093439693,-6109.291321952417,,5000,1,70631426,ok
Corenflos DPF,20,20,0,17,22.558294118964113,-6116.968793738081,-6111.651507188871,,5000,1,70631427,ok
Corenflos DPF,20,20,0,18,23.584934771992266,-6114.6509845474575,-6110.020171955679,,5000,1,70631428,ok
Corenflos DPF,20,20,0,19,24.634989122045226,-6112.239323652006,-6106.82657722278,,5000,1,70631429,ok
Corenflos DPF,20,20,0,20,25.646871221018955,-6107.914655479741,-6103.453101234933,,5000,1,70631430,ok
Corenflos DPF,20,20,0,21,26.658806980005465,-6105.174466600161,-6100.480247393721,,5000,1,70631431,ok
Corenflos DPF,20,20,0,22,27.632112154038623,-6102.064898829507,-6097.78866690293,,5000,1,70631432,ok
Corenflos DPF,20,20,0,23,28.643819823046215,-6097.602796957683,-6093.263150601528,,5000,1,70631433,ok
Corenflos DPF,20,20,0,24,29.6247589570703,-6092.228227109154,-6087.7898336729195,,5000,1,70631434,ok
Corenflos DPF,20,20,0,25,30.60586335300468,-6086.2223630165645,-6081.75200743566,,5000,1,70631435,ok
Corenflos DPF,20,20,0,26,31.60187976504676,-6079.033544106135,-6075.431401302946,,5000,1,70631436,ok
Corenflos DPF,20,20,0,27,32.60622548102401,-6072.873634742928,-6068.607698733419,,5000,1,70631437,ok
Corenflos DPF,20,20,0,28,33.62735110707581,-6067.407287661525,-6062.46262491757,,5000,1,70631438,ok
Corenflos DPF,20,20,0,29,34.63354253198486,-6059.4769963546705,-6055.983931978986,,5000,1,70631439,ok
Corenflos DPF,20,20,0,30,35.6483090929687,-6053.210948452721,-6048.159423923209,,5000,1,70631440,ok
Corenflos DPF,20,20,0,31,36.660760547965765,-6046.193769170334,-6041.963846608022,,5000,1,70631441,ok
Corenflos DPF,20,20,0,32,37.67249621497467,-6037.457784995696,-6033.8652571527255,,5000,1,70631442,ok
Corenflos DPF,20,20,0,33,38.68361893505789,-6031.712226285412,-6027.030320137663,,5000,1,70631443,ok
Corenflos DPF,20,20,0,34,39.71040851902217,-6025.407852356058,-6022.170679915722,,5000,1,70631444,ok
Corenflos DPF,20,20,0,35,40.75323766306974,-6018.61959440208,-6014.271453770863,,5000,1,70631445,ok
Corenflos DPF,20,20,0,36,41.765044900006615,-6011.933366654077,-6006.595040980723,,5000,1,70631446,ok
Corenflos DPF,20,20,0,37,42.78347584803123,-6000.574853147402,-5996.400708673946,,5000,1,70631447,ok
Corenflos DPF,20,20,0,38,43.81736146903131,-5989.027392912398,-5984.282080654916,,5000,1,70631448,ok
Corenflos DPF,20,20,0,39,44.84415812196676,-5979.237950100622,-5972.517698164675,,5000,1,70631449,ok
Corenflos DPF,20,20,0,40,45.886057332972996,-5973.129286747714,-5964.246621153839,,5000,1,70631450,ok
