method,inference_nstep,evaluation_nstep,start,iteration,elapsed_seconds,pseudo_loglik,euler20_loglik,euler20_se,eval_particles,eval_replicates,evaluation_seed,evaluation_status
Corenflos DPF,20,20,0,0,1.5578378679929301,-6231.270667517552,-6209.205917143907,,5000,1,70631410,ok
Corenflos DPF,20,20,0,1,3.65178419300355,-6219.320878573582,-6199.648369995387,,5000,1,70631411,ok
Corenflos DPF,20,20,0,2,5.0569739900529385,-6202.67682843091,-6184.375805121363,,5000,1,70631412,ok
Corenflos DPF,20,20,0,3,6.424274586024694,-6182.8318592464275,-6167.765505858027,,5000,1,70631413,ok
Corenflos DPF,20,20,0,4,7.775101221050136,-6165.989674971183,-6150.78520172509,,5000,1,70631414,ok
Corenflos DPF,20,20,0,5,9.04229240398854,-6153.7335377467525,-6136.965377998316,,5000,1,70631415,ok
Corenflos DPF,20,20,0,6,10.309142824960873,-6140.602995972471,-6125.5869222118445,,5000,1,70631416,ok
Corenflos DPF,20,20,0,7,11.537491315975785,-6130.508905949046,-6116.510530008257,,5000,1,70631417,ok
Corenflos DPF,20,20,0,8,12.7351084620459,-6120.08645992921,-6108.713194732469,,5000,1,70631418,ok
Corenflos DPF,20,20,0,9,13.902576358057559,-6113.15826293863,-6101.812718467897,,5000,1,70631419,ok
Corenflos DPF,20,20,0,10,15.030589830013923,-6106.54391506725,-6096.596917733046,,5000,1,70631420,ok
Corenflos DPF,20,20,0,11,16.15911472402513,-6099.555638133054,-6091.0851538069755,,5000,1,70631421,ok
Corenflos DPF,20,20,0,12,17.26478553004563,-6103.124829095602,-6095.271138803213,,5000,1,70631422,ok
Corenflos DPF,20,20,0,13,18.365456211962737,-6106.729210794625,-6099.300727863015,,5000,1,70631423,ok
Corenflos DPF,20,20,0,14,19.45998944796156,-6109.96321910247,-6103.229364138781,,5000,1,70631424,ok
Corenflos DPF,20,20,0,15,20.5305472019827,-6111.668994103411,-6106.720472251171,,5000,1,70631425,ok
Corenflos DPF,20,20,0,16,21.593752213055268,-6115.807093439694,-6109.291321952418,,5000,1,70631426,ok
Corenflos DPF,20,20,0,17,22.632745411014184,-6116.96879373808,-6111.651507188872,,5000,1,70631427,ok
Corenflos DPF,20,20,0,18,23.664717740030028,-6114.650984547454,-6110.020171955676,,5000,1,70631428,ok
Corenflos DPF,20,20,0,19,24.719376494991593,-6112.239323651999,-6106.8265772227705,,5000,1,70631429,ok
Corenflos DPF,20,20,0,20,25.736707022064365,-6107.914655479731,-6103.4531012349225,,5000,1,70631430,ok
Corenflos DPF,20,20,0,21,26.75330252700951,-6105.1744666001505,-6100.480247393709,,5000,1,70631431,ok
Corenflos DPF,20,20,0,22,27.732296625967138,-6102.064898829494,-6097.788666902918,,5000,1,70631432,ok
Corenflos DPF,20,20,0,23,28.748867894057184,-6097.60279695767,-6093.263150601509,,5000,1,70631433,ok
Corenflos DPF,20,20,0,24,29.733861541026272,-6092.228227109139,-6087.789833672903,,5000,1,70631434,ok
Corenflos DPF,20,20,0,25,30.71915031701792,-6086.222363016554,-6081.752007435645,,5000,1,70631435,ok
Corenflos DPF,20,20,0,26,31.719566485029645,-6079.033544106115,-6075.4314013029225,,5000,1,70631436,ok
Corenflos DPF,20,20,0,27,32.72921001003124,-6072.873634742902,-6068.6076987333945,,5000,1,70631437,ok
Corenflos DPF,20,20,0,28,33.75309586303774,-6067.407287661495,-6062.462624917544,,5000,1,70631438,ok
Corenflos DPF,20,20,0,29,34.76167017396074,-6059.47699635463,-6055.983931978938,,5000,1,70631439,ok
Corenflos DPF,20,20,0,30,35.77820577600505,-6053.210948452603,-6048.1594239230835,,5000,1,70631440,ok
Corenflos DPF,20,20,0,31,36.79491534398403,-6046.193769170139,-6041.963846607822,,5000,1,70631441,ok
Corenflos DPF,20,20,0,32,37.81182693899609,-6037.457784995456,-6033.865257152476,,5000,1,70631442,ok
Corenflos DPF,20,20,0,33,38.82815363898408,-6031.712226285141,-6027.030320137386,,5000,1,70631443,ok
Corenflos DPF,20,20,0,34,39.86062963795848,-6025.407852355987,-6022.170679915648,,5000,1,70631444,ok
Corenflos DPF,20,20,0,35,40.90803393605165,-6018.619594401978,-6014.271453770753,,5000,1,70631445,ok
Corenflos DPF,20,20,0,36,41.92402065102942,-6011.933366653961,-6006.595040980599,,5000,1,70631446,ok
Corenflos DPF,20,20,0,37,42.947921863989905,-6000.57485314676,-5996.400708673286,,5000,1,70631447,ok
Corenflos DPF,20,20,0,38,43.98717126296833,-5989.027392911321,-5984.2820806538175,,5000,1,70631448,ok
Corenflos DPF,20,20,0,39,45.01896555500571,-5979.237950099381,-5972.517698163389,,5000,1,70631449,ok
Corenflos DPF,20,20,0,40,46.06674381101038,-5973.1292867463035,-5964.246621152338,,5000,1,70631450,ok
Corenflos DPF,20,20,0,41,47.12973109295126,-5962.844536154648,-5957.605325922986,,5000,1,70631451,ok
Corenflos DPF,20,20,0,42,48.19302565406542,-5955.887264598999,-5948.885377639452,,5000,1,70631452,ok
Corenflos DPF,20,20,0,43,49.240336393006146,-5950.921510481541,-5944.322515654362,,5000,1,70631453,ok
Corenflos DPF,20,20,0,44,50.31077736103907,-5944.7775175478455,-5939.10826386462,,5000,1,70631454,ok
Corenflos DPF,20,20,0,45,51.38851004699245,-5941.836172076779,-5935.380002791157,,5000,1,70631455,ok
Corenflos DPF,20,20,0,46,52.4746376889525,-5937.808802820629,-5930.769432003925,,5000,1,70631456,ok
Corenflos DPF,20,20,0,47,53.56219626206439,-5935.573916706887,-5927.924179651853,,5000,1,70631457,ok
Corenflos DPF,20,20,0,48,54.63304705999326,-5934.6286735997255,-5928.46558849289,,5000,1,70631458,ok
Corenflos DPF,20,20,0,49,55.71933923300821,-5935.3595918332085,-5925.823936161455,,5000,1,70631459,ok
Corenflos DPF,20,20,0,50,56.82910227600951,-5933.850422172015,-5925.0609260776355,,5000,1,70631460,ok
Corenflos DPF,20,20,0,51,57.96127221803181,-5933.419731147986,-5924.401911376034,,5000,1,70631461,ok
Corenflos DPF,20,20,0,52,59.07018717704341,-5930.540243562226,-5923.402920271833,,5000,1,70631462,ok
Corenflos DPF,20,20,0,53,60.17993376206141,-5928.422486114305,-5919.852253206486,,5000,1,70631463,ok
Corenflos DPF,20,20,0,54,61.29752944095526,-5929.023775615309,-5918.539985851534,,5000,1,70631464,ok
Corenflos DPF,20,20,0,55,62.429987482959405,-5928.212272287385,-5918.14053801341,,5000,1,70631465,ok
Corenflos DPF,20,20,0,56,63.56188934901729,-5926.362111070086,-5917.392928531486,,5000,1,70631466,ok
Corenflos DPF,20,20,0,57,64.69365547900088,-5928.281956748566,-5920.344441255121,,5000,1,70631467,ok
Corenflos DPF,20,20,0,58,65.80981215497013,-5935.1545540263305,-5924.414716431664,,5000,1,70631468,ok
Corenflos DPF,20,20,0,59,66.94256333995145,-5936.922043069137,-5927.650103765598,,5000,1,70631469,ok
Corenflos DPF,20,20,0,60,68.06032686505932,-5934.719709090208,-5927.372357604012,,5000,1,70631470,ok
Corenflos DPF,20,20,0,61,69.21550964505877,-5939.800489217559,-5926.724594768259,,5000,1,70631471,ok
