method,inference_nstep,start,iteration,elapsed_seconds,pseudo_loglik,gradient_norm,minimum_ess,median_ess,resampling_count,maximum_invalid_fraction,learning_rate,incumbent_pseudo_loglik,restart_count,gamma,m,epsilon,beta_trend,sigma,tau,bs1,bs2,bs3,bs4,bs5,bs6,omegas1,omegas2,omegas3,omegas4,omegas5,omegas6,S_0,I_0,R1_0,R2_0,R3_0,raw_0,raw_1,raw_2,raw_3,raw_4,raw_5,raw_6,raw_7,raw_8,raw_9,raw_10,raw_11,raw_12,raw_13,raw_14,raw_15,raw_16,raw_17,raw_18,raw_19,raw_20,raw_21,raw_22
Corenflos DPF,20,0,0,1.5578378679929301,-6231.270667517552,2578.9535922656155,17.263783335202426,76.2422372560799,97,0.0,0.02,-6231.270667517552,0,12.204439319925953,0.40694085741223185,15.776105071350697,-0.009654575819763804,1.285275956517952,0.4046354317852725,2.0519699908305746,5.157343476386535,-2.22942514844895,4.8620776876508796,5.000225608613919,2.862000628488265,-3.7594382581790438,-2.3527504780275645,-0.5265467864596349,-6.352280427453167,-6.610966241633912,-9.421106416727302,0.30016229191247606,0.12847598067816407,0.16178485054093505,0.1308026974351881,0.27877417943323657,2.501799764233874,-0.899087417582029,2.7584964580403506,-0.9654575819763804,0.25097344744528827,-0.904768785701927,2.0519699908305746,5.157343476386535,-2.22942514844895,4.8620776876508796,5.000225608613919,2.862000628488265,-3.7594382581790438,-2.3527504780275645,-0.5265467864596349,-6.352280427453167,-6.610966241633912,-9.421106416727302,0.0,-0.8485813353537146,-0.6180559319568264,-0.8306332400209862,-0.07392124005080869
Corenflos DPF,20,0,1,3.65178419300355,-6219.320878573582,2119.9560965456485,15.853736296752306,78.3747820375739,88,0.0,0.01996007984031936,-6219.320878573582,0,11.962775229897678,0.41516160803992874,16.09480353364279,-0.009454575826213504,1.2598257876177925,0.41280960972863195,2.071969990755532,5.177343476241199,-2.2094251485807144,4.882077687636932,5.020225608604589,2.8820006284631026,-3.779438190638195,-2.3727504773956603,-0.5465467843402999,-6.332280428122194,-6.590966245855247,-9.40110644765281,0.2985967191848905,0.13302171200402355,0.16094099598131947,0.1301204469908298,0.27732012583893667,2.481799764238343,-0.8790874175908622,2.7784964580060483,-0.9454575826213504,0.23097344760866417,-0.8847687857043688,2.071969990755532,5.177343476241199,-2.2094251485807144,4.882077687636932,5.020225608604589,2.8820006284631026,-3.779438190638195,-2.3727504773956603,-0.5465467843402999,-6.332280428122194,-6.590966245855247,-9.40110644765281,0.0,-0.8085815346714055,-0.6180560844956864,-0.8306333609009061,-0.07392136987801445
Corenflos DPF,20,0,2,5.0569739900529385,-6202.67682843091,2021.591959515061,21.43159679286575,78.00906902357144,86,0.0,0.0199203187250996,-6202.67682843091,0,11.752662459025336,0.42305726107487485,16.40733951613059,-0.009549448411019162,1.251472207490681,0.4211407590313237,2.087720703227211,5.186713818329102,-2.1921597553677663,4.9017153656110946,5.039810585651527,2.9006819655015605,-3.7946293611948767,-2.390725037566835,-0.5622102147840501,-6.326171965421948,-6.57184804368063,-9.396301466451776,0.30015188073449395,0.13530700748751306,0.1589408736528316,0.1288749553851826,0.2767252827399789,2.464079807179495,-0.8602477401260762,2.797728766189189,-0.9549448411019161,0.22432062428448,-0.8647881566879648,2.087720703227211,5.186713818329102,-2.1921597553677663,4.9017153656110946,5.039810585651527,2.9006819655015605,-3.7946293611948767,-2.390725037566835,-0.5622102147840501,-6.326171965421948,-6.57184804368063,-9.396301466451776,0.0,-0.7967422896035513,-0.6357563464171428,-0.8454460195098957,-0.08126336065273956
Corenflos DPF,20,0,3,6.424274586024694,-6182.8318592464275,2008.657705657445,20.540556041800677,75.87371255460057,81,0.0,0.019880715705765408,-6182.8318592464275,0,11.556850001343186,0.4308803947857235,16.72018790771334,-0.009664895198931843,1.2481218747917981,0.4296369706213289,2.0996233142024847,5.187078351414187,-2.176031034663743,4.921309440141175,5.0593982646992055,2.9191259841067727,-3.8119101774387985,-2.4095329856468273,-0.579755457099814,-6.326233829829597,-6.552803599636354,-9.399760765930617,0.301469767364549,0.13732369880183506,0.1568372684737822,0.1275907584149681,0.27677850694486567,2.4472783348784612,-0.8419247336880122,2.8166168460930057,-0.9664895198931843,0.22163992126236265,-0.8448146812469636,2.0996233142024847,5.187078351414187,-2.176031034663743,4.921309440141175,5.0593982646992055,2.9191259841067727,-3.8119101774387985,-2.4095329856468273,-0.579755457099814,-6.326233829829597,-6.552803599636354,-9.399760765930617,0.0,-0.7863288331934457,-0.6534609757908492,-0.8598417949855597,-0.08545216465020498
Corenflos DPF,20,0,4,7.775101221050136,-6165.989674971183,1904.5602766253833,17.67427345523081,76.49344550046335,79,0.0,0.01984126984126984,-6165.989674971183,0,11.356254991240403,0.4390642483379331,17.04459056766039,-0.009813966964891493,1.243458732617166,0.43828390975766135,2.112737705591889,5.191633022857319,-2.1589208460284675,4.940911533879666,5.079003177920992,2.9378724471694357,-3.828150141343951,-2.4282934447772138,-0.5977273623352966,-6.327935341883857,-6.533860889767594,-9.403193898079751,0.3031215442503082,0.13996949647487106,0.154809316551573,0.12621690443500294,0.27588273828824483,2.429768692677088,-0.8231095250482657,2.8358328846302236,-0.9813966964891494,0.217896797234697,-0.8248883828000997,2.112737705591889,5.191633022857319,-2.1589208460284675,4.940911533879666,5.079003177920992,2.9378724471694357,-3.828150141343951,-2.4282934447772138,-0.5977273623352966,-6.327935341883857,-6.533860889767594,-9.403193898079751,0.0,-0.7727093446682548,-0.6719397174291061,-0.8761319705145298,-0.09415794705185604
Corenflos DPF,20,0,5,9.04229240398854,-6153.7335377467525,2120.055985395969,31.293872990196363,71.15106786407313,68,0.0,0.019801980198019802,-6153.7335377467525,0,11.155017385825067,0.4474567541193245,17.378090313414997,-0.0099790374206783,1.2347611478063925,0.4470879374483993,2.127932708200955,5.201967390138752,-2.141085990629516,4.960507971602618,5.0985936689107625,2.9568170792507784,-3.843544987760488,-2.446907630525862,-0.6160507841388991,-6.331164790616627,-6.514821383629742,-9.41010735156156,0.3050599907638714,0.14310487095983518,0.15287104821029562,0.12482210090064597,0.2741419891653518,2.411889386451194,-0.8041753847765588,2.855210235400575,-0.9979037420678302,0.21087754878933168,-0.8049999756445162,2.127932708200955,5.201967390138752,-2.141085990629516,4.960507971602618,5.0985936689107625,2.9568170792507784,-3.843544987760488,-2.446907630525862,-0.6160507841388991,-6.331164790616627,-6.514821383629742,-9.41010735156156,0.0,-0.7569307234594608,-0.6909137044321336,-0.8936189174886593,-0.10686226749833776
Corenflos DPF,20,0,6,10.309142824960873,-6140.602995972471,1925.7995163344704,22.44697772909568,76.17858001248018,68,0.0,0.019762845849802372,-6140.602995972471,0,10.950759187537868,0.4561588512654264,17.719756546767965,-0.01,1.2208511981319166,0.45598167003639933,2.1444407045784137,5.215221533081986,-2.1226005572930307,4.980217660269814,5.118347036960663,2.975981044608114,-3.855777065540713,-2.4645075883354615,-0.6330628914672601,-6.3294533250805936,-6.4955199915906,-9.40929702899113,0.3056531040430755,0.14683847473547393,0.15130841178624388,0.12369433931259077,0.27250567012261584,2.3934087860543833,-0.7849141720921089,2.8746802061868424,-1.0,0.19954831885012647,-0.7853026675642816,2.1444407045784137,5.215221533081986,-2.1226005572930307,4.980217660269814,5.118347036960663,2.975981044608114,-3.855777065540713,-2.4645075883354615,-0.6330628914672601,-6.3294533250805936,-6.4955199915906,-9.40929702899113,0.0,-0.7331176406509359,-0.7031305959851643,-0.9046372950372734,-0.11479139029437302
Corenflos DPF,20,0,7,11.537491315975785,-6130.508905949046,1928.1324166072484,37.16127545031475,72.89857344581536,63,0.0,0.01972386587771203,-6130.508905949046,0,10.74546203760291,0.465141131351738,18.07082108330723,-0.01,1.2057865883690995,0.4650112489473923,2.1619165253574755,5.230089700367515,-2.1037988637909417,4.999926573604264,5.13816585363663,2.9954408224074385,-3.866115068107796,-2.4812426339409637,-0.6493263073457592,-6.3258001941347,-6.476210372102449,-9.406005087079892,0.30540068688034566,0.15102086208399465,0.1499571252982884,0.12270758936454387,0.27091373637282734,2.3744835294122337,-0.7654144111607949,2.8942985426037597,-1.0,0.18713212441146046,-0.7656936824026706,2.1619165253574755,5.230089700367515,-2.1037988637909417,4.999926573604264,5.13816585363663,2.9954408224074385,-3.866115068107796,-2.4812426339409637,-0.6493263073457592,-6.3258001941347,-6.476210372102449,-9.406005087079892,0.0,-0.7042066551306149,-0.7112752200051011,-0.9118204390832337,-0.11982418766005547
Corenflos DPF,20,0,8,12.7351084620459,-6120.08645992921,1879.3046485504487,32.606817751185964,76.39481991379807,59,0.0,0.01968503937007874,-6120.08645992921,0,10.540099149620351,0.4743640392403526,18.428859221373163,-0.01,1.1903186944347615,0.474160902728157,2.1801363905628226,5.246342100797726,-2.0846479340087622,5.0197040608224475,5.1580878530210805,3.0151540611255654,-3.8718230158402345,-2.49691553666164,-0.6648538929129311,-6.319591778369158,-6.456785974879266,-9.398644352675152,0.3048139405351398,0.15547549688289788,0.1486859194131849,0.12175585552018735,0.2692687876485901,2.355186950053824,-0.7457802367848694,2.91391787184808,-1.0,0.17422108171800046,-0.7462085576572328,2.1801363905628226,5.246342100797726,-2.0846479340087622,5.0197040608224475,5.1580878530210805,3.0151540611255654,-3.8718230158402345,-2.49691553666164,-0.6648538929129311,-6.319591778369158,-6.456785974879266,-9.398644352675152,0.0,-0.6732134165433791,-0.7178654016839824,-0.9176837040025946,-0.12399146811765879
Corenflos DPF,20,0,9,13.902576358057559,-6113.15826293863,1889.270015649833,30.46504138426327,75.3412991523686,55,0.0,0.019646365422396856,-6113.15826293863,0,10.335719447939125,0.48387223199778034,18.797522656343247,-0.01,1.1734219479343344,0.4834300415143974,2.198905085747517,5.263659781051115,-2.0651508917209487,5.039549240435066,5.178066524345685,3.035020843243914,-3.8721150219117115,-2.510739481659362,-0.67870917523236,-6.310696238649092,-6.437318036768219,-9.38825700049719,0.30385317357153196,0.16025285225956637,0.1474819355021773,0.1208348781382589,0.2675771605284655,2.3356058034771188,-0.7259343905909368,2.9337250875542367,-1.0,0.15992422189778827,-0.7268486663582824,2.198905085747517,5.263659781051115,-2.0651508917209487,5.039549240435066,5.178066524345685,3.035020843243914,-3.8721150219117115,-2.510739481659362,-0.67870917523236,-6.310696238649092,-6.437318036768219,-9.38825700049719,0.0,-0.6397917086063835,-0.7228389059524237,-0.9221196329230276,-0.12713662774451703
