method,inference_nstep,start,iteration,elapsed_seconds,pseudo_loglik,gradient_norm,minimum_ess,median_ess,resampling_count,maximum_invalid_fraction,learning_rate,incumbent_pseudo_loglik,restart_count,gamma,m,epsilon,beta_trend,sigma,tau,bs1,bs2,bs3,bs4,bs5,bs6,omegas1,omegas2,omegas3,omegas4,omegas5,omegas6,S_0,I_0,R1_0,R2_0,R3_0,raw_0,raw_1,raw_2,raw_3,raw_4,raw_5,raw_6,raw_7,raw_8,raw_9,raw_10,raw_11,raw_12,raw_13,raw_14,raw_15,raw_16,raw_17,raw_18,raw_19,raw_20,raw_21,raw_22
Corenflos DPF,20,0,0,1.571395091013983,-6234.697812049727,3706.8615473753357,16.891999674797084,78.88521071330598,99,0.0,0.02,-6234.697812049727,0,12.204439319925953,0.40694085741223185,15.776105071350697,-0.009654575819763804,1.285275956517952,0.4046354317852725,2.0519699908305746,5.157343476386535,-2.22942514844895,4.8620776876508796,5.000225608613919,2.862000628488265,-3.7594382581790438,-2.3527504780275645,-0.5265467864596349,-6.352280427453167,-6.610966241633912,-9.421106416727302,0.30016229191247606,0.12847598067816407,0.16178485054093505,0.1308026974351881,0.27877417943323657,2.501799764233874,-0.899087417582029,2.7584964580403506,-0.9654575819763804,0.25097344744528827,-0.904768785701927,2.0519699908305746,5.157343476386535,-2.22942514844895,4.8620776876508796,5.000225608613919,2.862000628488265,-3.7594382581790438,-2.3527504780275645,-0.5265467864596349,-6.352280427453167,-6.610966241633912,-9.421106416727302,0.0,-0.8485813353537146,-0.6180559319568264,-0.8306332400209862,-0.07392124005080869
Corenflos DPF,20,0,1,3.676836299011484,-6229.538894615594,3023.2329675885203,14.489521475701716,77.23242383886915,87,0.0,0.01996007984031936,-6229.538894615594,0,11.96277522987875,0.41516160804030566,16.094803533704052,-0.009454575820997806,1.2598257874620107,0.4128096097282155,2.0719699907976437,5.177343476338422,-2.20942514852898,4.882077687639224,5.0202256086060215,2.8820006284709567,-3.739438258991057,-2.3327504783674136,-0.5065467866073918,-6.332280427694615,-6.590966244266506,-9.401106424715161,0.2985966945943838,0.13302171952382297,0.16094100280674845,0.1301204506043269,0.27732013247071785,2.4817997642367606,-0.8790874175899542,2.7784964580098546,-0.9454575820997806,0.23097344748501064,-0.8847687857053776,2.0719699907976437,5.177343476338422,-2.20942514852898,4.882077687639224,5.0202256086060215,2.8820006284709567,-3.739438258991057,-2.3327504783674136,-0.5065467866073918,-6.332280427694615,-6.590966244266506,-9.401106424715161,0.0,-0.8085813957872138,-0.6180559597325997,-0.8306332507769283,-0.07392126361062687
Corenflos DPF,20,0,2,5.065192056004889,-6222.494616857649,2900.752568114039,21.81819039084662,74.04892634644467,84,0.0,0.0199203187250996,-6222.494616857649,0,11.727430972617391,0.4235031508925826,16.419639631752762,-0.00935853430909246,1.2351590042485625,0.4211396263873743,2.0919498072150216,5.197241324825218,-2.1896659009684742,4.901944038381659,5.040075733312139,2.901887201621305,-3.7200610729398385,-2.317033315103644,-0.48898777464466303,-6.312960590979015,-6.571147414306458,-9.381190706473827,0.2969895264117197,0.1376989640984446,0.1600716096024534,0.12941760554432122,0.27582229434306094,2.461930625261341,-0.8591943247935435,2.7984781568743564,-0.935853430909246,0.21119971017198205,-0.8647908461580487,2.0919498072150216,5.197241324825218,-2.1896659009684742,4.901944038381659,5.040075733312139,2.901887201621305,-3.7200610729398385,-2.317033315103644,-0.48898777464466303,-6.312960590979015,-6.571147414306458,-9.381190706473827,0.0,-0.768626990754685,-0.6180755984498338,-0.8306524455506173,-0.07394007630015857
Corenflos DPF,20,0,3,6.384769472992048,-6214.089053591115,3235.5663998116324,24.681664957205406,74.21616347829693,75,0.0,0.019880715705765408,-6214.089053591115,0,11.49728118303738,0.43199808625060293,16.749097444801098,-0.009266594857132902,1.2117654140287195,0.4296348069805927,2.111858178099266,5.217084789117968,-2.170091806955358,4.921660834795067,5.059856481336561,2.9217543805253743,-3.7004692553219454,-2.301245852505996,-0.4727286876969601,-6.29421121730479,-6.5516989171517,-9.361330068046342,0.29550005652351846,0.14231827212621703,0.1591462654017042,0.12868846855095098,0.2743469373976093,2.442110588551544,-0.8393341207232953,2.8183443729268145,-0.9266594857132902,0.1920783161317811,-0.8448197172339297,2.111858178099266,5.217084789117968,-2.170091806955358,4.921660834795067,5.059856481336561,2.9217543805253743,-3.7004692553219454,-2.301245852505996,-0.4727286876969601,-6.29421121730479,-6.5516989171517,-9.361330068046342,0.0,-0.7306031256089571,-0.6188453405762566,-0.8312745169879767,-0.07427552780592675
Corenflos DPF,20,0,4,7.696442373096943,-6207.576994365027,2633.7531219756424,21.95357899598199,73.4564419329815,74,0.0,0.01984126984126984,-6207.576994365027,0,11.271202429766936,0.4406897281960655,17.086198649952813,-0.009239220221926046,1.1887393499364793,0.43823412015230917,2.131757581239673,5.236987269221981,-2.1503895830080726,4.941356553432691,5.079587332845232,2.9416086121154352,-3.6807382308050083,-2.2839256210979757,-0.4552698200323903,-6.27519648578026,-6.5323032946866855,-9.341524272383726,0.29390991150279294,0.14713830368463046,0.1582078985309991,0.1279407874300314,0.272803098851546,2.4222510153299543,-0.819414215333977,2.8382710411368963,-0.9239220221926047,0.1728933757933594,-0.8250019905154158,2.131757581239673,5.236987269221981,-2.1503895830080726,4.941356553432691,5.079587332845232,2.9416086121154352,-3.6807382308050083,-2.2839256210979757,-0.4552698200323903,-6.27519648578026,-6.5323032946866855,-9.341524272383726,0.0,-0.6919003110646049,-0.6193633153311605,-0.8317057382363534,-0.07452301159025486
Corenflos DPF,20,0,5,8.923135563032702,-6200.517151734511,2587.184754797179,31.631335984395275,72.3086785978098,63,0.0,0.019801980198019802,-6200.517151734511,0,11.05062400168361,0.44942753682958975,17.420869607258997,-0.00913739150749498,1.1658903848934683,0.4470233423981794,2.1516389904899498,5.25695273183725,-2.130723768999517,4.961029404558108,5.099335903337685,2.9614295843998772,-3.660897852014622,-2.265743884693659,-0.4381953296533683,-6.256616205340325,-6.513067715847413,-9.32173805832231,0.2924536705626219,0.1517571216342704,0.15725100430532457,0.12720045019934295,0.27133775329844007,2.402486897109948,-0.7997806464539404,2.8576688902277034,-0.913739150749498,0.15348507398380087,-0.8051444656018364,2.1516389904899498,5.25695273183725,-2.130723768999517,4.961029404558108,5.099335903337685,2.9614295843998772,-3.660897852014622,-2.265743884693659,-0.4381953296533683,-6.256616205340325,-6.513067715847413,-9.32173805832231,0.0,-0.6560249040047516,-0.6204629806483101,-0.8325420726850256,-0.07494189588835078
Corenflos DPF,20,0,6,10.120035420986824,-6193.073682496844,2173.223811257931,32.56088729220216,73.22979584013726,59,0.0,0.019762845849802372,-6193.073682496844,0,10.835017292931319,0.45827308242152803,17.75430453326134,-0.009009392127745658,1.1437503719820494,0.4559856975562828,2.171288618015715,5.276053306565088,-2.1113144244695228,4.980731596540661,5.119144073534258,2.9812858128292268,-3.642079101904344,-2.2486713188510308,-0.42080375810117054,-6.237949613705895,-6.493836799178394,-9.30214318012008,0.2908976556851037,0.15656954051285643,0.15628357226478087,0.12644289053135327,0.2698063410059057,2.3827832310120898,-0.7802900227255906,2.8766279954370226,-0.9009392127745657,0.13431266283774823,-0.7852938349677948,2.171288618015715,5.276053306565088,-2.1113144244695228,4.980731596540661,5.119144073534258,2.9812858128292268,-3.642079101904344,-2.2486713188510308,-0.42080375810117054,-6.237949613705895,-6.493836799178394,-9.30214318012008,0.0,-0.6194712470227015,-0.6212993786029202,-0.8331807586549431,-0.07526706052051159
Corenflos DPF,20,0,7,11.269674031995237,-6185.56015805443,3342.4380853283797,31.724957443566744,75.18030031032897,53,0.0,0.01972386587771203,-6185.56015805443,0,10.625816690597171,0.4671776839817211,18.090729170631697,-0.008870397205790822,1.1225067979764929,0.46516456460036587,2.1909330258298834,5.295326559893565,-2.0924810712727946,5.000157554967645,5.138825416418087,3.0010198308160936,-3.6229043279746524,-2.2319717245406556,-0.40632052114085654,-6.220584778293693,-6.475162573114731,-9.282551293713974,0.28918554263513335,0.16156900888115272,0.1553184148556674,0.12568404082446388,0.2682429928035825,2.363286576853899,-0.7610456140590084,2.8953996065347,-0.8870397205790822,0.11556439671971414,-0.7653640336370738,2.1909330258298834,5.295326559893565,-2.0924810712727946,5.000157554967645,5.138825416418087,3.0010198308160936,-3.6229043279746524,-2.2319717245406556,-0.40632052114085654,-6.220584778293693,-6.475162573114731,-9.282551293713974,0.0,-0.5821361471768789,-0.6215911990033014,-0.8332973530258002,-0.07517523886505734
Corenflos DPF,20,0,8,12.421010527992621,-6165.205717874275,2479.4617226464275,33.78155763133957,79.20531391615512,53,0.0,0.01968503937007874,-6165.205717874275,0,10.509691493806901,0.47429546255751465,18.38173035690705,-0.00891511215436837,1.1083690055908326,0.47430239486906994,2.1999651239722677,5.303417975518813,-2.0804249944157185,5.015222551826647,5.153089953625346,3.0128147964362624,-3.619767342559263,-2.2347625311933736,-0.4072470287519644,-6.212543765699079,-6.461669570345484,-9.276949693081571,0.2873844483630183,0.16675330411473618,0.1543510275094509,0.12490717484956278,0.26660404516323183,2.3522978308716316,-0.7459248127530169,2.91135725596243,-0.891511215436837,0.10288957041725383,-0.7459101968406971,2.1999651239722677,5.303417975518813,-2.0804249944157185,5.015222551826647,5.153089953625346,3.0128147964362624,-3.619767342559263,-2.2347625311933736,-0.4072470287519644,-6.212543765699079,-6.461669570345484,-9.276949693081571,0.0,-0.5443053613286438,-0.6215914527733588,-0.833250000475144,-0.07505627992418797
Corenflos DPF,20,0,9,13.533626020071097,-6149.270104590894,2567.9197423927776,34.28962102965464,75.55626399875752,48,0.0,0.019646365422396856,-6149.270104590894,0,10.379944336043753,0.481933268886557,18.68662723585894,-0.00893426480870741,1.0934488846027857,0.48359151113445653,2.210127979055187,5.313142696025046,-2.0667588255423506,5.031251319024857,5.168437551514269,3.0258788220298047,-3.6141808672541553,-2.232920485295988,-0.40388097104405546,-6.202407672535468,-6.447189583262374,-9.269852506874706,0.28553497751209794,0.17207417779924136,0.15336523882582906,0.12411068206980157,0.26491492379303005,2.339875515107155,-0.7299496208095596,2.927808146962432,-0.8934264808707412,0.08933681528014484,-0.726514713880972,2.210127979055187,5.313142696025046,-2.0667588255423506,5.031251319024857,5.168437551514269,3.0258788220298047,-3.6141808672541553,-2.232920485295988,-0.40388097104405546,-6.202407672535468,-6.447189583262374,-9.269852506874706,0.0,-0.5064388846496236,-0.6215422763007429,-0.8331907699551266,-0.07495580261850317
