method,inference_nstep,start,iteration,elapsed_seconds,pseudo_loglik,gradient_norm,minimum_ess,median_ess,resampling_count,maximum_invalid_fraction,learning_rate,incumbent_pseudo_loglik,restart_count,gamma,m,epsilon,beta_trend,sigma,tau,bs1,bs2,bs3,bs4,bs5,bs6,omegas1,omegas2,omegas3,omegas4,omegas5,omegas6,S_0,I_0,R1_0,R2_0,R3_0,raw_0,raw_1,raw_2,raw_3,raw_4,raw_5,raw_6,raw_7,raw_8,raw_9,raw_10,raw_11,raw_12,raw_13,raw_14,raw_15,raw_16,raw_17,raw_18,raw_19,raw_20,raw_21,raw_22
Corenflos DPF,20,0,0,2.3122943439520895,-6232.487272772244,12768.597785184054,26.89603172347721,193.28068350751607,100,0.0,0.02,-6232.487272772244,0,12.204439319925953,0.40694085741223185,15.776105071350697,-0.009654575819763804,1.285275956517952,0.4046354317852725,2.0519699908305746,5.157343476386535,-2.22942514844895,4.8620776876508796,5.000225608613919,2.862000628488265,-3.7594382581790438,-2.3527504780275645,-0.5265467864596349,-6.352280427453167,-6.610966241633912,-9.421106416727302,0.30016229191247606,0.12847598067816407,0.16178485054093505,0.1308026974351881,0.27877417943323657,2.501799764233874,-0.899087417582029,2.7584964580403506,-0.9654575819763804,0.25097344744528827,-0.904768785701927,2.0519699908305746,5.157343476386535,-2.22942514844895,4.8620776876508796,5.000225608613919,2.862000628488265,-3.7594382581790438,-2.3527504780275645,-0.5265467864596349,-6.352280427453167,-6.610966241633912,-9.421106416727302,0.0,-0.8485813353537146,-0.6180559319568264,-0.8306332400209862,-0.07392124005080869
Corenflos DPF,20,0,1,5.146006622933783,-6227.352452706993,10924.376857093466,30.374874513191916,199.33548745653997,95,0.0,0.01996007984031936,-6227.352452706993,0,11.962775229871763,0.41516160804072555,16.094803533753726,-0.009454575820543288,1.2598257874561862,0.41280960972487263,2.071969990805895,5.177343476351932,-2.2094251485129264,4.882077687639295,5.020225608605979,2.8820006284729667,-3.7394382586818273,-2.3327504781562562,-0.5065467865272489,-6.332280427607727,-6.590966243824373,-9.401106422447944,0.2985966913373642,0.13302172077816327,0.160941003919115,0.13012045096569255,0.277320132999665,2.4817997642361767,-0.8790874175889428,2.778496458012941,-0.9454575820543287,0.23097344748038745,-0.8847687857134755,2.071969990805895,5.177343476351932,-2.2094251485129264,4.882077687639295,5.020225608605979,2.8820006284729667,-3.7394382586818273,-2.3327504781562562,-0.5065467865272489,-6.332280427607727,-6.590966243824373,-9.401106422447944,0.0,-0.8085813754498686,-0.6180559419132029,-0.8306332370920106,-0.07392125079551966
Corenflos DPF,20,0,2,7.263861048966646,-6222.115815720531,9703.813361415077,42.404479173448394,193.0367151115191,90,0.0,0.0199203187250996,-6222.115815720531,0,11.726348288986038,0.4234548614123764,16.416931279189747,-0.00925789865060252,1.2349131200980836,0.42114253077425867,2.091957173416604,5.197330660255475,-2.1894614527223095,4.902057206768803,5.0402022108653215,2.9019738777234085,-3.7194695820071293,-2.312790493224083,-0.4866052120977062,-6.312312227774709,-6.570979674695885,-9.381149003201411,0.29699621320323333,0.13759323761524353,0.16009716196304946,0.12944207779623265,0.2758713094222409,2.461838300385248,-0.8593083551930603,2.798313197349411,-0.925789865060252,0.21100061950667923,-0.8647839496878821,2.091957173416604,5.197330660255475,-2.1894614527223095,4.902057206768803,5.0402022108653215,2.9019738777234085,-3.7194695820071293,-2.312790493224083,-0.4866052120977062,-6.312312227774709,-6.570979674695885,-9.381149003201411,0.0,-0.7694176095104313,-0.6179384953701856,-0.8304858831867414,-0.07378490179383027
Corenflos DPF,20,0,3,9.256469549960457,-6215.6843074515045,8717.550768699619,38.28227522401831,189.10875790412638,81,0.0,0.019880715705765408,-6215.6843074515045,0,11.495061066910468,0.4319290719788184,16.74585110727325,-0.00906123751875101,1.2108793655961643,0.4296448756142723,2.1119117451910037,5.217287658835438,-2.1695596024527424,4.921922106071631,5.060104148985891,2.9219110062402054,-3.699635355608147,-2.2929022668904517,-0.46676070438014094,-6.292504861985855,-6.551220532923114,-9.361312888432288,0.2953455849620618,0.14234187812763047,0.15921842292766425,0.12873387322062047,0.2743602407620228,2.4419174706769335,-0.8394938894521145,2.8181505325014164,-0.9061237518751011,0.19134684408147148,-0.8447962821780707,2.1119117451910037,5.217287658835438,-2.1695596024527424,4.921922106071631,5.060104148985891,2.9219110062402054,-3.699635355608147,-2.2929022668904517,-0.46676070438014094,-6.292504861985855,-6.551220532923114,-9.361312888432288,0.0,-0.7299143887045658,-0.6178691565242598,-0.8303988699869977,-0.07370415497544112
Corenflos DPF,20,0,4,11.18014711199794,-6209.949660837028,7655.5235768232615,70.66766184548831,183.46450046729927,76,0.0,0.01984126984126984,-6209.949660837028,0,11.268732031663392,0.4405108962431504,17.079625061527583,-0.008875954383239638,1.18717666813673,0.43832767149658747,2.1318999399191627,5.237250971295945,-2.1496532871362573,4.9416998288691385,5.079908242428005,2.94180466492266,-3.679761039080792,-2.2729799320044473,-0.44714769883054867,-6.272963289630678,-6.5316471140675505,-9.341412309754565,0.29364407553433003,0.1472424463301898,0.15831189684555325,0.12800226789796773,0.2727993133919592,2.4220318134402894,-0.8198200978320381,2.837886236218282,-0.8875954383239638,0.17157794038806976,-0.8247885398596269,2.1318999399191627,5.237250971295945,-2.1496532871362573,4.9416998288691385,5.079908242428005,2.94180466492266,-3.679761039080792,-2.2729799320044473,-0.44714769883054867,-6.272963289630678,-6.5316471140675505,-9.341412309754565,0.0,-0.6902878835541282,-0.6178012886462327,-0.8303204247875319,-0.07363199742856633
Corenflos DPF,20,0,5,12.976741718011908,-6203.4943445555655,8763.44589459566,79.8498524981137,183.03532833994757,67,0.0,0.019801980198019802,-6203.4943445555655,0,11.04722418959274,0.449147212873775,17.41394067465787,-0.008692848963495028,1.1640452156837529,0.4472013003991134,2.1519205082190473,5.257269203704674,-2.1298268529575566,4.961328376502819,5.09964653392237,2.961705447254969,-3.659823481416485,-2.253075262894044,-0.4277461138810926,-6.253708724885234,-6.512356383146149,-9.321545159577619,0.2919063666405739,0.15225698596221107,0.15738309775423773,0.12725285983660067,0.27120068980637674,2.402179191844868,-0.8004045766611962,2.857271073639272,-0.8692848963495028,0.15190119364392993,-0.8047464492762595,2.1519205082190473,5.257269203704674,-2.1298268529575566,4.961328376502819,5.09964653392237,2.961705447254969,-3.659823481416485,-2.253075262894044,-0.4277461138810926,-6.253708724885234,-6.512356383146149,-9.321545159577619,0.0,-0.6508632983087541,-0.6177501424645715,-0.8302569593192991,-0.07357398905850993
Corenflos DPF,20,0,6,14.702871665009297,-6196.922554447348,8575.727777703336,78.2763970178577,184.4346861099773,62,0.0,0.019762845849802372,-6196.922554447348,0,10.830353105852211,0.4579467630553658,17.753106798522143,-0.008508532537606535,1.1419173369312898,0.45619703053736743,2.171897811435752,5.277279353437393,-2.1100288584937488,4.9808307937221805,5.119289402279017,2.9815675988677914,-3.640020456818292,-2.233111841217564,-0.4082803740530502,-6.234620197280074,-6.493360733019537,-9.301873619342388,0.29011050222623536,0.1574255192923287,0.1564276517288166,0.12648104967271318,0.26955527707990606,2.3823526648998734,-0.7810023394944773,2.8765605315079594,-0.8508532537606535,0.13270872414045948,-0.784830478277612,2.171897811435752,5.277279353437393,-2.1100288584937488,4.9808307937221805,5.119289402279017,2.9815675988677914,-3.640020456818292,-2.233111841217564,-0.4082803740530502,-6.234620197280074,-6.493360733019537,-9.301873619342388,0.0,-0.6113094395275156,-0.6176682787429836,-0.8301694005749225,-0.07348841348643938
Corenflos DPF,20,0,7,16.358953146031126,-6190.53564618804,8670.261044761704,90.0865011381948,186.79423077809685,57,0.0,0.01972386587771203,-6190.53564618804,0,10.618071396132326,0.46693003129667815,18.100542211959013,-0.00833236980942872,1.120397792868698,0.46532038087508876,2.191894410880633,5.297338793032084,-2.090257747988024,5.000214393770081,5.138816412567169,3.001363511195786,-3.620183611567955,-2.213120385585564,-0.38887093484198143,-6.21573776959015,-6.4746826712702825,-9.282239645832702,0.28827033326990137,0.16272797888345122,0.15544970704840885,0.1256887739893353,0.2678632068089032,2.36255739820483,-0.7615758584554411,2.895941894284918,-0.833236980942872,0.11368379445248103,-0.7650291195109786,2.191894410880633,5.297338793032084,-2.090257747988024,5.000214393770081,5.138816412567169,3.001363511195786,-3.620183611567955,-2.213120385585564,-0.38887093484198143,-6.21573776959015,-6.4746826712702825,-9.282239645832702,0.0,-0.5718187315256718,-0.6175764450959644,-0.8300898934126575,-0.07342226921374473
Corenflos DPF,20,0,8,17.94293922302313,-6182.646919539807,7752.731203315471,89.20570385567676,193.45583692968597,52,0.0,0.01968503937007874,-6182.646919539807,0,10.410277387564383,0.4760997956885201,18.452662198754997,-0.008153282620615248,1.0996642805564605,0.4745522288733165,2.211837494673597,5.317366633127048,-2.0705543926620242,5.019461938780281,5.1582871096910115,3.021137851349746,-3.6004235311227326,-2.193159964676355,-0.36948709378560257,-6.197001966244192,-6.456308292988844,-9.262702364970497,0.2863717286188402,0.16822627553387948,0.15443268725673012,0.12486468407861824,0.26610462451193206,2.3427935285316592,-0.7421277919173995,2.915208652692805,-0.8153282620615249,0.0950049337273542,-0.7453835956021753,2.211837494673597,5.317366633127048,-2.0705543926620242,5.019461938780281,5.1582871096910115,3.021137851349746,-3.6004235311227326,-2.193159964676355,-0.36948709378560257,-6.197001966244192,-6.456308292988844,-9.262702364970497,0.0,-0.5319807659366785,-0.6175323970760418,-0.8300600937157152,-0.07340116060857128
Corenflos DPF,20,0,9,19.48555319593288,-6175.618163254688,7455.927483589675,88.34495110481792,193.21376778497847,49,0.0,0.019646365422396856,-6175.618163254688,0,10.206937078569426,0.4854773685505033,18.811934713996862,-0.007969354663928884,1.0796573257625393,0.4839392579234361,2.2317651825816616,5.337424569076659,-2.050910466416491,5.0385823299991,5.177663194604762,3.0408286091686993,-3.5805555639212567,-2.173117280024493,-0.350146723726933,-6.1784910238086805,-6.438248238007974,-9.243097941546152,0.2844895036425426,0.17370252842438824,0.1534119805605088,0.12404016399103233,0.26435582338152797,2.323067594865222,-0.7226226070633064,2.9344914936322155,-0.7969354663928884,0.07664369982808963,-0.725795880299499,2.2317651825816616,5.337424569076659,-2.050910466416491,5.0385823299991,5.177663194604762,3.0408286091686993,-3.5805555639212567,-2.173117280024493,-0.350146723726933,-6.1784910238086805,-6.438248238007974,-9.243097941546152,0.0,-0.49335212942218376,-0.6175693728177725,-0.8300909425217451,-0.07340034733797071
