particles,parameter_set,replicate,includes_compilation,elapsed_seconds,pseudo_loglik,gradient_norm,resampling_count,minimum_ess,maximum_invalid_fraction
25,reference,0,True,8.33173294889275,-3895.338151332227,474.6266505193449,426,1.0000003353634357,0.0
25,reference,1,False,4.474473173962906,-3902.645629534189,572.1388552049659,423,1.0000000000000355,0.0
25,reference,2,False,4.511537458980456,-3955.7921879379082,557.6472174203351,427,1.0000006440587417,0.0
25,box-start-0,0,False,1.6442678900202736,-6233.1363192401095,2295.403025724363,83,4.595977235712801,0.0
25,box-start-0,1,False,1.5934355759527534,-6225.524825054792,2302.2792191969424,77,5.14855389761029,0.0
25,box-start-0,2,False,1.6282643029699102,-6230.462875622696,2342.576876829513,81,2.887223640631419,0.0
50,reference,0,True,7.490253915078938,-3835.0919050839693,359.8329510118226,418,1.0000000568454375,0.02
50,reference,1,False,4.229778026929125,-3828.805683907359,1014.9409071668199,426,1.0410028252983528,0.0
50,reference,2,False,4.194947133073583,-3830.8910234450523,590.2096677083738,422,1.000002292710321,0.0
50,box-start-0,0,False,1.4584333180682734,-6230.711163195868,2160.085459402574,90,4.3915210998803085,0.0
50,box-start-0,1,False,1.474754287977703,-6231.021421564889,2183.5869526808174,92,5.99177156808233,0.0
50,box-start-0,2,False,1.4334302979987115,-6231.099303954927,2221.1018483703574,87,5.817721120331737,0.0
100,reference,0,True,7.723787724971771,-3802.8553463669755,536.4702861441453,424,1.0066726610313457,0.0
100,reference,1,False,4.276304511004128,-3806.9213536771454,880.2071732930863,419,1.0363884456375863,0.0
100,reference,2,False,4.265002892003395,-3827.634433250414,942.4621415335899,417,1.001155348877545,0.0
100,box-start-0,0,False,1.5237699439749122,-6226.004913324001,2581.66945440431,92,12.607337294693105,0.0
100,box-start-0,1,False,1.5498726880177855,-6230.206341871332,2546.966761149831,95,11.277132351357933,0.0
100,box-start-0,2,False,1.5321327100973576,-6231.753965777782,2339.810521694207,93,20.03099261929197,0.0
250,reference,0,True,10.37882195203565,-3802.354656206977,4392.74899513428,423,1.0385578240753102,0.004
250,reference,1,False,6.953361095977016,-3802.322107154524,2259.5881216977605,424,1.4670804283399819,0.0
250,reference,2,False,6.821349331992678,-3797.095789934959,3217.0808823388825,415,1.011042292849293,0.0
250,box-start-0,0,False,2.2488401629962027,-6228.752067621881,6585.385735402544,97,36.3728600590794,0.0
250,box-start-0,1,False,2.247742347070016,-6229.691576629299,6068.077005450186,97,17.61009939579228,0.0
250,box-start-0,2,False,2.2482701051048934,-6228.530139386307,5743.594659734116,97,21.23697330969168,0.0
500,reference,0,True,16.023972668102942,-3785.3891437636366,5460.197780434571,417,2.0757616783813404,0.002
500,reference,1,False,12.280903220991604,-3792.879361846967,2955.766856834439,420,1.0892512674171617,0.002
500,reference,2,False,12.25963782297913,-3786.5937435162286,2545.782436389415,418,2.263217191436155,0.0
500,box-start-0,0,False,3.672927383915521,-6229.762798678738,13786.74318642883,101,48.12584923359748,0.0
500,box-start-0,1,False,3.6451602060114965,-6228.60006935705,13931.60361705736,100,31.516065189677338,0.0
500,box-start-0,2,False,3.6726141000399366,-6229.379684663801,12664.015151922305,101,66.3066128973609,0.0
