method,inference_nstep,start,iteration,elapsed_seconds,pseudo_loglik,complete_pseudologlik,score_norm,minimum_ess,maximum_invalid_fraction,unique_initial_ancestors,accepted_step_size,backtrack_count,gamma,m,epsilon,beta_trend,sigma,tau,bs1,bs2,bs3,bs4,bs5,bs6,omegas1,omegas2,omegas3,omegas4,omegas5,omegas6,S_0,I_0,R1_0,R2_0,R3_0,raw_0,raw_1,raw_2,raw_3,raw_4,raw_5,raw_6,raw_7,raw_8,raw_9,raw_10,raw_11,raw_12,raw_13,raw_14,raw_15,raw_16,raw_17,raw_18,raw_19,raw_20,raw_21,raw_22
DS order-1.5 block Gaussian,20,4,0,7.263312984025106,-11140.428324929115,33288.74774383051,54817992.78485957,1.0000000000801244,0.18999999999999995,1,0.05,0,24.214281062976966,0.3580815985401582,2.381229416753962,-0.009877190622179857,3.7565973442732203,0.23003454753868038,2.080316866412839,4.055784952714765,2.611698907788444,0.009247947093431463,7.146427570857983,4.795752208689171,-0.2199555776744635,-6.918954441448173,-5.019868229624852,-7.2132387623366885,-9.322873336924197,-2.92970793953788,0.019912385694508726,0.1857073088921001,0.15081814906808277,0.31433247010534343,0.3292296862399649,3.1869425856757263,-1.0269943896701548,0.8676169159726648,-0.9877190622179857,1.3235135860473561,-1.4695257746489223,2.080316866412839,4.055784952714765,2.611698907788444,0.009247947093431463,7.146427570857983,4.795752208689171,-0.2199555776744635,-6.918954441448173,-5.019868229624852,-7.2132387623366885,-9.322873336924197,-2.92970793953788,-2.8054137068199188,-0.572583815466283,-0.7806808414083362,-0.0463043939076877,0.0
DS order-1.5 block Gaussian,20,4,1,12.69512254599249,-9076.060774322043,34233.58516893208,91762312.08593109,1.000000000769571,0.21999999999999997,1,0.05,0,23.03333664053905,0.37644083468440354,2.5033176596589746,-0.01,3.9492002684782572,0.24182865690450123,2.130315846251955,4.105784270279143,2.661697197960989,0.059242380631347576,7.096430919221178,4.745808417701754,-0.16995662660039046,-6.86895668707774,-4.969872392208853,-7.163243381633289,-9.27289543113115,-2.8797111209720043,0.01870552711321411,0.17445187751427377,0.15657762601283104,0.3251324846798405,0.3251324846798405,3.1369425856889652,-0.9769943896834048,0.9176169159667514,-1.0,1.373513094738103,-1.4195258329168285,2.130315846251955,4.105784270279143,2.661697197960989,0.059242380631347576,7.096430919221178,4.745808417701754,-0.16995662660039046,-6.86895668707774,-4.969872392208853,-7.163243381633289,-9.27289543113115,-2.8797111209720043,-2.855413696693145,-0.6225838143809671,-0.7306808445657275,0.0,0.0
DS order-1.5 block Gaussian,20,4,2,17.868629523029085,-8304.299986848768,34620.186891380654,15588190.027959961,1.0000000789524282,0.17999999999999994,1,0.05,0,22.036510851520497,0.39347082998555893,2.487555520313297,-0.01,4.140880989194782,0.25329047609327593,2.176425219555952,4.152354346879864,2.7090030645803838,0.06594209744688133,7.049069869461048,4.702033534956472,-0.12485386225491907,-6.82297961729336,-4.923876007346254,-7.11593332190875,-9.227817471289647,-2.835536418972857,0.01842930017912739,0.17187660515657893,0.15895653947339886,0.3253687775954474,0.3253687775954474,3.092700661930272,-0.9327483435152151,0.9113005095254678,-1.0,1.42090856452107,-1.3732183219973055,2.176425219555952,4.152354346879864,2.7090030645803838,0.06594209744688133,7.049069869461048,4.702033534956472,-0.12485386225491907,-6.82297961729336,-4.923876007346254,-7.11593332190875,-9.227817471289647,-2.835536418972857,-2.8710174402093185,-0.6381824318675723,-0.71632841112595,0.0,0.0
DS order-1.5 block Gaussian,20,4,3,23.044417213997804,-7407.287277512205,35141.9641940921,47454525.47178825,1.0000003282732162,0.25,1,0.05,0,21.03289644564487,0.4122457642149125,2.518097704855777,-0.009785787299583647,4.316541198478644,0.26448746765538583,2.220411512969509,4.195161774892034,2.753606705699503,0.03547885364267781,7.009155816190304,4.66602811989058,-0.07954479537349524,-6.779081048557299,-4.878996947158787,-7.070498863116665,-9.183475798548438,-2.7893508473112365,0.01791718831610931,0.167106679044259,0.16356149337736403,0.32570731963113386,0.32570731963113386,3.0460877094578596,-0.8861355923922737,0.9235037374332065,-0.9785787299583646,1.4624544330655098,-1.3299614100713926,2.220411512969509,4.195161774892034,2.753606705699503,0.03547885364267781,7.009155816190304,4.66602811989058,-0.07954479537349524,-6.779081048557299,-4.878996947158787,-7.070498863116665,-9.183475798548438,-2.7893508473112365,-2.900238692333521,-0.6673667804218518,-0.6888101596564288,0.0,0.0
DS order-1.5 block Gaussian,20,4,4,28.218812507984694,-6559.7752509295615,35507.39386173535,27871085.341010626,1.0000005808940224,0.29999999999999993,1,0.05,0,20.328300570776424,0.4265344591625368,2.580142218041401,-0.009502796638478205,4.488418161787175,0.27568065012241233,2.261678174562737,4.236639155401219,2.795436902740227,0.013459240787913378,6.9794740895099645,4.630464568091866,-0.03799123906115895,-6.737697128022778,-4.837922030942511,-7.0287926179977305,-9.144951192283738,-2.748525815520971,0.017355559162061177,0.1618690069214251,0.1691537250080375,0.3258108544542381,0.3258108544542381,3.0120140319561903,-0.852062120091332,0.9478445206861551,-0.9502796638478205,1.5015003371837703,-1.2885121479551085,2.261678174562737,4.236639155401219,2.795436902740227,0.013459240787913378,6.9794740895099645,4.630464568091866,-0.03799123906115895,-6.737697128022778,-4.837922030942511,-7.0287926179977305,-9.144951192283738,-2.748525815520971,-2.9324041440537547,-0.699529603035108,-0.6555090950184878,0.0,0.0
DS order-1.5 block Gaussian,20,4,5,33.39389444998233,-6347.751188760987,35224.97773269357,30570851.22083236,1.00005246905902,0.22999999999999998,1,0.05,0,20.207925465540693,0.42907477399242905,2.6024928841016632,-0.009147240280888425,4.656808929795326,0.28766056508871785,2.302961947904577,4.279135345525501,2.836301928245201,0.0,6.947950504007185,4.58989681839913,0.0,-6.696642642119928,-4.799070256646699,-6.986407206325698,-9.103714106123602,-2.7125392258556946,0.01684196831271206,0.15707876804440515,0.17464572706804132,0.32571676828742074,0.32571676828742074,3.0060748772373533,-0.8461240768916624,0.9564697872483643,-0.9147240280888425,1.538330434555436,-1.2459740873755978,2.302961947904577,4.279135345525501,2.836301928245201,0.0,6.947950504007185,4.58989681839913,0.0,-6.696642642119928,-4.799070256646699,-6.986407206325698,-9.103714106123602,-2.7125392258556946,-2.96215430963764,-0.7292808079747001,-0.6232686895310592,0.0,0.0
DS order-1.5 block Gaussian,20,4,6,38.57020585797727,-5886.325240402271,35413.486093588974,14517895.421249138,1.000000000000119,0.21999999999999997,1,0.05,0,20.417375699364513,0.42466870849545074,2.5982991431685454,-0.008778012060509276,4.831519844219206,0.30018919620898143,2.3449135320716343,4.321847145535324,2.875443406035753,0.0,6.9158956151114594,4.546837704843687,0.0,-6.65586733345752,-4.761405746688766,-6.943851844764429,-9.060269493471287,-2.6768792811525213,0.016280408552998095,0.1518401555890848,0.18116207962720918,0.32564881352685243,0.32506854270385555,3.0163862882858585,-0.856445923455637,0.9548570552567416,-0.8778012060509277,1.5751610857072424,-1.2033423490746813,2.3449135320716343,4.321847145535324,2.875443406035753,0.0,6.9158956151114594,4.546837704843687,0.0,-6.65586733345752,-4.761405746688766,-6.943851844764429,-9.060269493471287,-2.6768792811525213,-2.9958570859334515,-0.7629911820338502,-0.5864274434583808,0.0,-0.0017834808653906687
DS order-1.5 block Gaussian,20,4,7,43.74633898300817,-5715.345035644062,35285.65816709069,5296875.167171997,1.000002377569284,0.28,1,0.05,0,20.59922708487625,0.4209234785342413,2.623792502263065,-0.008386210418584193,4.999999999999999,0.31388107668900533,2.389404883593405,4.366894154602061,2.916320434196122,0.0,6.903017531613183,4.5392351431069935,0.0,-6.612462654552372,-4.721912748418835,-6.898886753221083,-9.017581248297125,-2.6395532823995698,0.01567906458264254,0.14623109610844195,0.18879087805974676,0.3260037900613362,0.32329517118783263,3.0252535549399986,-0.8653042230216518,0.9646207910736473,-0.8386210418584193,1.6094379124341003,-1.1587411014719449,2.389404883593405,4.366894154602061,2.916320434196122,0.0,6.903017531613183,4.5392351431069935,0.0,-6.612462654552372,-4.721912748418835,-6.898886753221083,-9.017581248297125,-2.6395532823995698,-3.0345826508306426,-0.8017207868748093,-0.5462690700714811,0.0,-0.008343258644717202
DS order-1.5 block Gaussian,20,4,8,48.92217593698297,-5572.836514759967,35372.191932101756,36121430.1554776,1.0000000000004174,0.27,1,0.05,0,20.745271619502848,0.4179740676599405,2.618546307040934,-0.007965889179225593,4.999999999999999,0.3281727646518609,2.4337656136829406,4.4108710958995925,2.959860839283952,0.014345299451504005,6.918971832521514,4.5576168622653315,0.0,-6.5677315025091,-4.6795215407615505,-6.853993330507686,-8.978891637107507,-2.599482900441107,0.015244712198991912,0.14218193952861075,0.196749155309786,0.32836474359310486,0.3174594493695065,3.0323183469506385,-0.8723358874729362,0.9626193191488923,-0.7965889179225593,1.6094379124341003,-1.1142150877674952,2.4337656136829406,4.4108710958995925,2.959860839283952,0.014345299451504005,6.918971832521514,4.5576168622653315,0.0,-6.5677315025091,-4.6795215407615505,-6.853993330507686,-8.978891637107507,-2.599482900441107,-3.069892311818971,-0.8370175119254856,-0.5121954196216336,0.0,-0.03377492203930124
DS order-1.5 block Gaussian,20,4,9,54.09880356199574,-5396.02904955983,35441.47029899556,43919675.58117109,1.0000000987330497,0.25,1,0.05,0,21.034355004366862,0.4122402645634925,2.592739660397421,-0.007538783158427194,4.999999999999999,0.3421099756402696,2.475791831909191,4.452700017223165,3.000165990406697,0.027985078119835208,6.935405925535521,4.575524340303961,0.0,-6.525771372949026,-4.639386978192576,-6.811343265844882,-8.943053896078434,-2.5621136044749844,0.01485944298754728,0.13859046489845023,0.20406905439688655,0.33034508877106544,0.31213594894605057,3.046157053599552,-0.8861489331918219,0.9527151005894534,-0.7538783158427195,1.6094379124341003,-1.0726230274112423,2.475791831909191,4.452700017223165,3.000165990406697,0.027985078119835208,6.935405925535521,4.575524340303961,0.0,-6.525771372949026,-4.639386978192576,-6.811343265844882,-8.943053896078434,-2.5621136044749844,-3.1015022770484646,-0.8686145430584354,-0.4816793931103388,0.0,-0.056699004914698294
