method,inference_nstep,evaluation_nstep,start,updates_completed,termination_reason,euler20_loglik,euler20_se,eval_particles,eval_replicates,evaluation_seed,evaluation_status
DS order-1.5 block Gaussian,20,20,0,299,time-budget,-3873.472582643496,0.3493898194816675,5000,36,32636471,ok
DS order-1.5 block Gaussian,20,20,1,300,time-budget,-4296.735485127454,0.15927184938317798,5000,36,32637468,ok
DS order-1.5 block Gaussian,20,20,2,200,time-budget,-4769.298100516361,6.466233561144025,5000,36,32638465,ok
DS order-1.5 block Gaussian,20,20,3,200,time-budget,-4022.3553548221207,0.16441248987043602,5000,36,32639462,ok
DS order-1.5 block Gaussian,20,20,4,291,time-budget,-4999.107884859397,2.0660973496522694,5000,36,32640459,ok
DS order-1.5 block Gaussian,20,20,5,294,time-budget,-5066.952386668024,0.8060963196866598,5000,36,32641456,ok
DS order-1.5 block Gaussian,20,20,6,199,time-budget,-3992.2383233020737,0.21034992116127804,5000,36,32642453,ok
DS order-1.5 block Gaussian,20,20,7,198,time-budget,-5485.700283623681,10.083187245259287,5000,36,32643450,ok
DS order-1.5 block Gaussian,20,20,8,291,time-budget,-4584.527744664038,0.09343194156793601,5000,36,32644447,ok
DS order-1.5 block Gaussian,20,20,9,197,time-budget,-3950.132501631097,0.5515891299976629,5000,36,32645444,ok
