method,inference_nstep,start,start_type,particles,iterations_requested,updates_completed,termination_reason,elapsed_seconds,initial_pseudo_loglik,final_pseudo_loglik,minimum_ess,maximum_invalid_fraction,total_backtracks,gamma,m,epsilon,beta_trend,sigma,tau,bs1,bs2,bs3,bs4,bs5,bs6,omegas1,omegas2,omegas3,omegas4,omegas5,omegas6,S_0,I_0,R1_0,R2_0,R3_0,raw_0,raw_1,raw_2,raw_3,raw_4,raw_5,raw_6,raw_7,raw_8,raw_9,raw_10,raw_11,raw_12,raw_13,raw_14,raw_15,raw_16,raw_17,raw_18,raw_19,raw_20,raw_21,raw_22
DS order-1.5 block Gaussian,20,0,global-box,100,5000,299,time-budget,801.9023351920187,-6230.759840059395,-3909.8371959782753,1.0000000000001883,0.22999999999999998,0,16.384538789096737,0.4137324895257799,10.453398049378531,-0.002917472389182197,1.808471648590261,0.3942514026499597,0.4149574993846022,6.121378074997289,-3.8315120651796324,3.5963646947205437,3.580860507889334,3.724500091039185,-2.6015388345692148,-5.385663375797789,-4.802682180913781,-8.959019800726189,-7.794194243365125,-6.43328013417201,0.2797576647535883,0.2797576647535883,0.09891282031812454,0.08285775573732555,0.2587140944373731,2.7963381333931,-0.8825356745742828,2.346927097743135,-0.2917472389182197,0.5924820955330622,-0.9307664953775066,0.4149574993846022,6.121378074997289,-3.8315120651796324,3.5963646947205437,3.580860507889334,3.724500091039185,-2.6015388345692148,-5.385663375797789,-4.802682180913781,-8.959019800726189,-7.794194243365125,-6.43328013417201,0.0,0.0,-1.0396848860707784,-1.2167983941120928,-0.07820017590834502
DS order-1.5 block Gaussian,20,1,global-box,100,5000,300,time-budget,800.3887351510348,-7067.826805555931,-4341.103860483567,1.0000000000173088,0.33999999999999997,0,10.225587028341874,0.5870594889533886,4.291206507145127,-0.005614259798155783,2.9913095494372772,0.49999884555320856,-0.476653670081405,2.234357363068772,1.2901136861364704,3.8768555861457057,1.6424977000507708,4.15913998018622,-3.529522260048815,-2.0021816035577364,-3.7166398664282756,-8.086773945138464,-4.058712964154405,-4.096940159541449,0.22666773788726183,0.22666773788726183,0.1733994460850883,0.16892996177886288,0.20433511636152524,2.324893111365692,-0.5326291202457499,1.4565679304969525,-0.5614259798155783,1.0957112679193541,-0.6931494894561937,-0.476653670081405,2.234357363068772,1.2901136861364704,3.8768555861457057,1.6424977000507708,4.15913998018622,-3.529522260048815,-2.0021816035577364,-3.7166398664282756,-8.086773945138464,-4.058712964154405,-4.096940159541449,0.0,0.0,-0.26788736555707354,-0.2940010337837674,-0.10372386215807956
DS order-1.5 block Gaussian,20,2,global-box,100,5000,200,time-budget,801.0010931289871,-11117.277208829793,-5369.86703365147,1.000000000000032,0.39,0,38.01250444426982,0.0945305608415079,2.3401499045792207,-0.009402375516154839,5.0,0.5,-1.203797823481899,7.381031553713707,-0.2805751669898236,1.5392485955679227,1.8893456189541906,6.549595282318842,-1.6625995968591265,-1.2225922786607297,-3.689925386476485,-1.9335494955198103,-1.7589665317216492,-5.405687834542091,0.027187068123205954,0.1598377449444516,0.34164116744487477,0.3587383150132942,0.11259570447417347,3.637915169919486,-2.358832101615148,0.8502149891037333,-0.940237551615484,1.6094379124341003,-0.6931471805599453,-1.203797823481899,7.381031553713707,-0.2805751669898236,1.5392485955679227,1.8893456189541906,6.549595282318842,-1.6625995968591265,-1.2225922786607297,-3.689925386476485,-1.9335494955198103,-1.7589665317216492,-5.405687834542091,-2.5798517715525833,-0.8084339885565182,-0.04883222690121383,0.0,-1.1587896287159174
DS order-1.5 block Gaussian,20,3,global-box,100,5000,200,time-budget,802.0254497160204,-7266.533970867418,-4079.157126718565,1.0000000000013003,0.36,0,10.000000000000002,0.6,1.9840027075951814,-0.0062567903468476625,2.363888595191743,0.46264604028633255,0.6377445572214305,3.250228410152033,0.3192246048387972,2.5845439609837673,3.1311295133644714,3.294245687006718,-4.629849356613021,-1.3180314229276942,-7.2265752650435715,-10.0,-3.2636294000756654,-6.9791343437840485,0.2994800147832541,0.2994800147832541,0.22734917664987328,0.016420444397872058,0.15727034938574644,2.302585092994046,-0.5108256237659907,0.685116373577063,-0.6256790346847663,0.8603079728799998,-0.7707930090909726,0.6377445572214305,3.250228410152033,0.3192246048387972,2.5845439609837673,3.1311295133644714,3.294245687006718,-4.629849356613021,-1.3180314229276942,-7.2265752650435715,-10.0,-3.2636294000756654,-6.9791343437840485,0.0,0.0,-0.2755606279703421,-2.903520518641687,-0.6440813916590014
DS order-1.5 block Gaussian,20,4,global-box,100,5000,291,time-budget,800.9337246589712,-11169.30275526707,-5045.670720376864,1.0000000000158167,0.32999999999999996,0,11.248408429372931,0.5817643000394446,1.8763633441595104,0.0,5.0,0.5,2.3282610291816614,4.505632018468724,0.3243631131777341,0.0,6.628745642330068,5.527039512831074,-0.7715293223440141,-6.3934877437536395,-5.95749955830936,-5.422133990222378,-9.54669958345566,-2.5777045640756606,0.011784806285958738,0.10996590727915057,0.3070549682074012,0.3070549682074012,0.26413935002008837,2.42022664569756,-0.5416898960284557,0.6293355120860362,0.0,1.6094379124341003,-0.6931471805599453,2.3282610291816614,4.505632018468724,0.3243631131777341,0.0,6.628745642330068,5.527039512831074,-0.7715293223440141,-6.3934877437536395,-5.95749955830936,-5.422133990222378,-9.54669958345566,-2.5777045640756606,-3.2602156821813484,-1.0268563971681532,0.0,0.0,-0.15054997622280208
DS order-1.5 block Gaussian,20,5,global-box,100,5000,294,time-budget,801.8981578950188,-13512.656800047072,-5106.026124069544,1.0000000000062421,0.26999999999999996,0,24.17056794263487,0.5062146246276603,4.315298086161705,-0.007341415736166903,5.0,0.5,1.4743673517461873,6.7082450459193,0.4734104137343766,2.7650999203367044,5.478241102795454,7.954673553846281,-0.5429617995662334,-5.986991225591753,-0.8277608587247829,-5.418610483661107,-10.0,-0.46405379693891674,0.31441784206652973,0.11328790652724426,0.08061691380632781,0.25840619941540693,0.23327113818449124,3.185135692272788,-0.6807945402816146,1.4621664035310058,-0.7341415736166903,1.6094379124341003,-0.6931471805599453,1.4743673517461873,6.7082450459193,0.4734104137343766,2.7650999203367044,5.478241102795454,7.954673553846281,-0.5429617995662334,-5.986991225591753,-0.8277608587247829,-5.418610483661107,-10.0,-0.46405379693891674,0.0,-1.0207903846895596,-1.361014332309166,-0.19619004535398474,-0.29852134831386656
DS order-1.5 block Gaussian,20,6,global-box,100,5000,199,time-budget,800.7589217309724,-14084.164735637323,-4068.7049324848026,1.0000000000022382,0.32999999999999996,0,17.321406964689164,0.5303865666632512,10.14512117527464,-0.008530109134591509,2.5170864657366865,0.5,0.6839234014419815,3.420110891171048,0.11279922331932893,0.8162846584602144,3.530087226555671,3.137296668796626,-4.662891788021728,-0.4336384539377524,-7.863740482857371,-6.144490280271341,-3.983323779311239,-4.019046713506866,0.3846986743135355,0.18015156634055418,0.11593030362501788,0.10942058990094845,0.20979886581994386,2.851943133362113,-0.6341491672350381,2.3169929175410573,-0.8530109134591509,0.9231020682594779,-0.6931471805599453,0.6839234014419815,3.420110891171048,0.11279922331932893,0.8162846584602144,3.530087226555671,3.137296668796626,-4.662891788021728,-0.4336384539377524,-7.863740482857371,-6.144490280271341,-3.983323779311239,-4.019046713506866,0.0,-0.758661831922897,-1.1994711840092451,-1.2572612839424604,-0.6063110737840329
DS order-1.5 block Gaussian,20,7,global-box,100,5000,198,time-budget,800.322023419023,-6751.094901211767,-8513.35373424433,1.0000000000005045,0.31,0,34.094247308661856,0.06102061413685527,3.3090684580762875,-0.005000963186944521,3.7450027438649656,0.5,3.0190680239042007,4.606178884101177,-0.9627080427071834,2.64730312019209,4.822530636082095,2.803788596375973,-4.461257184280227,0.0,-2.7890145330392966,-9.358051085672798,-3.5839155483522442,-1.6973119811754,0.26939193709595716,0.26939193709595716,0.18314635301552956,0.12028293483426002,0.15778683795829615,3.529128669432168,-2.7965435352268027,1.1966667171740328,-0.5000963186944521,1.3204223496431375,-0.6931471805599453,3.0190680239042007,4.606178884101177,-0.9627080427071834,2.64730312019209,4.822530636082095,2.803788596375973,-4.461257184280227,0.0,-2.7890145330392966,-9.358051085672798,-3.5839155483522442,-1.6973119811754,0.0,0.0,-0.3858817579402196,-0.8063205765702219,-0.5349223391219119
DS order-1.5 block Gaussian,20,8,global-box,100,5000,291,time-budget,801.0304593079491,-9329.621275790996,-4755.253524986899,1.0000000000360245,0.38,0,19.99757931895595,0.065897953478685,7.247763327629619,-0.00984799348963133,4.9779019463576635,0.5,2.943639929673403,6.448014208607411,0.8250787120920127,3.3623784107099186,3.7769348474076785,5.047385633712795,-0.2431906664500253,-0.014182082739152248,-1.165822788413917,-2.8435018139487314,-5.808313584566086,-2.336977353175892,0.12049112257613018,0.32380853524782677,0.21363786482262362,0.06409731253245352,0.2779651648209659,2.9956112321765764,-2.7196478929075596,1.9806929147348074,-0.9847993489631329,1.6050085063543897,-0.6931471805599453,2.943639929673403,6.448014208607411,0.8250787120920127,3.3623784107099186,3.7769348474076785,5.047385633712795,-0.2431906664500253,-0.014182082739152248,-1.165822788413917,-2.8435018139487314,-5.808313584566086,-2.336977353175892,-0.9885763218755494,0.0,-0.41587003938054357,-1.619749963648066,-0.15265660108526058
DS order-1.5 block Gaussian,20,9,global-box,100,5000,197,time-budget,803.4534885080066,-9351.689565520737,-3984.886045611537,1.0000000000302585,0.35,0,32.19183413084646,0.25116243335501903,3.7349723145399274,-0.005253308273788762,3.0429232938867488,0.4773508379486277,1.9836832268426114,5.733298532686856,-1.2968515773856641,4.293878975421503,3.641411474534518,4.059630777047175,-3.30168259827802,-6.879012492478424,-1.2677283592482613,-7.9170479427071925,-5.138625982812522,-1.5237684766169608,0.2638113640476653,0.018459741890586485,0.22435861456832246,0.22208637873821258,0.2712839007552131,3.471712821967928,-1.3816554043175655,1.3177404061181992,-0.5253308273788763,1.1128186631987484,-0.7395035491219595,1.9836832268426114,5.733298532686856,-1.2968515773856641,4.293878975421503,3.641411474534518,4.059630777047175,-3.30168259827802,-6.879012492478424,-1.2677283592482613,-7.9170479427071925,-5.138625982812522,-1.5237684766169608,-0.02793155916255175,-2.687573629902857,-0.18992014720567926,-0.20009947717763488,0.0
