method,inference_nstep,evaluation_nstep,start,iteration,elapsed_seconds,pseudo_loglik,euler20_loglik,euler20_se,eval_particles,eval_replicates,evaluation_seed,evaluation_status
DS order-1.5 block Gaussian,20,20,0,0,3.1898953540367074,-6230.759840059395,-6206.219004616724,0.7869880439739771,1000,4,32631470,ok
DS order-1.5 block Gaussian,20,20,0,47,101.89755240402883,-4033.4744449048376,-3990.513440874997,0.6833568972551306,1000,4,32631517,ok
DS order-1.5 block Gaussian,20,20,0,88,200.51660043298034,-4037.2827217947856,-3994.0712534970717,0.5467649529264994,1000,4,32631558,ok
DS order-1.5 block Gaussian,20,20,0,124,302.31682871002704,-3989.420180792203,-3933.6818715024083,2.198757679233744,1000,4,32631594,ok
DS order-1.5 block Gaussian,20,20,0,159,401.7400640959968,-3946.8120859008795,-3920.4186527446927,1.8794113540386987,1000,4,32631629,ok
DS order-1.5 block Gaussian,20,20,0,194,501.44296086602844,-3961.7613040205024,-3928.836822239585,0.4350909775303413,1000,4,32631664,ok
DS order-1.5 block Gaussian,20,20,0,229,601.4570169739891,-3978.5465047581492,-3949.129190529582,0.8891782549577792,1000,4,32631699,ok
DS order-1.5 block Gaussian,20,20,0,264,701.0982617120026,-3948.117075723114,-3911.511135963285,0.41134681123296696,1000,4,32631734,ok
DS order-1.5 block Gaussian,20,20,0,299,801.9021346180234,-3909.8371959782753,-3871.4317890136485,3.2621149957915647,1000,4,32631769,ok
DS order-1.5 block Gaussian,20,20,1,0,3.2731774180429056,-7067.826805555931,-5868.519129697149,15.030838741211028,1000,4,32632467,ok
DS order-1.5 block Gaussian,20,20,1,47,101.26944648800418,-4281.093186398425,-4208.284562642081,0.31768102531447123,1000,4,32632514,ok
DS order-1.5 block Gaussian,20,20,1,89,202.08747738803504,-4226.449875129123,-4137.360333556122,1.219400363884449,1000,4,32632556,ok
DS order-1.5 block Gaussian,20,20,1,124,300.443298711034,-4487.871355993703,-4493.622097507747,0.5263695946900865,1000,4,32632591,ok
DS order-1.5 block Gaussian,20,20,1,160,402.11767335800687,-4401.953943084143,-4400.121578587374,1.4910825748597794,1000,4,32632627,ok
DS order-1.5 block Gaussian,20,20,1,195,501.59364252502564,-4335.658203657929,-4318.059656089965,0.4363788722715784,1000,4,32632662,ok
DS order-1.5 block Gaussian,20,20,1,230,600.5835429640138,-4261.931006500583,-4234.503339157063,1.2113386330035165,1000,4,32632697,ok
DS order-1.5 block Gaussian,20,20,1,266,702.412217101024,-4328.734603163066,-4309.052530914913,0.9243650736742913,1000,4,32632733,ok
DS order-1.5 block Gaussian,20,20,1,300,800.3885140169878,-4341.103860483567,-4298.832577282036,1.3030629504989117,1000,4,32632767,ok
DS order-1.5 block Gaussian,20,20,2,0,5.275383775006048,-11117.277208829793,-9253.161866096403,68.83135341160185,1000,4,32633464,ok
DS order-1.5 block Gaussian,20,20,2,26,100.31680473103188,-7093.78293065195,-5224.801191152447,17.22946432221374,1000,4,32633490,ok
DS order-1.5 block Gaussian,20,20,2,52,200.11821429699194,-4578.103156595062,-4441.457269493856,0.8766269969402591,1000,4,32633516,ok
DS order-1.5 block Gaussian,20,20,2,77,300.4304788740119,-4459.519587415091,-4338.074847616531,0.7805123517042466,1000,4,32633541,ok
DS order-1.5 block Gaussian,20,20,2,102,401.85654879698996,-4577.0821692497375,-4356.956044647778,1.1883144638915533,1000,4,32633566,ok
DS order-1.5 block Gaussian,20,20,2,127,503.3734147599898,-6537.5474095645495,-5407.747824006345,3.8401862245656098,1000,4,32633591,ok
DS order-1.5 block Gaussian,20,20,2,151,600.9969888750347,-5298.445181332233,-4778.227630325086,15.966489670745661,1000,4,32633615,ok
DS order-1.5 block Gaussian,20,20,2,176,702.336026903009,-5863.26609103931,-5139.895016550696,30.366797277617025,1000,4,32633640,ok
DS order-1.5 block Gaussian,20,20,2,200,801.000878382998,-5369.86703365147,-4865.795975002413,19.53405094510481,1000,4,32633664,ok
DS order-1.5 block Gaussian,20,20,3,0,5.416890927008353,-7266.533970867418,-7224.613151779754,6.105903184213326,1000,4,32634461,ok
DS order-1.5 block Gaussian,20,20,3,26,100.72941924800398,-5075.724503813746,-4487.015707961619,0.5880450547585204,1000,4,32634487,ok
DS order-1.5 block Gaussian,20,20,3,52,200.81410285801394,-4457.9819231731935,-4257.758076822499,1.5525184840604498,1000,4,32634513,ok
DS order-1.5 block Gaussian,20,20,3,77,301.45561795000685,-4226.259033040678,-4163.603612364778,0.83594168192659,1000,4,32634538,ok
DS order-1.5 block Gaussian,20,20,3,102,402.55415747704683,-4229.298924921473,-4074.040165714349,2.551297880865065,1000,4,32634563,ok
DS order-1.5 block Gaussian,20,20,3,126,500.02001026202925,-4078.7556130753724,-4046.1550402437356,0.6358485762626509,1000,4,32634587,ok
DS order-1.5 block Gaussian,20,20,3,151,601.577748055046,-4046.4978958563183,-3997.8881806378527,0.46018146094853013,1000,4,32634612,ok
DS order-1.5 block Gaussian,20,20,3,176,702.9251614530222,-4059.8314731586825,-4006.9456392496672,0.3982095879140719,1000,4,32634637,ok
DS order-1.5 block Gaussian,20,20,3,200,802.0252474460285,-4079.157126718565,-4022.594245727252,0.724963220715326,1000,4,32634661,ok
DS order-1.5 block Gaussian,20,20,4,0,4.374366439005826,-11169.30275526707,-9306.514674354072,163.5399660537696,1000,4,32635458,ok
DS order-1.5 block Gaussian,20,20,4,34,101.03364600200439,-4585.160309777273,-4527.509841065144,0.6040236569164383,1000,4,32635492,ok
DS order-1.5 block Gaussian,20,20,4,69,200.39629070897354,-4498.421540521167,-4504.666369073847,0.776482167428597,1000,4,32635527,ok
DS order-1.5 block Gaussian,20,20,4,104,300.5588910059887,-4529.730566387524,-4567.963232787477,0.9251622118052152,1000,4,32635562,ok
DS order-1.5 block Gaussian,20,20,4,139,400.5264626099961,-4766.662388679382,-4717.636970252381,0.3708653503078989,1000,4,32635597,ok
DS order-1.5 block Gaussian,20,20,4,174,500.6328579899855,-4977.523365031224,-4947.387059574181,0.7480794503688911,1000,4,32635632,ok
DS order-1.5 block Gaussian,20,20,4,209,601.5032430159627,-4971.881330888969,-4918.692257239193,0.41362723181711175,1000,4,32635667,ok
DS order-1.5 block Gaussian,20,20,4,248,700.6188949960051,-5031.974235717361,-4994.397232054947,1.0451072519113793,1000,4,32635706,ok
DS order-1.5 block Gaussian,20,20,4,291,800.9335122060147,-5045.670720376864,-5009.67960683908,0.45996712342481866,1000,4,32635749,ok
DS order-1.5 block Gaussian,20,20,5,0,4.323907229991164,-13512.656800047072,-13533.23900804097,0.8282186494414457,1000,4,32636455,ok
DS order-1.5 block Gaussian,20,20,5,35,102.65060975798406,-9889.559652454158,-9074.20067215825,32.17951526885827,1000,4,32636490,ok
DS order-1.5 block Gaussian,20,20,5,70,201.3208058429882,-10139.42599565993,-9623.01194536706,44.33853623208506,1000,4,32636525,ok
