method,inference_nstep,evaluation_nstep,start,updates_completed,termination_reason,euler20_loglik,euler20_se,eval_particles,eval_replicates,evaluation_seed,evaluation_status
DS order-1.5 block Gaussian,20,20,0,92,time-budget,-3908.50813732609,0.20800449966395143,5000,36,32636471,ok
DS order-1.5 block Gaussian,20,20,1,92,time-budget,-3955.0751110062374,0.10029726495881505,5000,36,32637468,ok
DS order-1.5 block Gaussian,20,20,2,94,time-budget,-3998.4352671892398,0.17241803790045016,5000,36,32638465,ok
DS order-1.5 block Gaussian,20,20,3,96,time-budget,-4151.018129846397,0.1516333010389942,5000,36,32639462,ok
DS order-1.5 block Gaussian,20,20,4,92,time-budget,-4820.057149098795,0.1069359328153237,5000,36,32640459,ok
DS order-1.5 block Gaussian,20,20,5,90,time-budget,-6146.6235699267,1.351187914309223,5000,36,32641456,ok
DS order-1.5 block Gaussian,20,20,6,96,time-budget,-3990.218741755494,0.10115449702779632,5000,36,32642453,ok
DS order-1.5 block Gaussian,20,20,7,94,time-budget,-3968.710009615157,0.20278241334529612,5000,36,32643450,ok
DS order-1.5 block Gaussian,20,20,8,92,time-budget,-3819.364078559642,0.11799475189490576,5000,36,32644447,ok
DS order-1.5 block Gaussian,20,20,9,90,time-budget,-3919.474298802756,0.09178488745849808,5000,36,32645444,ok
DS order-1.5 block Gaussian,20,20,10,96,time-budget,-3938.379794126497,0.16381431350894715,5000,36,32646441,ok
DS order-1.5 block Gaussian,20,20,11,90,time-budget,-3898.8384161841755,0.20845721012796048,5000,36,32647438,ok
DS order-1.5 block Gaussian,20,20,12,15,non-finite-path-or-score,-6066.654992448513,1.047791682118491,5000,36,32648435,ok
DS order-1.5 block Gaussian,20,20,13,96,time-budget,-4241.2659391997895,0.17661180310276267,5000,36,32649432,ok
DS order-1.5 block Gaussian,20,20,14,94,time-budget,-4255.548973685235,0.2083820763303152,5000,36,32650429,ok
DS order-1.5 block Gaussian,20,20,15,96,time-budget,-4025.7626699408906,0.15053968039040885,5000,36,32651426,ok
DS order-1.5 block Gaussian,20,20,16,96,time-budget,-3935.5841016156182,0.1200096737934599,5000,36,32652423,ok
