method,inference_nstep,start,start_type,particles,iterations_requested,updates_completed,termination_reason,elapsed_seconds,output_selected_iteration,output_selected_elapsed_seconds,initial_pseudo_loglik,final_pseudo_loglik,minimum_ess,maximum_invalid_fraction,maximum_backward_fallbacks,total_backtracks,gamma,m,epsilon,beta_trend,sigma,tau,bs1,bs2,bs3,bs4,bs5,bs6,omegas1,omegas2,omegas3,omegas4,omegas5,omegas6,S_0,I_0,R1_0,R2_0,R3_0,raw_0,raw_1,raw_2,raw_3,raw_4,raw_5,raw_6,raw_7,raw_8,raw_9,raw_10,raw_11,raw_12,raw_13,raw_14,raw_15,raw_16,raw_17,raw_18,raw_19,raw_20,raw_21,raw_22
DS order-1.5 block Gaussian,20,0,global-box,100,5000,92,time-budget,800.539832215989,94,800.539832215989,-6229.366922660638,-3951.3660920579523,1.0000000000000782,0.61,0,14,18.618721235592847,0.34368331586893613,14.333692198637332,-0.005780393312159967,2.0812233547061347,0.44253501846857324,1.5251928672441464,5.168020577471345,-3.398119838796966,2.854340665267622,4.075718055790562,3.4438566390030325,-3.8686218880792436,-4.088739009788266,-3.1156578867752107,-8.842503498269465,-7.426094893458905,-8.025493368679165,0.26178614557598534,0.15425589196442796,0.1781356137825494,0.14370312574615468,0.2621192229308826,2.924167592562134,-1.0680346390193471,2.662612863826262,-0.5780393312159967,0.7329558721210646,-0.8152356798832955,1.5251928672441464,5.168020577471345,-3.398119838796966,2.854340665267622,4.075718055790562,3.4438566390030325,-3.8686218880792436,-4.088739009788266,-3.1156578867752107,-8.842503498269465,-7.426094893458905,-8.025493368679165,-0.001271517414383263,-0.5301865900557167,-0.3862543142166745,-0.6010499048766912,0.0
DS order-1.5 block Gaussian,20,1,global-box,100,5000,92,time-budget,802.0592589100124,94,802.0592589100124,-6572.598927265824,-4016.5636807605297,1.0,0.85,0,14,12.661591589750273,0.47763506173791526,14.629063443960273,-0.004171362979393096,2.7416253619747946,0.44989141353646406,-2.065534384050197,1.6582939814564854,-0.2752685884839768,2.8517821190123964,3.2533560692864847,3.9985138344401894,-3.6928146725976365,-0.8626244243627409,-5.306761814366013,-9.178655658227987,-4.232197183535289,-5.359534799206406,0.17965996023343725,0.07554746026353157,0.31860660373812955,0.3233097591744579,0.10287621659044376,2.538573126803939,-0.7389083072492305,2.68301019684896,-0.4171362979393096,1.008550942328731,-0.7987490285883878,-2.065534384050197,1.6582939814564854,-0.2752685884839768,2.8517821190123964,3.2533560692864847,3.9985138344401894,-3.6928146725976365,-0.8626244243627409,-5.306761814366013,-9.178655658227987,-4.232197183535289,-5.359534799206406,-0.5875449159439604,-1.4538497988788097,-0.014653745776543606,0.0,-1.145084385564708
DS order-1.5 block Gaussian,20,2,global-box,100,5000,94,time-budget,800.1547323759878,95,800.1547323759878,-31375.52628741172,-4061.4508635388343,1.0,0.7,0,7,21.323819562733465,0.3266878924815872,13.980370181173967,-0.009762048385111417,3.966859820896518,0.352260607116297,-2.5580261552625916,5.841231227698516,-2.5323009667037204,2.27427066686124,2.8912429572465417,5.277816209112709,-1.9408537047249008,-0.8748362035916661,-6.144763925177883,-4.364278511996232,-3.776728333385915,-6.373809029972026,0.03684561261839789,0.19065305933117616,0.21509325865368856,0.352736078912662,0.20467199048407544,3.0598247372258522,-1.1187500211120913,2.6376542157951475,-0.9762048385111418,1.3779748046075029,-1.0433840161902972,-2.5580261552625916,5.841231227698516,-2.5323009667037204,2.27427066686124,2.8912429572465417,5.277816209112709,-1.9408537047249008,-0.8748362035916661,-6.144763925177883,-4.364278511996232,-3.776728333385915,-6.373809029972026,-2.258983574508815,-0.6152647924760578,-0.4946484302363853,0.0,-0.5443114742189097
DS order-1.5 block Gaussian,20,3,global-box,100,5000,96,time-budget,800.0798245069454,96,800.0798245069454,-7225.9062942964,-4257.216335675397,1.000114273478446,0.63,0,0,10.807931649840217,0.5980246564478044,2.813089515231627,-0.00428969883312035,2.898229388778624,0.4849293239475402,1.3311217641479827,3.5670416483281304,1.599211598987094,2.465530172580644,1.7460525967535445,4.031803016251623,-6.961232497841232,-2.595008207505903,-5.1512544817853385,-9.811862262518957,-1.827591483040049,-6.5943435073959575,0.31472446706539237,0.31472446706539237,0.25917893276978116,0.01176241249820549,0.09960972060122852,2.380280276603872,-0.5141232943634334,1.0342833509820821,-0.42896988331203506,1.064099994933882,-0.723752122482906,1.3311217641479827,3.5670416483281304,1.599211598987094,2.465530172580644,1.7460525967535445,4.031803016251623,-6.961232497841232,-2.595008207505903,-5.1512544817853385,-9.811862262518957,-1.827591483040049,-6.5943435073959575,0.0,0.0,-0.19417886503615459,-3.286788482480211,-1.1504377920904738
DS order-1.5 block Gaussian,20,4,global-box,100,5000,92,time-budget,800.7989497359958,94,800.7989497359958,-14379.822371013472,-4947.190049459099,1.0,0.53,0,14,15.2990660526758,0.4436716235704966,2.2157046729217362,-0.0013803473237892897,4.999999999999999,0.5,3.108783355053584,4.997277959975,2.562191733194303,0.0,6.33508815359832,4.842559324216144,-0.014912478309425223,-6.125323739489877,-4.7017838841697595,-6.612834765243988,-8.851548551215133,-2.2528139235067415,0.009243715370747984,0.08620586880884261,0.2893246150662285,0.3117986697587279,0.30342713099545304,2.727791784226461,-0.8126705767319057,0.7955704896615795,-0.13803473237892896,1.6094379124341003,-0.6931471805599453,3.108783355053584,4.997277959975,2.562191733194303,0.0,6.33508815359832,4.842559324216144,-0.014912478309425223,-6.125323739489877,-4.7017838841697595,-6.612834765243988,-8.851548551215133,-2.2528139235067415,-3.5184137890501326,-1.2856194313046014,-0.0748083970072525,0.0,-0.027216204180806697
DS order-1.5 block Gaussian,20,5,global-box,100,5000,90,time-budget,801.1454932329943,93,801.1454932329943,-1501891.68429604,-6000.345945300673,1.0,0.42999999999999994,0,21,22.058477577002662,0.6,3.031709958409696,0.0,4.999999999999999,0.5,0.9568014424478136,5.181622047390265,4.0,3.6653134485800156,4.786307598308176,7.673570843346802,-4.156486140975929,-6.064433943573487,0.0,-2.2664141622503546,-6.603095578832472,0.0,0.2856685437196304,0.08751095994753712,0.046970172233489836,0.3029907173317883,0.27685960676755433,3.093696998615333,-0.5108256237659907,1.1091268030492873,0.0,1.6094379124341003,-0.6931471805599453,0.9568014424478136,5.181622047390265,4.0,3.6653134485800156,4.786307598308176,7.673570843346802,-4.156486140975929,-6.064433943573487,0.0,-2.2664141622503546,-6.603095578832472,0.0,-0.05886996848280997,-1.2419381271084915,-1.8641894022563146,0.0,-0.0901916262423889
DS order-1.5 block Gaussian,20,6,global-box,100,5000,96,time-budget,800.4944367349963,96,800.4944367349963,-29057.833678207484,-4055.5009194541103,1.0,0.71,0,0,10.901776137481733,0.59926457560443,24.54414363583842,-0.01,2.6988134840432982,0.4979727779341628,-1.253392835706901,2.2841007402072915,1.0357639481055416,0.43661021042880815,3.5545913564454032,3.45112449960695,-6.246819428185185,0.0,-8.489887750493962,-6.347060558663259,-5.152195818292899,-3.1999031176943347,0.11250845468277933,0.020436849137393902,0.45085208815770167,0.40044592222764064,0.015756685794484453,2.38892572435327,-0.5120520828855472,3.2004732773449716,-1.0,0.9928122260693447,-0.6972098662343541,-1.253392835706901,2.2841007402072915,1.0357639481055416,0.43661021042880815,3.5545913564454032,3.45112449960695,-6.246819428185185,0.0,-8.489887750493962,-6.347060558663259,-5.152195818292899,-3.1999031176943347,-1.388110949980591,-3.0937997198750664,0.0,-0.11856058979426379,-3.3538745514499784
DS order-1.5 block Gaussian,20,7,global-box,100,5000,94,time-budget,801.7529647990013,95,801.7529647990013,-6640.085931911626,-4006.4849897570443,1.0002698153999645,0.59,0,7,15.866631978468426,0.13676683727698632,13.399238571056713,-0.004959343744176071,1.9187833722017598,0.43300670813698805,2.2988905773494115,4.4072257069234455,-1.6133047303120236,2.3354594210014357,4.499235326736232,1.9254749771992088,-4.835938700645096,-1.2664634242465185,-3.9461560162008924,-9.985941140068741,-3.2917154036765077,-0.9369052141305714,0.24179275530857594,0.2346160464018639,0.14052283299191137,0.140917859590325,0.24215050570732383,2.7642182863358933,-1.989477720747464,2.5951978822869055,-0.4959343744176071,0.6516913248805609,-0.8370020588664219,2.2988905773494115,4.4072257069234455,-1.6133047303120236,2.3354594210014357,4.499235326736232,1.9254749771992088,-4.835938700645096,-1.2664634242465185,-3.9461560162008924,-9.985941140068741,-3.2917154036765077,-0.9369052141305714,-0.0014784810234335943,-0.031609124387078295,-0.5441894692842396,-0.5413822927228271,0.0
DS order-1.5 block Gaussian,20,8,global-box,100,5000,92,time-budget,802.3468168200343,94,802.3468168200343,-9112.398041688575,-3855.39680076639,1.000000416981423,0.5700000000000001,0,14,27.250603765207273,0.142936179798829,8.014536640116784,-0.002140235666061426,3.053852694297905,0.28213743882597087,2.3553576668294967,5.191006154218373,-0.7750444379518951,3.9743335016675108,3.6979327452273445,4.236252007591577,-4.73230119506408,0.0,-5.70094012807845,-5.338392438688021,-5.173947856187885,-8.621136684488642,0.041887365627547,0.26974597373808284,0.28391610722332333,0.06622680150269653,0.3382237519083503,3.305075677385169,-1.9453570434546186,2.0812569728016888,-0.21402356660614258,1.116403971938956,-1.2653609550477463,2.3553576668294967,5.191006154218373,-0.7750444379518951,3.9743335016675108,3.6979327452273445,4.236252007591577,-4.73230119506408,0.0,-5.70094012807845,-5.338392438688021,-5.173947856187885,-8.621136684488642,-2.088723419238736,-0.22622698623481477,-0.17502886693829847,-1.6306224268133431,0.0
DS order-1.5 block Gaussian,20,9,global-box,100,5000,90,time-budget,802.9797242929926,93,802.9797242929926,-15124.129973837276,-3941.7071195312556,1.0,0.55,0,21,17.60436521934521,0.5468920632656963,0.8529107846785807,-0.007587397242648511,2.37194959196212,0.3970644133926264,1.5763453907594402,5.400018565888844,-2.4352491719756904,3.8904157225533895,3.4706345574982254,2.858734544550534,-4.846131093498758,-8.469356291228262,-2.811939952244928,-9.632726225427401,-5.061727565241164,-1.4963296452490735,0.2774774613946708,0.022666331089018797,0.20683130614940784,0.21554743997223177,0.2774774613946708,2.868146895117714,-0.6035038209568815,-0.1591003270206602,-0.758739724264851,0.8637122296289423,-0.9236567610968522,1.5763453907594402,5.400018565888844,-2.4352491719756904,3.8904157225533895,3.4706345574982254,2.858734544550534,-4.846131093498758,-8.469356291228262,-2.811939952244928,-9.632726225427401,-5.061727565241164,-1.4963296452490735,0.0,-2.5048590981863916,-0.29383619481044915,-0.2525586852895333,0.0
