method,inference_nstep,evaluation_nstep,start,iteration,elapsed_seconds,pseudo_loglik,euler20_loglik,euler20_se,eval_particles,eval_replicates,evaluation_seed,evaluation_status
DS order-1.5 block Gaussian,20,20,0,0,10.49633485195227,-6229.366922660638,-6207.352591399128,,5000,1,32631470,ok
DS order-1.5 block Gaussian,20,20,0,11,100.7707311079721,-4962.030109990566,-5105.363981383246,,5000,1,32631481,ok
DS order-1.5 block Gaussian,20,20,0,24,206.99027688597562,-4356.976716937342,-4381.111559841164,,5000,1,32631494,ok
DS order-1.5 block Gaussian,20,20,0,36,305.2909715969581,-4255.790853160265,-4147.23008093507,,5000,1,32631506,ok
DS order-1.5 block Gaussian,20,20,0,48,403.6055332029937,-4239.226374426446,-4129.049856465046,,5000,1,32631518,ok
DS order-1.5 block Gaussian,20,20,0,60,513.1518032039749,-4244.6562537640975,-4129.11036383069,,5000,1,32631530,ok
DS order-1.5 block Gaussian,20,20,0,71,603.4951183169615,-4000.15506307176,-3943.233303969263,,5000,1,32631541,ok
DS order-1.5 block Gaussian,20,20,0,83,701.7872380889603,-4001.6544315363817,-3947.4413698093517,,5000,1,32631553,ok
DS order-1.5 block Gaussian,20,20,0,94,800.5397155479877,-3951.3660920579523,-3921.3273206423173,,5000,1,32631564,ok
DS order-1.5 block Gaussian,20,20,1,0,10.684419250988867,-6572.598927265824,-5726.021184491852,,5000,1,32632467,ok
DS order-1.5 block Gaussian,20,20,1,10,101.49747758801095,-6585.227265509338,-5719.497120618815,,5000,1,32632477,ok
DS order-1.5 block Gaussian,20,20,1,21,200.4026876440039,-6374.281383652262,-5529.531051278058,,5000,1,32632488,ok
DS order-1.5 block Gaussian,20,20,1,34,306.8501444560243,-4738.445987283495,-4686.624702922398,,5000,1,32632501,ok
DS order-1.5 block Gaussian,20,20,1,46,405.34179629798746,-4304.2123264194615,-4230.843481597366,,5000,1,32632513,ok
DS order-1.5 block Gaussian,20,20,1,58,503.83986750402255,-4152.445301190861,-4048.9356813832237,,5000,1,32632525,ok
DS order-1.5 block Gaussian,20,20,1,70,605.166810530005,-4075.629889742899,-4036.006797118443,,5000,1,32632537,ok
DS order-1.5 block Gaussian,20,20,1,82,703.61459646601,-4070.565572747167,-4009.8342793703455,,5000,1,32632549,ok
DS order-1.5 block Gaussian,20,20,1,94,802.0591571319965,-4016.5636807605297,-3950.2938467940185,,5000,1,32632561,ok
DS order-1.5 block Gaussian,20,20,2,0,10.540405891020782,-31375.52628741172,-8479.481174768278,,5000,1,32633464,ok
