method,inference_nstep,start,iteration,elapsed_seconds,pseudo_loglik,complete_pseudologlik,score_norm,minimum_ess,maximum_invalid_fraction,unique_initial_ancestors,backward_fallbacks,accepted_step_size,backtrack_count,gamma,m,epsilon,beta_trend,sigma,tau,bs1,bs2,bs3,bs4,bs5,bs6,omegas1,omegas2,omegas3,omegas4,omegas5,omegas6,S_0,I_0,R1_0,R2_0,R3_0,raw_0,raw_1,raw_2,raw_3,raw_4,raw_5,raw_6,raw_7,raw_8,raw_9,raw_10,raw_11,raw_12,raw_13,raw_14,raw_15,raw_16,raw_17,raw_18,raw_19,raw_20,raw_21,raw_22
DS order-1.5 block Gaussian,20,0,0,10.49633485195227,-6229.366922660638,28052.832939787444,14262.434136571012,8.832980882714836,0.0,1,0,0.05,0,12.204439319925953,0.40694085741223185,15.776105071350697,-0.009654575819763804,1.285275956517952,0.4046354317852725,2.0519699908305746,5.157343476386535,-2.22942514844895,4.8620776876508796,5.000225608613919,2.862000628488265,-3.7594382581790438,-2.3527504780275645,-0.5265467864596349,-6.352280427453167,-6.610966241633912,-9.421106416727302,0.30016229191247606,0.12847598067816407,0.16178485054093505,0.1308026974351881,0.27877417943323657,2.501799764233874,-0.899087417582029,2.7584964580403506,-0.9654575819763804,0.25097344744528827,-0.904768785701927,2.0519699908305746,5.157343476386535,-2.22942514844895,4.8620776876508796,5.000225608613919,2.862000628488265,-3.7594382581790438,-2.3527504780275645,-0.5265467864596349,-6.352280427453167,-6.610966241633912,-9.421106416727302,0.0,-0.8485813353537146,-0.6180559319568264,-0.8306332400209862,-0.07392124005080869
DS order-1.5 block Gaussian,20,0,1,18.399879800970666,-6025.499389039306,27912.563050027737,5987.4884921474995,5.187737333813242,0.020000000000000018,1,0,0.05,0,12.830174304430692,0.38709411760523604,15.006695354906427,-0.01,1.3511734553470833,0.42538153399088524,2.001969991161976,5.107343476923115,-2.279425147466428,4.812077687865435,4.9502256088542875,2.8120006288790633,-3.8094382520108505,-2.402750476138279,-0.5765467856293718,-6.402280425585372,-6.660966206553366,-9.471106352443282,0.2912015256463571,0.12464057812704295,0.17346218517349285,0.14024379682135563,0.2704519142317515,2.551799764227442,-0.9490874175738356,2.708496458508322,-1.0,0.3009734410750574,-0.8547687857362587,2.001969991161976,5.107343476923115,-2.279425147466428,4.812077687865435,4.9502256088542875,2.8120006288790633,-3.8094382520108505,-2.402750476138279,-0.5765467856293718,-6.402280425585372,-6.660966206553366,-9.471106352443282,0.0,-0.8485813349924447,-0.5180559327377892,-0.7306332414920832,-0.07392123923595807
DS order-1.5 block Gaussian,20,0,2,26.35680126096122,-5854.374646594147,28029.344154077044,28620.66910512697,8.652196452649061,0.010000000000000009,1,0,0.05,0,13.372971853558099,0.3725809389687857,14.453079667192362,-0.01,1.403187678130391,0.44644301214129406,1.9549427553720453,5.0626711206468675,-2.326151479800252,4.764600397508258,4.918147775604897,2.7647427226514205,-3.855643799529756,-2.4462380587019035,-0.6229893504972309,-6.450641134267367,-6.709375517524418,-9.518902123515694,0.29093561144128216,0.12553626115985594,0.1703300433269846,0.1374507505512168,0.2757473335206605,2.5932356441668487,-0.9873009789434246,2.6709075176076302,-1.0,0.3387465613332514,-0.806443519193609,1.9549427553720453,5.0626711206468675,-2.326151479800252,4.764600397508258,4.918147775604897,2.7647427226514205,-3.855643799529756,-2.4462380587019035,-0.6229893504972309,-6.450641134267367,-6.709375517524418,-9.518902123515694,0.0,-0.8405073257803904,-0.5353639899203497,-0.7498363010273389,-0.05361698799279105
DS order-1.5 block Gaussian,20,0,3,34.30677794595249,-5749.884257613745,28091.538305480255,37537.75093048532,8.742975114281286,0.020000000000000018,1,0,0.05,0,13.499694858897602,0.3710645316467157,14.399892106480673,-0.01,1.45270193847415,0.46547124247852023,1.9132237363443316,5.022883296201613,-2.3678325925381962,4.719388846541061,4.881395826693048,2.722405040508719,-3.898612878773451,-2.486972113528144,-0.66577782299614,-6.494348172170973,-6.753936398366777,-9.562239900469494,0.29072649110009674,0.1253040351023288,0.16887193670940678,0.136241454790158,0.2788560822980096,2.602667082144309,-0.9913792917519061,2.6672207139483763,-1.0,0.37342522828980096,-0.7647049618779115,1.9132237363443316,5.022883296201613,-2.3678325925381962,4.719388846541061,4.881395826693048,2.722405040508719,-3.898612878773451,-2.486972113528144,-0.66577782299614,-6.494348172170973,-6.753936398366777,-9.562239900469494,0.0,-0.841639867154512,-0.543242275348883,-0.7579542176280735,-0.041687117392274604
DS order-1.5 block Gaussian,20,0,4,42.26633193495218,-5618.024073565357,28244.497020932846,2453.5080737084804,2.968984147929677,0.030000000000000027,1,0,0.05,0,13.765611990252054,0.3650901705729565,14.131195516147159,-0.01,1.4996253014192018,0.48296341089478745,1.8753732465226398,4.986929502373486,-2.4059330855788272,4.67484893421695,4.840537270840063,2.6817988155529573,-3.937419375866957,-2.5239673819176915,-0.705654383612879,-6.5358184204712915,-6.796941538221934,-9.601528532109858,0.2905451684532633,0.12452023445687825,0.16822223483842946,0.13582882188821552,0.28088354036321345,2.6221735974865394,-1.0076109132440259,2.6483848014787914,-1.0,0.4052152778493185,-0.7278143820400512,1.8753732465226398,4.986929502373486,-2.4059330855788272,4.67484893421695,4.840537270840063,2.6817988155529573,-3.937419375866957,-2.5239673819176915,-0.705654383612879,-6.5358184204712915,-6.796941538221934,-9.601528532109858,0.0,-0.8472908209576213,-0.5464731177561207,-0.7603636190462127,-0.03381891309375639
DS order-1.5 block Gaussian,20,0,5,50.21741440996993,-5510.068963999585,28341.777294215008,4858.707902958692,2.179405798287279,0.030000000000000027,1,0,0.05,0,14.017949970207791,0.3681371706809543,13.845442486104252,-0.01,1.5514692403469141,0.5,1.8373860999418918,4.948549125908559,-2.444019452646442,4.638994930410109,4.808316140674,2.646217584364832,-3.9734979385249996,-2.562158732116091,-0.7433519069677572,-6.571117574632103,-6.829016265559841,-9.636639292979273,0.2896444558313624,0.12736001371608777,0.16320926737198918,0.13180225481730987,0.28798400826325077,2.640338649103851,-0.9992996638502563,2.6279561161052998,-1.0,0.43920237895850117,-0.6931471805599453,1.8373860999418918,4.948549125908559,-2.444019452646442,4.638994930410109,4.808316140674,2.646217584364832,-3.9734979385249996,-2.562158732116091,-0.7433519069677572,-6.571117574632103,-6.829016265559841,-9.636639292979273,0.0,-0.8216363266439599,-0.5736209301500803,-0.787351426643038,-0.005749204704879888
DS order-1.5 block Gaussian,20,0,6,58.17906826996477,-5453.258965707162,28513.280240042484,20206.96738582137,3.3576079458345194,0.030000000000000027,1,0,0.05,0,14.042238053162981,0.37535684015952536,13.523617513076397,-0.01,1.6131919213838026,0.5,1.800059256616442,4.913959579727209,-2.482446676980171,4.599821280560331,4.7724185045346665,2.608426000648831,-4.0038737584426,-2.600045656218085,-0.7843072985927455,-6.609389747878241,-6.861749019207839,-9.671420065641172,0.28956845124400366,0.12755392578719732,0.16239216476795798,0.13097673900477677,0.28950871919606436,2.642069791389898,-0.9798781317122915,2.6044376023602456,-1.0,0.4782147761839335,-0.6931471805599453,1.800059256616442,4.913959579727209,-2.482446676980171,4.599821280560331,4.7724185045346665,2.608426000648831,-4.0038737584426,-2.600045656218085,-0.7843072985927455,-6.609389747878241,-6.861749019207839,-9.671420065641172,0.0,-0.8198524929706672,-0.5783775354417404,-0.7933719729170813,-0.0002063008220673044
DS order-1.5 block Gaussian,20,0,7,66.12810826895293,-5346.82694184088,28800.02237582603,87257.49377952096,2.581732341013454,0.040000000000000036,1,0,0.05,0,14.185550264422616,0.3788910878446468,13.121998936816853,-0.01,1.6755759874783283,0.5,1.7664765367680886,4.883161210926673,-2.517944028470954,4.562602335368148,4.738531311378087,2.573761374500744,-4.030845960766898,-2.635012031745729,-0.8225008319281938,-6.645027365391724,-6.8926600300624425,-9.703464553047395,0.28971068969303776,0.12726973544752085,0.1624407331983459,0.1308681519680577,0.28971068969303776,2.6522238595015595,-0.9705064823620865,2.5742901298997327,-1.0,0.5161569792876086,-0.6931471805599453,1.7664765367680886,4.883161210926673,-2.517944028470954,4.562602335368148,4.738531311378087,2.573761374500744,-4.030845960766898,-2.635012031745729,-0.8225008319281938,-6.645027365391724,-6.8926600300624425,-9.703464553047395,0.0,-0.8225740679459589,-0.578569586812277,-0.7946924604362999,0.0
DS order-1.5 block Gaussian,20,0,8,74.08854260097723,-5234.960129676349,29387.294591269405,19064.622637152657,4.575406773010723,0.04999999999999993,1,0,0.05,0,14.433088839263394,0.3788576684216755,12.680581286206605,-0.01,1.7340591306884008,0.5,1.7366395792867848,4.855818547490195,-2.54977970979876,4.5288006373284855,4.7078369061007965,2.5427190557328587,-4.054654488374174,-2.6663443728870777,-0.856833558839018,-6.677087197399878,-6.920756032617618,-9.731584056543051,0.2898178177652037,0.12688977943010235,0.16260111776742178,0.13087346727206842,0.2898178177652037,2.669523406653907,-0.9705946894959594,2.540071790719106,-1.0,0.5504649785199554,-0.6931471805599453,1.7366395792867848,4.855818547490195,-2.54977970979876,4.5288006373284855,4.7078369061007965,2.5427190557328587,-4.054654488374174,-2.6663443728870777,-0.856833558839018,-6.677087197399878,-6.920756032617618,-9.731584056543051,0.0,-0.825933679837428,-0.5779524395398298,-0.795021553234384,0.0
DS order-1.5 block Gaussian,20,0,9,82.03880533896154,-5102.068249668899,29852.456310734742,26543.607731098793,4.340491560439759,0.06999999999999995,1,0,0.05,0,14.783841260913608,0.3754662415353266,12.233005928044863,-0.01,1.7944295925186506,0.5,1.7095297643358105,4.832006164291952,-2.5793554822051137,4.4967051537921945,4.678870441154827,2.513682039276443,-4.074034753469907,-2.694701585440148,-0.8895764861842697,-6.708244426792486,-6.948382440780596,-9.75502939357644,0.2891191168217618,0.12610144517045957,0.16366587803153507,0.13172799879125555,0.289385561184988,2.693534777619931,-0.9795867145216306,2.50413770265919,-1.0,0.5846871956832014,-0.6931471805599453,1.7095297643358105,4.832006164291952,-2.5793554822051137,4.4967051537921945,4.678870441154827,2.513682039276443,-4.074034753469907,-2.694701585440148,-0.8895764861842697,-6.708244426792486,-6.948382440780596,-9.75502939357644,-0.000921148582529621,-0.8306732172937309,-0.5699329001399024,-0.7870207393301049,0.0
DS order-1.5 block Gaussian,20,0,10,92.81122441997286,-5046.343533433563,29690.38074055727,6722.499912637318,2.5776551631717615,0.08999999999999997,1,0,0.05,0,15.168601126284232,0.3710932074766718,12.010542456589855,-0.01,1.854582542074248,0.5,1.6852191673040207,4.811319857522215,-2.6068352537120023,4.4651494053848015,4.650686427133565,2.4867588176266753,-4.0903092419622125,-2.7211751676375173,-0.9209884011784473,-6.738333778333946,-6.976627829451674,-9.773765168388447,0.28827525111665786,0.12524995615272205,0.16497779437729426,0.1327649837794985,0.2887320145738272,2.7192275759433664,-0.9913020148376905,2.485784802148481,-1.0,0.6176596260291299,-0.6931471805599453,1.6852191673040207,4.811319857522215,-2.6068352537120023,4.4651494053848015,4.650686427133565,2.4867588176266753,-4.0903092419622125,-2.7211751676375173,-0.9209884011784473,-6.738333778333946,-6.976627829451674,-9.773765168388447,-0.0015832159480072567,-0.8351875828190215,-0.5596880873934739,-0.7769184467914546,0.0
