method,inference_nstep,evaluation_nstep,start,updates_completed,termination_reason,euler20_loglik,euler20_se,eval_particles,eval_replicates,evaluation_seed,evaluation_status
DS order-1.5 block Gaussian,20,20,0,53,time-budget,-3972.0669589079853,0.2142447235316203,5000,36,32636471,ok
DS order-1.5 block Gaussian,20,20,1,52,time-budget,-4508.898877842362,9.149249769955864,5000,36,32637468,ok
DS order-1.5 block Gaussian,20,20,2,54,time-budget,-4223.144207082354,0.15368078266193033,5000,36,32638465,ok
DS order-1.5 block Gaussian,20,20,3,56,time-budget,-4116.760382104851,0.25029651761941873,5000,36,32639462,ok
DS order-1.5 block Gaussian,20,20,4,51,time-budget,-5679.831417548014,4.440091978919857,5000,36,32640459,ok
DS order-1.5 block Gaussian,20,20,5,56,time-budget,-6443.645852197024,13.166541059283432,5000,36,32641456,ok
DS order-1.5 block Gaussian,20,20,6,56,time-budget,-4010.20518581762,0.1063503734540762,5000,36,32642453,ok
DS order-1.5 block Gaussian,20,20,7,56,time-budget,-4074.327850805667,0.15240972698794464,5000,36,32643450,ok
DS order-1.5 block Gaussian,20,20,8,54,time-budget,-3932.871021437583,0.24066375846026025,5000,36,32644447,ok
DS order-1.5 block Gaussian,20,20,9,49,time-budget,-4409.072477913791,6.106587632749084,5000,36,32645444,ok
DS order-1.5 block Gaussian,20,20,10,56,time-budget,-4006.363516214321,0.258782049968599,5000,36,32646441,ok
DS order-1.5 block Gaussian,20,20,11,55,time-budget,-3891.6144688048967,0.11761639051969514,5000,36,32647438,ok
DS order-1.5 block Gaussian,20,20,12,57,time-budget,-3974.8003791778083,0.0846993396866428,5000,36,32648435,ok
DS order-1.5 block Gaussian,20,20,13,55,time-budget,-4201.183301224113,0.08617813707020694,5000,36,32649432,ok
DS order-1.5 block Gaussian,20,20,14,57,time-budget,-3976.2738111446283,0.10069701900056195,5000,36,32650429,ok
DS order-1.5 block Gaussian,20,20,15,57,time-budget,-4154.212888553229,0.108160748545632,5000,36,32651426,ok
DS order-1.5 block Gaussian,20,20,16,55,time-budget,-4099.595995140869,0.5958550149879641,5000,36,32652423,ok
DS order-1.5 block Gaussian,20,20,17,55,time-budget,-4268.6257890618235,0.4811746080092276,5000,36,32653420,ok
DS order-1.5 block Gaussian,20,20,18,57,time-budget,-3984.864026041153,0.2718323697200225,5000,36,32654417,ok
DS order-1.5 block Gaussian,20,20,19,57,time-budget,-3894.347289057068,0.1200958959239474,5000,36,32655414,ok
DS order-1.5 block Gaussian,20,20,20,55,time-budget,-3872.9666169916854,0.19968349051979561,5000,36,32656411,ok
DS order-1.5 block Gaussian,20,20,21,56,time-budget,-4117.711906231705,0.10936954209705917,5000,36,32657408,ok
