method,inference_nstep,evaluation_nstep,start,updates_completed,termination_reason,euler20_loglik,euler20_se,eval_particles,eval_replicates,evaluation_seed,evaluation_status
DS order-1.5 block Gaussian,20,20,0,253,time-budget,-3771.9673481244463,0.11795408681539785,5000,36,32631871,ok
DS order-1.5 block Gaussian,20,20,1,251,time-budget,-3763.1033064263274,0.12522468477337506,5000,36,32632868,ok
DS order-1.5 block Gaussian,20,20,2,241,time-budget,-3767.9913063604095,0.30603928410105047,5000,36,32633865,ok
DS order-1.5 block Gaussian,20,20,3,245,time-budget,-3775.6451475502404,0.13466377581855096,5000,36,32634862,ok
DS order-1.5 block Gaussian,20,20,4,251,time-budget,-3760.8479763264145,0.17464589373528785,5000,36,32635859,ok
DS order-1.5 block Gaussian,20,20,5,251,time-budget,-3789.6165624344294,0.09456679248901531,5000,36,32636856,ok
DS order-1.5 block Gaussian,20,20,6,239,time-budget,-3773.3767889250853,0.17877500663239776,5000,36,32637853,ok
DS order-1.5 block Gaussian,20,20,7,248,time-budget,-3767.53578185848,0.2946583422768855,5000,36,32638850,ok
DS order-1.5 block Gaussian,20,20,8,238,time-budget,-3788.0223196669094,0.13662060918617497,5000,36,32639847,ok
DS order-1.5 block Gaussian,20,20,9,231,time-budget,-3755.937693662936,0.1629462385201316,5000,36,32640844,ok
DS order-1.5 block Gaussian,20,20,10,253,time-budget,-3794.7306273342388,0.19955212240550171,5000,36,32641841,ok
DS order-1.5 block Gaussian,20,20,11,198,time-budget,-3893.9549759636143,0.46856215087866593,5000,36,32642838,ok
DS order-1.5 block Gaussian,20,20,12,235,time-budget,-3834.801338822716,0.17164616208067884,5000,36,32643835,ok
DS order-1.5 block Gaussian,20,20,13,222,time-budget,-3812.7013895056994,0.14171099781867874,5000,36,32644832,ok
DS order-1.5 block Gaussian,20,20,14,247,time-budget,-3776.92257851418,0.17004709304415067,5000,36,32645829,ok
DS order-1.5 block Gaussian,20,20,15,234,time-budget,-3758.3019293917905,0.15569876017459008,5000,36,32646826,ok
DS order-1.5 block Gaussian,20,20,16,216,time-budget,-3755.5824153986914,0.11999829077296661,5000,36,32647823,ok
DS order-1.5 block Gaussian,20,20,17,226,time-budget,-3770.020766989933,0.2620124588294519,5000,36,32648820,ok
DS order-1.5 block Gaussian,20,20,18,235,time-budget,-3802.2986765801884,0.24511809507293345,5000,36,32649817,ok
DS order-1.5 block Gaussian,20,20,19,225,time-budget,-3756.7318387496884,0.1767102146133243,5000,36,32650814,ok
DS order-1.5 block Gaussian,20,20,20,253,time-budget,-3784.1964060861305,0.2719657457498611,5000,36,32651811,ok
