method,inference_nstep,start,start_type,starts_file,particles,iterations_requested,updates_completed,termination_reason,elapsed_seconds,optimizer_elapsed_seconds,elapsed_time_offset_seconds,output_selected_iteration,output_selected_elapsed_seconds,initial_pseudo_loglik,final_pseudo_loglik,minimum_ess,maximum_invalid_fraction,maximum_backward_fallbacks,total_backtracks,gamma,m,epsilon,beta_trend,sigma,tau,bs1,bs2,bs3,bs4,bs5,bs6,omegas1,omegas2,omegas3,omegas4,omegas5,omegas6,S_0,I_0,R1_0,R2_0,R3_0,raw_0,raw_1,raw_2,raw_3,raw_4,raw_5,raw_6,raw_7,raw_8,raw_9,raw_10,raw_11,raw_12,raw_13,raw_14,raw_15,raw_16,raw_17,raw_18,raw_19,raw_20,raw_21,raw_22
DS order-1.5 block Gaussian,20,0,if2-warm-start,results/reference/ifad097_comparable_post_if2.npz,100,400,254,time-budget,943.3777078033891,851.217280233046,92.16042757034302,254,943.3775595093612,-3849.357708596456,-3841.469505417021,1.0013828063486818,0.64,0,0,17.734823523486554,0.06535400156343413,8.44123099992241,-0.002867594328159651,2.5758684194607437,0.2611847284431145,0.6951023655726476,6.785383847042322,-6.3171629006658865,4.0462553460017245,3.292657853867003,4.324319295143627,-7.570646489905337,-1.3275721969382746,-4.8965078776642645,-3.3596143386551587,-9.816007706938962,-7.161100053027809,0.6320112840626169,0.2484798468921735,0.009498040117546288,0.09091934826271764,0.019091480664945648,2.875530137428208,-2.7279366079872593,2.1331281510437163,-0.2867594328159651,0.9461867275356248,-1.3425273501990924,0.6951023655726476,6.785383847042322,-6.3171629006658865,4.0462553460017245,3.292657853867003,4.324319295143627,-7.570646489905337,-1.3275721969382746,-4.8965078776642645,-3.3596143386551587,-9.816007706938962,-7.161100053027809,0.0,-0.9335455052944034,-4.1978217746100865,-1.93893441780819,-3.499665051453616
DS order-1.5 block Gaussian,20,10,if2-warm-start,results/reference/ifad097_comparable_post_if2.npz,100,400,252,time-budget,943.5213693722617,851.3609418019187,92.16042757034302,253,943.5212135643233,-3890.1815344458746,-3852.685714224398,1.0206038787881357,0.74,0,7,17.209442709106305,0.04606777671437099,18.878865359308595,-0.005444006789683643,2.619213729943306,0.23224028522722437,0.8059372452558519,5.673752058411063,-2.607142612300642,3.5736446341292085,3.44762705498824,4.18906125019586,-4.8874383068128875,2.4263461946803115,-8.544885123883043,-2.6768145079959247,-7.58016764177531,-1.9080886071130245,0.2883593881102551,0.49654874210405825,0.025472194327119627,0.1033524106647651,0.08626726479380208,2.8454582278924234,-3.0776415600576965,2.9380430614171797,-0.5444006789683643,0.9628741696579922,-1.459982731109333,0.8059372452558519,5.673752058411063,-2.607142612300642,3.5736446341292085,3.44762705498824,4.18906125019586,-4.8874383068128875,2.4263461946803115,-8.544885123883043,-2.6768145079959247,-7.58016764177531,-1.9080886071130245,-0.5434740725052898,0.0,-2.9700942113934787,-1.569537038967236,-1.7502314426725363
DS order-1.5 block Gaussian,20,20,if2-warm-start,results/reference/ifad097_comparable_post_if2.npz,100,400,254,time-budget,943.2656480963342,851.1052205259912,92.16042757034302,254,943.2655095083173,-3880.8239118810834,-3844.2259877382094,1.0066762829868632,0.6499999999999999,0,0,18.710284777704334,0.044435394816496714,17.0475963879486,-0.0029613160540532973,2.5821424346293163,0.27410518407807233,0.8769634443047714,6.647013061720308,-5.409459371405141,4.17565702505118,3.2612807599087508,4.424784922546886,-6.739562703701977,-12.565566360278883,-1.7914588657147386,-4.582538471192419,-8.039695498965784,-4.236954643210576,0.28532151426414126,0.3851200734781893,0.09795353717865421,0.05165159565627,0.1799532794227452,2.929073360785042,-3.1137189465718786,2.836009219477848,-0.29613160540532973,0.9486194553604678,-1.2942433627618701,0.8769634443047714,6.647013061720308,-5.409459371405141,4.17565702505118,3.2612807599087508,4.424784922546886,-6.739562703701977,-12.565566360278883,-1.7914588657147386,-4.582538471192419,-8.039695498965784,-4.236954643210576,-0.299938500183464,0.0,-1.3690619090049216,-2.0090340761038354,-0.7608579063912372
DS order-1.5 block Gaussian,20,30,if2-warm-start,results/reference/ifad097_comparable_post_if2.npz,100,400,254,time-budget,943.1944559053518,851.0340283350088,92.16042757034302,254,943.1942774653435,-3842.4929960889453,-3810.9422200029303,1.0225288724310706,0.6599999999999999,0,0,25.65445977837207,0.047937847745489724,44.457697913061004,-0.0032271028405207124,2.3928632708067616,0.2829742280069129,1.2524328676892165,6.0055187954991744,-2.0982624289205223,4.161169477735577,3.490678856678512,4.47362454224113,-1.1772542578604204,-2.568819210603488,-2.6311304276484875,-3.8411310521925253,-12.400666154957344,-4.370400023881998,0.12273277869313685,0.4456522981198074,0.0008673697519430976,0.37096758744655284,0.05977996598855991,3.2447174270048897,-3.0378499457377717,3.794538128361945,-0.32271028405207125,0.8724906701466519,-1.2623994525991427,1.2524328676892165,6.0055187954991744,-2.0982624289205223,4.161169477735577,3.490678856678512,4.47362454224113,-1.1772542578604204,-2.568819210603488,-2.6311304276484875,-3.8411310521925253,-12.400666154957344,-4.370400023881998,-1.2895295862918954,0.0,-6.241828967631102,-0.18342435392754045,-2.008868459433057
DS order-1.5 block Gaussian,20,40,if2-warm-start,results/reference/ifad097_comparable_post_if2.npz,100,400,254,time-budget,943.5852515115403,851.4248239411972,92.16042757034302,254,943.5850779153407,-3864.5007410387907,-3814.796493816205,1.0005862089968587,0.72,0,0,22.57002704283419,0.06185851950590494,26.011496836899614,-0.0032505228489627673,2.6402234483352673,0.23793455412060835,1.1660575935185697,5.920519538499097,-2.6205504600170184,3.8932211491104862,3.528487891964993,4.3662241133824535,-1.6144608282838881,-1.474152192934142,-3.786311774207206,-4.0071601219193616,-7.522218500237426,-8.134177402493945,0.1854855235170146,0.34065612006259066,0.20187958826772293,0.02827921394438192,0.24369955420828993,3.1166227890048095,-2.78290544499084,3.2585386263206484,-0.32505228489627674,0.9708635530974372,-1.4357596258118532,1.1660575935185697,5.920519538499097,-2.6205504600170184,3.8932211491104862,3.528487891964993,4.3662241133824535,-1.6144608282838881,-1.474152192934142,-3.786311774207206,-4.0071601219193616,-7.522218500237426,-8.134177402493945,-0.6078966842332891,0.0,-0.5232021009161252,-2.4887464777141863,-0.3349373915307425
DS order-1.5 block Gaussian,20,50,if2-warm-start,results/reference/ifad097_comparable_post_if2.npz,100,400,252,time-budget,943.5216095093638,851.3611819390208,92.16042757034302,253,943.5214324523695,-3860.0405478509992,-3811.021096270013,1.004330566968623,0.6799999999999999,0,7,18.952180866700328,0.047796174730656095,20.821121631717602,-0.004026198395298066,2.557538298447743,0.2513324812369875,0.38088545624520564,6.714752942827449,-5.276577002153235,4.063734363339114,3.267634036448462,4.450192036816127,-0.7335386060474378,-3.66863014987479,-3.0006975213657627,-4.505359547445008,-5.774007402577086,-6.179530391319201,0.04464858119287251,0.509400112964505,0.04216710535573942,0.14692532351522586,0.25685887697165716,2.94191901022063,-3.0408096692423343,3.035967934536773,-0.4026198395298066,0.9390451936866502,-1.380978589951801,0.38088545624520564,6.714752942827449,-5.276577002153235,4.063734363339114,3.267634036448462,4.450192036816127,-0.7335386060474378,-3.66863014987479,-3.0006975213657627,-4.505359547445008,-5.774007402577086,-6.179530391319201,-2.434411253683086,0.0,-2.4915933611664833,-1.243309329901694,-0.6847069670717041
DS order-1.5 block Gaussian,20,60,if2-warm-start,results/reference/ifad097_comparable_post_if2.npz,100,400,254,time-budget,943.5947060682811,851.4342784979381,92.16042757034302,254,943.5945596382953,-3864.414913411287,-3849.25085858036,1.0146575914861464,0.6499999999999999,0,0,15.773898292902928,0.0759054622379498,7.667633144380011,-0.004401370866606765,2.6769534161208313,0.2374953299082596,0.6277261121534486,6.235681188981536,-4.988247594149717,3.165334209805623,3.629634054176486,3.9471050367424665,-4.66281956457943,0.11254530011623375,-7.946175944377246,-2.2607073566513547,-8.97033520827884,-3.8785684801146543,0.10008853409365996,0.6125684457549041,0.17629620315597216,0.01273633066873266,0.09831048632673119,2.758356567186718,-2.578266630925601,2.037007981626291,-0.44013708666067647,0.9846793628630236,-1.4376073192449412,0.6277261121534486,6.235681188981536,-4.988247594149717,3.165334209805623,3.629634054176486,3.9471050367424665,-4.66281956457943,0.11254530011623375,-7.946175944377246,-2.2607073566513547,-8.97033520827884,-3.8785684801146543,-1.8116055491052232,0.0,-1.2454951314427598,-3.8732020922705104,-1.82952998611079
DS order-1.5 block Gaussian,20,70,if2-warm-start,results/reference/ifad097_comparable_post_if2.npz,100,400,254,time-budget,943.3609597752802,851.2005322049372,92.16042757034302,254,943.3608019931708,-3851.830840756763,-3826.5041602603383,1.0000000036060683,0.62,0,0,18.224073981779213,0.07227983024324507,8.355620181855635,-0.0033575434692711833,2.5201165372087733,0.2562325190398267,0.7945896575401522,6.421079308926882,-4.531682626543254,4.106090571909323,3.3042073157643466,4.269876505543179,-1.9411653717220274,-7.27154290588246,-4.281877632915285,-2.8051362416124235,-18.73389982948201,-2.6179664197346706,0.005097722412950267,0.3644332241616977,0.052172589817077335,0.5457198575652723,0.03257660604300229,2.902743466276218,-2.627210161860133,2.122934388120258,-0.3357543469271183,0.9243051453781849,-1.3616699692376628,0.7945896575401522,6.421079308926882,-4.531682626543254,4.106090571909323,3.3042073157643466,4.269876505543179,-1.9411653717220274,-7.27154290588246,-4.281877632915285,-2.8051362416124235,-18.73389982948201,-2.6179664197346706,-4.673311908406164,-0.4037624264844926,-2.347548505005353,0.0,-2.818511337964001
DS order-1.5 block Gaussian,20,80,if2-warm-start,results/reference/ifad097_comparable_post_if2.npz,100,400,254,time-budget,943.4987317873165,851.3383042169735,92.16042757034302,254,943.498578829458,-3856.148374301692,-3828.049024985624,1.000000065613225,0.64,0,0,21.10179527042956,0.09634192509196324,7.349612200303923,-0.0034616582108902305,2.632009517287213,0.24268587360441865,1.9003544268764603,5.598183889255727,-2.2540206900611657,3.6810160250465818,3.6559503891052687,4.005018749324232,-11.754870124232527,-2.2243832523272067,-4.991063307682453,-3.735462522441177,-10.330026519768614,-3.4981038909679065,0.5654723537623485,0.15046037251904967,0.10464199418713951,0.08718819904576179,0.09223708048570052,3.0493581207692046,-2.3398516957089637,1.9946475499693774,-0.34616582108902305,0.9677476294471156,-1.4159873731169565,1.9003544268764603,5.598183889255727,-2.2540206900611657,3.6810160250465818,3.6559503891052687,4.005018749324232,-11.754870124232527,-2.2243832523272067,-4.991063307682453,-3.735462522441177,-10.330026519768614,-3.4981038909679065,0.0,-1.3239616622341892,-1.6871164611047649,-1.8695924165181597,-1.8132991820534972
DS order-1.5 block Gaussian,20,90,if2-warm-start,results/reference/ifad097_comparable_post_if2.npz,100,400,254,time-budget,943.2089930712245,851.0485655008815,92.16042757034302,254,943.2088641603477,-3853.3725326443455,-3824.7562925718275,1.010681939634743,0.74,0,0,21.27902086909686,0.05600671885141613,19.435448674470262,-0.004252251950006616,2.6599861590760185,0.2267924931928949,1.3241004978570738,5.705327225792072,-2.2836775294020937,3.6595069237499733,3.6085297017826354,4.183209138597406,-3.476361736695736,-0.16466960268825134,-4.411206636337003,-3.636611905746074,-8.46237974028096,-2.7129510772981007,0.42993517310547397,0.330555105514553,0.09141364327171073,0.09157640015935979,0.05651967794890255,3.0577216516243078,-2.8822836159543774,2.967098649937905,-0.4252251950006616,0.97832091942519,-1.483719806473077,1.3241004978570738,5.705327225792072,-2.2836775294020937,3.6595069237499733,3.6085297017826354,4.183209138597406,-3.476361736695736,-0.16466960268825134,-4.411206636337003,-3.636611905746074,-8.46237974028096,-2.7129510772981007,0.0,-0.26286105792831094,-1.5482396998506696,-1.5464608387988261,-2.0290455773046547
