method,inference_nstep,evaluation_nstep,start,iteration,elapsed_seconds,pseudo_loglik,euler20_loglik,euler20_se,eval_particles,eval_replicates,evaluation_seed,evaluation_status
DS order-1.5 block Gaussian,20,20,0,0,97.7480702532921,-3849.357708596456,-3770.660026510576,,5000,1,32631470,ok
DS order-1.5 block Gaussian,20,20,0,1,100.98025237419643,-3855.389249433972,-3770.9400369021323,,5000,1,32631471,ok
DS order-1.5 block Gaussian,20,20,0,2,104.21232552221045,-3851.3530490746234,-3771.4073985017408,,5000,1,32631472,ok
DS order-1.5 block Gaussian,20,20,0,3,107.44410129031166,-3847.0155043083178,-3770.0045757192515,,5000,1,32631473,ok
DS order-1.5 block Gaussian,20,20,0,4,110.67541925632395,-3854.8257233464874,-3769.2392223251604,,5000,1,32631474,ok
DS order-1.5 block Gaussian,20,20,0,5,113.90844420832582,-3849.6242301656644,-3771.2436579090495,,5000,1,32631475,ok
DS order-1.5 block Gaussian,20,20,0,6,117.13931244332343,-3851.07545840596,-3768.758412955672,,5000,1,32631476,ok
DS order-1.5 block Gaussian,20,20,0,7,120.37046234216541,-3844.9851581459934,-3771.6508179877014,,5000,1,32631477,ok
DS order-1.5 block Gaussian,20,20,0,8,123.6010912663769,-3844.7526757303276,-3769.3329230694335,,5000,1,32631478,ok
DS order-1.5 block Gaussian,20,20,0,9,126.83163091517054,-3850.622240142501,-3769.851351616183,,5000,1,32631479,ok
DS order-1.5 block Gaussian,20,20,0,10,131.20722833136097,-3848.6398635655805,-3769.90845143792,,5000,1,32631480,ok
DS order-1.5 block Gaussian,20,20,0,11,134.4391092422884,-3837.537964437856,-3769.8172505842367,,5000,1,32631481,ok
DS order-1.5 block Gaussian,20,20,0,12,137.67046202230267,-3851.728968528159,-3770.5604348140446,,5000,1,32631482,ok
DS order-1.5 block Gaussian,20,20,0,13,140.90145391016267,-3844.4102034279294,-3769.8872546274056,,5000,1,32631483,ok
DS order-1.5 block Gaussian,20,20,0,14,144.13220421620645,-3844.210725698522,-3769.5702974281194,,5000,1,32631484,ok
DS order-1.5 block Gaussian,20,20,0,15,147.36196187324822,-3847.2564099540705,-3771.548505248659,,5000,1,32631485,ok
DS order-1.5 block Gaussian,20,20,0,16,150.59285498736426,-3851.9809203584955,-3769.974130691472,,5000,1,32631486,ok
DS order-1.5 block Gaussian,20,20,0,17,153.82325021130964,-3842.6990988165653,-3771.150085866011,,5000,1,32631487,ok
DS order-1.5 block Gaussian,20,20,0,18,157.05458221537992,-3844.7271821384693,-3770.151136320138,,5000,1,32631488,ok
DS order-1.5 block Gaussian,20,20,0,19,160.2851193852257,-3854.7747194196954,-3769.093820073522,,5000,1,32631489,ok
DS order-1.5 block Gaussian,20,20,0,20,164.65808094432577,-3856.889121747622,-3770.142454866536,,5000,1,32631490,ok
DS order-1.5 block Gaussian,20,20,0,21,167.88816337729804,-3852.645341990096,-3769.263703515924,,5000,1,32631491,ok
DS order-1.5 block Gaussian,20,20,0,22,171.1189001032617,-3850.2126632123554,-3770.477499530976,,5000,1,32631492,ok
DS order-1.5 block Gaussian,20,20,0,23,174.34907168522477,-3849.2633078015688,-3769.9418378829337,,5000,1,32631493,ok
DS order-1.5 block Gaussian,20,20,0,24,177.58056130632758,-3855.098668720453,-3770.105089045549,,5000,1,32631494,ok
DS order-1.5 block Gaussian,20,20,0,25,180.81051876419224,-3848.259003249237,-3770.38873444353,,5000,1,32631495,ok
DS order-1.5 block Gaussian,20,20,0,26,184.0409400712233,-3850.5372137688587,-3769.517343314079,,5000,1,32631496,ok
DS order-1.5 block Gaussian,20,20,0,27,187.27090689516626,-3849.4332941556536,-3768.8649088684556,,5000,1,32631497,ok
DS order-1.5 block Gaussian,20,20,0,28,190.50162159930915,-3850.233470967781,-3769.629259768336,,5000,1,32631498,ok
DS order-1.5 block Gaussian,20,20,0,29,193.73164007533342,-3838.1473615437317,-3771.6730637854625,,5000,1,32631499,ok
DS order-1.5 block Gaussian,20,20,0,30,198.10575548023917,-3851.186881659956,-3769.994848121692,,5000,1,32631500,ok
DS order-1.5 block Gaussian,20,20,0,31,201.3365398463793,-3855.8324409705056,-3770.2502159777528,,5000,1,32631501,ok
DS order-1.5 block Gaussian,20,20,0,32,204.56778992922045,-3851.15516661247,-3769.855282196855,,5000,1,32631502,ok
DS order-1.5 block Gaussian,20,20,0,33,207.79805530328304,-3850.1088816038773,-3770.797452831637,,5000,1,32631503,ok
DS order-1.5 block Gaussian,20,20,0,34,211.02892969036475,-3845.815447790392,-3771.017819892857,,5000,1,32631504,ok
DS order-1.5 block Gaussian,20,20,0,35,214.25838504033163,-3847.207930865884,-3771.2307630205923,,5000,1,32631505,ok
DS order-1.5 block Gaussian,20,20,0,36,217.48798432131298,-3847.0313048104845,-3770.959336697116,,5000,1,32631506,ok
DS order-1.5 block Gaussian,20,20,0,37,220.71926665934734,-3846.553680099195,-3770.3553771329316,,5000,1,32631507,ok
DS order-1.5 block Gaussian,20,20,0,38,223.9495530652348,-3851.0796465850885,-3770.7640031942665,,5000,1,32631508,ok
DS order-1.5 block Gaussian,20,20,0,39,227.17973796022125,-3839.973147025811,-3770.5480426479635,,5000,1,32631509,ok
