method,inference_nstep,start,iteration,elapsed_seconds,pseudo_loglik,complete_pseudologlik,score_norm,minimum_ess,maximum_invalid_fraction,unique_initial_ancestors,backward_fallbacks,accepted_step_size,backtrack_count,gamma,m,epsilon,beta_trend,sigma,tau,bs1,bs2,bs3,bs4,bs5,bs6,omegas1,omegas2,omegas3,omegas4,omegas5,omegas6,S_0,I_0,R1_0,R2_0,R3_0,raw_0,raw_1,raw_2,raw_3,raw_4,raw_5,raw_6,raw_7,raw_8,raw_9,raw_10,raw_11,raw_12,raw_13,raw_14,raw_15,raw_16,raw_17,raw_18,raw_19,raw_20,raw_21,raw_22
DS order-1.5 block Gaussian,20,0,0,250.6931058918126,-14138.785570830038,20220.805610696243,34245.19241451943,1.0,0.37,1,0,0.1,0,34.64518737792969,0.2264406830072403,26.54044151306152,-0.0033870935440063477,2.9965577125549316,0.47027021646499634,-1.8913612365722656,2.567049980163574,1.9289112091064453,0.2448272705078125,1.8343191146850586,6.085728645324707,-7.877694129943848,-1.4203824996948242,-3.4576282501220703,-0.3177471160888672,-3.187976837158203,-6.3982954025268555,0.03541215521926259,0.2987414636636744,0.1920238909483009,0.24765354119500213,0.22616894897376005,3.5451588235776264,-1.4852722535347067,3.278669664525354,-0.33870935440063477,1.0974642007189286,-0.7544478208372611,-1.8913612365722656,2.567049980163574,1.9289112091064453,0.2448272705078125,1.8343191146850586,6.085728645324707,-7.877694129943848,-1.4203824996948242,-3.4576282501220703,-0.3177471160888672,-3.187976837158203,-6.3982954025268555,-2.132523400348492,0.0,-0.44195873301761646,-0.187547771202345,-0.2782962475088595
DS order-1.5 block Gaussian,20,0,1,254.51987908477895,-8909.359689485353,24387.5744002972,15083.468900317057,1.00000029078933,0.45999999999999996,1,0,0.1,0,31.348261894869204,0.2502556575240591,29.33172410016362,-0.004387093527382213,3.311708438177929,0.5,-1.7913612371530057,2.6670499798985756,2.028911208195643,0.3448272657387179,1.9343191141043803,6.1857286446812125,-7.777694130104303,-1.3203824997726228,-3.357628250549873,-0.417747109187646,-3.087976840115147,-6.298295406383845,0.03086255568510691,0.2603592631846002,0.20440505822353464,0.26362153848022063,0.24075158442653768,3.4451588235920223,-1.3852722535536048,3.378669664083525,-0.4387093527382213,1.1974642006968652,-0.6931471805599453,-1.7913612371530057,2.6670499798985756,2.028911208195643,0.3448272657387179,1.9343191141043803,6.1857286446812125,-7.777694130104303,-1.3203824997726228,-3.357628250549873,-0.417747109187646,-3.087976840115147,-6.298295406383845,-2.144970849277783,-0.012452049530911793,-0.25441090353031587,0.0,-0.09074887637661842
DS order-1.5 block Gaussian,20,0,2,258.3428480888251,-6606.27506651353,25711.478798626056,6622.243092386697,1.0,0.45999999999999996,1,0,0.1,0,28.366973731389503,0.2765885313159242,29.080429035792918,-0.005386517815810251,3.659833970228977,0.5,-1.6912294393120846,2.7670729360040403,2.129024673563177,0.44308950036502026,2.033192492543431,6.282738376696238,-7.677687768027728,-1.2203214847505306,-3.2583230210585974,-0.501436951702479,-3.0556863396894944,-6.202912686277243,0.029567733832525055,0.2752642493688924,0.2006030110622541,0.25905682963396326,0.23550817610236519,3.345225571695974,-1.285224323677169,3.3700654061944806,-0.5386517815810251,1.297417783058912,-0.6931471805599453,-1.6912294393120846,2.7670729360040403,2.129024673563177,0.44308950036502026,2.033192492543431,6.282738376696238,-7.677687768027728,-1.2203214847505306,-3.2583230210585974,-0.501436951702479,-3.0556863396894944,-6.202912686277243,-2.231047849544569,0.0,-0.31640365739153253,-0.060684086020378274,-0.15598591217657684
DS order-1.5 block Gaussian,20,0,3,262.1590781607665,-5721.138236477289,25852.609685691845,2572.3658146271187,1.000000061604305,0.45999999999999996,1,0,0.1,0,25.675547411428507,0.3057252268251511,27.30358233216575,-0.0063878647917963395,4.044272201029308,0.5,-1.5908731914202485,2.8669494637077766,2.229318564049617,0.4997608937370325,2.0964157330787283,6.308342499219916,-7.577933934393906,-1.120346477858611,-3.162168818441939,-0.5901851857512161,-3.0705850848717424,-6.109223531091091,0.030725480836006028,0.2607553568488529,0.19973936321478458,0.26464606727764584,0.24413373182271078,3.2455390763829945,-1.185068531981552,3.3070179145406495,-0.6387864791796339,1.397301608742007,-0.6931471805599453,-1.5908731914202485,2.8669494637077766,2.229318564049617,0.4997608937370325,2.0964157330787283,6.308342499219916,-7.577933934393906,-1.120346477858611,-3.162168818441939,-0.5901851857512161,-3.0705850848717424,-6.109223531091091,-2.1533010331091034,-0.014810700432211062,-0.281380005366001,0.0,-0.08067718171318472
DS order-1.5 block Gaussian,20,0,4,265.9838903557975,-5282.870628768182,25946.597343738296,1601.8299263234208,1.0000859523061716,0.6,1,0,0.1,0,23.550369677645858,0.33352831737603894,25.568533230136012,-0.007361403655386538,4.47120270400125,0.5,-1.4902012900224197,2.9663444072995357,2.3296855004433517,0.46054720264187016,2.057025959661385,6.256543278388939,-7.477871418816789,-1.019946057257688,-3.0789335368208888,-0.6759908320326649,-3.1299084125513135,-6.132294722999901,0.03101715202848994,0.2417247151185465,0.20931314221550917,0.26140575753632145,0.25653923310113297,3.159141517903801,-1.0980275075578008,3.241362424737796,-0.7361403655386538,1.4976574337327968,-0.6931471805599453,-1.4902012900224197,2.9663444072995357,2.3296855004433517,0.46054720264187016,2.057025959661385,6.256543278388939,-7.477871418816789,-1.019946057257688,-3.0789335368208888,-0.6759908320326649,-3.1299084125513135,-6.132294722999901,-2.1315334840001294,-0.07827428888414084,-0.22224240795416872,0.0,-0.018792218243436305
DS order-1.5 block Gaussian,20,0,5,269.8014045218006,-5150.029553888206,25711.00181975314,2249.272380982625,1.0013710580583717,0.62,1,0,0.1,0,22.04175780741451,0.3555549963105799,23.655793944548982,-0.00834330711749221,4.937039114517473,0.5,-1.3902515319261612,3.066400070489391,2.425169676022836,0.39686187008226304,1.9933957865523348,6.186622179554166,-7.377730106753102,-0.9196283937417504,-3.043368843291618,-0.7586448702656822,-3.202071694963084,-6.185132371078417,0.03262269407201496,0.22303383226660192,0.22390597248305386,0.2602187505891646,0.2602187505891646,3.0929387364317638,-1.0340753404082694,3.16360807201803,-0.8343307117492209,1.5967657819752326,-0.6931471805599453,-1.3902515319261612,3.066400070489391,2.425169676022836,0.39686187008226304,1.9933957865523348,6.186622179554166,-7.377730106753102,-0.9196283937417504,-3.043368843291618,-0.7586448702656822,-3.202071694963084,-6.185132371078417,-2.076514442340264,-0.1541991515475135,-0.1502964276721024,0.0,0.0
DS order-1.5 block Gaussian,20,0,6,273.6107375146821,-5074.249548887032,26057.33993957161,775.1834511384736,1.2183176982935484,0.62,1,0,0.1,0,20.485814991069287,0.3826836540470014,22.934613153458773,-0.00925879597813347,4.999999999999999,0.5,-1.3094237101491841,3.1594688450753536,2.484697056986974,0.3249099673018069,1.9238080464147878,6.108738842725688,-7.282322135172812,-0.8259222898100113,-3.0391979711362573,-0.8467563959512502,-3.279754571547357,-6.231732570364712,0.03293551935384346,0.20487552524391037,0.24247475633619348,0.2598570995330263,0.2598570995330263,3.019732694980167,-0.9605465996471468,3.132647260824206,-0.9258795978133469,1.6094379124341003,-0.6931471805599453,-1.3094237101491841,3.1594688450753536,2.484697056986974,0.3249099673018069,1.9238080464147878,6.108738842725688,-7.282322135172812,-0.8259222898100113,-3.0391979711362573,-0.8467563959512502,-3.279754571547357,-6.231732570364712,-2.0655801717161286,-0.23772926195059882,-0.06923425536367062,0.0,0.0
DS order-1.5 block Gaussian,20,0,7,277.40936088887975,-4997.407337252454,26348.170954794186,1377.2197810025523,1.1889035657835172,0.63,1,0,0.1,0,19.816614907457144,0.40254469949178673,22.15835976644385,-0.009831953446874908,4.999999999999999,0.5,-1.2717480532214378,3.247723819153056,2.461275931728052,0.24983099964412214,1.845955486961633,6.028979167227504,-7.185317172561035,-0.7331800128127067,-3.084047540994836,-0.9314314399737981,-3.3591683487046096,-6.296681755650552,0.03265824093855901,0.1915356036937675,0.2568799449041881,0.25946310523174276,0.25946310523174276,2.9865207225623505,-0.9099491336516493,3.0982148413798796,-0.9831953446874908,1.6094379124341003,-0.6931471805599453,-1.2717480532214378,3.247723819153056,2.461275931728052,0.24983099964412214,1.845955486961633,6.028979167227504,-7.185317172561035,-0.7331800128127067,-3.084047540994836,-0.9314314399737981,-3.3591683487046096,-6.296681755650552,-2.0725172898465845,-0.30354080471539246,-0.010005680826493765,0.0,0.0
DS order-1.5 block Gaussian,20,0,8,281.2096166887786,-4940.475335429596,26680.09018466364,611.3879777219206,1.030565546975754,0.59,1,0,0.1,0,19.527289163121388,0.4138902060739354,21.037395057488293,-0.01,4.999999999999999,0.5,-1.2609758020973725,3.3287105727098707,2.420803501635474,0.16820787169516888,1.7627653849310008,5.9441165727825,-7.093661247084776,-0.6476848170550713,-3.144304374978643,-1.0209415942017386,-3.444220222979659,-6.371409608764981,0.03179482456002607,0.18224745985440186,0.2655414726138712,0.2655414726138712,0.2548747703578297,2.9718129315228343,-0.8821545430492455,3.0463015711497965,-1.0,1.6094379124341003,-0.6931471805599453,-1.2609758020973725,3.3287105727098707,2.420803501635474,0.16820787169516888,1.7627653849310008,5.9441165727825,-7.093661247084776,-0.6476848170550713,-3.144304374978643,-1.0209415942017386,-3.444220222979659,-6.371409608764981,-2.122467507328867,-0.37640560109223464,0.0,0.0,-0.04099870629009997
DS order-1.5 block Gaussian,20,0,9,285.0096895687748,-4898.553664197269,26755.303271055905,6156.444058045558,1.6808838398445578,0.63,1,0,0.1,0,19.272312560962,0.4177180456407176,20.46914639255138,-0.01,4.999999999999999,0.5,-1.2788220579592124,3.395545802976418,2.3601485074735837,0.0817767395552918,1.6742256575769254,5.854529578669555,-6.999720124511478,-0.565461314318155,-3.2159673791194527,-1.1110774312373852,-3.5318350476000275,-6.453804120642296,0.03109618334165377,0.17733142833628646,0.2699223290678525,0.2699223290678525,0.2517277301863547,2.9586694835788325,-0.8729486060164234,3.01891869839098,-1.0,1.6094379124341003,-0.6931471805599453,-1.2788220579592124,3.395545802976418,2.3601485074735837,0.0817767395552918,1.6742256575769254,5.854529578669555,-6.999720124511478,-0.565461314318155,-3.2159673791194527,-1.1110774312373852,-3.5318350476000275,-6.453804120642296,-2.1610491579734323,-0.4201137893430405,0.0,0.0,-0.0697861798428132
