method,inference_nstep,start,iteration,elapsed_seconds,pseudo_loglik,complete_pseudologlik,score_norm,minimum_ess,maximum_invalid_fraction,unique_initial_ancestors,backward_fallbacks,accepted_step_size,backtrack_count,gamma,m,epsilon,beta_trend,sigma,tau,bs1,bs2,bs3,bs4,bs5,bs6,omegas1,omegas2,omegas3,omegas4,omegas5,omegas6,S_0,I_0,R1_0,R2_0,R3_0,raw_0,raw_1,raw_2,raw_3,raw_4,raw_5,raw_6,raw_7,raw_8,raw_9,raw_10,raw_11,raw_12,raw_13,raw_14,raw_15,raw_16,raw_17,raw_18,raw_19,raw_20,raw_21,raw_22
DS order-1.5 block Gaussian,20,0,0,35.97523058997467,-6215.478468627196,28039.492349374126,35769.66538832136,337.8446878977487,0.0040000000000000036,2,0,0.05,0,12.204439319925953,0.40694085741223185,15.776105071350697,-0.009654575819763804,1.285275956517952,0.4046354317852725,2.0519699908305746,5.157343476386535,-2.22942514844895,4.8620776876508796,5.000225608613919,2.862000628488265,-3.7594382581790438,-2.3527504780275645,-0.5265467864596349,-6.352280427453167,-6.610966241633912,-9.421106416727302,0.30016229191247606,0.12847598067816407,0.16178485054093505,0.1308026974351881,0.27877417943323657,2.501799764233874,-0.899087417582029,2.7584964580403506,-0.9654575819763804,0.25097344744528827,-0.904768785701927,2.0519699908305746,5.157343476386535,-2.22942514844895,4.8620776876508796,5.000225608613919,2.862000628488265,-3.7594382581790438,-2.3527504780275645,-0.5265467864596349,-6.352280427453167,-6.610966241633912,-9.421106416727302,0.0,-0.8485813353537146,-0.6180559319568264,-0.8306332400209862,-0.07392124005080869
DS order-1.5 block Gaussian,20,0,1,69.31963543198071,-6136.342681180547,28263.75791396299,53598.181939103604,109.14470480011639,0.019399999999999973,1,0,0.05,0,11.609221790753256,0.4278051613289452,16.584963274713406,-0.01,1.3511734628626964,0.4253815339686437,2.0019699921130543,5.107343477802543,-2.2794251421665166,4.912077686666804,5.0502256078193115,2.8120006322532665,-3.8094382363429498,-2.402750474317783,-0.5765467842907781,-6.402280420634562,-6.660965936308245,-9.471106211413806,0.2981911000486552,0.1341761138757492,0.1528838717141401,0.12360627565041835,0.2911426387110372,2.4517997642430225,-0.8490874175890675,2.808496458028967,-1.0,0.30097344663734327,-0.8547687857885449,2.0019699921130543,5.107343477802543,-2.2794251421665166,4.912077686666804,5.0502256078193115,2.8120006322532665,-3.8094382363429498,-2.402750474317783,-0.5765467842907781,-6.402280420634562,-6.660965936308245,-9.471106211413806,0.0,-0.7985813366149997,-0.6680559315118922,-0.8806332387019599,-0.023921241836720647
DS order-1.5 block Gaussian,20,0,2,102.7446395579027,-6077.033853963874,28477.47898696825,28596.709177529672,246.63074221522336,0.01859999999999995,1,0,0.05,0,11.042937864910447,0.4494595553979629,17.430950835829847,-0.01,1.4188812595555715,0.44615727696898183,1.9521999588374133,5.0575346329665045,-2.3294749805386847,4.934129321329656,5.059346873762245,2.764030753523516,-3.8593557949754094,-2.4521475168580875,-0.6256040838153695,-6.451492165448935,-6.710991970483755,-9.519017926484084,0.2979957333985571,0.1409244453369571,0.14540804805835628,0.11767603980757235,0.2979957333985571,2.4017911163997434,-0.7997094059863366,2.8582474097267627,-1.0,0.34986871571649325,-0.8070837501806665,1.9521999588374133,5.0575346329665045,-2.3294749805386847,4.934129321329656,5.059346873762245,2.764030753523516,-3.8593557949754094,-2.4521475168580875,-0.6256040838153695,-6.451492165448935,-6.710991970483755,-9.519017926484084,0.0,-0.7488552708625054,-0.7175352542229188,-0.9291437454344842,0.0
DS order-1.5 block Gaussian,20,0,3,136.18529309297446,-6021.062806850936,28397.709315918026,8204.153334596196,103.72634132727843,0.026799999999999935,1,0,0.05,0,10.502848743930057,0.47220012983538623,18.320144107315826,-0.01,1.4905267607543446,0.4684524047678115,1.9033174194977114,5.008142238076047,-2.3773677097084374,4.92480640282961,5.0391392387963005,2.717457185624373,-3.906673375472684,-2.500586256033583,-0.6742625196511349,-6.500865223469387,-6.760310772998969,-9.566444677588526,0.29959079866627575,0.14839701978373976,0.13951700884097748,0.11290437404273129,0.29959079866627575,2.351646529311581,-0.7503523793722993,2.908001225334906,-1.0,0.3991295881877257,-0.7583207731413724,1.9033174194977114,5.008142238076047,-2.3773677097084374,4.92480640282961,5.0391392387963005,2.717457185624373,-3.906673375472684,-2.500586256033583,-0.6742625196511349,-6.500865223469387,-6.760310772998969,-9.566444677588526,0.0,-0.7025262908977948,-0.7642310181052374,-0.9758763260762029,0.0
DS order-1.5 block Gaussian,20,0,4,169.61736581497826,-5982.747009714776,28586.435492854227,41295.20621061995,243.06954083334423,0.032399999999999984,1,0,0.05,0,10.000000000000002,0.49573898865267935,19.256950703791563,-0.01,1.5473844501428742,0.48948556760299056,1.8590306269593695,4.963420722008532,-2.4183262048367458,4.895293765341037,5.0057135827593395,2.676508150466115,-3.953589984750683,-2.54350811257436,-0.7173107820808031,-6.544291250009813,-6.8013359055610625,-9.614150388220839,0.3009644843506356,0.15591184783785567,0.1339158053544544,0.10824337810641879,0.3009644843506356,2.302585092994046,-0.7017057233212366,2.9578720710833544,-1.0,0.43656605406041316,-0.7144003014033508,1.8590306269593695,4.963420722008532,-2.4183262048367458,4.895293765341037,5.0057135827593395,2.676508150466115,-3.953589984750683,-2.54350811257436,-0.7173107820808031,-6.544291250009813,-6.8013359055610625,-9.614150388220839,0.0,-0.6577014960263198,-0.8097809813707331,-1.022610072812246,0.0
DS order-1.5 block Gaussian,20,0,5,203.05586903600488,-5912.276254910674,28887.75678933946,15536.595140731984,275.1019397981747,0.03379999999999994,1,0,0.05,0,10.000000000000002,0.5206983429690489,20.2378881388268,-0.01,1.6033386028467551,0.5,1.8172047866974914,4.920997550995679,-2.4578492674723047,4.864737539535151,4.970211705129154,2.6362312300821693,-3.9979573144556193,-2.5832276716463305,-0.7585205056483786,-6.587220454509738,-6.84309516038019,-9.658332616115503,0.3019417031815345,0.16236287095962293,0.12934148201907883,0.10441224065822922,0.3019417031815345,2.302585092994046,-0.6525844011324458,3.007556498008312,-1.0,0.472088082042967,-0.6931471805599453,1.8172047866974914,4.920997550995679,-2.4578492674723047,4.864737539535151,4.970211705129154,2.6362312300821693,-3.9979573144556193,-2.5832276716463305,-0.7585205056483786,-6.587220454509738,-6.84309516038019,-9.658332616115503,0.0,-0.6204001884258228,-0.847777908645755,-1.06188704665857,0.0
DS order-1.5 block Gaussian,20,0,6,236.48896399489604,-5874.511322266856,29164.50103112898,28595.603892331208,65.82502702483823,0.04519999999999991,1,0,0.05,0,10.000000000000002,0.5469328112177528,21.275033191101745,-0.01,1.6691571191250492,0.5,1.772837346192129,4.876075525366744,-2.50074840340825,4.827902068738863,4.9307729059065615,2.5928520563569806,-4.043165444394697,-2.624882390780605,-0.8018586403591464,-6.632446571308549,-6.884345269631649,-9.703339004457007,0.30271620703993,0.16659397047597213,0.12623927148124794,0.10173434396291983,0.30271620703993,2.302585092994046,-0.6034293155163379,3.0575342345570102,-1.0,0.5123187799283148,-0.6931471805599453,1.772837346192129,4.876075525366744,-2.50074840340825,4.827902068738863,4.9307729059065615,2.5928520563569806,-4.043165444394697,-2.624882390780605,-0.8018586403591464,-6.632446571308549,-6.884345269631649,-9.703339004457007,0.0,-0.5972362187294834,-0.8746166700082272,-1.0904308113889116,0.0
DS order-1.5 block Gaussian,20,0,7,269.9335358089302,-5789.794804699771,29607.290713958133,8468.02442465098,45.10715048102883,0.05919999999999992,1,0,0.05,0,10.000000000000002,0.5745971588502281,22.371973039932918,-0.01,1.7401532611589152,0.5,1.7293201337810808,4.832589222822549,-2.5426545361156414,4.792697558489451,4.891883360319499,2.5490270243897086,-4.088877061956519,-2.6670410790648575,-0.8456907978568763,-6.678601787672006,-6.9283132282460596,-9.749729051353539,0.3033813302074034,0.16983667044680162,0.12378037554230503,0.09962029359608668,0.3033813302074034,2.302585092994046,-0.554086077018911,3.107808971877841,-1.0,0.5539731904733364,-0.6931471805599453,1.7293201337810808,4.832589222822549,-2.5426545361156414,4.792697558489451,4.891883360319499,2.5490270243897086,-4.088877061956519,-2.6670410790648575,-0.8456907978568763,-6.678601787672006,-6.9283132282460596,-9.749729051353539,0.0,-0.5801533166335769,-0.8964816995220849,-1.1136246349776187,0.0
DS order-1.5 block Gaussian,20,0,8,303.36845536599867,-5678.549270566974,30463.392596861813,8033.2348930548615,53.72770001361461,0.07099999999999995,1,0,0.05,0,10.000000000000002,0.6,23.519011969532063,-0.01,1.8105037268557564,0.5,1.6839249401877892,4.7873308448280945,-2.586562145748726,4.7546830688538755,4.852309525402557,2.5052851448715825,-4.13205507391587,-2.7097688585536828,-0.8901567357053072,-6.72378639761514,-6.964939780120748,-9.791374277255052,0.3038493923511452,0.17140940240500058,0.12252590073709453,0.0983659121556145,0.3038493923511452,2.302585092994046,-0.5108256237659907,3.1578091140499347,-1.0,0.5936051086891323,-0.6931471805599453,1.6839249401877892,4.7873308448280945,-2.586562145748726,4.7546830688538755,4.852309525402557,2.5052851448715825,-4.13205507391587,-2.7097688585536828,-0.8901567357053072,-6.72378639761514,-6.964939780120748,-9.791374277255052,0.0,-0.5724772975833178,-0.9082097165235223,-1.1278378358899395,0.0
DS order-1.5 block Gaussian,20,0,9,336.8103696840117,-5508.252508130719,30864.133326641917,16345.34515127841,27.826042933356643,0.0895999999999999,1,0,0.05,0,10.000000000000002,0.6,24.741136220832665,-0.01,1.8877765040599472,0.5,1.6369420291125494,4.74195498502454,-2.6318937713435515,4.714419201818478,4.810849910282277,2.4603646740854903,-4.176886591502193,-2.754875523746737,-0.9351970501772678,-6.765797715475008,-6.9999304422617845,-9.835491136030248,0.3043684742933501,0.17301153420262763,0.12114023829986378,0.0971112789108083,0.3043684742933501,2.302585092994046,-0.5108256237659907,3.2084672923783337,-1.0,0.6353996836292962,-0.6931471805599453,1.6369420291125494,4.74195498502454,-2.6318937713435515,4.714419201818478,4.810849910282277,2.4603646740854903,-4.176886591502193,-2.754875523746737,-0.9351970501772678,-6.765797715475008,-6.9999304422617845,-9.835491136030248,0.0,-0.5648807899469056,-0.9212901852185218,-1.14238152768139,0.0
