method,inference_nstep,start,start_type,particles,iterations_requested,updates_completed,termination_reason,elapsed_seconds,output_selected_iteration,output_selected_elapsed_seconds,initial_pseudo_loglik,final_pseudo_loglik,minimum_ess,maximum_invalid_fraction,maximum_backward_fallbacks,total_backtracks,gamma,m,epsilon,beta_trend,sigma,tau,bs1,bs2,bs3,bs4,bs5,bs6,omegas1,omegas2,omegas3,omegas4,omegas5,omegas6,S_0,I_0,R1_0,R2_0,R3_0,raw_0,raw_1,raw_2,raw_3,raw_4,raw_5,raw_6,raw_7,raw_8,raw_9,raw_10,raw_11,raw_12,raw_13,raw_14,raw_15,raw_16,raw_17,raw_18,raw_19,raw_20,raw_21,raw_22
DS order-1.5 block Gaussian,20,0,global-box,5000,5000,46,time-budget,806.4488476209808,40,712.8729550309945,-6213.326621917971,-4121.771789944999,1.0354162330164458,0.4972,0,8,11.480773039778493,0.419711214883117,20.785800779246884,-0.0031106742346213236,2.4111022530540103,0.38714026350254305,0.960515742947486,5.032883580638983,-3.343390647159757,3.0159980668137196,3.5953852181510544,3.2721444282624406,-3.8844177200296888,-4.485771701365154,-3.5289554286495703,-8.429350578509629,-7.5768371806851755,-8.26707832737407,0.2534125454221388,0.15829912803912424,0.17392818975812244,0.16094759135847575,0.2534125454221388,2.4406737265841207,-0.8681883878103732,3.034270098748457,-0.31106742346213234,0.8800840093548787,-0.9489682136260709,0.960515742947486,5.032883580638983,-3.343390647159757,3.0159980668137196,3.5953852181510544,3.2721444282624406,-3.8844177200296888,-4.485771701365154,-3.5289554286495703,-8.429350578509629,-7.5768371806851755,-8.26707832737407,0.0,-0.4705323164453622,-0.3763762635463277,-0.4539399825572863,0.0
DS order-1.5 block Gaussian,20,1,global-box,5000,5000,47,time-budget,808.6410083239898,40,701.6710160779767,-5620.568935201456,-4170.331954877631,1.007544959608585,0.8,0,7,11.771423578784281,0.3442316555844326,30.000000000000004,-0.002939146065252783,2.1067534194400936,0.3295014517219082,-1.5562314448313506,2.0230446427030686,-0.682332123861156,3.1267092607890272,2.313313599338964,4.406610986667693,-2.904626297008037,-0.5659453219878695,-5.200103244199483,-8.803894871387953,-3.8399518995503943,-4.836189647143146,0.33496449838817133,0.23462603664295226,0.04918734186736691,0.04625762471333835,0.33496449838817133,2.4656748637276196,-1.0664404308558826,3.4011973816621555,-0.2939146065252783,0.7451480987567471,-1.110174519216479,-1.5562314448313506,2.0230446427030686,-0.682332123861156,3.1267092607890272,2.313313599338964,4.406610986667693,-2.904626297008037,-0.5659453219878695,-5.200103244199483,-8.803894871387953,-3.8399518995503943,-4.836189647143146,0.0,-0.35603163805464927,-1.9183882399708874,-1.9797982422111282,0.0
DS order-1.5 block Gaussian,20,2,global-box,5000,5000,47,time-budget,806.1795419150731,41,712.9306505210698,-24182.325336136608,-4316.234845756611,1.0,0.6212,0,7,18.205773564916107,0.37835672585132496,5.515485266710505,-0.003774008052985792,4.999999999999999,0.5,-3.8718017553467616,6.139484774124879,-1.5439634947995688,0.355918709302234,0.36572070704049087,4.829553455659071,-2.2396944049676777,-1.6176998378037357,-4.904921417692355,-2.567730883968044,-2.873386714991483,-9.35654371603126,0.03888780248468522,0.24474840893530447,0.08360600619421267,0.2940700087065148,0.3386877736792828,2.901738772617864,-0.9719178092021361,1.7075596391718968,-0.3774008052985792,1.6094379124341003,-0.6931471805599453,-3.8718017553467616,6.139484774124879,-1.5439634947995688,0.355918709302234,0.36572070704049087,4.829553455659071,-2.2396944049676777,-1.6176998378037357,-4.904921417692355,-2.567730883968044,-2.873386714991483,-9.35654371603126,-2.1643980207354914,-0.3248478807699855,-1.398963299446067,-0.14126079754086662,0.0
DS order-1.5 block Gaussian,20,3,global-box,5000,5000,51,time-budget,802.761215156992,45,701.2984787910245,-7098.553314294436,-4033.3515019736933,1.0124680609128305,0.5382,0,0,10.000000000000002,0.6,7.5378791231310895,-0.009581070175161353,2.578065411220048,0.47424870421498805,0.5958444513876339,3.3141370789387845,-0.32633835319417326,1.584366274082133,3.0195809480805282,2.981465430074886,-5.278337246203676,-1.2431870419667332,-6.779557244766255,-10.0,-2.1438629051675666,-6.301539710989349,0.11691557195604545,0.16040595196496046,0.27680444772847435,0.04431167479682072,0.40156235355369896,2.302585092994046,-0.5108256237659907,2.019940859047903,-0.9581070175161354,0.9470392770500551,-0.7460234024533228,0.5958444513876339,3.3141370789387845,-0.32633835319417326,1.584366274082133,3.0195809480805282,2.981465430074886,-5.278337246203676,-1.2431870419667332,-6.779557244766255,-10.0,-2.1438629051675666,-6.301539710989349,-1.2339107557317297,-0.91765502107496,-0.372051530834759,-2.204114641070102,0.0
DS order-1.5 block Gaussian,20,4,global-box,5000,5000,21,non-finite-path-or-score,416.5013341230806,22,416.5012814720394,-11996.819712497763,-4666.283321497714,1.0,0.506,0,7,32.43672466857565,0.2673455916009721,3.991175456535174,-0.0010883199312335299,4.999999999999999,0.5,3.456652744687889,5.013924668632101,3.1033524106535224,0.11983508344953132,7.118068053175755,5.809418172928603,0.0,-5.812059662586378,-3.616979429655083,-5.773691557915629,-8.001293032125451,-1.562045624850896,0.038250170450737954,0.31177465162691564,0.1444421778906235,0.24401310910657176,0.26151989092515115,3.4792912583229287,-1.3192131069660158,1.3840857881509077,-0.10883199312335298,1.6094379124341003,-0.6931471805599453,3.456652744687889,5.013924668632101,3.1033524106535224,0.11983508344953132,7.118068053175755,5.809418172928603,0.0,-5.812059662586378,-3.616979429655083,-5.773691557915629,-8.001293032125451,-1.562045624850896,-2.0981326399289215,0.0,-0.7694013819561379,-0.24505870672335472,-0.17577031108444596
DS order-1.5 block Gaussian,20,5,global-box,5000,5000,47,time-budget,805.7963060360635,41,712.5847859310452,-1385610.3100241465,-9295.846449360037,1.0,0.22939999999999994,0,7,27.43128318252132,0.5406976793885626,1.137770382884692,-0.01,4.999999999999999,0.5,1.3516569868586221,5.497326455506502,4.0,4.267729188907017,3.3549581477152914,7.251865783242404,-3.8192119698967932,-5.592685626711753,0.0,-1.6836860915717171,-6.744814213437865,-0.42496208658860024,0.2514772951644938,0.08997820765873742,0.046277343145000024,0.3086658983334455,0.3036012556983233,3.3116840841149675,-0.614894974468447,0.12907054283626984,-1.0,1.6094379124341003,-0.6931471805599453,1.3516569868586221,5.497326455506502,4.0,4.267729188907017,3.3549581477152914,7.251865783242404,-3.8192119698967932,-5.592685626711753,0.0,-1.6836860915717171,-6.744814213437865,-0.42496208658860024,-0.20490674898592073,-1.2326919528892726,-1.8976069643726259,0.0,-0.016544275232816503
DS order-1.5 block Gaussian,20,6,global-box,5000,5000,51,time-budget,802.6893251000438,45,701.237687980989,-25794.604320962993,-4056.8431349099237,1.0,0.6177999999999999,0,0,10.000000000000002,0.6,23.188648811245486,-0.01,2.0752666936998683,0.4031580695979744,-1.5583591931024048,1.6633359344422873,0.23782265301278716,0.2834695789014331,2.8976387029757147,3.5255450713658827,-5.967842030463847,0.0,-8.833530604306576,-6.392243362301544,-5.110936646493438,-3.0659160638035234,0.2309428954160706,0.014307365205860009,0.27051570581028356,0.3688785730110778,0.11535546055670799,2.302585092994046,-0.5108256237659907,3.14366288356066,-1.0,0.7300896725080374,-0.9084265616853775,-1.5583591931024048,1.6633359344422873,0.23782265301278716,0.2834695789014331,2.8976387029757147,3.5255450713658827,-5.967842030463847,0.0,-8.833530604306576,-6.392243362301544,-5.110936646493438,-3.0659160638035234,-0.4682970454839688,-3.2496930654199834,-0.31013736070806763,0.0,-1.1624491969284716
DS order-1.5 block Gaussian,20,7,global-box,5000,5000,41,time-budget,804.0225417719921,40,764.0709693450481,-6318.4339875522855,-4098.989172597718,1.642216355768497,0.4875999999999999,0,14,11.24863631986454,0.470257913040795,5.6670272673877005,-0.004667994423053418,2.3581632773469225,0.40548655720872784,1.940246783271509,4.054189761481442,-1.7020624554868191,2.244791735914875,4.579936626930842,0.09314693714911335,-7.843491322398872,-3.3895206445929813,-6.437858488089701,-10.0,-3.5663399687559028,-5.332066974118928,0.07384599673849071,0.0384927477832435,0.41871703805673327,0.41871703805673327,0.050227179364799444,2.4202469052911337,-0.7544739836362591,1.7346646887848178,-0.46679944230534176,0.8578830437157708,-0.9026675571260506,1.940246783271509,4.054189761481442,-1.7020624554868191,2.244791735914875,4.579936626930842,0.09314693714911335,-7.843491322398872,-3.3895206445929813,-6.437858488089701,-10.0,-3.5663399687559028,-5.332066974118928,-1.7352135654542058,-2.3867255106690655,0.0,0.0,-2.120639063161246
DS order-1.5 block Gaussian,20,8,global-box,5000,5000,47,time-budget,805.7717905970057,41,712.5783665690105,-8252.191690380456,-4031.8823614607722,1.0000104740812938,0.6626,0,7,25.387905826711084,0.10464314663090406,11.238832755698322,-0.0004484272934432429,2.9530422676891335,0.16443064558747403,2.3438009547124965,4.949687242441412,-1.179490591284064,3.132311025959168,3.818590524634962,4.01711559426169,-4.1490132371227535,0.0,-5.3310773760019545,-6.253691428303187,-5.704219030841789,-7.457196172880147,0.014503024015319145,0.3366839377183045,0.32316802698988567,0.18997435316134617,0.13567065811514453,3.2342729120750895,-2.257199320711381,2.4193749917152343,-0.04484272934432429,1.0828359161334882,-1.8052664050490652,2.3438009547124965,4.949687242441412,-1.179490591284064,3.132311025959168,3.818590524634962,4.01711559426169,-4.1490132371227535,0.0,-5.3310773760019545,-6.253691428303187,-5.704219030841789,-7.457196172880147,-3.144787439541716,0.0,-0.04097222464404572,-0.5722555403166909,-0.9089143026669196
DS order-1.5 block Gaussian,20,9,global-box,5000,5000,47,time-budget,806.1028620420257,41,712.8882491809782,-13327.577022622052,-3986.4834484703288,1.0000000288105186,0.4875999999999999,0,7,13.716499670489874,0.6,2.506250225699621,-0.008788331826336836,2.2513544303002755,0.42235975948383586,1.6129396496246586,5.349045430478476,-3.0441289807193086,3.889974871258192,3.390363751692025,1.9312699140481469,-5.250049990699638,-10.0,-3.2259057830162883,-9.608128315354888,-5.270517156986835,-1.5801496854812325,0.16752917963746994,0.009430730263044793,0.23858209221303153,0.25054691987090505,0.3339110780155487,2.6185994636899608,-0.5108256237659907,0.9187877021274498,-0.8788331826336835,0.8115320041279999,-0.8618978175017091,1.6129396496246586,5.349045430478476,-3.0441289807193086,3.889974871258192,3.390363751692025,1.9312699140481469,-5.250049990699638,-10.0,-3.2259057830162883,-9.608128315354888,-5.270517156986835,-1.5801496854812325,-0.6897171811601478,-3.5669011899891614,-0.3361612707883925,-0.287228516184469,0.0
