method,inference_nstep,evaluation_nstep,start,iteration,elapsed_seconds,pseudo_loglik,euler20_loglik,euler20_se,eval_particles,eval_replicates,evaluation_seed,evaluation_status
DS order-1.5 block Gaussian,20,20,0,0,15.690559601061977,-6213.326621917971,-6207.352591399128,,5000,1,32631470,ok
DS order-1.5 block Gaussian,20,20,0,7,109.27135925495531,-4139.549539477039,-4084.9686279186444,,5000,1,32631477,ok
DS order-1.5 block Gaussian,20,20,0,13,211.15172864298802,-4129.279178427444,-4150.513531003281,,5000,1,32631483,ok
DS order-1.5 block Gaussian,20,20,0,20,391.3721037900541,-4090.7487869887595,-4078.3937437854856,,5000,1,32631490,ok
DS order-1.5 block Gaussian,20,20,0,21,404.74581809400115,-4046.218575544889,-3997.2239682442564,,5000,1,32631491,ok
DS order-1.5 block Gaussian,20,20,0,29,511.69947840401437,-3968.051212811356,-4042.835004402005,,5000,1,32631499,ok
DS order-1.5 block Gaussian,20,20,0,34,600.1922549230512,-3944.598911607682,-3985.166048445546,,5000,1,32631504,ok
DS order-1.5 block Gaussian,20,20,0,40,712.8729550309945,-3975.023324207452,-3920.633074245756,,5000,1,32631510,ok
DS order-1.5 block Gaussian,20,20,0,47,806.4487880649976,-4121.771789944999,-4078.3320573824826,,5000,1,32631517,ok
DS order-1.5 block Gaussian,20,20,1,0,15.709825925994664,-5620.568935201456,-5726.021184491852,,5000,1,32632467,ok
DS order-1.5 block Gaussian,20,20,1,7,108.95295012998395,-4400.2531483176845,-4584.228042448491,,5000,1,32632474,ok
DS order-1.5 block Gaussian,20,20,1,13,210.67401115992106,-4208.454365601649,-4053.3298911736147,,5000,1,32632480,ok
DS order-1.5 block Gaussian,20,20,1,20,390.92973990598693,-4238.731395018244,-4197.60178673075,,5000,1,32632487,ok
DS order-1.5 block Gaussian,20,20,1,21,404.30358614597935,-4229.425996802178,-4196.201866237012,,5000,1,32632488,ok
DS order-1.5 block Gaussian,20,20,1,29,511.2827048259787,-4155.736335575776,-3991.4296598254896,,5000,1,32632496,ok
DS order-1.5 block Gaussian,20,20,1,35,613.1710005779751,-4147.737017648391,-4105.100137423646,,5000,1,32632502,ok
DS order-1.5 block Gaussian,20,20,1,40,701.6710160779767,-4118.754022620449,-4108.263238096014,,5000,1,32632507,ok
DS order-1.5 block Gaussian,20,20,1,48,808.6409492159728,-4170.331954877631,-4119.852201348404,,5000,1,32632515,ok
DS order-1.5 block Gaussian,20,20,2,0,15.693518890999258,-24182.325336136608,-8479.481174768278,,5000,1,32633464,ok
DS order-1.5 block Gaussian,20,20,2,7,108.95140165404882,-4905.79154729637,-4719.817906303177,,5000,1,32633471,ok
DS order-1.5 block Gaussian,20,20,2,13,210.4732933320338,-4695.340963618584,-4590.42870868094,,5000,1,32633477,ok
DS order-1.5 block Gaussian,20,20,2,20,325.31926990207285,-4580.260835207632,-4494.491277216751,,5000,1,32633484,ok
DS order-1.5 block Gaussian,20,20,2,26,405.25730123207904,-4521.48138517422,-4427.950453908211,,5000,1,32633490,ok
DS order-1.5 block Gaussian,20,20,2,32,506.7566984730074,-4619.398417547389,-4421.962474813935,,5000,1,32633496,ok
DS order-1.5 block Gaussian,20,20,2,40,699.6098942010431,-4571.876836523428,-4414.885239372819,,5000,1,32633504,ok
DS order-1.5 block Gaussian,20,20,2,41,712.9306505210698,-4508.982172335109,-4399.235331330112,,5000,1,32633505,ok
DS order-1.5 block Gaussian,20,20,2,48,806.1794717570301,-4316.234845756611,-4299.653285874049,,5000,1,32633512,ok
DS order-1.5 block Gaussian,20,20,3,0,15.749368096003309,-7098.553314294436,-7204.746299184661,,5000,1,32634461,ok
DS order-1.5 block Gaussian,20,20,3,7,109.01082769501954,-4610.376651300989,-4241.352393958715,,5000,1,32634468,ok
DS order-1.5 block Gaussian,20,20,3,13,210.5020218709251,-4273.12626864423,-4156.804404807533,,5000,1,32634474,ok
DS order-1.5 block Gaussian,20,20,3,20,325.2892035009572,-4205.309154956056,-4133.113923289168,,5000,1,32634481,ok
DS order-1.5 block Gaussian,20,20,3,26,405.1874930569902,-4177.63397539904,-4133.297587332911,,5000,1,32634487,ok
DS order-1.5 block Gaussian,20,20,3,32,506.6400970480172,-4143.802370976347,-4106.429703344099,,5000,1,32634493,ok
DS order-1.5 block Gaussian,20,20,3,40,634.7244860589271,-4093.2021439782534,-4045.717460656079,,5000,1,32634501,ok
DS order-1.5 block Gaussian,20,20,3,45,701.2984787910245,-4073.187101889319,-4020.179176815997,,5000,1,32634506,ok
DS order-1.5 block Gaussian,20,20,3,51,802.7611281389836,-4033.3515019736933,-3987.38509161167,,5000,1,32634512,ok
DS order-1.5 block Gaussian,20,20,4,0,15.689506605034694,-11996.819712497763,-9106.675265436703,,5000,1,32635458,ok
DS order-1.5 block Gaussian,20,20,4,7,108.90403610502835,-18913.756390642644,-12432.816484010466,,5000,1,32635465,ok
DS order-1.5 block Gaussian,20,20,4,10,235.13382826605812,-12038.240467455893,-8963.138099599997,,5000,1,32635468,ok
DS order-1.5 block Gaussian,20,20,4,15,301.71553583606146,-4686.886579197788,-4688.167636136054,,5000,1,32635473,ok
DS order-1.5 block Gaussian,20,20,4,21,403.18252327502705,-4601.3921865050215,-4562.620007559414,,5000,1,32635479,ok
DS order-1.5 block Gaussian,20,20,4,22,416.5012814720394,-4666.283321497714,-4615.997027639,,5000,1,32635480,ok
DS order-1.5 block Gaussian,20,20,5,0,15.6734650520375,-1385610.3100241465,-13482.903511600287,,5000,1,32636455,ok
DS order-1.5 block Gaussian,20,20,5,7,108.88745213509537,-343286.2505001234,-11193.986773665392,,5000,1,32636462,ok
DS order-1.5 block Gaussian,20,20,5,13,210.33919276401866,-75760.59278528915,-10718.588736456779,,5000,1,32636468,ok
DS order-1.5 block Gaussian,20,20,5,20,325.1159328450449,-20717.64922888677,-9594.232921152723,,5000,1,32636475,ok
DS order-1.5 block Gaussian,20,20,5,26,405.0125206130324,-34116.314022817394,-10186.583441157489,,5000,1,32636481,ok
DS order-1.5 block Gaussian,20,20,5,30,544.5509309080662,-21075.71788107051,-9586.98183692893,,5000,1,32636485,ok
DS order-1.5 block Gaussian,20,20,5,35,611.1282001030631,-15690.985892342023,-9077.813973918317,,5000,1,32636490,ok
DS order-1.5 block Gaussian,20,20,5,41,712.5847859310452,-10351.598147909335,-8341.790174784486,,5000,1,32636496,ok
DS order-1.5 block Gaussian,20,20,5,48,805.7962429880863,-9295.846449360037,-6091.345110973862,,5000,1,32636503,ok
DS order-1.5 block Gaussian,20,20,6,0,15.64640348998364,-25794.604320962993,-11540.294687086194,,5000,1,32637452,ok
DS order-1.5 block Gaussian,20,20,6,7,108.89565934997518,-4632.32069118605,-4278.311433429069,,5000,1,32637459,ok
DS order-1.5 block Gaussian,20,20,6,13,210.38612492999528,-4354.240878539655,-4214.734846090068,,5000,1,32637465,ok
DS order-1.5 block Gaussian,20,20,6,20,325.1725276289508,-4195.205640437862,-4049.4061687035387,,5000,1,32637472,ok
DS order-1.5 block Gaussian,20,20,6,26,405.0866422429681,-4158.593392418825,-3998.5329553987785,,5000,1,32637478,ok
DS order-1.5 block Gaussian,20,20,6,32,506.5684062560322,-4133.1405002833235,-3991.821709043693,,5000,1,32637484,ok
DS order-1.5 block Gaussian,20,20,6,40,634.6649489910342,-4104.045560223413,-4033.705510288948,,5000,1,32637492,ok
DS order-1.5 block Gaussian,20,20,6,45,701.237687980989,-4109.048255443125,-4058.8013974866326,,5000,1,32637497,ok
DS order-1.5 block Gaussian,20,20,6,51,802.6892551890342,-4056.8431349099237,-4024.5253988863615,,5000,1,32637503,ok
DS order-1.5 block Gaussian,20,20,7,0,15.64788042800501,-6318.4339875522855,-6806.638656495074,,5000,1,32638449,ok
DS order-1.5 block Gaussian,20,20,7,7,108.9042911590077,-4814.741652906568,-4418.708195915662,,5000,1,32638456,ok
DS order-1.5 block Gaussian,20,20,7,13,210.41358500195201,-4151.487850506843,-4074.301238122192,,5000,1,32638462,ok
DS order-1.5 block Gaussian,20,20,7,20,389.90273008600343,-4359.175096516155,-4156.185121478444,,5000,1,32638469,ok
DS order-1.5 block Gaussian,20,20,7,21,403.22405111801345,-4303.89866908654,-4136.672686844391,,5000,1,32638470,ok
DS order-1.5 block Gaussian,20,20,7,29,509.7638131249696,-4130.258628261808,-4078.734915189421,,5000,1,32638478,ok
DS order-1.5 block Gaussian,20,20,7,35,611.2229261409957,-4285.667821229207,-4171.644810062684,,5000,1,32638484,ok
DS order-1.5 block Gaussian,20,20,7,40,764.0709693450481,-4142.498407540072,-4075.380476712106,,5000,1,32638489,ok
DS order-1.5 block Gaussian,20,20,7,43,804.0224890309619,-4098.989172597718,-4047.2821286685416,,5000,1,32638492,ok
DS order-1.5 block Gaussian,20,20,8,0,15.674720551935025,-8252.191690380456,-7985.949952578813,,5000,1,32639446,ok
DS order-1.5 block Gaussian,20,20,8,7,108.88267024303786,-4022.150225252897,-3932.6539861337956,,5000,1,32639453,ok
DS order-1.5 block Gaussian,20,20,8,13,210.34563948702998,-3958.960669988858,-3909.6069935261307,,5000,1,32639459,ok
DS order-1.5 block Gaussian,20,20,8,20,389.825039783027,-4026.4057671700157,-3963.3067939174116,,5000,1,32639466,ok
DS order-1.5 block Gaussian,20,20,8,21,403.1407436529407,-3993.5051416521974,-3926.2323883419162,,5000,1,32639467,ok
DS order-1.5 block Gaussian,20,20,8,29,509.66051573795266,-4005.644061308331,-3935.2447493072514,,5000,1,32639475,ok
DS order-1.5 block Gaussian,20,20,8,35,611.1232081740163,-3987.4667577175283,-3894.1706392273704,,5000,1,32639481,ok
DS order-1.5 block Gaussian,20,20,8,41,712.5783665690105,-4039.5184933608575,-3913.6179686793816,,5000,1,32639487,ok
DS order-1.5 block Gaussian,20,20,8,48,805.771738726995,-4031.8823614607722,-3925.734851245736,,5000,1,32639494,ok
DS order-1.5 block Gaussian,20,20,9,0,15.672927514999174,-13327.577022622052,-5744.661962490745,,5000,1,32640443,ok
DS order-1.5 block Gaussian,20,20,9,7,108.92346996406559,-4286.869537595937,-4134.395852623628,,5000,1,32640450,ok
DS order-1.5 block Gaussian,20,20,9,13,210.43889969796874,-4512.450904292459,-4254.290482668223,,5000,1,32640456,ok
DS order-1.5 block Gaussian,20,20,9,20,390.06565480004065,-4407.861734552662,-4201.960173708129,,5000,1,32640463,ok
DS order-1.5 block Gaussian,20,20,9,21,403.3876651340397,-4289.471349878155,-4145.964280042236,,5000,1,32640464,ok
DS order-1.5 block Gaussian,20,20,9,29,509.9354881880572,-4069.71716046899,-4015.996370780287,,5000,1,32640472,ok
DS order-1.5 block Gaussian,20,20,9,35,611.4196762830252,-4086.3413600092454,-4021.2490325998265,,5000,1,32640478,ok
DS order-1.5 block Gaussian,20,20,9,41,712.8882491809782,-4012.184221850741,-3975.321045015625,,5000,1,32640484,ok
DS order-1.5 block Gaussian,20,20,9,48,806.1027980430517,-3986.4834484703288,-3967.0371441076973,,5000,1,32640491,ok
DS order-1.5 block Gaussian,20,20,10,0,15.702341311960481,-28539.273924562745,-9960.729389665148,,5000,1,32641440,ok
DS order-1.5 block Gaussian,20,20,10,7,108.96152728504967,-4553.157966619211,-4207.69925563142,,5000,1,32641447,ok
DS order-1.5 block Gaussian,20,20,10,13,210.45339209400117,-4255.708182224101,-4152.841225234663,,5000,1,32641453,ok
DS order-1.5 block Gaussian,20,20,10,20,389.93734033498913,-4194.047038909883,-4100.343435447255,,5000,1,32641460,ok
DS order-1.5 block Gaussian,20,20,10,21,403.2595578159671,-4165.24726672831,-4059.2723200004034,,5000,1,32641461,ok
DS order-1.5 block Gaussian,20,20,10,29,509.8090083759744,-4117.413586255448,-4187.546998082012,,5000,1,32641469,ok
DS order-1.5 block Gaussian,20,20,10,35,611.271042744047,-4139.89310272924,-4230.019654034113,,5000,1,32641475,ok
DS order-1.5 block Gaussian,20,20,10,41,712.7409666610183,-4074.073899074158,-3950.5078730580544,,5000,1,32641481,ok
DS order-1.5 block Gaussian,20,20,10,48,805.9769985360326,-4183.156730048606,-4128.746215751254,,5000,1,32641488,ok
DS order-1.5 block Gaussian,20,20,11,0,15.66793647990562,-6036.202448015153,-5928.792192003791,,5000,1,32642437,ok
DS order-1.5 block Gaussian,20,20,11,7,108.89396983291954,-4212.880645039646,-4153.168179630459,,5000,1,32642444,ok
DS order-1.5 block Gaussian,20,20,11,13,210.38589881290682,-4056.902303665213,-4019.357404743878,,5000,1,32642450,ok
DS order-1.5 block Gaussian,20,20,11,20,325.18415133596864,-4002.4202811039186,-3933.118416735154,,5000,1,32642457,ok
DS order-1.5 block Gaussian,20,20,11,26,405.0885487999767,-4000.585634153124,-3947.109146429816,,5000,1,32642463,ok
DS order-1.5 block Gaussian,20,20,11,32,506.5520727839321,-4018.966361718616,-3969.998665904663,,5000,1,32642469,ok
DS order-1.5 block Gaussian,20,20,11,40,699.3420379409799,-3997.9936929473597,-3956.266231635967,,5000,1,32642477,ok
DS order-1.5 block Gaussian,20,20,11,41,712.6592078489484,-3985.162257292552,-3936.155484228506,,5000,1,32642478,ok
DS order-1.5 block Gaussian,20,20,11,48,805.8802057069261,-4021.3983542836195,-4014.7660979183975,,5000,1,32642485,ok
DS order-1.5 block Gaussian,20,20,12,0,15.65202630998101,-6981.7982615569035,-7072.7092247572255,,5000,1,32643434,ok
DS order-1.5 block Gaussian,20,20,12,1,28.969534791074693,-6476.003290971655,-6515.671821031248,,5000,1,32643435,ok
DS order-1.5 block Gaussian,20,20,13,0,15.662730942945927,-5901.451085613004,-6025.081646245883,,5000,1,32644431,ok
DS order-1.5 block Gaussian,20,20,13,7,108.87963401095476,-4605.902086918169,-4430.228375350096,,5000,1,32644438,ok
DS order-1.5 block Gaussian,20,20,13,13,210.33952064893674,-4392.036394873454,-4300.929865053796,,5000,1,32644444,ok
DS order-1.5 block Gaussian,20,20,13,20,325.1172983580036,-4326.116753753213,-4203.216776767714,,5000,1,32644451,ok
DS order-1.5 block Gaussian,20,20,13,26,405.03151369292755,-4406.084347328628,-4235.0350658121315,,5000,1,32644457,ok
