method,inference_nstep,evaluation_nstep,start,updates_completed,termination_reason,euler20_loglik,euler20_se,eval_particles,eval_replicates,evaluation_seed,evaluation_status
DS order-1.5 block Gaussian,20,20,0,279,time-budget,-3969.6996722332506,0.615182026081851,5000,36,32636471,ok
DS order-1.5 block Gaussian,20,20,1,278,time-budget,-3924.297039501277,0.10669676355560938,5000,36,32637468,ok
DS order-1.5 block Gaussian,20,20,2,278,time-budget,-4219.956815830636,0.6663243640370717,5000,36,32638465,ok
DS order-1.5 block Gaussian,20,20,3,279,time-budget,-3973.0346424431764,0.1985503825680411,5000,36,32639462,ok
DS order-1.5 block Gaussian,20,20,4,278,time-budget,-3926.1303525880903,0.1395842607031696,5000,36,32640459,ok
DS order-1.5 block Gaussian,20,20,5,280,time-budget,-4640.901034930336,0.17076946444059538,5000,36,32641456,ok
DS order-1.5 block Gaussian,20,20,6,280,time-budget,-4069.1209251490977,0.13117206887348537,5000,36,32642453,ok
DS order-1.5 block Gaussian,20,20,7,280,time-budget,-3955.3699104839116,0.2129087038520607,5000,36,32643450,ok
DS order-1.5 block Gaussian,20,20,8,281,time-budget,-4040.90306675261,0.619403104554255,5000,36,32644447,ok
DS order-1.5 block Gaussian,20,20,9,278,time-budget,-3989.3604110076894,0.05435362647195041,5000,36,32645444,ok
