method,inference_nstep,start,start_type,particles,iterations_requested,updates_completed,termination_reason,elapsed_seconds,initial_pseudo_loglik,final_pseudo_loglik,minimum_ess,maximum_invalid_fraction,total_backtracks,gamma,m,epsilon,beta_trend,sigma,tau,bs1,bs2,bs3,bs4,bs5,bs6,omegas1,omegas2,omegas3,omegas4,omegas5,omegas6,S_0,I_0,R1_0,R2_0,R3_0,raw_0,raw_1,raw_2,raw_3,raw_4,raw_5,raw_6,raw_7,raw_8,raw_9,raw_10,raw_11,raw_12,raw_13,raw_14,raw_15,raw_16,raw_17,raw_18,raw_19,raw_20,raw_21,raw_22
DS order-1.5 block Gaussian,20,0,global-box,100,5000,279,time-budget,801.747637931956,-6230.759840064467,-4094.1983224803007,1.0000000000001457,0.39999999999999997,0,17.909289492570068,0.48269782561139113,24.93544847092239,-0.002787530466134457,2.184177298044564,0.4633600992042122,-0.039916021430142466,5.755752373047826,-4.0,3.2670446633735564,3.625927154313894,3.4893695854679594,-2.7470681693717003,-5.193438262889701,-5.04812127347896,-9.13655789166956,-6.559267373025214,-7.74009904500999,0.26374106084315846,0.040405559447112376,0.17939718107486366,0.25271513779170707,0.26374106084315846,2.88531954429576,-0.7283644409635173,3.216290424435801,-0.2787530466134457,0.7812392350110416,-0.7692507751273748,-0.039916021430142466,5.755752373047826,-4.0,3.2670446633735564,3.625927154313894,3.4893695854679594,-2.7470681693717003,-5.193438262889701,-5.04812127347896,-9.13655789166956,-6.559267373025214,-7.74009904500999,0.0,-1.876000406101378,-0.3853655552489882,-0.04270487487670724,0.0
DS order-1.5 block Gaussian,20,1,global-box,100,5000,278,time-budget,802.5459643570357,-7067.826802240939,-3996.903459336508,1.0000000000882103,0.33999999999999997,0,20.043137947089374,0.19960295767201214,14.669351692540479,-0.003673835005345163,2.5854096499246175,0.46513507936803744,0.7370150991050868,4.5754108217039136,-0.1492692008452081,3.765642929359475,3.5689776347014157,4.308033259359407,-2.509331457370684,-0.5651815981831978,-4.75270141528428,-8.210729888478744,-4.428040289837035,-5.187698359702209,0.13704167205319268,0.13150156484331538,0.31607336956291726,0.31607336956291726,0.09931002397765748,2.9978868481447365,-1.611425097218506,2.6857603984408356,-0.3673835005345163,0.9498839673294602,-0.765427422315183,0.7370150991050868,4.5754108217039136,-0.1492692008452081,3.765642929359475,3.5689776347014157,4.308033259359407,-2.509331457370684,-0.5651815981831978,-4.75270141528428,-8.210729888478744,-4.428040289837035,-5.187698359702209,-0.8356893136510719,-0.8769556173017545,0.0,0.0,-1.1577278564401698
DS order-1.5 block Gaussian,20,2,global-box,100,5000,278,time-budget,802.6824695030227,-11117.27720992671,-4438.252353536706,1.000000000000032,0.38,0,35.25668048213589,0.11706842267855683,5.577624826007648,-0.007989383773446861,5.0,0.5,-1.065884612500619,7.027209322328506,-0.7930365619100219,1.6006426291806937,1.78633800165811,6.279017325494764,-1.7437845747402712,-1.3386276908192052,-3.962374355576027,-1.9925597581935037,-1.7976334547739428,-5.6376419637728015,0.02930416805420703,0.18109787956092702,0.16036394398858383,0.32423550690930364,0.3049985014869785,3.5626550285258705,-2.144996705900218,1.7187630273533894,-0.7989383773446861,1.6094379124341003,-0.6931471805599453,-1.065884612500619,7.027209322328506,-0.7930365619100219,1.6006426291806937,1.78633800165811,6.279017325494764,-1.7437845747402712,-1.3386276908192052,-3.962374355576027,-1.9925597581935037,-1.7976334547739428,-5.6376419637728015,-2.4037403646092095,-0.5824324687681321,-0.7040242428621445,0.0,-0.061163261486933934
DS order-1.5 block Gaussian,20,3,global-box,100,5000,279,time-budget,801.0610004339833,-7266.533970929151,-3999.00173295236,1.0000000000338751,0.32999999999999996,0,26.32582352019449,0.25308995914367305,2.165278395885152,-0.005912244807604244,2.5189798053749346,0.491825544580075,1.8457035631508922,4.029346952508581,1.259646874782461,3.48482191295179,3.8379730536059107,3.8593020167124323,-3.8416358705851543,-0.03679250947901969,-5.79467252659599,-9.952728716236459,-1.962245662549842,-7.05338369242496,0.3126156016956707,0.3126156016956707,0.25302518977516353,0.012029986837997136,0.10971361999549793,3.2705503403491463,-1.374010283716717,0.7725489425109506,-0.5912244807604244,0.923853980416914,-0.7096312095565057,1.8457035631508922,4.029346952508581,1.259646874782461,3.48482191295179,3.8379730536059107,3.8593020167124323,-3.8416358705851543,-0.03679250947901969,-5.79467252659599,-9.952728716236459,-1.962245662549842,-7.05338369242496,0.0,0.0,-0.21148527809703035,-3.2575718903093986,-1.0471008098724792
DS order-1.5 block Gaussian,20,4,global-box,100,5000,278,time-budget,801.1376098970068,-11169.302756751138,-3984.92691011892,1.0000000000000302,0.33999999999999997,0,14.09250615816035,0.5469488164088129,4.330469745570483,-0.003600569901463086,2.0716010791069657,0.45724793923226686,1.3504264703623836,4.835456875501985,-1.6050482464710525,1.1119295755223244,4.832022836249202,2.2726255182755466,-3.086459917880496,-6.556497176525302,-6.752178365969797,-5.917248177389221,-8.91508233592406,-5.162579612679433,0.02083716591792044,0.19403954850444222,0.22217670389683195,0.2736000004717226,0.2893465812090828,2.6456431779548955,-0.6034000524029315,1.4656760224051264,-0.3600569901463086,0.7283217764725446,-0.7825294985944358,1.3504264703623836,4.835456875501985,-1.6050482464710525,1.1119295755223244,4.832022836249202,2.2726255182755466,-3.086459917880496,-6.556497176525302,-6.752178365969797,-5.917248177389221,-8.91508233592406,-5.162579612679433,-2.6308869973179023,-0.39956321597564154,-0.26415218377244437,-0.05595802506048895,0.0
DS order-1.5 block Gaussian,20,5,global-box,100,5000,280,time-budget,802.1551419639727,-13512.656800152388,-4660.879905791247,1.0000000005393623,0.24999999999999997,0,38.9538937410314,0.2894316021013531,2.516191131865847,-0.005460303917510235,5.0,0.5,2.0865063976198392,7.801826275275568,1.5303111766408328,3.2775919946292023,5.454714880469385,8.0,-0.5452761678852341,-6.063908726419868,-0.5019495181151089,-3.775296885103811,-8.199161567736128,0.0,0.34656459740981227,0.17054945462088614,0.032492505364755675,0.25111636925220676,0.19927707335233902,3.6623787349976364,-1.2398362720548826,0.9227463025132336,-0.5460303917510235,1.6094379124341003,-0.6931471805599453,2.0865063976198392,7.801826275275568,1.5303111766408328,3.2775919946292023,5.454714880469385,8.0,-0.5452761678852341,-6.063908726419868,-0.5019495181151089,-3.775296885103811,-8.199161567736128,0.0,0.0,-0.7090439184726831,-2.3670597709844063,-0.322152775354684,-0.5533730448277181
DS order-1.5 block Gaussian,20,6,global-box,100,5000,280,time-budget,801.5981792259845,-14084.164737426423,-4155.013415566238,1.0000000005797212,0.32999999999999996,0,33.578319076211436,0.17130810298495022,18.418697078441042,-0.007176578247649488,3.3259916172454456,0.5,2.7101085147433923,4.9481303309742835,1.3419323302630395,1.675843904438254,3.9859599694385723,4.228885493958053,-5.239461263541046,0.0,-5.89185867405078,-4.172697494176873,-2.288605230239367,-1.6782920427992365,0.253934068294082,0.12095837951430016,0.1304566609068339,0.2836639301329679,0.21098696115181603,3.513880593106774,-1.7642915718814325,2.9133662942559555,-0.7176578247649488,1.2017678603963768,-0.6931471805599453,2.7101085147433923,4.9481303309742835,1.3419323302630395,1.675843904438254,3.9859599694385723,4.228885493958053,-5.239461263541046,0.0,-5.89185867405078,-4.172697494176873,-2.288605230239367,-1.6782920427992365,-0.1107155331757978,-0.852343677384953,-0.7767491215794721,0.0,-0.2959938567762952
DS order-1.5 block Gaussian,20,7,global-box,100,5000,280,time-budget,802.6775393339922,-6751.0948996177885,-3967.7949330030087,1.000000000001954,0.32999999999999996,0,24.757214654445097,0.07565417066677524,9.19346195266345,-0.0037114566359170886,2.2240122252938286,0.48255727966061746,2.682789851474961,4.788705424179506,-0.2546466347464996,2.8650089156736485,4.460863975479546,3.159374049629507,-5.014289701552922,-1.3742771768061899,-2.5096554646693363,-7.092141702014646,-4.445758524328485,-2.4212595813464226,0.16153362409184707,0.09976122046958319,0.31397817140314155,0.31397817140314155,0.11074881263228671,3.209116947726183,-2.581582709179857,2.2184925740991925,-0.37114566359170886,0.7993128733578628,-0.7286556509265608,2.682789851474961,4.788705424179506,-0.2546466347464996,2.8650089156736485,4.460863975479546,3.159374049629507,-5.014289701552922,-1.3742771768061899,-2.5096554646693363,-7.092141702014646,-4.445758524328485,-2.4212595813464226,-0.6646101459638928,-1.146543930312872,0.0,0.0,-1.0420587779527821
DS order-1.5 block Gaussian,20,8,global-box,100,5000,281,time-budget,802.6863857620046,-9329.62127233223,-4097.660091423991,1.0000000016516246,0.24999999999999997,0,34.438239199428494,0.11463836706485178,4.973475335818756,-0.0038498729934991222,3.0501440301025884,0.5,2.293855506804143,5.503787976470722,-0.5310818393420501,4.152702624151011,3.688717010676264,4.325448221441949,-4.051376808403354,0.0,-5.201248519716022,-4.919326323776567,-5.452311918978116,-8.037185764654952,0.06727017939445702,0.2857741982034163,0.20692670335597999,0.05440854128578195,0.38562037776036473,3.5391675516389456,-2.165972739589734,1.6041188584784525,-0.3849872993499122,1.1151888124888054,-0.6931471805599453,2.293855506804143,5.503787976470722,-0.5310818393420501,4.152702624151011,3.688717010676264,4.325448221441949,-4.051376808403354,0.0,-5.201248519716022,-4.919326323776567,-5.452311918978116,-8.037185764654952,-1.7461363694125231,-0.2996514260128827,-0.6224887677360067,-1.9583322577618554,0.0
DS order-1.5 block Gaussian,20,9,global-box,100,5000,278,time-budget,801.5398588629905,-9351.689565014018,-4034.342033654654,1.000000000011056,0.35,0,19.84096887027424,0.4597549734147193,2.0297256503665535,-0.007169729967376974,2.6490292417982437,0.49684127233407244,1.8254757947158091,5.424900425874243,-2.0453171756052186,3.910674554358225,3.3801432106308633,3.01649754054919,-4.489162887694655,-8.199347277725325,-1.9933866412326866,-8.45901372099795,-4.199021257228744,-1.0242826649636438,0.24239684966051436,0.015196562693669854,0.2464683273845914,0.24633516946962028,0.2496030907916041,2.987748934851586,-0.7770615979059302,0.7079006363177528,-0.7169729967376974,0.9741932490354395,-0.6994846754566889,1.8254757947158091,5.424900425874243,-2.0453171756052186,3.910674554358225,3.3801432106308633,3.01649754054919,-4.489162887694655,-8.199347277725325,-1.9933866412326866,-8.45901372099795,-4.199021257228744,-1.0242826649636438,-0.02929576173710555,-2.798802755693091,-0.012638523482503522,-0.01317893327692184,0.0
