method,inference_nstep,start,target_elapsed_seconds,iteration,elapsed_seconds,training_pseudo_loglik,block_loglik,block_loglik_se,eval_particles,eval_replicates,replicate_logliks
DS order-1.5 block Gaussian,20,0,0,0,4.915796890971251,-6230.759840064467,-6214.512298215371,0.9984130759913301,500,4,"[-6222.340507399474, -6219.97096766731, -6223.678039954941, -6213.127195093013]"
DS order-1.5 block Gaussian,20,0,100,34,101.34312823601067,-4172.210779844914,-4096.954859412029,0.99852573613641,500,4,"[-4102.542321652834, -4106.069890038969, -4104.42604346559, -4095.5696716059965]"
DS order-1.5 block Gaussian,20,0,200,69,200.47563533799257,-4054.5192105490746,-3949.7611597148652,0.9960095987478083,500,4,"[-3954.187714964291, -3948.377865633926, -3961.2671372390446, -3960.716600816353]"
DS order-1.5 block Gaussian,20,0,300,104,300.54795425297925,-4249.553272135804,-4131.920210916122,0.9974494388007632,500,4,"[-4152.181841264935, -4130.53583253466, -4136.792400895362, -4153.140776712648]"
DS order-1.5 block Gaussian,20,0,400,139,400.1859611920081,-3969.326947390466,-3935.5846548129316,0.9411309145139751,500,4,"[-3937.3026394986227, -3946.5169036939315, -3946.7899054551876, -3934.2442627410323]"
DS order-1.5 block Gaussian,20,0,500,174,501.070271286997,-4057.4483868063326,-4027.8990154837556,0.9288238023024523,500,4,"[-4035.2394652304542, -4031.3458780670476, -4029.5939332883013, -4026.568262498786]"
DS order-1.5 block Gaussian,20,0,600,208,598.7977423339617,-4506.939296781052,-4267.371316425064,0.999999999988894,500,4,"[-4265.985022063953, -4291.496240882645, -4349.406115084446, -4339.463349824287]"
DS order-1.5 block Gaussian,20,0,700,244,701.2496760909562,-4134.82465734936,-4119.675029581331,0.7117471903155348,500,4,"[-4119.73639980288, -4123.330688739243, -4118.565762450013, -4126.147677049255]"
DS order-1.5 block Gaussian,20,0,800,278,798.768810916983,-4061.187243730328,-3986.268178630791,0.9999997549710959,500,4,"[-4000.4474730972975, -3984.881884453443, -4003.3014314508055, -4018.4697815547156]"
DS order-1.5 block Gaussian,20,0,802,279,801.7474796659662,-4094.1983224803007,-4005.5140374236375,0.4653611802090123,500,4,"[-4044.50983048724, -4005.516012249036, -4004.706887176081, -4005.787866885085]"
DS order-1.5 block Gaussian,20,1,0,0,4.721221182029694,-7067.826802240939,-6452.352126880794,0.9999999993681276,500,4,"[-6539.794223764672, -6570.122178730513, -6472.435848306866, -6450.965832520147]"
DS order-1.5 block Gaussian,20,1,100,34,101.35664772201562,-4257.764172728483,-4189.90264612279,0.9944290860016105,500,4,"[-4206.743335362562, -4198.741369060877, -4194.001568054657, -4188.520544440646]"
DS order-1.5 block Gaussian,20,1,200,69,200.75773312401725,-4035.133286105057,-4015.0305631333117,0.4661594396745961,500,4,"[-4014.4309691745384, -4016.5284296038353, -4014.446820679852, -4016.849000954151]"
DS order-1.5 block Gaussian,20,1,300,104,300.99092924798606,-3961.4858381846425,-3960.3184382906525,0.8137502758070414,500,4,"[-3961.1108354454955, -3959.0873022646156, -3963.9496947953285, -3962.6655961555243]"
DS order-1.5 block Gaussian,20,1,400,139,401.2231027110247,-3973.922885436986,-3963.044640042994,0.5074574954839268,500,4,"[-3964.2417942865814, -3967.5887500060276, -3962.2743457716624, -3962.6213900882703]"
DS order-1.5 block Gaussian,20,1,500,173,499.3137289540027,-3951.286009952315,-3938.0057317016553,0.3907090256540324,500,4,"[-3937.4100103394403, -3943.421718312389, -3937.6876703962007, -3938.2204666292373]"
DS order-1.5 block Gaussian,20,1,600,208,601.0038819499896,-3970.4375203937448,-3948.180380318155,0.5417238049133085,500,4,"[-3950.8584918119614, -3947.315883528704, -3949.78783730382, -3947.875030686461]"
DS order-1.5 block Gaussian,20,1,700,243,701.0511428170139,-3933.605339011122,-3915.2320858535268,0.970877305192531,500,4,"[-3919.996588772715, -3920.3039253782717, -3913.867969908322, -3917.850215846437]"
DS order-1.5 block Gaussian,20,1,800,277,799.5778518380248,-3999.4230316006056,-3971.7337758968956,0.493656027053147,500,4,"[-3970.8824158475036, -3976.725535187412, -3972.190465204335, -3971.716920597897]"
