method,inference_nstep,evaluation_nstep,start,iteration,elapsed_seconds,pseudo_loglik,euler20_loglik,euler20_se,eval_particles,eval_replicates,evaluation_seed,evaluation_status
DS order-1.5 block Gaussian,20,20,0,0,4.915796890971251,-6230.759840064467,-6206.219004616724,0.7869880439739771,1000,4,32631470,ok
DS order-1.5 block Gaussian,20,20,0,34,101.34312823601067,-4172.210779844914,-4060.768528585059,0.3381207327230978,1000,4,32631504,ok
DS order-1.5 block Gaussian,20,20,0,69,200.47563533799257,-4054.5192105490746,-3919.764644474347,1.2598930159286228,1000,4,32631539,ok
DS order-1.5 block Gaussian,20,20,0,104,300.54795425297925,-4249.553272135804,-4236.9555352452935,2.0784071118387524,1000,4,32631574,ok
DS order-1.5 block Gaussian,20,20,0,139,400.1859611920081,-3969.326947390466,-3899.7774995066416,2.4238168794678145,1000,4,32631609,ok
DS order-1.5 block Gaussian,20,20,0,174,501.070271286997,-4057.4483868063326,-4082.9376477041496,1.981224880858773,1000,4,32631644,ok
DS order-1.5 block Gaussian,20,20,0,209,601.7462786209653,-4599.229450591022,-4119.105142592912,6.314787812464592,1000,4,32631679,ok
DS order-1.5 block Gaussian,20,20,0,244,701.2496760909562,-4134.82465734936,-4197.501701887537,0.6931579791485153,1000,4,32631714,ok
DS order-1.5 block Gaussian,20,20,0,279,801.7474796659662,-4094.1983224803007,-3975.0161355474943,1.9347767195789027,1000,4,32631749,ok
DS order-1.5 block Gaussian,20,20,1,0,4.721221182029694,-7067.826802240939,-5868.519129697149,15.030838741211028,1000,4,32632467,ok
DS order-1.5 block Gaussian,20,20,1,34,101.35664772201562,-4257.764172728483,-4073.348552734159,0.7831751708321943,1000,4,32632501,ok
DS order-1.5 block Gaussian,20,20,1,69,200.75773312401725,-4035.133286105057,-3965.721737884222,1.3882349264428406,1000,4,32632536,ok
DS order-1.5 block Gaussian,20,20,1,104,300.99092924798606,-3961.4858381846425,-3943.015138127927,1.5414154695168938,1000,4,32632571,ok
DS order-1.5 block Gaussian,20,20,1,139,401.2231027110247,-3973.922885436986,-3939.644463369464,0.25451456469285466,1000,4,32632606,ok
DS order-1.5 block Gaussian,20,20,1,174,502.1888968470157,-3946.455157211234,-3922.6109274960054,0.34167381031187294,1000,4,32632641,ok
DS order-1.5 block Gaussian,20,20,1,208,601.0038819499896,-3970.4375203937448,-3924.1448969759235,1.5588826177282125,1000,4,32632675,ok
DS order-1.5 block Gaussian,20,20,1,243,701.0511428170139,-3933.605339011122,-3897.587898249931,0.5883855608563185,1000,4,32632710,ok
DS order-1.5 block Gaussian,20,20,1,278,802.5458249769872,-3996.903459336508,-3924.374917319136,0.919417076711554,1000,4,32632745,ok
DS order-1.5 block Gaussian,20,20,2,0,4.925279761024285,-11117.27720992671,-9253.161866096403,68.83135341160185,1000,4,32633464,ok
DS order-1.5 block Gaussian,20,20,2,34,101.25214255403262,-5720.497169514281,-4825.664444178852,10.091224079454655,1000,4,32633498,ok
DS order-1.5 block Gaussian,20,20,2,69,200.31995657202788,-4850.825736361594,-4529.073518512742,14.675088606491272,1000,4,32633533,ok
DS order-1.5 block Gaussian,20,20,2,104,301.1520134630264,-4571.845010186656,-4391.162374107165,1.1913916765902983,1000,4,32633568,ok
DS order-1.5 block Gaussian,20,20,2,139,401.47615971200867,-4453.247327783249,-4321.805214741495,1.6202561367519968,1000,4,32633603,ok
DS order-1.5 block Gaussian,20,20,2,174,502.3520157680032,-4563.509370317305,-4302.336272944913,5.967308168436589,1000,4,32633638,ok
DS order-1.5 block Gaussian,20,20,2,208,601.0197249770281,-4553.621041015154,-4295.750759520515,1.8852176307471682,1000,4,32633672,ok
DS order-1.5 block Gaussian,20,20,2,243,701.348914459988,-4519.258178027712,-4273.822807895219,1.233179660033019,1000,4,32633707,ok
DS order-1.5 block Gaussian,20,20,2,278,802.6822409920278,-4438.252353536706,-4227.001637898484,2.8520045328625363,1000,4,32633742,ok
DS order-1.5 block Gaussian,20,20,3,0,4.831132527964655,-7266.533970929151,-7224.613151779754,6.105903184213326,1000,4,32634461,ok
