method,selection,inference_nstep,evaluation_nstep,start,selected_iteration,selected_elapsed_seconds,selected_pseudo_loglik,selected_block_loglik,selected_block_loglik_se,selected_block_target_seconds,euler20_loglik,euler20_se,eval_particles,eval_replicates,evaluation_seed,evaluation_status,gamma,m,epsilon,beta_trend,sigma,tau,bs1,bs2,bs3,bs4,bs5,bs6,omegas1,omegas2,omegas3,omegas4,omegas5,omegas6,S_0,I_0,R1_0,R2_0,R3_0,raw_0,raw_1,raw_2,raw_3,raw_4,raw_5,raw_6,raw_7,raw_8,raw_9,raw_10,raw_11,raw_12,raw_13,raw_14,raw_15,raw_16,raw_17,raw_18,raw_19,raw_20,raw_21,raw_22
DS order-1.5 block Gaussian,maximum-held-out-block-loglik,20,20,0,139,400.1859611920081,-3969.326947390466,-3935.5846548129316,0.9411309145139751,400,-3901.7155713818124,0.30797115796028046,5000,36,33631609,ok,14.10727931235451,0.5239422352713456,30.000000000000004,-0.004615041968386172,2.2499492996998147,0.3921960963154309,-0.2697188267137955,5.639221762334239,-4.0,2.9731727080877226,3.7288395708682858,3.1630716178848384,-2.1654162758955238,-5.0288680561759085,-4.7113762091635145,-9.669580453337682,-6.489278616019073,-7.7671093643981095,0.25452467018733915,0.06102920639974878,0.18058867294813347,0.2493327802774395,0.25452467018733915,2.646690927453634,-0.6463738387695364,3.4011973816621555,-0.46150419683861715,0.8109076824956974,-0.9359933185702137,-0.2697188267137955,5.639221762334239,-4.0,2.9731727080877226,3.7288395708682858,3.1630716178848384,-2.1654162758955238,-5.0288680561759085,-4.7113762091635145,-9.669580453337682,-6.489278616019073,-7.7671093643981095,0.0,-1.4280452241688861,-0.34317584718231414,-0.020609296030401215,0.0
DS order-1.5 block Gaussian,maximum-held-out-block-loglik,20,20,1,243,701.0511428170139,-3933.605339011122,-3915.2320858535268,0.970877305192531,700,-3896.7857576330944,0.0852676329739265,5000,36,33632710,ok,22.440507247276543,0.18278283514212476,16.14125907996018,-0.005092878666770942,2.3370725231043448,0.45907979258960296,0.6254265380972459,4.592716905337738,0.110769929683503,3.7218521361668846,3.515026144910011,4.309144009263856,-2.3083829162015888,-0.4031691359967408,-4.482769421316935,-8.192525308900844,-4.099710520186198,-4.9563605184367185,0.1630511789389833,0.15709751267704758,0.27818760080532734,0.27818760080532734,0.12347610677331455,3.110867685001357,-1.6994565240310855,2.7813786697099796,-0.5092878666770941,0.8488990876401951,-0.7785312439655305,0.6254265380972459,4.592716905337738,0.110769929683503,3.7218521361668846,3.515026144910011,4.309144009263856,-2.3083829162015888,-0.4031691359967408,-4.482769421316935,-8.192525308900844,-4.099710520186198,-4.9563605184367185,-0.5342315763949671,-0.5714289967412688,0.0,0.0,-0.8122480392124561
DS order-1.5 block Gaussian,maximum-held-out-block-loglik,20,20,2,277,799.798753910989,-4439.311121445258,-4369.725431320184,0.999999935194132,800,-4223.324094137197,0.31849198873867196,5000,36,33633741,ok,35.35487304929859,0.11675408968964529,5.576763225485146,-0.007986938818586696,5.0,0.5,-1.0701897831150937,7.027163127803233,-0.7907351432487363,1.6002054439323812,1.7861245140474027,6.2797409132761155,-1.7476820395181827,-1.339953675697002,-3.9594080201309048,-1.9902734523851857,-1.7974361056916943,-5.646607604253307,0.029324215204216433,0.18121782195134653,0.1603042772577811,0.3242351722145911,0.30491851337206477,3.5654362343072483,-2.1476853535850178,1.7186085409718437,-0.7986938818586695,1.6094379124341003,-0.6931471805599453,-1.0701897831150937,7.027163127803233,-0.7907351432487363,1.6002054439323812,1.7861245140474027,6.2797409132761155,-1.7476820395181827,-1.339953675697002,-3.9594080201309048,-1.9902734523851857,-1.7974361056916943,-5.646607604253307,-2.4030554604893686,-0.5817693487540333,-0.7043953505758933,0.0,-0.06142452102681935
DS order-1.5 block Gaussian,maximum-held-out-block-loglik,20,20,3,244,700.9017605779809,-3983.515780888538,-3969.6250268426875,0.9286846485528533,700,-3953.659743017927,0.14459482361879958,5000,36,33634705,ok,22.45084883988511,0.2968105835929797,2.249397318667539,-0.00587437967720421,2.4157635676082565,0.48042254611676954,1.6531708005707337,3.876678236258927,1.2599530650325914,3.259705713043371,3.615724429291608,3.7236053773069604,-4.1558552652156004,-0.37012775846478324,-5.871706994650277,-9.945173112252979,-1.8856052035310304,-7.017659700078541,0.308675478823218,0.30868227486031313,0.2581931990861473,0.012287558482716697,0.11216148874760482,3.1113284237133456,-1.2146611093186828,0.8106623219658855,-0.587437967720421,0.882015414194562,-0.7330892579109478,1.6531708005707337,3.876678236258927,1.2599530650325914,3.259705713043371,3.615724429291608,3.7236053773069604,-4.1558552652156004,-0.37012775846478324,-5.871706994650277,-9.945173112252979,-1.8856052035310304,-7.017659700078541,-2.2016527871761412e-05,0.0,-0.17860437284890585,-3.2237252662104288,-1.0123728145762432
DS order-1.5 block Gaussian,maximum-held-out-block-loglik,20,20,4,278,801.1373468320235,-3984.92691011892,-3953.553348610883,0.5857305705902106,800,-3926.111721077118,0.10452638436889444,5000,36,33635736,ok,14.09250615816035,0.5469488164088129,4.330469745570483,-0.003600569901463086,2.0716010791069657,0.45724793923226686,1.3504264703623836,4.835456875501985,-1.6050482464710525,1.1119295755223244,4.832022836249202,2.2726255182755466,-3.086459917880496,-6.556497176525302,-6.752178365969797,-5.917248177389221,-8.91508233592406,-5.162579612679433,0.02083716591792044,0.19403954850444222,0.22217670389683195,0.2736000004717226,0.2893465812090828,2.6456431779548955,-0.6034000524029315,1.4656760224051264,-0.3600569901463086,0.7283217764725446,-0.7825294985944358,1.3504264703623836,4.835456875501985,-1.6050482464710525,1.1119295755223244,4.832022836249202,2.2726255182755466,-3.086459917880496,-6.556497176525302,-6.752178365969797,-5.917248177389221,-8.91508233592406,-5.162579612679433,-2.6308869973179023,-0.39956321597564154,-0.26415218377244437,-0.05595802506048895,0.0
DS order-1.5 block Gaussian,maximum-held-out-block-loglik,20,20,5,280,802.1550016939873,-4660.879905791247,-4654.519633048187,0.18338234878098386,802,-4640.764878147974,0.13966248251782748,5000,36,33636735,ok,38.9538937410314,0.2894316021013531,2.516191131865847,-0.005460303917510235,5.0,0.5,2.0865063976198392,7.801826275275568,1.5303111766408328,3.2775919946292023,5.454714880469385,8.0,-0.5452761678852341,-6.063908726419868,-0.5019495181151089,-3.775296885103811,-8.199161567736128,0.0,0.34656459740981227,0.17054945462088614,0.032492505364755675,0.25111636925220676,0.19927707335233902,3.6623787349976364,-1.2398362720548826,0.9227463025132336,-0.5460303917510235,1.6094379124341003,-0.6931471805599453,2.0865063976198392,7.801826275275568,1.5303111766408328,3.2775919946292023,5.454714880469385,8.0,-0.5452761678852341,-6.063908726419868,-0.5019495181151089,-3.775296885103811,-8.199161567736128,0.0,0.0,-0.7090439184726831,-2.3670597709844063,-0.322152775354684,-0.5533730448277181
DS order-1.5 block Gaussian,maximum-held-out-block-loglik,20,20,6,245,701.1865718240151,-4120.800825342892,-4101.307026172172,0.9322799764937304,700,-4055.698709461609,0.4877093044203624,5000,36,33637697,ok,31.883341462930886,0.23549375708395512,16.882212137446032,-0.0036489246197653207,2.731229284918052,0.5,2.1643420566561486,4.653344937485392,1.3713226089332473,1.1544928374456764,3.299714986668301,3.961416973586602,-5.55349794649018,0.0,-6.178136261306716,-4.1154824373805985,-2.2692980233240294,-1.6471680829652544,0.2247588153078506,0.10902591881663876,0.163617099379336,0.3274127215448935,0.1751854449512811,3.462083662197656,-1.4460708750746825,2.8262605313779714,-0.3648924619765321,1.004751795363638,-0.6931471805599453,2.1643420566561486,4.653344937485392,1.3713226089332473,1.1544928374456764,3.299714986668301,3.961416973586602,-5.55349794649018,0.0,-6.178136261306716,-4.1154824373805985,-2.2692980233240294,-1.6471680829652544,-0.37619362514920063,-1.0996358791877143,-0.6936925823180841,0.0,-0.6253764221694178
DS order-1.5 block Gaussian,maximum-held-out-block-loglik,20,20,7,244,698.9737883259659,-3966.5036804320534,-3938.235936018008,0.6426293133470722,700,-3931.106188494004,0.1219050734035109,5000,36,33638693,ok,23.242007555684673,0.08103310752463264,10.123282474829725,-0.003954144009127455,2.271531194582637,0.4818129059927064,2.717654017138471,4.773840140005944,-0.36893288521539574,2.803018169997728,4.524506097463167,3.0822455114468914,-5.036478200791669,-1.3317550561819769,-2.63955257195371,-7.374183213997169,-4.347140767230588,-2.347108158955492,0.16707165970628537,0.10269608853741705,0.30723750108790004,0.30723750108790004,0.11575724958049745,3.145961311888172,-2.5128974729470337,2.3148379664878656,-0.3954144009127455,0.8204541391552215,-0.7301994021267026,2.717654017138471,4.773840140005944,-0.36893288521539574,2.803018169997728,4.524506097463167,3.0822455114468914,-5.036478200791669,-1.3317550561819769,-2.63955257195371,-7.374183213997169,-4.347140767230588,-2.347108158955492,-0.6091982472596531,-1.0958470377635825,0.0,0.0,-0.9761257453068817
DS order-1.5 block Gaussian,maximum-held-out-block-loglik,20,20,8,140,400.9465292080422,-3898.1463796570906,-3885.4046552725395,0.7432730832115163,400,-3878.6985959381905,0.09030248687308182,5000,36,33639586,ok,28.98086713808226,0.1390131313305961,4.555542390667469,-0.0034639533103194755,2.8656440858195635,0.4784261150733303,2.1985854323203347,5.371084565763563,-0.6862129358569187,4.016910339664253,3.5704461059820405,4.249892882242902,-4.21811386103031,-0.09101688641994626,-5.3331111523036965,-5.078610400367992,-5.5299296971775975,-8.146215958205397,0.09647086961927881,0.3846370593797543,0.14375624952981342,0.03558919632643883,0.3395466251447147,3.366635858393892,-1.9731868803091668,1.5163445995104303,-0.34639533103194753,1.0527931367047012,-0.7372534894716208,2.1985854323203347,5.371084565763563,-0.6862129358569187,4.016910339664253,3.5704461059820405,4.249892882242902,-4.21811386103031,-0.09101688641994626,-5.3331111523036965,-5.078610400367992,-5.5299296971775975,-8.146215958205397,-1.3830590932112317,0.0,-0.984181033031757,-2.3802580689302113,-0.12468891444358693
DS order-1.5 block Gaussian,maximum-held-out-block-loglik,20,20,9,243,700.2762255719863,-4058.0640382837028,-4022.638905808922,0.9997468689997977,700,-3996.0957658032744,0.6143499653574097,5000,36,33640686,ok,22.36808787941092,0.40779915676237855,2.0605533281166504,-0.007249696695840262,2.7335820334509293,0.5,1.830872100597499,5.385118216107655,-2.019132521951801,3.9103831046646036,3.296087060069988,2.984483888401496,-4.441429700201748,-8.141720845203091,-1.9128443554795547,-8.393668040045657,-4.145227555411108,-0.9775545010913627,0.19166298859249065,0.012006936735315887,0.2688712528515225,0.2685249067966762,0.2589339150239949,3.1076352948442416,-0.8969804886164101,0.7229745526152574,-0.7249696695840262,1.0056128493108556,-0.6931471805599453,1.830872100597499,5.385118216107655,-2.019132521951801,3.9103831046646036,3.296087060069988,2.984483888401496,-4.441429700201748,-8.141720845203091,-1.9128443554795547,-8.393668040045657,-4.145227555411108,-0.9775545010913627,-0.338494089101882,-3.1087481070435063,0.0,-0.0012889787043754136,-0.03765977630015172
