method,inference_nstep,start,iteration,elapsed_seconds,pseudo_loglik,complete_pseudologlik,score_norm,minimum_ess,maximum_invalid_fraction,unique_initial_ancestors,backward_fallbacks,accepted_step_size,backtrack_count,gamma,m,epsilon,beta_trend,sigma,tau,bs1,bs2,bs3,bs4,bs5,bs6,omegas1,omegas2,omegas3,omegas4,omegas5,omegas6,S_0,I_0,R1_0,R2_0,R3_0,raw_0,raw_1,raw_2,raw_3,raw_4,raw_5,raw_6,raw_7,raw_8,raw_9,raw_10,raw_11,raw_12,raw_13,raw_14,raw_15,raw_16,raw_17,raw_18,raw_19,raw_20,raw_21,raw_22
DS order-1.5 block Gaussian,20,0,0,15.67062355496455,-6213.326621917971,28117.75002755609,14737.781124246592,161.7496320539406,0.0033999999999999586,3,0,0.15,0,12.204439319925953,0.40694085741223185,15.776105071350697,-0.009654575819763804,1.285275956517952,0.4046354317852725,2.0519699908305746,5.157343476386535,-2.22942514844895,4.8620776876508796,5.000225608613919,2.862000628488265,-3.7594382581790438,-2.3527504780275645,-0.5265467864596349,-6.352280427453167,-6.610966241633912,-9.421106416727302,0.30016229191247606,0.12847598067816407,0.16178485054093505,0.1308026974351881,0.27877417943323657,2.501799764233874,-0.899087417582029,2.7584964580403506,-0.9654575819763804,0.25097344744528827,-0.904768785701927,2.0519699908305746,5.157343476386535,-2.22942514844895,4.8620776876508796,5.000225608613919,2.862000628488265,-3.7594382581790438,-2.3527504780275645,-0.5265467864596349,-6.352280427453167,-6.610966241633912,-9.421106416727302,0.0,-0.8485813353537146,-0.6180559319568264,-0.8306332400209862,-0.07392124005080869
DS order-1.5 block Gaussian,20,0,1,28.993229602929205,-5573.24825948714,28635.142033956454,29075.93755824753,25.703335351065242,0.025799999999999934,1,0,0.15,0,14.179535514919689,0.3502572419170108,13.578619473290749,-0.01,1.4932776151810898,0.4701193004186211,1.9019699920422442,5.007343477910446,-2.3794251448487884,4.712077688887042,4.850225609331501,2.71200062949828,-3.9094382452941985,-2.502750473816884,-0.6765467837600437,-6.502280420719299,-6.760966041946451,-9.57110622449602,0.2997352249741045,0.1490554172606299,0.13905138903615574,0.11242274375500538,0.2997352249741045,2.651799764214849,-1.0490874175561888,2.6084964581478283,-1.0,0.40097344580003846,-0.7547687858096717,1.9019699920422442,5.007343477910446,-2.3794251448487884,4.712077688887042,4.850225609331501,2.71200062949828,-3.9094382452941985,-2.502750473816884,-0.6765467837600437,-6.502280420719299,-6.760966041946451,-9.57110622449602,0.0,-0.698581336809383,-0.7680559314278748,-0.9806332379654227,0.0
DS order-1.5 block Gaussian,20,0,2,42.31780988594983,-4933.811346266029,30086.789771629818,16376.413695378242,22.417195922415026,0.04059999999999997,1,0,0.15,0,16.114428843015265,0.30946501228868195,14.947229196070536,-0.01,1.707989925788355,0.5,1.7675280613818676,4.879863435515237,-2.519623219958763,4.562517187664081,4.703631704192256,2.5671018185205385,-4.029269569335461,-2.639461202792945,-0.8203672983878635,-6.65201728318977,-6.891590370616217,-9.701804116753438,0.3029325300905497,0.17267527537682917,0.12296935254560817,0.09849031189646316,0.3029325300905497,2.7797150720712107,-1.1729102391646786,2.704525944603993,-1.0,0.5353171970986058,-0.6931471805599453,1.7675280613818676,4.879863435515237,-2.519623219958763,4.562517187664081,4.703631704192256,2.5671018185205385,-4.029269569335461,-2.639461202792945,-0.8203672983878635,-6.65201728318977,-6.891590370616217,-9.701804116753438,0.0,-0.5620972980022817,-0.90157494971611,-1.1235519207859275,0.0
DS order-1.5 block Gaussian,20,0,3,55.6425446709618,-4581.107198444484,30470.47889648457,11702.442746984732,14.304928736558558,0.09799999999999998,1,0,0.15,0,18.424616008310736,0.2703654928238232,15.007823145093491,-0.009690086751765536,1.9617611557507908,0.5,1.6470966120261408,4.762765389819071,-2.661788425823564,4.413097855127883,4.556972643680365,2.421960790229864,-4.107265932173445,-2.7790301962437436,-0.9665264797898699,-6.7926026356610025,-7.010167314168478,-9.69210226183501,0.3046032162005238,0.18828956266760188,0.11307139409795001,0.0894326108334005,0.3046032162005238,2.9136875970609815,-1.3079805582533646,2.7085716081521585,-0.9690086751765536,0.6738426186415136,-0.6931471805599453,1.6470966120261408,4.762765389819071,-2.661788425823564,4.413097855127883,4.556972643680365,2.421960790229864,-4.107265932173445,-2.7790301962437436,-0.9665264797898699,-6.7926026356610025,-7.010167314168478,-9.69210226183501,0.0,-0.481028994320336,-0.9909905737892368,-1.2255246090843543,0.0
DS order-1.5 block Gaussian,20,0,4,68.96788322192151,-4437.07135824979,30295.10223167773,2790.5946842056833,4.49767608407897,0.16499999999999992,1,0,0.15,0,21.115397658854764,0.23521938674181933,14.355396121879194,-0.008837048263278906,2.263541996313347,0.5,1.6130808753349242,4.756604834393762,-2.7967979179338305,4.2713236936081325,4.412132571415948,2.3019198057264982,-4.074457097490081,-2.891299912359897,-1.1114845617188118,-6.933058072234466,-7.138105125522556,-9.64043186421817,0.30602253341664787,0.1964421591533028,0.10714538728343205,0.08436738672996942,0.30602253341664787,3.0500025212113986,-1.4472366397311711,2.6641259078895625,-0.8837048263278905,0.816930841427677,-0.6931471805599453,1.6130808753349242,4.756604834393762,-2.7967979179338305,4.2713236936081325,4.412132571415948,2.3019198057264982,-4.074457097490081,-2.891299912359897,-1.1114845617188118,-6.933058072234466,-7.138105125522556,-9.64043186421817,0.0,-0.443290705333371,-1.0494720660160999,-1.2884778240845969,0.0
DS order-1.5 block Gaussian,20,0,5,82.2928133389214,-4411.039204727978,30203.78656208924,9444.077092359263,2.0436047502039387,0.2215999999999999,1,0,0.15,0,23.684593425077267,0.20458292040550694,13.31551416677087,-0.007881656873472184,2.548407379480946,0.5,1.688228106003948,4.836036698266987,-2.841201612178536,4.147167222503411,4.273223702693286,2.3546447341218504,-3.9902334780084927,-2.844478383344326,-1.2334526556170673,-7.056495668033984,-7.265632834247843,-9.556107706824594,0.2990448934766,0.18814918507906728,0.11281883732235096,0.0895686046539608,0.3104184794680209,3.164824770303839,-1.5867819069280409,2.5889298341246034,-0.7881656873472185,0.9354686069870292,-0.6931471805599453,1.688228106003948,4.836036698266987,-2.841201612178536,4.147167222503411,4.273223702693286,2.3546447341218504,-3.9902334780084927,-2.844478383344326,-1.2334526556170673,-7.056495668033984,-7.265632834247843,-9.556107706824594,-0.03732761337890543,-0.5006861351055649,-1.0121379982455934,-1.2429164568142395,0.0
DS order-1.5 block Gaussian,20,0,6,95.61877534596715,-4580.823954755117,30066.129975629297,21165.346496612656,1.0290188309956936,0.2749999999999999,1,0,0.15,0,26.60386704944154,0.1775612883792123,13.021038171287476,-0.00688684501911085,2.8550054974555716,0.5,1.7772688193122286,4.929872459465477,-2.8615222877201054,4.025501934509201,4.1491182730174705,2.4229187367161398,-3.892329987758766,-2.772456254023109,-1.3507715227787194,-7.17575152372375,-7.386585367878897,-9.457854971319877,0.30095988649531363,0.18632763511612793,0.11262913655857236,0.08952429489497181,0.3105590469350143,3.2810565830198795,-1.7284394430209316,2.566566370259649,-0.688684501911085,1.049073768659735,-0.6931471805599453,1.7772688193122286,4.929872459465477,-2.8615222877201054,4.025501934509201,4.1491182730174705,2.4229187367161398,-3.892329987758766,-2.772456254023109,-1.3507715227787194,-7.17575152372375,-7.386585367878897,-9.457854971319877,-0.03139706214600834,-0.5108674473092916,-1.0142736067025575,-1.24386401077153,0.0
DS order-1.5 block Gaussian,20,0,7,108.94349722296465,-4662.196203513153,29682.56249714129,15357.023609955733,1.0368070752646774,0.3064,1,0,0.15,0,28.124561163791242,0.16319380431588118,13.125055038868716,-0.005967720210696009,3.1863030853855125,0.5,1.8694586907717234,5.026027348725041,-2.8541413341828075,3.920825846765962,4.055488706395877,2.5005306932315547,-3.79482764426278,-2.6962696462189926,-1.4583565256066962,-7.283190509953736,-7.4912100893813305,-9.358776490707715,0.3028671669549822,0.18531997316428733,0.1120534154791311,0.08926300041351824,0.3104964439880811,3.3366432573376548,-1.8128168009235,2.5745230019065115,-0.5967720210696009,1.1588613373416274,-0.6931471805599453,1.8694586907717234,5.026027348725041,-2.8541413341828075,3.920825846765962,4.055488706395877,2.5005306932315547,-3.79482764426278,-2.6962696462189926,-1.4583565256066962,-7.283190509953736,-7.4912100893813305,-9.358776490707715,-0.024878132274326427,-0.5160885330325836,-1.0191967672497506,-1.2465853758250904,0.0
DS order-1.5 block Gaussian,20,0,8,122.26914483099245,-4486.87602955757,29371.390509146524,14514.906761549035,1.7614909602091864,0.3426,1,0,0.15,0,28.35859517965897,0.15673258964100092,13.490457319641035,-0.005061664820246336,3.5707577835149986,0.5,1.9689628375079173,5.12738447310396,-2.8081432860152598,3.835829281549828,3.9990447205794597,2.593588095265023,-3.6944704179508747,-2.6090284920519258,-1.549441389550086,-7.371896353559958,-7.57587732130549,-9.253313873486169,0.30656983862779535,0.18576710757627574,0.11020608500453707,0.08789852493685765,0.3095584438545342,3.3449301651640586,-1.8532141765087404,2.601982570285602,-0.5061664820246335,1.2727778375565864,-0.6931471805599453,1.9689628375079173,5.12738447310396,-2.8081432860152598,3.835829281549828,3.9990447205794597,2.593588095265023,-3.6944704179508747,-2.6090284920519258,-1.549441389550086,-7.371896353559958,-7.57587732130549,-9.253313873486169,-0.009701319518047211,-0.5106531280667099,-1.03279479440912,-1.2589638840308275,0.0
DS order-1.5 block Gaussian,20,0,9,135.59480297297705,-4362.483578315589,29077.19219378946,6464.883899472842,1.0639624263592593,0.3972,1,0,0.15,0,28.883614980295857,0.14804584599572485,13.407915368545725,-0.004184189526505833,4.00870216617122,0.5,2.071352542522292,5.227178176390763,-2.744145853833111,3.7674956282113756,3.973873376364798,2.698472961067812,-3.596508606769792,-2.5212671969673237,-1.6282552809417665,-7.445153214720991,-7.643182174512386,-9.146391799784386,0.3091230938217925,0.18641905299143882,0.10859631208447787,0.08673844728049834,0.3091230938217925,3.3632744786391258,-1.910233282945533,2.595845231708002,-0.4184189526505833,1.3884675395988686,-0.6931471805599453,2.071352542522292,5.227178176390763,-2.744145853833111,3.7674956282113756,3.973873376364798,2.698472961067812,-3.596508606769792,-2.5212671969673237,-1.6282552809417665,-7.445153214720991,-7.643182174512386,-9.146391799784386,0.0,-0.5057424468084029,-1.0461021112387803,-1.270842322055921,0.0
