method,inference_nstep,start,iteration,elapsed_seconds,pseudo_loglik,complete_pseudologlik,score_norm,minimum_ess,maximum_invalid_fraction,unique_initial_ancestors,backward_fallbacks,accepted_step_size,backtrack_count,gamma,m,epsilon,beta_trend,sigma,tau,bs1,bs2,bs3,bs4,bs5,bs6,omegas1,omegas2,omegas3,omegas4,omegas5,omegas6,S_0,I_0,R1_0,R2_0,R3_0,raw_0,raw_1,raw_2,raw_3,raw_4,raw_5,raw_6,raw_7,raw_8,raw_9,raw_10,raw_11,raw_12,raw_13,raw_14,raw_15,raw_16,raw_17,raw_18,raw_19,raw_20,raw_21,raw_22
DS order-1.5 block Gaussian,20,0,0,35.953287823009305,-6215.478468627196,28039.492349374126,35769.66538832136,337.8446878977487,0.0040000000000000036,2,0,0.2,0,12.204439319925953,0.40694085741223185,15.776105071350697,-0.009654575819763804,1.285275956517952,0.4046354317852725,2.0519699908305746,5.157343476386535,-2.22942514844895,4.8620776876508796,5.000225608613919,2.862000628488265,-3.7594382581790438,-2.3527504780275645,-0.5265467864596349,-6.352280427453167,-6.610966241633912,-9.421106416727302,0.30016229191247606,0.12847598067816407,0.16178485054093505,0.1308026974351881,0.27877417943323657,2.501799764233874,-0.899087417582029,2.7584964580403506,-0.9654575819763804,0.25097344744528827,-0.904768785701927,2.0519699908305746,5.157343476386535,-2.22942514844895,4.8620776876508796,5.000225608613919,2.862000628488265,-3.7594382581790438,-2.3527504780275645,-0.5265467864596349,-6.352280427453167,-6.610966241633912,-9.421106416727302,0.0,-0.8485813353537146,-0.6180559319568264,-0.8306332400209862,-0.07392124005080869
DS order-1.5 block Gaussian,20,0,1,69.295373742003,-5961.1824532395485,28923.97608181624,29637.318592161526,243.88613513413452,0.0391999999999999,1,0,0.2,0,10.000000000000002,0.49703868563737086,19.26897824629499,-0.01,1.5698395932146008,0.4942228322606289,1.8519699959604932,4.957343482050568,-2.4294251233192163,5.0620776837145804,5.200225605435488,2.66200064354827,-3.959438170834668,-2.5527504631884392,-0.7265467777842075,-6.552280400178748,-6.810965020331243,-9.621105595473319,0.3011271259629511,0.15742531897554565,0.1328840031361931,0.107436425962359,0.3011271259629511,2.302585092994046,-0.6990874176101828,2.9584964579948165,-1.0,0.4509734442135082,-0.7047687860483987,1.8519699959604932,4.957343482050568,-2.4294251233192163,5.0620776837145804,5.200225605435488,2.66200064354827,-3.959438170834668,-2.5527504631884392,-0.7265467777842075,-6.552280400178748,-6.810965020331243,-9.621105595473319,0.0,-0.6485813403988554,-0.8180559301770897,-1.030633234744881,0.0
DS order-1.5 block Gaussian,20,0,2,102.71397073206026,-5727.371441901719,29492.360033400106,42355.36476196386,35.84454545884281,0.09039999999999992,1,0,0.2,0,10.251354671602659,0.5031793242179742,18.715551269989216,-0.01,1.91535227858163,0.5,1.6517006751474952,4.760800275578276,-2.6245897833356713,5.011598022752122,5.127915318737388,2.487813737200365,-4.156599813260091,-2.752590949711352,-0.9260796795347398,-6.751691221714059,-6.996877491316238,-9.820713448930613,0.30349296199480974,0.19056716299554413,0.11157159931043378,0.09087531370440266,0.30349296199480974,2.3274098599348325,-0.6868086630370964,2.929354796973291,-1.0,0.649901563198386,-0.6931471805599453,1.6517006751474952,4.760800275578276,-2.6245897833356713,5.011598022752122,5.127915318737388,2.487813737200365,-4.156599813260091,-2.752590949711352,-0.9260796795347398,-6.751691221714059,-6.996877491316238,-9.820713448930613,0.0,-0.46535372666933045,-1.000691889662841,-1.2058700328665584,0.0
DS order-1.5 block Gaussian,20,0,3,136.1639149140101,-5238.93900687647,30193.272484077937,13798.131128820054,25.355453865764527,0.1529999999999999,1,0,0.2,0,11.207772149954836,0.47310751999106443,16.972672485945726,-0.01,2.3027635295298046,0.5,1.4634356378204174,4.587104442457754,-2.822243854722399,4.893777512147589,4.995800649696436,2.3021982342362355,-4.305505545646556,-2.9444362323516593,-1.1263273967569942,-6.949806801097432,-7.169342032798234,-9.99644923546496,0.3043242493213885,0.21223966346835635,0.09856928722260426,0.08054255066626233,0.3043242493213885,2.4166074795949126,-0.7484326013306627,2.831604549813743,-1.0,0.8341099362483008,-0.6931471805599453,1.4634356378204174,4.587104442457754,-2.822243854722399,4.893777512147589,4.995800649696436,2.3021982342362355,-4.305505545646556,-2.9444362323516593,-1.1263273967569942,-6.949806801097432,-7.169342032798234,-9.99644923546496,0.0,-0.36037761838232407,-1.127334018120804,-1.3293081181115818,0.0
DS order-1.5 block Gaussian,20,0,4,169.5924335180316,-4835.38289705255,30776.97270759999,6767.4127041845195,20.43277001754691,0.22119999999999995,1,0,0.2,0,12.686354206821086,0.42704286275304515,15.025825801668864,-0.009931543877830488,2.6915727266685607,0.5,1.2802221920617285,4.429222494396813,-3.0012157511481083,4.750387360187256,4.8457860839723725,2.1273468197645187,-4.343122411585169,-3.1336720217854275,-1.3088241768052775,-7.115965216118945,-7.302021976274833,-10.0,0.3021030231332396,0.24114633272008976,0.08513980954099581,0.06950781147243525,0.3021030231332396,2.5405269439019356,-0.850870889636691,2.7097704407524463,-0.9931543877830488,0.9901256795226867,-0.6931471805599453,1.2802221920617285,4.429222494396813,-3.0012157511481083,4.750387360187256,4.8457860839723725,2.1273468197645187,-4.343122411585169,-3.1336720217854275,-1.3088241768052775,-7.115965216118945,-7.302021976274833,-10.0,0.0,-0.22536415646844046,-1.2664733720161012,-1.4693289538622176,0.0
DS order-1.5 block Gaussian,20,0,5,203.04301636607852,-4656.867382187803,30555.081499017513,5734.865877934837,15.575665369863975,0.3366,1,0,0.2,0,13.773558379587142,0.4003899832370338,15.044408056290933,-0.01,3.18140494718149,0.5,1.1584626229621433,4.400314209852412,-3.1746422606019347,4.597212951363232,4.68486833982899,1.943926909227865,-4.243461700819729,-3.326507494468908,-1.4786842699935314,-7.266560781257213,-7.432009458678174,-9.900294054062305,0.29682526568254647,0.2762094961003134,0.07174512520557097,0.05839484732902259,0.29682526568254647,2.6227506947228694,-0.9153162487445242,2.7110063644286786,-1.0,1.157322906513758,-0.6931471805599453,1.1584626229621433,4.400314209852412,-3.1746422606019347,4.597212951363232,4.68486833982899,1.943926909227865,-4.243461700819729,-3.326507494468908,-1.4786842699935314,-7.266560781257213,-7.432009458678174,-9.900294054062305,0.0,-0.07198401300210958,-1.4200237236870492,-1.6259159793586833,0.0
DS order-1.5 block Gaussian,20,0,6,236.47250286105555,-4475.025380478028,30622.597874487205,7382.148782494251,17.424034197466355,0.42899999999999994,1,0,0.2,0,15.417725059400963,0.36416109169455113,14.61887308571202,-0.01,3.7118039622498205,0.5,1.146729590038571,4.463248455813267,-3.3564082423272543,4.4303723173293115,4.51159293268105,1.7593346769510076,-4.108346937175756,-3.500550794002332,-1.6582399464659743,-7.432674284285965,-7.569935288143975,-9.767887320869667,0.2957309466305944,0.2957309466305944,0.062346668906354555,0.05046049120186234,0.2957309466305944,2.7355178254355335,-1.0101589496455976,2.6823133710301366,-1.0,1.3115180016354508,-0.6931471805599453,1.146729590038571,4.463248455813267,-3.3564082423272543,4.4303723173293115,4.51159293268105,1.7593346769510076,-4.108346937175756,-3.500550794002332,-1.6582399464659743,-7.432674284285965,-7.569935288143975,-9.767887320869667,0.0,0.0,-1.5567398319010861,-1.7682593992343092,0.0
DS order-1.5 block Gaussian,20,0,7,269.9184840579983,-4375.159782015697,31005.564879736685,7258.009732866909,34.94325159361522,0.47539999999999993,1,0,0.2,0,16.118698664528452,0.3534413270249942,14.508400790875223,-0.009622850231048719,4.0792940516023934,0.5,1.1624131436818401,4.5315515934700645,-3.5399065211266056,4.2613895773599495,4.343110418400771,1.6196918631643815,-3.959278207696438,-3.6801882304438434,-1.8412211118731148,-7.6028535501193035,-7.705732123950281,-9.627348869833645,0.298556635041225,0.298556635041225,0.05762400500542876,0.04670608987089622,0.298556635041225,2.7799800058128814,-1.0400377847197262,2.6747278465474342,-0.962285023104872,1.405923946877206,-0.6931471805599453,1.1624131436818401,4.5315515934700645,-3.5399065211266056,4.2613895773599495,4.343110418400771,1.6196918631643815,-3.959278207696438,-3.6801882304438434,-1.8412211118731148,-7.6028535501193035,-7.705732123950281,-9.627348869833645,0.0,0.0,-1.6450204125165295,-1.855085086706508,0.0
DS order-1.5 block Gaussian,20,0,8,303.3541020710254,-4305.171236994005,30890.25551796313,2186.2330405017,6.27718299156345,0.5012,1,0,0.2,0,17.091464374187204,0.33762790631215905,13.690724934684464,-0.009015959983897532,4.178084032130612,0.5,1.2111710956365156,4.62499724403419,-3.7184439056528604,4.095570709098104,4.182307789072544,1.5242626401713917,-3.798203966678864,-3.847344716154343,-2.024158941232492,-7.772547014884767,-7.8470835501033545,-9.468776445097468,0.30060764466165657,0.30060764466165657,0.05421849039489177,0.043958575620138475,0.30060764466165657,2.8385791794828292,-1.0858108587993087,2.616718591491095,-0.9015959983897532,1.4298527759360864,-0.6931471805599453,1.2111710956365156,4.62499724403419,-3.7184439056528604,4.095570709098104,4.182307789072544,1.5242626401713917,-3.798203966678864,-3.847344716154343,-2.024158941232492,-7.772547014884767,-7.8470835501033545,-9.468776445097468,0.0,0.0,-1.7127839068743118,-1.9225581810535604,0.0
DS order-1.5 block Gaussian,20,0,9,336.79978336801287,-4282.64038285316,31048.348976190693,7094.506269109099,3.291288679900056,0.4454,1,0,0.2,0,18.567711815549504,0.31217856727620635,13.206948801171675,-0.007905927943959971,3.997138732658395,0.5,1.3177750572765485,4.74612506899509,-3.898154426224897,3.9191187793501987,4.017345268978184,1.5552306531390818,-3.6514809391995935,-3.9839810280613595,-2.2041552493082435,-7.9506936369372525,-7.99259581702284,-9.332817727545564,0.30723904961294485,0.2827330043495652,0.056522936349656966,0.04621297437721797,0.307292035310615,2.9214241483621133,-1.1641799238781028,2.5807431154108333,-0.7905927943959972,1.3855787883233324,-0.6931471805599453,1.3177750572765485,4.74612506899509,-3.898154426224897,3.9191187793501987,4.017345268978184,1.5552306531390818,-3.6514809391995935,-3.9839810280613595,-2.2041552493082435,-7.9506936369372525,-7.99259581702284,-9.332817727545564,-0.00017244269362894527,-0.08329554572577465,-1.693152041647232,-1.8945379611763844,0.0
