method,inference_nstep,start,target_elapsed_seconds,iteration,elapsed_seconds,training_pseudo_loglik,block_loglik,block_loglik_se,eval_particles,eval_replicates,replicate_logliks
DS order-1.5 block Gaussian,20,0,0,0,6.611065349017736,-6230.759840064467,-6214.512298215371,0.9984130759913301,500,4,"[-6222.340507399474, -6219.97096766731, -6223.678039954941, -6213.127195093013]"
DS order-1.5 block Gaussian,20,0,100,28,99.25195852603065,-4230.486542119816,-4155.528169393266,0.7884521341853332,500,4,"[-4155.907537150104, -4163.514868621775, -4167.8457405601375, -4154.329602677368]"
DS order-1.5 block Gaussian,20,0,200,58,198.73907169798622,-4044.1622388194633,-4035.453724483658,0.6068408755432882,500,4,"[-4037.118025970425, -4037.340300248788, -4035.5404668789497, -4034.444973492276]"
DS order-1.5 block Gaussian,20,0,300,88,299.0613969329861,-3964.6282732679774,-3944.762615799159,0.6964252604915281,500,4,"[-3943.643096655206, -3945.5584847302484, -3950.4043463809967, -3945.492668780597]"
DS order-1.5 block Gaussian,20,0,400,118,399.3862586740288,-3985.7995899008374,-3979.547013079444,0.9123199855069254,500,4,"[-3985.0129900346355, -3985.281422346286, -3978.2303699632666, -3980.887711761851]"
DS order-1.5 block Gaussian,20,0,403,119,402.5874836189905,-4005.824141115068,-3992.8436673806377,0.7160238454054844,500,4,"[-3991.707082618219, -3993.344315051482, -3998.2732562981064, -3994.140599306963]"
DS order-1.5 block Gaussian,20,4,0,0,6.497813038993627,-11169.302756751138,-10583.179557018386,1.0,500,4,"[-10729.649080370144, -10626.206823067543, -10646.895242976196, -10581.793262657266]"
DS order-1.5 block Gaussian,20,4,100,28,99.01372181298211,-4759.870499427454,-4736.085024749918,0.8905282118312282,500,4,"[-4734.786345256864, -4739.615910451769, -4737.304316285956, -4740.61072838181]"
DS order-1.5 block Gaussian,20,4,200,58,199.25866879196838,-4871.969947787917,-4837.168144181536,0.9999984674766872,500,4,"[-4855.267068823746, -4835.78185096981, -4855.937599800068, -4849.462672007905]"
DS order-1.5 block Gaussian,20,4,300,88,299.4818296589656,-4792.572796236788,-4785.931974601223,0.6998254359515642,500,4,"[-4785.920588044784, -4784.84154599399, -4790.371950022323, -4792.654911158601]"
DS order-1.5 block Gaussian,20,4,400,118,400.83282519399654,-4722.604781755579,-4670.317562672185,0.9999399245838759,500,4,"[-4690.549165680622, -4668.9313133693195, -4678.938855674719, -4692.425645930345]"
DS order-1.5 block Gaussian,20,7,0,0,6.52085527201416,-6751.0948996177885,-6507.875034851156,0.9999999994573995,500,4,"[-6506.488740490443, -6555.8336722756685, -6528.111070341018, -6607.055497095918]"
DS order-1.5 block Gaussian,20,7,100,28,100.05877591000171,-4598.474649764838,-4475.085088107274,0.9999984350246615,500,4,"[-4487.354115919576, -4473.6987949198865, -4523.5433412713755, -4524.904101852246]"
DS order-1.5 block Gaussian,20,7,200,58,200.0823114090017,-4154.389930857073,-4111.3777681276315,0.8096500669113351,500,4,"[-4110.148403905293, -4120.166023996076, -4112.419478058257, -4112.856434018496]"
DS order-1.5 block Gaussian,20,7,300,88,300.47984264499974,-4042.6766994706127,-4022.7059902542305,0.9597748189362172,500,4,"[-4036.715472578879, -4024.8373584078518, -4021.3506363030165, -4028.4534189526103]"
DS order-1.5 block Gaussian,20,7,400,118,400.9190664389753,-4021.9830290214836,-3999.8640699936054,0.37241985780370007,500,4,"[-3999.5179934489424, -4004.462700397433, -4000.001587256226, -3999.330561028539]"
DS order-1.5 block Gaussian,20,8,0,0,6.28147938096663,-9329.62127233223,-8924.749645553067,1.0,500,4,"[-9002.21681946671, -9041.223774117167, -8923.363351191947, -9063.689082253073]"
DS order-1.5 block Gaussian,20,8,100,28,99.69575106998673,-3963.971110881551,-3958.0381839282045,0.9332500430387088,500,4,"[-3963.1133258804894, -3959.901690616087, -3961.2446117300015, -3956.703677437202]"
DS order-1.5 block Gaussian,20,8,200,58,199.5109176299884,-4860.820434101337,-4633.414649132461,0.9999982655700471,500,4,"[-4663.32409479098, -4659.869572097976, -4632.028356072165, -4645.580868808778]"
DS order-1.5 block Gaussian,20,8,300,88,299.8233074049931,-4058.263276341374,-4039.760409325491,0.9859451707511531,500,4,"[-4038.384730907732, -4045.5211483491103, -4045.013735869351, -4043.1459214442875]"
DS order-1.5 block Gaussian,20,8,400,118,400.30549593199976,-4002.87374557206,-3977.062458810227,0.8668382137284667,500,4,"[-3979.4678563310217, -3975.783509190308, -3978.2133045457276, -3984.591193534888]"
