method,inference_nstep,evaluation_nstep,start,iteration,elapsed_seconds,pseudo_loglik,euler20_loglik,euler20_se,eval_particles,eval_replicates,evaluation_seed,evaluation_status
DS order-1.5 block Gaussian,20,20,0,0,6.647335549001582,-6230.759840064467,-6206.219004616724,0.7869880439739771,1000,4,32631470,ok
DS order-1.5 block Gaussian,20,20,0,29,102.40354842902161,-4241.390340995215,-4085.4442080473764,0.7212717608584851,1000,4,32631499,ok
DS order-1.5 block Gaussian,20,20,0,59,202.27139522403013,-4053.3529027843792,-3955.228284504351,0.8786794115579498,1000,4,32631529,ok
DS order-1.5 block Gaussian,20,20,0,89,302.3382150600082,-6181.529654237174,-4439.71456876671,3.5431422633414673,1000,4,32631559,ok
DS order-1.5 block Gaussian,20,20,0,119,402.7050803810125,-4175.6074888741405,-3999.692549583329,1.4750548446611234,1000,4,32631589,ok
DS order-1.5 block Gaussian,20,20,4,0,5.991063784982543,-11169.302756751138,-9306.514674354072,163.5399660537696,1000,4,32635458,ok
DS order-1.5 block Gaussian,20,20,4,29,102.7323105710093,-4767.338655808357,-4706.669226758594,0.36971536367792124,1000,4,32635487,ok
DS order-1.5 block Gaussian,20,20,4,59,202.72799192898674,-4866.665840719374,-4800.782334835767,1.0178094831350806,1000,4,32635517,ok
DS order-1.5 block Gaussian,20,20,4,89,303.1379880629829,-4180.588950808895,-4113.289821134216,0.5223142948452295,1000,4,32635547,ok
DS order-1.5 block Gaussian,20,20,4,118,401.05852893396514,-4078.6096801613917,-4001.1424265579126,2.9692551580994717,1000,4,32635576,ok
DS order-1.5 block Gaussian,20,20,7,0,6.135452085989527,-6751.0948996177885,-6825.315057473002,5.977522596629806,1000,4,32638449,ok
DS order-1.5 block Gaussian,20,20,7,29,102.07937351998407,-4697.570671407426,-4407.8477933713475,0.3783537165958955,1000,4,32638478,ok
DS order-1.5 block Gaussian,20,20,7,59,201.9025944689638,-4128.566990123389,-4078.4791561018064,1.4234642981442136,1000,4,32638508,ok
DS order-1.5 block Gaussian,20,20,7,89,301.8873588849674,-4329.399994595273,-4169.016426532989,3.0992384521355736,1000,4,32638538,ok
DS order-1.5 block Gaussian,20,20,7,119,402.18755298899487,-4043.8508749603543,-4003.2690521818017,1.4716486642791768,1000,4,32638568,ok
DS order-1.5 block Gaussian,20,20,8,0,5.867766676994506,-9329.62127233223,-8389.37804750717,19.727101815046353,1000,4,32639446,ok
DS order-1.5 block Gaussian,20,20,8,29,101.74730038596317,-3973.5839080888773,-3937.8081994295244,0.389523345455194,1000,4,32639475,ok
DS order-1.5 block Gaussian,20,20,8,59,201.55338618496899,-4666.907946372636,-4288.5410620533075,0.8400898898527183,1000,4,32639505,ok
DS order-1.5 block Gaussian,20,20,8,89,301.7644436429837,-4006.221762688508,-3916.539570863383,1.3291912856593164,1000,4,32639535,ok
DS order-1.5 block Gaussian,20,20,8,119,402.0487752649933,-3887.209278810982,-3857.325528027803,0.24613201645940164,1000,4,32639565,ok
