method,inference_nstep,start,target_elapsed_seconds,iteration,elapsed_seconds,training_pseudo_loglik,block_loglik,block_loglik_se,eval_particles,eval_replicates,replicate_logliks
DS order-1.5 block Gaussian,20,0,0,0,8.537187110981904,-6230.911698240044,-6220.728416384535,0.961090512105988,500,4,"[-6225.182964857704, -6222.97556269545, -6219.371962795775, -6228.931781461422]"
DS order-1.5 block Gaussian,20,0,100,16,100.6481304569752,-4796.9469015698505,-4677.414468628398,0.9691111954858163,500,4,"[-4679.785151476566, -4705.712761453855, -4676.051805528079, -4697.891354767185]"
DS order-1.5 block Gaussian,20,0,200,33,198.35630335001042,-4282.098308381623,-4256.463935010907,0.8344426851540443,500,4,"[-4267.563531588119, -4255.212028343064, -4257.840540111269, -4257.848045507867]"
DS order-1.5 block Gaussian,20,0,300,51,301.75868717901176,-4089.3801754545657,-4075.5719863306454,0.9170410391867947,500,4,"[-4077.1697238650563, -4074.2507076409684, -4079.982076583741, -4078.861258159525]"
DS order-1.5 block Gaussian,20,0,400,68,399.484597467992,-4030.9539753167714,-3999.347885868387,0.888063243870322,500,4,"[-4001.5158253189966, -3998.0493059937276, -4001.391973314178, -4001.7338628216276]"
DS order-1.5 block Gaussian,20,0,405,69,405.1396151249646,-4045.412121286614,-3999.7546149967366,0.9268856687724929,500,4,"[-3998.4256751388875, -4001.325798368666, -4003.977602660265, -4007.3376710261277]"
DS order-1.5 block Gaussian,20,4,0,0,8.386049947992433,-14334.775572021397,-12960.204568628811,1.0,500,4,"[-13430.004144567938, -13091.028552171552, -13017.76849422865, -12958.81827426769]"
DS order-1.5 block Gaussian,20,4,100,16,101.07385053602047,-10401.631045703647,-9888.518870278025,0.9999657748568659,500,4,"[-9945.354872630702, -9897.702799437317, -10054.349715501266, -9887.132601586312]"
DS order-1.5 block Gaussian,20,4,200,33,198.29699749598512,-10227.068884974371,-9802.863593981047,1.0,500,4,"[-9801.477299619926, -10098.44771986473, -9892.939736168866, -10018.29653714161]"
DS order-1.5 block Gaussian,20,4,300,51,301.78799077501753,-5402.75001478798,-5321.614390638685,0.9999345693223737,500,4,"[-5330.19738369225, -5333.472811901167, -5334.760802344948, -5320.228145352474]"
DS order-1.5 block Gaussian,20,4,400,68,399.2172002050211,-4990.636243168943,-4957.351576193076,0.999470074097383,500,4,"[-4955.965679387623, -4968.638011713915, -4965.738391928499, -4963.959587652798]"
DS order-1.5 block Gaussian,20,4,405,69,404.7200633530156,-4961.594733588737,-4919.485160287631,0.999860092438979,500,4,"[-4929.329348606526, -4918.098970863103, -4927.930860290231, -4928.277793833138]"
DS order-1.5 block Gaussian,20,7,0,0,8.347724826016929,-6578.96918012133,-6416.354808786285,0.999998021412725,500,4,"[-6428.389449023825, -6439.1187597012095, -6414.968515909107, -6437.563752149443]"
DS order-1.5 block Gaussian,20,7,100,16,101.02297252701828,-5499.069742641431,-5436.528126613542,0.8574211561605812,500,4,"[-5450.019807775821, -5437.332785289017, -5448.185486273047, -5435.260404828742]"
DS order-1.5 block Gaussian,20,7,200,33,198.7352157169953,-5209.871870317298,-5167.399999530372,0.9599574879188499,500,4,"[-5169.999029847266, -5173.914931079641, -5170.508892133605, -5166.044287365205]"
DS order-1.5 block Gaussian,20,7,300,51,302.6529590989812,-4481.2291867322765,-4444.382536932398,0.8903974964297597,500,4,"[-4443.084971239924, -4460.339858436362, -4445.462451477873, -4464.6767392697]"
DS order-1.5 block Gaussian,20,7,400,68,400.7511569240014,-4173.406605523741,-4141.101615466588,0.9986173955052507,500,4,"[-4147.258574057269, -4139.716358683572, -4147.314384069028, -4151.66712484458]"
DS order-1.5 block Gaussian,20,8,0,0,8.159968463995028,-9100.794828771066,-8646.44028232163,0.9999999980331118,500,4,"[-8810.283661564785, -8645.053987961985, -8666.84886076803, -8665.65264230545]"
DS order-1.5 block Gaussian,20,8,100,16,100.91636551299598,-4204.692085059939,-4178.861667029537,0.9369708998369837,500,4,"[-4180.53464477785, -4184.275472668443, -4190.6944273870495, -4177.524602111069]"
DS order-1.5 block Gaussian,20,8,200,33,198.24474627000745,-4002.522551268793,-3986.1478267759217,0.648695957621028,500,4,"[-3987.8392751983747, -3985.083614234556, -3986.409673231484, -3988.0613284419087]"
DS order-1.5 block Gaussian,20,8,300,51,302.67597096500685,-3919.5383357401024,-3909.5832860970436,0.6086692133681798,500,4,"[-3909.3652911244053, -3911.8007813041395, -3913.3444358487113, -3908.6184792553313]"
DS order-1.5 block Gaussian,20,8,400,68,400.89346595696406,-4089.0116278236724,-4059.914956152177,0.9678990406457635,500,4,"[-4058.553239625809, -4069.705011564237, -4070.683260243075, -4062.247629653849]"
