method,inference_nstep,start,target_elapsed_seconds,iteration,elapsed_seconds,training_pseudo_loglik,block_loglik,block_loglik_se,eval_particles,eval_replicates,replicate_logliks
DS order-1.5 block Gaussian,20,0,0,0,8.547523556975648,-6230.911698240044,-6220.728416384535,0.961090512105988,500,4,"[-6225.182964857704, -6222.97556269545, -6219.371962795775, -6228.931781461422]"
DS order-1.5 block Gaussian,20,0,100,16,100.5633770719869,-4796.9469015698505,-4677.414468628398,0.9691111954858163,500,4,"[-4679.785151476566, -4705.712761453855, -4676.051805528079, -4697.891354767185]"
DS order-1.5 block Gaussian,20,0,200,33,198.25839490198996,-4294.652050873984,-4266.677562756659,0.6015520901171192,500,4,"[-4273.312037331878, -4266.274437960293, -4265.77326591741, -4270.119653216831]"
DS order-1.5 block Gaussian,20,0,300,51,301.8972995009972,-4277.674393942785,-4240.652146562468,0.9611521345498774,500,4,"[-4243.6910430811095, -4243.350547430722, -4239.295497222561, -4247.0658776742]"
DS order-1.5 block Gaussian,20,0,400,68,400.0508827170124,-4261.21298859467,-4232.818458828669,0.8046238791504816,500,4,"[-4239.406190742254, -4231.599926039104, -4235.942684349551, -4233.376323293092]"
DS order-1.5 block Gaussian,20,4,0,0,8.438293780956883,-14334.775572021397,-12960.204568628811,1.0,500,4,"[-13430.004144567938, -13091.028552171552, -13017.76849422865, -12958.81827426769]"
DS order-1.5 block Gaussian,20,4,100,16,99.57263397600036,-10401.631045703647,-9888.518870278025,0.9999657748568659,500,4,"[-9945.354872630702, -9897.702799437317, -10054.349715501266, -9887.132601586312]"
DS order-1.5 block Gaussian,20,4,200,34,202.33185796800535,-10882.640106241208,-10408.42370323263,0.9999999999999936,500,4,"[-10643.973819102037, -10810.700149063705, -10407.037408871509, -10439.996388830557]"
DS order-1.5 block Gaussian,20,4,300,51,299.79716723196907,-9434.406615691321,-9155.352400812424,0.9999999055307027,500,4,"[-9153.966106522155, -9170.4287794509, -9200.67473804714, -9334.457312734867]"
DS order-1.5 block Gaussian,20,4,400,68,397.4071594469715,-9280.240694833135,-8999.830430946397,1.0,500,4,"[-9194.145393292813, -8998.444136585276, -9050.739411330502, -9079.72137521451]"
DS order-1.5 block Gaussian,20,4,403,69,402.7154712979682,-9309.485917451957,-8907.664382953237,1.0,500,4,"[-9009.155977310658, -9034.419550773706, -8906.278088592117, -8967.016793639756]"
DS order-1.5 block Gaussian,20,7,0,0,8.217694186023436,-6578.96918012133,-6416.354808786285,0.999998021412725,500,4,"[-6428.389449023825, -6439.1187597012095, -6414.968515909107, -6437.563752149443]"
DS order-1.5 block Gaussian,20,7,100,16,99.85107134701684,-5499.069742641431,-5436.528126613542,0.8574211561605812,500,4,"[-5450.019807775821, -5437.332785289017, -5448.185486273047, -5435.260404828742]"
DS order-1.5 block Gaussian,20,7,200,34,202.53089335601544,-5233.925507165714,-5182.600202825235,0.8460835214646577,500,4,"[-5196.51264011607, -5183.323824736398, -5193.060900647069, -5181.343169564348]"
DS order-1.5 block Gaussian,20,7,300,51,300.03390625305474,-5185.16127355773,-5107.956811876575,0.9999609313825729,500,4,"[-5106.570546817633, -5117.008381388832, -5148.327205807242, -5131.455024341656]"
DS order-1.5 block Gaussian,20,7,400,68,398.2989488200401,-5125.151867838956,-5083.007896704261,0.9972868220599337,500,4,"[-5099.791786259599, -5087.876375783796, -5090.694149005178, -5081.623640466613]"
DS order-1.5 block Gaussian,20,7,403,69,403.44725601404207,-5155.59660374904,-5090.972735722534,0.9722623413380769,500,4,"[-5095.839355174406, -5089.607578771032, -5093.550396069819, -5102.3480436018435]"
DS order-1.5 block Gaussian,20,8,0,0,8.253795922966674,-9100.794828771066,-8646.44028232163,0.9999999980331118,500,4,"[-8810.283661564785, -8645.053987961985, -8666.84886076803, -8665.65264230545]"
DS order-1.5 block Gaussian,20,8,100,16,99.73352308099857,-4204.692085059939,-4178.861667029537,0.9369708998369837,500,4,"[-4180.53464477785, -4184.275472668443, -4190.6944273870495, -4177.524602111069]"
DS order-1.5 block Gaussian,20,8,200,33,197.25277786201332,-3995.83296696956,-3982.5750523469173,0.4209189832157486,500,4,"[-3982.3692673225814, -3981.850968474406, -3983.103775291023, -3984.7010541562922]"
DS order-1.5 block Gaussian,20,8,300,51,300.76605221501086,-3944.5488171370303,-3943.9117777301894,0.25203078519605193,500,4,"[-3943.583157254176, -3945.2045391764887, -3943.862975437254, -3943.659910676074]"
DS order-1.5 block Gaussian,20,8,400,68,398.69641525897896,-3944.8333465430337,-3933.512018014935,0.9749132073356345,500,4,"[-3937.528494838402, -3937.672175291227, -3936.6894583159665, -3932.1447315827168]"
DS order-1.5 block Gaussian,20,8,404,69,403.6207511500106,-3940.5456137554456,-3938.6251742262,0.42612123396432744,500,4,"[-3937.8576362556246, -3938.799904703493, -3938.7229350807156, -3940.937854512832]"
