method,inference_nstep,start,target_elapsed_seconds,iteration,elapsed_seconds,training_pseudo_loglik,block_loglik,block_loglik_se,eval_particles,eval_replicates,replicate_logliks
DS order-1.5 block Gaussian,20,0,0,0,8.531540609023068,-6230.911698240044,-6220.728416384535,0.961090512105988,500,4,"[-6225.182964857704, -6222.97556269545, -6219.371962795775, -6228.931781461422]"
DS order-1.5 block Gaussian,20,0,100,16,101.60291593702277,-4955.949509322534,-4873.20619800543,0.4650627913833257,500,4,"[-4872.628889581634, -4874.0829084879115, -4915.115295321473, -4872.616960854064]"
DS order-1.5 block Gaussian,20,0,200,33,199.9009701529867,-4308.967977078707,-4271.034060514158,0.9733867909166677,500,4,"[-4276.316071980752, -4274.822814902859, -4273.985204924004, -4269.66796523911]"
DS order-1.5 block Gaussian,20,0,300,50,298.03358746902086,-4220.608530933611,-4196.463203011613,0.9866135799310634,500,4,"[-4200.419085530503, -4195.087000806071, -4201.0625149063335, -4200.976242641852]"
DS order-1.5 block Gaussian,20,0,400,68,401.90281392697943,-4149.549412661805,-4121.390751104818,0.8746895778865783,500,4,"[-4123.73225309074, -4128.464280716783, -4120.104804896364, -4122.646438719428]"
DS order-1.5 block Gaussian,20,4,0,0,8.588384813978337,-14334.775572021397,-12960.204568628811,1.0,500,4,"[-13430.004144567938, -13091.028552171552, -13017.76849422865, -12958.81827426769]"
DS order-1.5 block Gaussian,20,4,100,16,101.42327838297933,-5721.1978140449255,-5574.730695826192,0.9999988650783638,500,4,"[-5587.321030280167, -5573.344402316264, -5603.75441700846, -5608.2895861219695]"
DS order-1.5 block Gaussian,20,4,200,33,199.41337870096322,-5270.505708332314,-5205.36158173931,0.999985526896921,500,4,"[-5203.975298233116, -5222.229524132533, -5215.407273110719, -5235.402183227172]"
DS order-1.5 block Gaussian,20,4,300,50,298.034365280997,-5125.182160693437,-5116.880167714414,0.7204251104724839,500,4,"[-5123.895588621821, -5117.221887915473, -5115.744488884395, -5118.621601814923]"
DS order-1.5 block Gaussian,20,4,400,68,402.0749642889714,-5100.416495833458,-5077.390720583727,0.9975923468697728,500,4,"[-5083.805847492643, -5082.943614023656, -5076.006233696358, -5083.7616740921185]"
DS order-1.5 block Gaussian,20,7,0,0,8.342416053987108,-6578.96918012133,-6416.354808786285,0.999998021412725,500,4,"[-6428.389449023825, -6439.1187597012095, -6414.968515909107, -6437.563752149443]"
DS order-1.5 block Gaussian,20,7,100,16,101.87780157697853,-5462.934558900895,-5410.8204704850705,0.9999997362228177,500,4,"[-5424.880453808474, -5409.4341763217835, -5429.437862035583, -5447.110782169359]"
DS order-1.5 block Gaussian,20,7,200,33,200.4929855330265,-4976.920028960891,-4940.433095286175,0.9999723519041167,500,4,"[-4952.324106071765, -4939.046821661453, -4949.916649433026, -4983.804617122952]"
DS order-1.5 block Gaussian,20,7,300,50,298.8780255719903,-4703.145577940616,-4675.944118139876,0.9359134904704934,500,4,"[-4677.575608363353, -4690.707584223993, -4686.333093449625, -4674.607977977451]"
DS order-1.5 block Gaussian,20,7,400,67,397.7082397050108,-4568.743892209819,-4517.6465072683295,0.9997783191191838,500,4,"[-4525.13856085163, -4516.260379187162, -4526.783898370702, -4554.443250501055]"
DS order-1.5 block Gaussian,20,7,403,68,402.94458981597563,-4541.647044833062,-4505.823010615289,0.9999991049187726,500,4,"[-4518.6534014274275, -4526.825277266167, -4524.697006480923, -4504.43671692548]"
DS order-1.5 block Gaussian,20,8,0,0,8.724493751011323,-9100.794828771066,-8646.44028232163,0.9999999980331118,500,4,"[-8810.283661564785, -8645.053987961985, -8666.84886076803, -8665.65264230545]"
DS order-1.5 block Gaussian,20,8,100,16,100.64644137001596,-4850.527395454335,-4737.664623962671,0.7073720564923246,500,4,"[-4737.858178662367, -4739.745996451741, -4736.549083652567, -4754.761447945798]"
DS order-1.5 block Gaussian,20,8,200,33,198.83666546898894,-4279.227512664413,-4231.8552073789115,0.9999049932398367,500,4,"[-4240.556394136191, -4246.387370265351, -4230.468984275855, -4240.898801144565]"
DS order-1.5 block Gaussian,20,8,300,51,302.3170708299731,-4264.016408314252,-4214.197695053722,0.9999672111376187,500,4,"[-4226.514308209396, -4223.471076114353, -4239.419624042936, -4212.811425284726]"
DS order-1.5 block Gaussian,20,8,400,68,400.4978233510046,-4219.058243924139,-4180.878627248124,0.999811118699852,500,4,"[-4188.3581507191275, -4193.969495728581, -4197.219797248469, -4179.49247456463]"
