method,inference_nstep,start,iteration,elapsed_seconds,pseudo_loglik,complete_pseudologlik,score_norm,minimum_ess,maximum_invalid_fraction,unique_initial_ancestors,accepted_step_size,backtrack_count,gamma,m,epsilon,beta_trend,sigma,tau,bs1,bs2,bs3,bs4,bs5,bs6,omegas1,omegas2,omegas3,omegas4,omegas5,omegas6,S_0,I_0,R1_0,R2_0,R3_0,raw_0,raw_1,raw_2,raw_3,raw_4,raw_5,raw_6,raw_7,raw_8,raw_9,raw_10,raw_11,raw_12,raw_13,raw_14,raw_15,raw_16,raw_17,raw_18,raw_19,raw_20,raw_21,raw_22
DS order-1.5 block Gaussian,20,0,0,8.641959292988759,-6230.911698240044,27986.359705230567,79496.75563204534,11.93259536034336,-2.0816681711721685e-17,1,0.03,0,12.204439319925953,0.40694085741223185,15.776105071350697,-0.009654575819763804,1.285275956517952,0.4046354317852725,2.0519699908305746,5.157343476386535,-2.22942514844895,4.8620776876508796,5.000225608613919,2.862000628488265,-3.7594382581790438,-2.3527504780275645,-0.5265467864596349,-6.352280427453167,-6.610966241633912,-9.421106416727302,0.30016229191247606,0.12847598067816407,0.16178485054093503,0.1308026974351881,0.27877417943323657,2.501799764233874,-0.899087417582029,2.7584964580403506,-0.9654575819763804,0.25097344744528827,-0.904768785701927,2.0519699908305746,5.157343476386535,-2.22942514844895,4.8620776876508796,5.000225608613919,2.862000628488265,-3.7594382581790438,-2.3527504780275645,-0.5265467864596349,-6.352280427453167,-6.610966241633912,-9.421106416727302,0.0,-0.8485813353537146,-0.6180559319568264,-0.8306332400209862,-0.07392124005080869
DS order-1.5 block Gaussian,20,0,1,14.47798263997538,-6104.34915630606,28059.366412008316,12090.68778664596,13.77237886760137,0.00999999999999998,1,0.03,0,12.576119831500877,0.39491393749655984,15.30985070334737,-0.009954575780050061,1.3244184355798452,0.4169584152329472,2.0219699917281657,5.127343477505505,-2.25942514590025,4.8320776883727286,4.970225609303431,2.832000629641363,-3.7894382447893933,-2.3827504746249297,-0.55654678440851,-6.38228042132311,-6.640966112440363,-9.451106243681162,0.29482808383182224,0.12619282627687983,0.16873618847926794,0.13642283808491765,0.2738200633271123,2.5317997642277197,-0.9290874175758022,2.7284964580444733,-0.9954575780050061,0.28097344654261164,-0.8747687858180677,2.0219699917281657,5.127343477505505,-2.25942514590025,4.8320776883727286,4.970225609303431,2.832000629641363,-3.7894382447893933,-2.3827504746249297,-0.55654678440851,-6.38228042132311,-6.640966112440363,-9.451106243681162,0.0,-0.8485813153838824,-0.5580559394392467,-0.7706332537596272,-0.07392123231517075
DS order-1.5 block Gaussian,20,0,2,20.210968196974136,-6049.502845015775,28026.16740737106,28186.276061073208,4.574290325482566,0.04999999999999998,1,0.03,0,12.512822987694513,0.3970595514108892,14.874373696886154,-0.01,1.3595831320536202,0.4276803117014999,1.996778494381177,5.1013277471376055,-2.285066840544684,4.80612943105734,4.944153549220431,2.8075112548744974,-3.8147970418458956,-2.408790108360133,-0.5821716162382901,-6.407227816884559,-6.665528418658308,-9.47571833021807,0.28671930976674403,0.12889504376649394,0.16921049740880562,0.14049797153767432,0.274677177520282,2.5267539575105427,-0.9236690059904776,2.699639846134263,-1.0,0.3071781322121266,-0.8493792977723496,1.996778494381177,5.1013277471376055,-2.285066840544684,4.80612943105734,4.944153549220431,2.8075112548744974,-3.8147970418458956,-2.408790108360133,-0.5821716162382901,-6.407227816884559,-6.665528418658308,-9.47571833021807,0.0,-0.7995052634563536,-0.5273602357702836,-0.7133106712258138,-0.04290721426101503
DS order-1.5 block Gaussian,20,0,3,26.050700713007245,-6005.9120594227625,27992.320189643633,16460.387835399742,11.902704819506463,0.00999999999999998,1,0.03,0,12.370230157189972,0.40176693833518423,14.84221347380956,-0.01,1.3939777407986789,0.43865190139877414,1.9715487544804993,5.074106119707053,-2.3103729556605503,4.781006429810015,4.917737216311726,2.783907256590947,-3.8406039144395545,-2.435709332662568,-0.6082442184819323,-6.43178328616674,-6.6892594277333055,-9.498762072068738,0.28595537148459615,0.13133130376792135,0.16557258495785754,0.13787783183935218,0.27926290795027275,2.515292792309719,-0.9118831138713664,2.697475382533683,-1.0,0.33216134434762984,-0.8240491157567623,1.9715487544804993,5.074106119707053,-2.3103729556605503,4.781006429810015,4.917737216311726,2.783907256590947,-3.8406039144395545,-2.435709332662568,-0.6082442184819323,-6.43178328616674,-6.6892594277333055,-9.498762072068738,0.0,-0.7781125879169343,-0.5464260764087134,-0.7294677383415197,-0.023682094366861594
DS order-1.5 block Gaussian,20,0,4,31.728136984980665,-5942.535846908025,27894.941551610496,40813.49761531308,16.299606769309943,0.01999999999999998,1,0.03,0,12.357764923088439,0.4022548836908429,14.677873522086697,-0.01,1.4316382247821369,0.45051872498822404,1.9446890709975457,5.045802020917117,-2.3373128738145845,4.754069915259757,4.890439412806067,2.758012449429663,-3.867865914514707,-2.463818990713851,-0.635810885668121,-6.458340658945759,-6.715200588413071,-9.523451595449801,0.28546649810387814,0.131889269841797,0.1645220019240446,0.13758662186352671,0.28053560826675344,2.5142846042122273,-0.9106693522489936,2.686341157250121,-1.0,0.35881940029519804,-0.7973556378958229,1.9446890709975457,5.045802020917117,-2.3373128738145845,4.754069915259757,4.890439412806067,2.758012449429663,-3.867865914514707,-2.463818990713851,-0.635810885668121,-6.458340658945759,-6.715200588413071,-9.523451595449801,0.0,-0.7721619718582313,-0.5510803660059369,-0.729870981622151,-0.01742401496737912
DS order-1.5 block Gaussian,20,0,5,37.47361127496697,-5876.289616131753,27971.60518703434,44350.448848118234,10.790043526875824,0.00999999999999998,1,0.03,0,12.249468696529924,0.4059365778010038,14.64643433698886,-0.01,1.4704808919471974,0.46201533298875574,1.918956455183035,5.019261551818102,-2.362615125668671,4.7278608275887395,4.863730697171353,2.7331857709305893,-3.8932166382221256,-2.490090221722457,-0.6618103237580384,-6.483454941511813,-6.73971350653626,-9.547250868591867,0.28445200543796323,0.13187121670358753,0.16497227221647795,0.13834364721221784,0.2803608584297535,2.505482564338313,-0.9015583438956171,2.6841969158723007,-1.0,0.3855894846719255,-0.7721572001637672,1.918956455183035,5.019261551818102,-2.362615125668671,4.7278608275887395,4.863730697171353,2.7331857709305893,-3.8932166382221256,-2.490090221722457,-0.6618103237580384,-6.483454941511813,-6.73971350653626,-9.547250868591867,0.0,-0.768738726086737,-0.5447871287957318,-0.7208237544580652,-0.01448698789066625
DS order-1.5 block Gaussian,20,0,6,43.2304167659604,-5797.077311432101,28062.588573151945,49856.39087062332,17.005028682209687,0.029999999999999978,1,0.03,0,12.269335356776615,0.40538211434058213,14.572835357798535,-0.01,1.5106875015521406,0.47316139576890753,1.8944901586612581,4.994005794813694,-2.3872204390354423,4.701908749840557,4.8378154500395185,2.709055005654474,-3.9172078748522603,-2.5150918983493393,-0.6864060443364939,-6.507212552997107,-6.763757959640357,-9.569944268380686,0.2840623270016569,0.1322210427646336,0.16415887761311798,0.1381397510509862,0.2814180015696052,2.5071030891038077,-0.9029251644856339,2.6791592037315146,-1.0,0.41256484625082734,-0.7483187314211601,1.8944901586612581,4.994005794813694,-2.3872204390354423,4.701908749840557,4.8378154500395185,2.709055005654474,-3.9172078748522603,-2.5150918983493393,-0.6864060443364939,-6.507212552997107,-6.763757959640357,-9.569944268380686,0.0,-0.7647185868944505,-0.5483589505495711,-0.7209278138474331,-0.00935256125963627
DS order-1.5 block Gaussian,20,0,7,48.98970647598617,-5756.02320672905,28127.301888765258,10311.952808180045,1.5718490306804287,0.03999999999999998,1,0.03,0,12.34325780758012,0.4030642433019456,14.417062284062462,-0.01,1.5522763417988348,0.4839327890626863,1.8710595247140431,4.969572863165522,-2.4108002139178435,4.6765120412471815,4.812073187018077,2.685928798392962,-3.940773007923347,-2.5393195272241025,-0.7102167320306936,-6.530574952130166,-6.788153493310597,-9.591865763688624,0.2837438192092503,0.13238395777418613,0.16357453079356973,0.13805592860532093,0.28224176361767306,2.5131099874901195,-0.9086593170803873,2.6684123860023354,-1.0,0.43972246119382097,-0.7258092474811839,1.8710595247140431,4.969572863165522,-2.4108002139178435,4.6765120412471815,4.812073187018077,2.685928798392962,-3.940773007923347,-2.5393195272241025,-0.7102167320306936,-6.530574952130166,-6.788153493310597,-9.591865763688624,0.0,-0.7623653147215861,-0.550803053732513,-0.7204129032336517,-0.0053077645916164845
DS order-1.5 block Gaussian,20,0,8,54.76351080101449,-5666.71330101494,28163.27434709421,7539.661204331649,5.360144933744877,0.029999999999999978,1,0.03,0,12.478428241838094,0.3991446428823989,14.220110184736054,-0.01,1.5899660289749709,0.49592245189248696,1.845671223015158,4.9434978457016125,-2.435972978793602,4.651973737797314,4.786701804751839,2.6607571746543544,-3.9655047184364354,-2.5652681921146154,-0.7352895175339738,-6.554519255152408,-6.810614450391184,-9.61477756329805,0.2839720833707373,0.13441033276211564,0.16135223861236422,0.13629326188404553,0.2839720833707373,2.5240014128494925,-0.9184314142946913,2.6546571729200434,-1.0,0.4637126505793495,-0.7013357114716282,1.845671223015158,4.9434978457016125,-2.435972978793602,4.651973737797314,4.786701804751839,2.6607571746543544,-3.9655047184364354,-2.5652681921146154,-0.7352895175339738,-6.554519255152408,-6.810614450391184,-9.61477756329805,0.0,-0.7479786295348952,-0.5652861426743756,-0.7340670337792179,0.0
DS order-1.5 block Gaussian,20,0,9,60.64893215801567,-5616.334389870977,28294.94731542738,10213.099042110334,9.96480614053484,0.03999999999999998,1,0.03,0,12.639579966890253,0.3962307632846493,13.975835109262672,-0.01,1.629565444748609,0.5,1.8187833468586359,4.916120081889791,-2.462627466431605,4.625744213609749,4.7602497304490745,2.634426117715159,-3.9917585475341766,-2.5914588558138174,-0.7616616170826527,-6.580335984681657,-6.835363523157509,-9.639848678711548,0.2846314847183432,0.13690422041625344,0.15922186396185314,0.134610946185207,0.2846314847183432,2.5368331576990237,-0.9257585018847979,2.637329774626973,-1.0,0.4883133809612863,-0.6931471805599453,1.8187833468586359,4.916120081889791,-2.462627466431605,4.625744213609749,4.7602497304490745,2.634426117715159,-3.9917585475341766,-2.5914588558138174,-0.7616616170826527,-6.580335984681657,-6.835363523157509,-9.639848678711548,0.0,-0.7319137472203917,-0.5808967070758903,-0.748806569783332,0.0
