method,inference_nstep,start,target_elapsed_seconds,iteration,elapsed_seconds,training_pseudo_loglik,block_loglik,block_loglik_se,eval_particles,eval_replicates,replicate_logliks
DS order-1.5 block Gaussian,20,0,0,0,31.732051608036272,-6230.911775516043,-6217.993837441543,0.9974675908565576,500,4,"[-6225.181222704921, -6222.98104541947, -6216.609445068736, -6228.815283959929]"
DS order-1.5 block Gaussian,20,0,100,2,119.84097933099838,-5871.485714538591,-5858.469177483991,0.8976632787033053,500,4,"[-5859.9493670897355, -5857.163740255552, -5866.375144755477, -5860.961288555225]"
DS order-1.5 block Gaussian,20,0,200,4,209.08103142102482,-5693.884434391595,-5629.355340774653,0.9999997135321274,500,4,"[-5674.4316096985585, -5643.322367859504, -5665.4830523785795, -5627.969046628384]"
DS order-1.5 block Gaussian,20,0,300,6,297.5536086250213,-5547.162962017741,-5471.194025392283,0.9869293347248163,500,4,"[-5498.108928468147, -5474.79318401722, -5469.817594419117, -5475.62415920308]"
DS order-1.5 block Gaussian,20,0,400,8,386.0304556930205,-5399.341120032392,-5282.369119516928,0.9998416087463002,500,4,"[-5280.98294396101, -5290.020933292833, -5321.328779198711, -5300.684911219259]"
DS order-1.5 block Gaussian,20,0,428,9,427.97584244504105,-5346.263011190758,-5187.350059825713,0.9999998840630844,500,4,"[-5260.770663118757, -5202.225791144365, -5207.714657114736, -5185.963765551546]"
DS order-1.5 block Gaussian,20,4,0,0,31.73920172295766,-14334.769887518978,-12964.339231034879,1.0,500,4,"[-13429.992585283631, -13091.097348655236, -13017.6619588516, -12962.952936673759]"
DS order-1.5 block Gaussian,20,4,100,1,112.32172886899207,-14048.140279531504,-12793.27804715324,0.9999999999996595,500,4,"[-12820.88774352885, -12791.89175279212, -13345.495708917722, -12984.622322758274]"
DS order-1.5 block Gaussian,20,4,200,2,194.6174245289876,-13981.512493006641,-12826.558381106923,1.0,500,4,"[-12997.164701145364, -12825.172086745803, -12980.38063324037, -13191.255030513068]"
DS order-1.5 block Gaussian,20,4,300,4,289.05498415097827,-13792.631448017442,-12837.26012390237,1.0,500,4,"[-13146.933184015395, -13009.580561388231, -12835.87382954125, -13226.900758808466]"
DS order-1.5 block Gaussian,20,4,400,7,422.0231101499521,-14245.324795769717,-12649.590266290255,1.0,500,4,"[-13047.066212290429, -12648.203971929135, -13137.128582280366, -12904.65700896065]"
DS order-1.5 block Gaussian,20,7,0,0,33.353363702015486,-6596.668289763069,-6432.030784410732,0.99871936623592,500,4,"[-6448.2755943524035, -6442.599490652893, -6430.645451288708, -6437.5989929546995]"
DS order-1.5 block Gaussian,20,7,100,1,77.81522924703313,-6392.427181888256,-6245.1570827890855,0.9998957736545824,500,4,"[-6267.8630024133245, -6264.846451937145, -6253.227399499787, -6243.7708666028175]"
DS order-1.5 block Gaussian,20,7,200,4,211.8901392740081,-5882.983878540997,-5774.190664094735,0.9999999664888218,500,4,"[-5796.361562712393, -5772.804369758749, -5790.305782224769, -5803.366687722502]"
DS order-1.5 block Gaussian,20,7,300,6,300.75952323002275,-5668.742330138271,-5615.161896659179,0.5475143478046444,500,4,"[-5614.424898708184, -5614.57766544206, -5623.511293644569, -5617.311768778833]"
DS order-1.5 block Gaussian,20,7,400,8,389.6132922870456,-5510.326286078042,-5463.119303850789,0.9999621392563787,500,4,"[-5485.027581977292, -5472.202329760996, -5482.121916850361, -5461.733037885899]"
DS order-1.5 block Gaussian,20,7,422,9,421.7469072579988,-5462.886139423851,-5427.759535025662,0.9710251471278555,500,4,"[-5437.2420390164825, -5430.195845161654, -5426.395379097328, -5438.508193756294]"
DS order-1.5 block Gaussian,20,8,0,0,32.943534191988874,-9100.79457143032,-8646.448671135018,0.9999999980270488,500,4,"[-8810.281754413696, -8645.062376775379, -8666.851424749073, -8665.658785178233]"
DS order-1.5 block Gaussian,20,8,100,2,122.14124682894908,-6154.801864723374,-6006.299642877448,0.999687625317088,500,4,"[-6024.978743360573, -6004.913582843096, -6013.272267889061, -6033.638106519492]"
DS order-1.5 block Gaussian,20,8,200,4,210.5875047899899,-5373.432083156011,-5269.272358145454,0.9997568073867501,500,4,"[-5276.4953444169005, -5289.356724515461, -5298.645353354306, -5267.886246206525]"
DS order-1.5 block Gaussian,20,8,300,6,299.0043641079683,-5018.285164395189,-4932.673598152876,0.9999999999999902,500,4,"[-4964.212258051817, -4972.237332078823, -4931.287303791756, -4965.047387959647]"
DS order-1.5 block Gaussian,20,8,400,8,387.4059091999661,-4836.744013955342,-4807.012617213278,0.9609124072331453,500,4,"[-4809.145624769173, -4835.433245027775, -4805.656390492237, -4834.585201994239]"
DS order-1.5 block Gaussian,20,8,421,9,421.2418476829771,-4816.627591675369,-4749.8270294317845,0.9742613970253516,500,4,"[-4763.663367255214, -4757.019774443206, -4752.391438977704, -4748.4603557059545]"
