method,inference_nstep,start,iteration,elapsed_seconds,pseudo_loglik,complete_pseudologlik,score_norm,minimum_ess,maximum_invalid_fraction,unique_initial_ancestors,backward_fallbacks,accepted_step_size,backtrack_count,gamma,m,epsilon,beta_trend,sigma,tau,bs1,bs2,bs3,bs4,bs5,bs6,omegas1,omegas2,omegas3,omegas4,omegas5,omegas6,S_0,I_0,R1_0,R2_0,R3_0,raw_0,raw_1,raw_2,raw_3,raw_4,raw_5,raw_6,raw_7,raw_8,raw_9,raw_10,raw_11,raw_12,raw_13,raw_14,raw_15,raw_16,raw_17,raw_18,raw_19,raw_20,raw_21,raw_22
DS order-1.5 block Gaussian,20,0,0,6.061606864910573,-6230.911766319752,27986.36244155386,79495.77929180473,11.932585119953316,0.0,1,0,0.05,0,12.204439319925953,0.40694085741223185,15.776105071350697,-0.009654575819763804,1.285275956517952,0.4046354317852725,2.0519699908305746,5.157343476386535,-2.22942514844895,4.8620776876508796,5.000225608613919,2.862000628488265,-3.7594382581790438,-2.3527504780275645,-0.5265467864596349,-6.352280427453167,-6.610966241633912,-9.421106416727302,0.30016229191247606,0.12847598067816407,0.16178485054093505,0.1308026974351881,0.27877417943323657,2.501799764233874,-0.899087417582029,2.7584964580403506,-0.9654575819763804,0.25097344744528827,-0.904768785701927,2.0519699908305746,5.157343476386535,-2.22942514844895,4.8620776876508796,5.000225608613919,2.862000628488265,-3.7594382581790438,-2.3527504780275645,-0.5265467864596349,-6.352280427453167,-6.610966241633912,-9.421106416727302,0.0,-0.8485813353537146,-0.6180559319568264,-0.8306332400209862,-0.07392124005080869
DS order-1.5 block Gaussian,20,0,1,9.765012890915386,-6018.928196088076,28049.208840005875,16965.274029297707,3.483306518553104,0.020000000000000018,1,0,0.05,0,12.830174304381613,0.38709411760608176,15.006695347986831,-0.01,1.3511734619215499,0.4253815339231501,2.0019699923265426,5.10734347825146,-2.2794251442011917,4.81207768885393,4.9502256097630655,2.8120006304100613,-3.8094382358632464,-2.4027504723566118,-0.5765467830411546,-6.402280417236541,-6.660966026312926,-9.47110612832061,0.2912015249656588,0.12464058193935919,0.17346218274023403,0.14024379348853375,0.2704519168662142,2.5517997642236168,-0.9490874175716508,2.7084964580472217,-1.0,0.30097344594080316,-0.8547687858954925,2.0019699923265426,5.10734347825146,-2.2794251442011917,4.81207768885393,4.9502256097630655,2.8120006304100613,-3.8094382358632464,-2.4027504723566118,-0.5765467830411546,-6.402280417236541,-6.660966026312926,-9.47110612832061,0.0,-0.8485813020684172,-0.5180559444278424,-0.7306332629190198,-0.07392122715744229
DS order-1.5 block Gaussian,20,0,2,13.467166977003217,-5871.396900398786,27880.791357286464,52023.605313784275,6.237383710211927,0.04999999999999993,1,0,0.05,0,13.328663869034974,0.3721284840282872,14.277302431280116,-0.01,1.4128246229365624,0.44471274430206914,1.9583374903619,5.062930912047234,-2.3238544193690442,4.767904484634473,4.908189215587802,2.77071022213388,-3.8529796273806305,-2.447301691489144,-0.6208125939397684,-6.445408689795807,-6.702858972140445,-9.513579801385037,0.28395113401547706,0.12167944614129735,0.18276150305073863,0.14780466587548916,0.2638032509169979,2.5899168942856687,-0.9885160971685946,2.6586710336940302,-1.0,0.34559097918154136,-0.8103267236749349,1.9583374903619,5.062930912047234,-2.3238544193690442,4.767904484634473,4.908189215587802,2.77071022213388,-3.8529796273806305,-2.447301691489144,-0.6208125939397684,-6.445408689795807,-6.702858972140445,-9.513579801385037,0.0,-0.8474120638546365,-0.4406201191917549,-0.6529105831686722,-0.07359859640808866
DS order-1.5 block Gaussian,20,0,3,17.169630163931288,-5768.024091091849,27971.020800948514,7219.939597882917,12.34349928134955,0.020000000000000018,1,0,0.05,0,13.2813501936881,0.37345839360421645,14.00469880269669,-0.01,1.4740858959534857,0.46357904872040845,1.9182232569578261,5.020830221023093,-2.366113953353862,4.729765646570936,4.871049594840771,2.7325086282630133,-3.8911909828739466,-2.4896192913383244,-0.6639041734258165,-6.487703152497661,-6.742907531091133,-9.550283453272101,0.2778890530687957,0.1189185980719996,0.19070551229407356,0.15425443362458952,0.2582324029405418,2.586360810091574,-0.9849486765869039,2.6393929020685736,-1.0,0.38803806612184655,-0.768778361116685,1.9182232569578261,5.020830221023093,-2.366113953353862,4.729765646570936,4.871049594840771,2.7325086282630133,-3.8911909828739466,-2.4896192913383244,-0.6639041734258165,-6.487703152497661,-6.742907531091133,-9.550283453272101,0.0,-0.848782735124989,-0.37649152658411994,-0.5886185388709729,-0.07336197830446864
DS order-1.5 block Gaussian,20,0,4,20.872226947918534,-5705.8819090942525,28066.316556946338,23247.824023417375,5.483375754251553,0.020000000000000018,1,0,0.05,0,12.978477256256928,0.3810447107063533,13.728250376157721,-0.01,1.5342412973262929,0.4837785348847782,1.8776364971470256,4.981008250895804,-2.407299563074991,4.68960434215134,4.83007442513682,2.6911601358834916,-3.929539817061097,-2.5290884528077644,-0.7048341821033137,-6.528690897371403,-6.783999185152238,-9.59064118476555,0.27770114110880706,0.12140282907015292,0.18642527896798264,0.15066724312868338,0.26380350772437405,2.5632923897759357,-0.9648385598052079,2.619455780935767,-1.0,0.4280359900052449,-0.7261280495358822,1.8776364971470256,4.981008250895804,-2.407299563074991,4.68960434215134,4.83007442513682,2.6911601358834916,-3.929539817061097,-2.5290884528077644,-0.7048341821033137,-6.528690897371403,-6.783999185152238,-9.59064118476555,0.0,-0.8274313213846917,-0.3985149936091873,-0.6114717862144424,-0.05134096634359987
DS order-1.5 block Gaussian,20,0,5,24.59822486899793,-5637.379196345797,28133.78099047582,7263.433547792036,4.027839987687877,0.020000000000000018,1,0,0.05,0,12.640645383834041,0.3910602899463427,13.729836808709996,-0.01,1.6017585556910625,0.5,1.8379583067592216,4.942635627676692,-2.4486100811533675,4.647138832632334,4.7866836736454275,2.649044862357635,-3.966733834315129,-2.5690716243770466,-0.7469437036650999,-6.570379294118033,-6.826806847982146,-9.631651451232052,0.27730466924374203,0.12465409765215811,0.18101416996567443,0.14617172767167816,0.2708553354667472,2.5369174462628825,-0.9388935366473101,2.6195713339634312,-1.0,0.4711021229874154,-0.6931471805599453,1.8379583067592216,4.942635627676692,-2.4486100811533675,4.647138832632334,4.7866836736454275,2.649044862357635,-3.966733834315129,-2.5690716243770466,-0.7469437036650999,-6.570379294118033,-6.826806847982146,-9.631651451232052,0.0,-0.799574108027561,-0.4265414754144896,-0.6403346432827586,-0.023531929836659644
DS order-1.5 block Gaussian,20,0,6,28.331877101911232,-5539.350453236623,28579.28202973614,32008.112604994236,4.497126767238222,0.05999999999999994,1,0,0.05,0,12.414929337153067,0.39925811164389857,13.912734002678626,-0.01,1.6658000765592569,0.5,1.7950093840086494,4.902367631007877,-2.4927407222310083,4.603248464495782,4.7415915161705335,2.6047133632670008,-4.005934750076829,-2.6120347059018143,-0.7913530822070233,-6.614375186349581,-6.869433114132215,-9.675140374458966,0.27738357548103393,0.1290704882153285,0.17486487353852054,0.14129748728408312,0.27738357548103393,2.518899727212403,-0.918147174888902,2.632804536059757,-1.0,0.5103055344785551,-0.6931471805599453,1.7950093840086494,4.902367631007877,-2.4927407222310083,4.603248464495782,4.7415915161705335,2.6047133632670008,-4.005934750076829,-2.6120347059018143,-0.7913530822070233,-6.614375186349581,-6.869433114132215,-9.675140374458966,0.0,-0.7650426219332475,-0.4613877728828163,-0.6745337906476435,0.0
DS order-1.5 block Gaussian,20,0,7,32.06502495496534,-5470.599577454315,29033.154078701915,55113.23825010083,2.5176216973274057,0.06999999999999995,1,0,0.05,0,12.091108043699363,0.4111014718283908,14.131003420977091,-0.01,1.7303266108851152,0.5,1.7552191843075948,4.864852566640119,-2.53427440699697,4.561373374775734,4.697658139001757,2.5628534818218625,-4.041531167037495,-2.6531527592231177,-0.8344412791124778,-6.657231170742042,-6.911706642117857,-9.715492212839084,0.27894971724284123,0.13381920150887275,0.1705068384321022,0.13777452557334252,0.27894971724284123,2.492470310030058,-0.8889152048648379,2.6483712076908135,-1.0,0.5483101831097833,-0.6931471805599453,1.7552191843075948,4.864852566640119,-2.53427440699697,4.561373374775734,4.697658139001757,2.5628534818218625,-4.041531167037495,-2.6531527592231177,-0.8344412791124778,-6.657231170742042,-6.911706642117857,-9.715492212839084,0.0,-0.7345418942102323,-0.49225613661741313,-0.7054130643681903,0.0
DS order-1.5 block Gaussian,20,0,8,35.79790345800575,-5421.053358554702,29091.083871758587,9437.4727563946,2.5340803355632087,0.09999999999999998,1,0,0.05,0,11.722303463012597,0.4251752186838513,14.42962156599093,-0.01,1.7944809688735082,0.5,1.7191613997297206,4.831274909351922,-2.5728293950082386,4.521647111000108,4.656029484305118,2.52410965646506,-4.073544359521342,-2.691156577591514,-0.87497360583098,-6.698218653561046,-6.955013885698257,-9.753010373371707,0.28025434040201525,0.13816346205911303,0.16663726190448266,0.13469059523237378,0.28025434040201525,2.4614933060498516,-0.8552539157653404,2.669283146938831,-1.0,0.5847158262962981,-0.6931471805599453,1.7191613997297206,4.831274909351922,-2.5728293950082386,4.521647111000108,4.656029484305118,2.52410965646506,-4.073544359521342,-2.691156577591514,-0.87497360583098,-6.698218653561046,-6.955013885698257,-9.753010373371707,0.0,-0.7072600575836779,-0.5198781838242587,-0.7327172885622633,0.0
DS order-1.5 block Gaussian,20,0,9,39.53129616100341,-5370.369613847126,29412.06279383396,2142.3244735523435,1.6312369748317124,0.07999999999999996,1,0,0.05,0,11.312118679417843,0.4415059238841045,14.673863455776544,-0.01,1.8686314591801698,0.5,1.682625778194539,4.795360901493474,-2.6143533252267264,4.4787450191566185,4.611914784418546,2.48272357929922,-4.107919171469294,-2.7327023562701824,-0.9184672859250663,-6.7417763850770545,-6.996760519304363,-9.789438804194152,0.28142098915854336,0.14210845979192246,0.1631496692020081,0.13189989268898267,0.28142098915854336,2.4258746005611553,-0.8175638413970973,2.686067915067682,-1.0,0.6252063229302632,-0.6931471805599453,1.682625778194539,4.795360901493474,-2.6143533252267264,4.4787450191566185,4.611914784418546,2.48272357929922,-4.107919171469294,-2.7327023562701824,-0.9184672859250663,-6.7417763850770545,-6.996760519304363,-9.789438804194152,0.0,-0.6832611628325127,-0.545183734769932,-0.7578084840931967,0.0
