method,inference_nstep,start,iteration,elapsed_seconds,pseudo_loglik,complete_pseudologlik,score_norm,minimum_ess,maximum_invalid_fraction,unique_initial_ancestors,backward_fallbacks,accepted_step_size,backtrack_count,gamma,m,epsilon,beta_trend,sigma,tau,bs1,bs2,bs3,bs4,bs5,bs6,omegas1,omegas2,omegas3,omegas4,omegas5,omegas6,S_0,I_0,R1_0,R2_0,R3_0,raw_0,raw_1,raw_2,raw_3,raw_4,raw_5,raw_6,raw_7,raw_8,raw_9,raw_10,raw_11,raw_12,raw_13,raw_14,raw_15,raw_16,raw_17,raw_18,raw_19,raw_20,raw_21,raw_22
DS order-1.5 block Gaussian,20,0,0,6.215311871957965,-6217.728115181111,28047.1592310623,76879.47833764608,35.32605025687825,0.006000000000000005,1,0,0.18,0,12.204439319925953,0.40694085741223185,15.776105071350697,-0.009654575819763804,1.285275956517952,0.4046354317852725,2.0519699908305746,5.157343476386535,-2.22942514844895,4.8620776876508796,5.000225608613919,2.862000628488265,-3.7594382581790438,-2.3527504780275645,-0.5265467864596349,-6.352280427453167,-6.610966241633912,-9.421106416727302,0.30016229191247606,0.12847598067816407,0.16178485054093505,0.1308026974351881,0.27877417943323657,2.501799764233874,-0.899087417582029,2.7584964580403506,-0.9654575819763804,0.25097344744528827,-0.904768785701927,2.0519699908305746,5.157343476386535,-2.22942514844895,4.8620776876508796,5.000225608613919,2.862000628488265,-3.7594382581790438,-2.3527504780275645,-0.5265467864596349,-6.352280427453167,-6.610966241633912,-9.421106416727302,0.0,-0.8485813353537146,-0.6180559319568264,-0.8306332400209862,-0.07392124005080869
DS order-1.5 block Gaussian,20,0,1,10.115744632901624,-5988.561326006258,28244.03227539465,26763.49641882026,40.320919709594925,0.030000000000000027,1,0,0.18,0,10.194004611209873,0.4871966602429009,18.887426913197732,-0.01,1.5387546815823374,0.4844365643406861,1.871969996851168,4.9773434862883885,-2.409425103160193,5.042077604745669,4.8202256455302805,2.6820006351872165,-3.9394381625222596,-2.5327504529923703,-0.7065467651629591,-6.532280331362614,-6.790960608128523,-9.601105311771489,0.30060481645950504,0.1540403964171459,0.13533329497844382,0.10941667568540024,0.30060481645950504,2.3217997642632326,-0.7190874176122013,2.938496458005546,-1.0,0.4309734409699564,-0.7247687863767995,1.871969996851168,4.9773434862883885,-2.409425103160193,5.042077604745669,4.8202256455302805,2.6820006351872165,-3.9394381625222596,-2.5327504529923703,-0.7065467651629591,-6.532280331362614,-6.790960608128523,-9.601105311771489,0.0,-0.6685816175976138,-0.7980559124868191,-1.0106331930695032,0.0
DS order-1.5 block Gaussian,20,0,2,14.01501912495587,-5711.031023311827,29039.413452057404,20271.19431809248,5.456268518937686,0.06999999999999995,1,0,0.18,0,10.296817215525213,0.48353199121999213,18.684289906331273,-0.01,1.7921343843263386,0.5,1.7037700535294151,4.814441069815384,-2.564628843630198,4.911881497630003,4.681405041993379,2.5151314527115702,-4.107303641493771,-2.7045271756310436,-0.8768419673344479,-6.690541689408643,-6.931979690165697,-9.769995477412605,0.28959545802506464,0.1792450485305673,0.13641068397629214,0.11014602348805323,0.2846027859800226,2.3318348392812824,-0.7266378003624703,2.9276830588078213,-1.0,0.5834073029945724,-0.6931471805599453,1.7037700535294151,4.814441069815384,-2.564628843630198,4.911881497630003,4.681405041993379,2.5151314527115702,-4.107303641493771,-2.7045271756310436,-0.8768419673344479,-6.690541689408643,-6.931979690165697,-9.769995477412605,0.0,-0.47973112093569686,-0.7528149061596645,-0.9666780050568983,-0.017390502058026166
DS order-1.5 block Gaussian,20,0,3,17.914265792933293,-5193.8811492510495,30343.93769787006,11807.172223617283,3.3621335865720083,0.15200000000000002,1,0,0.18,0,10.000000000000002,0.5102704234637666,20.097376195251027,-0.01,2.094254180171838,0.5,1.5302137517319558,4.643946812866726,-2.725030272504027,4.767935203268662,4.5328488370588955,2.3489608252182665,-4.280668205787236,-2.87309194926323,-1.0312064812187982,-6.835971890354956,-7.066288502628936,-9.927452659234124,0.2722040409067255,0.17046754524425753,0.16114226079301064,0.12992634449207013,0.2662598085639362,2.302585092994046,-0.6728144517066096,3.0005892689945624,-1.0,0.73919749007311,-0.6931471805599453,1.5302137517319558,4.643946812866726,-2.725030272504027,4.767935203268662,4.5328488370588955,2.3489608252182665,-4.280668205787236,-2.87309194926323,-1.0312064812187982,-6.835971890354956,-7.066288502628936,-9.927452659234124,0.0,-0.46800700733513756,-0.524264353222946,-0.739584226408414,-0.02207937944436908
DS order-1.5 block Gaussian,20,0,4,21.81493093993049,-4918.685681309917,31122.12049252284,968.6760919185683,2.0431744478233425,0.22199999999999998,1,0,0.18,0,10.000000000000002,0.5571776828384859,22.408283590556167,-0.01,2.4452543674961342,0.5,1.3648086778060824,4.48579161468772,-2.892741598065978,4.611605381976985,4.373855489892519,2.177571637584313,-4.453661762921761,-3.0380574213852114,-1.1803829384405256,-6.982358578040567,-7.206003665715066,-10.0,0.24863116051651427,0.15687374918165536,0.1944527211570366,0.15683792732866825,0.24320444181612538,2.302585092994046,-0.584871090214414,3.109430693650491,-1.0,0.8941491533012283,-0.6931471805599453,1.3648086778060824,4.48579161468772,-2.892741598065978,4.611605381976985,4.373855489892519,2.177571637584313,-4.453661762921761,-3.0380574213852114,-1.1803829384405256,-6.982358578040567,-7.206003665715066,-10.0,0.0,-0.4605291787038919,-0.24578146058821346,-0.4607575530732575,-0.02206810124232897
DS order-1.5 block Gaussian,20,0,5,25.715689937933348,-4785.175890808895,31408.994390606276,1423.7710230677012,6.437522419006749,0.30799999999999994,1,0,0.18,0,10.000000000000002,0.5963830917186661,24.319592590063376,-0.009064576192984137,2.7589365575712157,0.5,1.2005019437686444,4.341157541527486,-3.0036868523572133,4.505022661972875,4.264914612016205,2.049331578410992,-4.578642036352921,-3.1506944703723883,-1.2908206259702335,-7.088222118081792,-7.307298759688815,-10.0,0.2501410567306401,0.15676694349424994,0.18836406894733795,0.154586874097132,0.2501410567306401,2.302585092994046,-0.5168720470657625,3.191282304904334,-0.9064576192984136,1.0148453002521058,-0.6931471805599453,1.2005019437686444,4.341157541527486,-3.0036868523572133,4.505022661972875,4.264914612016205,2.049331578410992,-4.578642036352921,-3.1506944703723883,-1.2908206259702335,-7.088222118081792,-7.307298759688815,-10.0,0.0,-0.46726471952988113,-0.2836483585551841,-0.4812687554668732,0.0
DS order-1.5 block Gaussian,20,0,6,29.616751250927337,-4615.633523860268,32198.056992440535,1112.6809982823124,6.456030757749988,0.366,1,0,0.18,0,10.000000000000002,0.6,26.93035785376821,-0.007828311360864027,3.026089303336348,0.5,1.0311815962454995,4.186551703633701,-3.13419205492495,4.378443320030164,4.1346630587111175,1.904482359479381,-4.635007016548197,-3.2806487254057792,-1.4221421264898675,-7.215737510065471,-7.430495775863554,-10.0,0.2489822631763807,0.15166055502017106,0.1960022330779081,0.15600732009649163,0.24734762862904847,2.302585092994046,-0.5108256237659907,3.2932541950296197,-0.7828311360864026,1.1072711269387396,-0.6931471805599453,1.0311815962454995,4.186551703633701,-3.13419205492495,4.378443320030164,4.1346630587111175,1.904482359479381,-4.635007016548197,-3.2806487254057792,-1.4221421264898675,-7.215737510065471,-7.430495775863554,-10.0,0.0,-0.4957368288035901,-0.2392556092839538,-0.46747873186008765,-0.006586911183582319
DS order-1.5 block Gaussian,20,0,7,33.517850142903626,-4534.778691237809,32327.743006572906,589.7809007017324,8.3773025072387,0.43399999999999994,1,0,0.18,0,10.000000000000002,0.6,29.587581495961366,-0.006500417496119281,3.2556683051379185,0.5,0.8655556849850317,4.0373914286118175,-3.273457973910105,4.240977098310572,3.9952958029844012,1.7646669652170603,-4.6081196748182265,-3.423388398223297,-1.5684747439834517,-7.358687425226098,-7.567166302337675,-10.0,0.23619992028076786,0.14097842014183143,0.21954794408983755,0.1699650061952947,0.23330870929226835,2.302585092994046,-0.5108256237659907,3.3873547292414248,-0.6500417496119281,1.1803975710646122,-0.6931471805599453,0.8655556849850317,4.0373914286118175,-3.273457973910105,4.240977098310572,3.9952958029844012,1.7646669652170603,-4.6081196748182265,-3.423388398223297,-1.5684747439834517,-7.358687425226098,-7.567166302337675,-10.0,0.0,-0.516071736230335,-0.07310793349222851,-0.3290859963048183,-0.012316057053992427
DS order-1.5 block Gaussian,20,0,8,37.418614352005534,-4434.937815371222,32708.193143939818,1891.736971642314,5.586123975474934,0.45999999999999996,1,0,0.18,0,10.000000000000002,0.6,30.000000000000004,-0.005103875273729851,3.4938892059185793,0.5,0.8443948974233655,3.9944263229451815,-3.424695171154705,4.091529611152861,3.848314975643263,1.6723955277851414,-4.51579345915574,-3.5670969004168316,-1.7247060521406838,-7.512674496043321,-7.717058689551954,-9.918651547216056,0.2250376381882651,0.12634342439074142,0.23915446265217338,0.18680337784192683,0.22266109692689331,2.302585092994046,-0.5108256237659907,3.4011973816621555,-0.5103875273729851,1.2510155013975868,-0.6931471805599453,0.8443948974233655,3.9944263229451815,-3.424695171154705,4.091529611152861,3.848314975643263,1.6723955277851414,-4.51579345915574,-3.5670969004168316,-1.7247060521406838,-7.512674496043321,-7.717058689551954,-9.918651547216056,-0.06084196137415827,-0.6381058407572062,0.0,-0.24705302212861932,-0.07145875967112492
DS order-1.5 block Gaussian,20,0,9,41.32040058891289,-4393.482192992866,32879.897261654536,1011.4804320434082,4.660546864949614,0.476,1,0,0.18,0,10.000000000000002,0.6,30.000000000000004,-0.0037121527840371345,3.659328655328177,0.5,0.8304557102030817,3.980477064757465,-3.5678928717197405,3.950770267812829,3.7130056887804805,1.6015487934403354,-4.419251032304814,-3.7034191094438893,-1.879055750505317,-7.662657121683048,-7.850988909236669,-9.833463247007712,0.21682097561900138,0.11304956200531213,0.24531439384919967,0.21025651841764031,0.2145585501088463,2.302585092994046,-0.5108256237659907,3.4011973816621555,-0.37121527840371343,1.29727970308243,-0.6931471805599453,0.8304557102030817,3.980477064757465,-3.5678928717197405,3.950770267812829,3.7130056887804805,1.6015487934403354,-4.419251032304814,-3.7034191094438893,-1.879055750505317,-7.662657121683048,-7.850988909236669,-9.833463247007712,-0.12346861220096314,-0.7747143037249304,0.0,-0.15421232654860295,-0.1339579660951004
