method,effort,replicate,euler_loglik
IFAD-0,comparable,0,-3749.0785281962926
IFAD-0,comparable,1,-3753.339986086664
IFAD-0,comparable,2,-3754.749851727269
IFAD-0,comparable,3,-3754.431643394376
IFAD-0,comparable,4,-3751.209325360319
IFAD-0,comparable,5,-3751.607749699063
IFAD-0,comparable,6,-3752.900592969203
IFAD-0,comparable,7,-3749.141539957979
IFAD-0,comparable,8,-4201.726493227343
IFAD-0,comparable,9,-3750.1472689108837
IFAD-0,comparable,10,-3752.1396604242987
IFAD-0,comparable,11,-3757.1370775673063
IFAD-0,comparable,12,-3753.7153466878945
IFAD-0,comparable,13,-3749.3698011424294
IFAD-0,comparable,14,-3749.157247291004
IFAD-0,comparable,15,-3749.262549605257
IFAD-0,comparable,16,-3749.076146216919
IFAD-0,comparable,17,-3749.7010697912906
IFAD-0,comparable,18,-3749.576256360361
IFAD-0,comparable,19,-3751.1791193569143
IFAD-0,comparable,20,-3760.129072749272
IFAD-0,comparable,21,-3750.2103841936873
IFAD-0,comparable,22,-3749.4126940256238
IFAD-0,comparable,23,-3749.530459432691
IFAD-0,comparable,24,-3753.390884438616
IFAD-0,comparable,25,-3750.1188944909486
IFAD-0,comparable,26,-3751.094027588673
IFAD-0,comparable,27,-3753.824545928602
IFAD-0,comparable,28,-3750.356121031945
IFAD-0,comparable,29,-3755.078397967549
IFAD-0,comparable,30,-3750.362549837255
IFAD-0,comparable,31,-3748.876684380023
IFAD-0,comparable,32,-3751.037503439386
IFAD-0,comparable,33,-3750.1982500029353
IFAD-0,comparable,34,-3750.00734285778
IFAD-0,comparable,35,-3750.0912747789043
IFAD-0,comparable,36,-3751.060171364043
IFAD-0,comparable,37,-3751.992331143398
IFAD-0,comparable,38,-3752.0512837995584
IFAD-0,comparable,39,-3750.478286789851
IFAD-0,comparable,40,-3761.8223890414833
IFAD-0,comparable,41,-3760.408153624212
IFAD-0,comparable,42,-3749.6080845462634
IFAD-0,comparable,43,-3756.3295564193527
IFAD-0,comparable,44,-3750.758519215043
IFAD-0,comparable,45,-3756.0654584128592
IFAD-0,comparable,46,-3752.6335564343385
IFAD-0,comparable,47,-3748.7971591604123
