method,effort,replicate,sigma,tau,gamma,epsilon,S_0,I_0,R1_0,bs3,omegas5
IFAD-0,comparable,0,2.948854684829712,0.27282389998435974,19.464014053344727,13.107874870300293,0.02686206065118313,0.3847898542881012,0.5208427309989929,-3.490642547607422,-10.138405799865723
IFAD-0,comparable,1,2.8500173091888428,0.2813451588153839,20.476734161376953,10.586373329162598,0.023424936458468437,0.35996925830841064,0.4945554733276367,-2.4472687244415283,-8.827899932861328
IFAD-0,comparable,2,2.824418783187866,0.2878676950931549,17.263763427734375,14.540186882019043,0.0031968269031494856,0.4136522114276886,0.5441203713417053,-6.374744415283203,-12.084705352783203
IFAD-0,comparable,3,2.777967929840088,0.28763547539711,17.81507682800293,9.950565338134766,0.021157097071409225,0.369222491979599,0.5957293510437012,-5.5489702224731445,-11.063582420349121
IFAD-0,comparable,4,3.064554452896118,0.2752716839313507,20.42005729675293,38.863948822021484,0.0918651893734932,0.5114505887031555,0.38198965787887573,-2.698287010192871,-8.956415176391602
IFAD-0,comparable,5,3.0173728466033936,0.27413052320480347,18.675466537475586,14.716315269470215,0.01729572005569935,0.4142044186592102,0.5569848418235779,-4.261830806732178,-8.025543212890625
IFAD-0,comparable,6,2.8869311809539795,0.27820679545402527,17.983928680419922,12.925938606262207,0.014431828632950783,0.39382174611091614,0.5411271452903748,-6.242171287536621,-10.979183197021484
IFAD-0,comparable,7,3.0321428775787354,0.26909732818603516,21.392696380615234,17.606773376464844,0.02795637771487236,0.4158475995063782,0.529698371887207,-2.225759983062744,-8.626920700073242
IFAD-0,comparable,8,9.509832382202148,0.7869993448257446,12.396998405456543,0.01951250247657299,0.004575318191200495,0.029063846915960312,0.020282717421650887,-2.8471217155456543,-10.532723426818848
IFAD-0,comparable,9,2.9910812377929688,0.27331414818763733,19.65131187438965,13.907346725463867,0.003921412862837315,0.3984915316104889,0.5711314678192139,-2.8519508838653564,-9.95300579071045
IFAD-0,comparable,10,2.9913547039031982,0.27510806918144226,17.818077087402344,14.635571479797363,0.009817322716116905,0.414706289768219,0.4929722249507904,-5.685235023498535,-9.357769966125488
IFAD-0,comparable,11,2.868438243865967,0.2811637818813324,21.60770606994629,14.09986686706543,0.020116155967116356,0.3863614797592163,0.5015631914138794,-2.184285879135132,-7.891763687133789
IFAD-0,comparable,12,2.9779140949249268,0.27673420310020447,17.328113555908203,14.070174217224121,0.006852634716778994,0.4111364185810089,0.4768993854522705,-6.7036614418029785,-9.507577896118164
IFAD-0,comparable,13,2.976008176803589,0.2717779874801636,19.959144592285156,14.666912078857422,0.013993026688694954,0.39536064863204956,0.4379200041294098,-3.2000904083251953,-9.164129257202148
IFAD-0,comparable,14,2.9863572120666504,0.27086034417152405,20.466943740844727,14.267875671386719,0.027003271505236626,0.3893457353115082,0.5331547856330872,-2.622157573699951,-8.948741912841797
IFAD-0,comparable,15,3.063492774963379,0.26421356201171875,24.862558364868164,18.685190200805664,0.02309815213084221,0.39640122652053833,0.47750985622406006,-0.6836641430854797,-8.5671968460083
IFAD-0,comparable,16,3.0160634517669678,0.2700948119163513,19.88426971435547,14.584144592285156,0.014113855548202991,0.40183061361312866,0.5560436844825745,-2.994112730026245,-8.97476863861084
IFAD-0,comparable,17,2.9829394817352295,0.27222782373428345,19.391239166259766,14.084278106689453,0.0023660333827137947,0.39816415309906006,0.5108153223991394,-3.677088737487793,-9.026247024536133
IFAD-0,comparable,18,2.9202723503112793,0.2746026813983917,19.112825393676758,12.3243989944458,0.013935095630586147,0.3856974244117737,0.5885226726531982,-3.853461980819702,-10.772147178649902
IFAD-0,comparable,19,2.874807596206665,0.2768622934818268,19.899948120117188,10.375044822692871,0.06462232023477554,0.3543474078178406,0.5708315372467041,-2.783914804458618,-12.814477920532227
IFAD-0,comparable,20,2.7749969959259033,0.2898270785808563,19.066648483276367,12.999968528747559,0.0062816864810884,0.39376428723335266,0.49290114641189575,-4.383780479431152,-9.179715156555176
IFAD-0,comparable,21,2.8996145725250244,0.2743290662765503,21.595157623291016,13.156689643859863,0.014647134579718113,0.373124361038208,0.5403860211372375,-2.03648042678833,-10.070745468139648
IFAD-0,comparable,22,3.071385145187378,0.26462286710739136,23.936803817749023,16.503990173339844,0.0161507036536932,0.38893193006515503,0.5256354212760925,-0.7667918801307678,-8.294878959655762
IFAD-0,comparable,23,3.000528335571289,0.26720762252807617,23.214221954345703,13.721762657165527,0.043182019144296646,0.36525461077690125,0.5467554330825806,-0.8812528848648071,-9.653738975524902
IFAD-0,comparable,24,2.8929121494293213,0.2792534828186035,20.346446990966797,10.178051948547363,0.006414172239601612,0.3563634753227234,0.4856279790401459,-2.060366630554199,-11.304253578186035
IFAD-0,comparable,25,2.947417974472046,0.2726857662200928,20.314998626708984,13.709590911865234,0.019721798598766327,0.38409560918807983,0.48430219292640686,-2.992826461791992,-9.016206741333008
IFAD-0,comparable,26,2.9584362506866455,0.27379536628723145,20.624574661254883,14.111345291137695,0.012950839474797249,0.3939809203147888,0.5486412644386292,-2.6625704765319824,-8.343660354614258
IFAD-0,comparable,27,2.88828706741333,0.2837972640991211,20.001026153564453,16.265796661376953,0.019721562042832375,0.4254637360572815,0.4876648485660553,-2.906633138656616,-6.89686393737793
IFAD-0,comparable,28,3.008850336074829,0.27172622084617615,19.778898239135742,15.720303535461426,0.010178599506616592,0.41054850816726685,0.5074792504310608,-3.4323816299438477,-8.33130168914795
IFAD-0,comparable,29,3.0656752586364746,0.27445757389068604,18.804039001464844,17.826011657714844,0.0073913163505494595,0.44092249870300293,0.4514886140823364,-4.600543975830078,-6.731429576873779
IFAD-0,comparable,30,3.0151658058166504,0.2692284882068634,24.419292449951172,18.197980880737305,0.05223628878593445,0.3873796761035919,0.41824495792388916,-0.7346751689910889,-8.543663024902344
IFAD-0,comparable,31,3.022634267807007,0.26705387234687805,21.726551055908203,14.277737617492676,0.0034586337860673666,0.3847883343696594,0.4861304759979248,-1.8160316944122314,-8.686469078063965
IFAD-0,comparable,32,2.9336462020874023,0.27717235684394836,18.413618087768555,12.769050598144531,0.0032205788884311914,0.3909587562084198,0.5487669110298157,-4.22368049621582,-11.292479515075684
IFAD-0,comparable,33,3.0097365379333496,0.2715012729167938,19.37346076965332,14.890914916992188,0.0025041638873517513,0.40028494596481323,0.45700594782829285,-3.7070529460906982,-8.576111793518066
IFAD-0,comparable,34,2.854764223098755,0.27850738167762756,19.992372512817383,12.676756858825684,0.004789429716765881,0.3796550929546356,0.511572539806366,-3.1664681434631348,-11.136778831481934
IFAD-0,comparable,35,2.9713146686553955,0.2733825147151947,19.703895568847656,14.414262771606445,0.011494841426610947,0.3948865234851837,0.4396318793296814,-3.3160459995269775,-8.97752857208252
IFAD-0,comparable,36,3.046360492706299,0.27137649059295654,20.154647827148438,17.457138061523438,0.006471533793956041,0.42429399490356445,0.4767725169658661,-3.1790435314178467,-7.65745735168457
IFAD-0,comparable,37,2.865300178527832,0.2820211350917816,22.02483558654785,15.69414234161377,0.010344777256250381,0.39975228905677795,0.43110013008117676,-1.401007056236267,-9.014792442321777
IFAD-0,comparable,38,2.989179849624634,0.2752141058444977,18.0505313873291,15.137286186218262,0.02079048752784729,0.41524815559387207,0.4673840403556824,-5.381496906280518,-9.102429389953613
IFAD-0,comparable,39,2.9713847637176514,0.2731453478336334,18.57317543029785,13.534096717834473,0.00272757513448596,0.3993777930736542,0.5509652495384216,-4.5917253494262695,-9.566262245178223
IFAD-0,comparable,40,2.8015823364257812,0.29526495933532715,17.879222869873047,17.366300582885742,0.07014036178588867,0.44893333315849304,0.4339956045150757,-5.882236003875732,-6.9471611976623535
