method,inference_nstep,evaluation_nstep,start,fit_converged,evaluation_status,euler_loglik,euler_se,eval_particles,eval_replicates
Published parameter point,0.0,20,0,True,ok,-3747.950208875291,0.17259510632804878,5000,36
DS-local+nugget QML,1.0,20,0,False,fit-failed,,,5000,36
DS-local+nugget QML,1.0,20,1,False,fit-failed,,,5000,36
DS-local+nugget QML,1.0,20,2,False,fit-failed,,,5000,36
DS-local+nugget QML,1.0,20,3,False,fit-failed,,,5000,36
DS-local+nugget QML,1.0,20,4,False,fit-failed,,,5000,36
DS-local+nugget QML,2.0,20,0,False,fit-failed,,,5000,36
DS-local+nugget QML,2.0,20,1,False,fit-failed,,,5000,36
DS-local+nugget QML,2.0,20,2,False,fit-failed,,,5000,36
DS-local+nugget QML,2.0,20,3,False,fit-failed,,,5000,36
DS-local+nugget QML,2.0,20,4,False,fit-failed,,,5000,36
DS-local+nugget QML,5.0,20,0,True,ok,-3754.327940621854,0.109127990962442,5000,36
DS-local+nugget QML,5.0,20,1,True,ok,-5937.0653031249285,0.3012283223324252,5000,36
DS-local+nugget QML,5.0,20,2,True,ok,-5275.132451754501,1.4162245918591085,5000,36
DS-local+nugget QML,5.0,20,3,True,ok,-6936.990656131716,12.594889590504652,5000,36
DS-local+nugget QML,5.0,20,4,True,ok,-6985.118996420692,0.17184388504622852,5000,36
DS-local+nugget QML,10.0,20,0,True,ok,-3753.855897105865,0.12480607986055767,5000,36
DS-local+nugget QML,10.0,20,1,True,ok,-5913.897252416681,0.4145698228253634,5000,36
DS-local+nugget QML,10.0,20,2,True,ok,-5273.406471856807,3.2439981763337737,5000,36
DS-local+nugget QML,10.0,20,3,True,ok,-6944.700979648573,7.226844690093302,5000,36
DS-local+nugget QML,10.0,20,4,True,ok,-6984.192832912508,0.3971329985863118,5000,36
DS-local+nugget QML,20.0,20,0,True,ok,-3754.058124062447,0.16994311513407392,5000,36
DS-local+nugget QML,20.0,20,1,True,ok,-5913.4485560581,0.8957135986177014,5000,36
DS-local+nugget QML,20.0,20,2,True,ok,-5276.638204531553,1.1960760787464473,5000,36
DS-local+nugget QML,20.0,20,3,True,ok,-6918.69112002795,11.543158942743018,5000,36
DS-local+nugget QML,20.0,20,4,True,ok,-6983.404016247274,0.3979867121188761,5000,36
IFAD-0.97 (paper),,20,-1,True,paper-value,-3744.17,,5000,36
