method,order,inference_nstep,start,start_type,approx_start_loglik,approx_final_loglik,iterations_completed,elapsed_seconds,converged,gamma,m,epsilon,beta_trend,sigma,tau,bs1,bs2,bs3,bs4,bs5,bs6,omegas1,omegas2,omegas3,omegas4,omegas5,omegas6,S_0,I_0,R1_0,R2_0,R3_0,raw_0,raw_1,raw_2,raw_3,raw_4,raw_5,raw_6,raw_7,raw_8,raw_9,raw_10,raw_11,raw_12,raw_13,raw_14,raw_15,raw_16,raw_17,raw_18,raw_19,raw_20,raw_21,raw_22
DS-local+nugget QML,2,1,0,published-point,,,0,4.494557485973928,False,20.8,0.06,19.100000000000005,-0.00498,3.13,0.23,0.747,6.38,-3.44,4.23,3.33,4.55,-1.6928195213731514,-2.543383579546976,-2.8404393891479556,-4.691817992713764,-8.477972478262956,-4.390058806371146,0.6204942252291081,0.3776921370959789,0.0008423134168569054,0.0009712083525325173,1.1590552355326328e-07,3.0349529867072724,-2.8134107167600364,2.9496883350525844,-0.498,1.1410330045520618,-1.4696759700589417,0.747,6.38,-3.44,4.23,3.33,4.55,-1.6928195213731514,-2.543383579546976,-2.8404393891479556,-4.691817992713764,-8.477972478262956,-4.390058806371146,0.0,-0.496436886313891,-6.60211940291376,-6.459730556455177,-15.493251448791389
DS-local+nugget QML,2,1,1,global-box,,,0,2.7808988480246626,False,12.204439319925953,0.40694085741223185,15.776105071350697,-0.009654575819763804,1.285275956517952,0.4046354317852725,2.0519699908305746,5.157343476386535,-2.22942514844895,4.8620776876508796,5.000225608613919,2.862000628488265,-3.7594382581790438,-2.3527504780275645,-0.5265467864596349,-6.352280427453167,-6.610966241633912,-9.421106416727302,0.30016229191247606,0.12847598067816407,0.16178485054093505,0.1308026974351881,0.27877417943323657,2.501799764233874,-0.899087417582029,2.7584964580403506,-0.9654575819763804,0.25097344744528827,-0.904768785701927,2.0519699908305746,5.157343476386535,-2.22942514844895,4.8620776876508796,5.000225608613919,2.862000628488265,-3.7594382581790438,-2.3527504780275645,-0.5265467864596349,-6.352280427453167,-6.610966241633912,-9.421106416727302,0.0,-0.8485813353537146,-0.6180559319568264,-0.8306332400209862,-0.07392124005080869
DS-local+nugget QML,2,1,2,global-box,,,0,2.8086385920178145,False,19.552820594531003,0.17585759640791832,15.004647159765788,-0.0042932412422167845,4.768458217620465,0.20270111255940046,-0.31508407794622517,3.628019822483096,2.8412848959497596,5.322237187500416,2.52740053010489,3.408184877802398,-3.0840196234659887,-0.5465325262320047,-1.6260518571384193,-5.618391560899503,-2.730656215526163,-4.029206075710315,0.21919034669093299,0.14780651095979644,0.2725792264945823,0.2663728949816751,0.09405102087301315,2.9731195519596927,-1.738080722769866,2.7083599637718527,-0.4293241242216784,1.562023027834337,-1.5960227368396873,-0.31508407794622517,3.628019822483096,2.8412848959497596,5.322237187500416,2.52740053010489,3.408184877802398,-3.0840196234659887,-0.5465325262320047,-1.6260518571384193,-5.618391560899503,-2.730656215526163,-4.029206075710315,-0.21798879599105403,-0.6120252512306168,0.0,-0.02303212335092053,-1.0640919010108199
DS-local+nugget QML,2,1,3,global-box,,,0,2.8381593450321816,False,36.039175228213026,0.21282535867585856,12.369662376732698,-0.005283691674348897,3.5797978920192066,0.2509722700908273,-3.9482716587303113,5.1548837595207635,-1.402043345177633,2.625739315039435,2.6029074913584767,7.085590980452724,-4.264647393639186,-3.099179902732587,-3.2716368821006636,-0.09568713493495551,-0.48626207852862535,-7.819452931649589,0.042983659676273225,0.3173210768957963,0.08435393023163186,0.25512249228256684,0.30021884091373174,3.5846065475785243,-1.5472833619045745,2.5152468923158855,-0.5283691674348897,1.2753063440757415,-1.3824128236792543,-3.9482716587303113,5.1548837595207635,-1.402043345177633,2.625739315039435,2.6029074913584767,7.085590980452724,-4.264647393639186,-3.099179902732587,-3.2716368821006636,-0.09568713493495551,-0.48626207852862535,-7.819452931649589,-1.9990940862059519,0.0,-1.3248927199145604,-0.21817033043582157,-0.05540244371489811
DS-local+nugget QML,2,1,4,global-box,,,0,2.8141168099828064,False,15.007425551545971,0.44303436948954167,3.6262528159051772,-0.00017825460028193102,2.537554055368271,0.31389543656396823,3.2428046005585562,5.460315376546724,3.7116941510129164,4.123185583756454,1.0097241433029955,5.9658305938115435,-5.476188336882637,-0.3126291065617117,-2.380192971730252,-9.866835478880391,-2.3332833050469777,-6.549627512790556,0.23669552555083287,0.3286805288944933,0.3112516968866259,0.012483946822816432,0.11088830184523152,2.708545115381663,-0.8141079284486086,1.2881998329868332,-0.017825460028193102,0.931200646749194,-1.1586953531055684,3.2428046005585562,5.460315376546724,3.7116941510129164,4.123185583756454,1.0097241433029955,5.9658305938115435,-5.476188336882637,-0.3126291065617117,-2.380192971730252,-9.866835478880391,-2.3332833050469777,-6.549627512790556,-0.3283116293283834,0.0,-0.054484342600229496,-3.270642677436414,-1.0865628372285134
DS-local+nugget QML,2,2,0,published-point,,,0,4.34608395799296,False,20.8,0.06,19.100000000000005,-0.00498,3.13,0.23,0.747,6.38,-3.44,4.23,3.33,4.55,-1.6928195213731514,-2.543383579546976,-2.8404393891479556,-4.691817992713764,-8.477972478262956,-4.390058806371146,0.6204942252291081,0.3776921370959789,0.0008423134168569054,0.0009712083525325173,1.1590552355326328e-07,3.0349529867072724,-2.8134107167600364,2.9496883350525844,-0.498,1.1410330045520618,-1.4696759700589417,0.747,6.38,-3.44,4.23,3.33,4.55,-1.6928195213731514,-2.543383579546976,-2.8404393891479556,-4.691817992713764,-8.477972478262956,-4.390058806371146,0.0,-0.496436886313891,-6.60211940291376,-6.459730556455177,-15.493251448791389
DS-local+nugget QML,2,2,1,global-box,,,0,3.177114866033662,False,12.204439319925953,0.40694085741223185,15.776105071350697,-0.009654575819763804,1.285275956517952,0.4046354317852725,2.0519699908305746,5.157343476386535,-2.22942514844895,4.8620776876508796,5.000225608613919,2.862000628488265,-3.7594382581790438,-2.3527504780275645,-0.5265467864596349,-6.352280427453167,-6.610966241633912,-9.421106416727302,0.30016229191247606,0.12847598067816407,0.16178485054093505,0.1308026974351881,0.27877417943323657,2.501799764233874,-0.899087417582029,2.7584964580403506,-0.9654575819763804,0.25097344744528827,-0.904768785701927,2.0519699908305746,5.157343476386535,-2.22942514844895,4.8620776876508796,5.000225608613919,2.862000628488265,-3.7594382581790438,-2.3527504780275645,-0.5265467864596349,-6.352280427453167,-6.610966241633912,-9.421106416727302,0.0,-0.8485813353537146,-0.6180559319568264,-0.8306332400209862,-0.07392124005080869
DS-local+nugget QML,2,2,2,global-box,,,0,3.1923597090062685,False,19.552820594531003,0.17585759640791832,15.004647159765788,-0.0042932412422167845,4.768458217620465,0.20270111255940046,-0.31508407794622517,3.628019822483096,2.8412848959497596,5.322237187500416,2.52740053010489,3.408184877802398,-3.0840196234659887,-0.5465325262320047,-1.6260518571384193,-5.618391560899503,-2.730656215526163,-4.029206075710315,0.21919034669093299,0.14780651095979644,0.2725792264945823,0.2663728949816751,0.09405102087301315,2.9731195519596927,-1.738080722769866,2.7083599637718527,-0.4293241242216784,1.562023027834337,-1.5960227368396873,-0.31508407794622517,3.628019822483096,2.8412848959497596,5.322237187500416,2.52740053010489,3.408184877802398,-3.0840196234659887,-0.5465325262320047,-1.6260518571384193,-5.618391560899503,-2.730656215526163,-4.029206075710315,-0.21798879599105403,-0.6120252512306168,0.0,-0.02303212335092053,-1.0640919010108199
DS-local+nugget QML,2,2,3,global-box,,,0,3.24092836905038,False,36.039175228213026,0.21282535867585856,12.369662376732698,-0.005283691674348897,3.5797978920192066,0.2509722700908273,-3.9482716587303113,5.1548837595207635,-1.402043345177633,2.625739315039435,2.6029074913584767,7.085590980452724,-4.264647393639186,-3.099179902732587,-3.2716368821006636,-0.09568713493495551,-0.48626207852862535,-7.819452931649589,0.042983659676273225,0.3173210768957963,0.08435393023163186,0.25512249228256684,0.30021884091373174,3.5846065475785243,-1.5472833619045745,2.5152468923158855,-0.5283691674348897,1.2753063440757415,-1.3824128236792543,-3.9482716587303113,5.1548837595207635,-1.402043345177633,2.625739315039435,2.6029074913584767,7.085590980452724,-4.264647393639186,-3.099179902732587,-3.2716368821006636,-0.09568713493495551,-0.48626207852862535,-7.819452931649589,-1.9990940862059519,0.0,-1.3248927199145604,-0.21817033043582157,-0.05540244371489811
DS-local+nugget QML,2,2,4,global-box,,,0,3.187391404993832,False,15.007425551545971,0.44303436948954167,3.6262528159051772,-0.00017825460028193102,2.537554055368271,0.31389543656396823,3.2428046005585562,5.460315376546724,3.7116941510129164,4.123185583756454,1.0097241433029955,5.9658305938115435,-5.476188336882637,-0.3126291065617117,-2.380192971730252,-9.866835478880391,-2.3332833050469777,-6.549627512790556,0.23669552555083287,0.3286805288944933,0.3112516968866259,0.012483946822816432,0.11088830184523152,2.708545115381663,-0.8141079284486086,1.2881998329868332,-0.017825460028193102,0.931200646749194,-1.1586953531055684,3.2428046005585562,5.460315376546724,3.7116941510129164,4.123185583756454,1.0097241433029955,5.9658305938115435,-5.476188336882637,-0.3126291065617117,-2.380192971730252,-9.866835478880391,-2.3332833050469777,-6.549627512790556,-0.3283116293283834,0.0,-0.054484342600229496,-3.270642677436414,-1.0865628372285134
