method,order,inference_nstep,start,iteration,approx_loglik,gradient_norm
DS-local+nugget QML,2,1,0,0,,
DS-local+nugget QML,2,1,1,0,,
DS-local+nugget QML,2,1,2,0,,
DS-local+nugget QML,2,1,3,0,,
DS-local+nugget QML,2,1,4,0,,
DS-local+nugget QML,2,2,0,0,,
DS-local+nugget QML,2,2,1,0,,
DS-local+nugget QML,2,2,2,0,,
DS-local+nugget QML,2,2,3,0,,
DS-local+nugget QML,2,2,4,0,,
DS-local+nugget QML,2,5,0,0,-3934.4452246337855,417.1818895325678
DS-local+nugget QML,2,5,0,1,-3931.959251773599,364.0845988185596
DS-local+nugget QML,2,5,0,2,-3929.8799044938805,310.189356293271
DS-local+nugget QML,2,5,0,3,-3928.192260116525,258.0772047131541
DS-local+nugget QML,2,5,0,4,-3926.83800542606,210.1613499741153
DS-local+nugget QML,2,5,0,5,-3925.7902137149626,167.0540524455984
DS-local+nugget QML,2,5,0,6,-3925.013573935535,132.42001074509292
DS-local+nugget QML,2,5,0,7,-3924.406398225393,111.37783079022742
DS-local+nugget QML,2,5,0,8,-3923.8360434346,103.06887442485122
DS-local+nugget QML,2,5,0,9,-3923.232029794955,101.10544004837155
DS-local+nugget QML,2,5,0,10,-3922.5802711078,100.4917189997129
DS-local+nugget QML,2,5,0,11,-3921.886599688287,98.95236608114166
DS-local+nugget QML,2,5,0,12,-3921.1633276929697,95.91251513579542
DS-local+nugget QML,2,5,0,13,-3920.425020482961,91.73236587538089
DS-local+nugget QML,2,5,0,14,-3919.6860255634247,87.2729984189388
DS-local+nugget QML,2,5,0,15,-3918.958444173252,83.55723248536599
DS-local+nugget QML,2,5,0,16,-3918.2507150289707,81.3952288128807
DS-local+nugget QML,2,5,0,17,-3917.5671773424383,81.04706629485425
DS-local+nugget QML,2,5,0,18,-3916.9086038764563,82.14408788181474
DS-local+nugget QML,2,5,0,19,-3916.2732533661315,83.93047520114911
DS-local+nugget QML,2,5,0,20,-3915.6580233277286,85.60262766701773
DS-local+nugget QML,2,5,0,21,-3915.059501626025,86.52838169193474
DS-local+nugget QML,2,5,0,22,-3914.4747726748838,86.31677639478534
DS-local+nugget QML,2,5,0,23,-3913.90187111867,84.80564892015639
DS-local+nugget QML,2,5,0,24,-3913.33986801953,82.02495334168313
DS-local+nugget QML,2,5,0,25,-3912.78865615415,78.1613208982354
DS-local+nugget QML,2,5,1,0,-6033.817106786055,1650.8863200880319
DS-local+nugget QML,2,5,1,1,-6022.060351720969,1636.2091323718255
DS-local+nugget QML,2,5,1,2,-6010.348615606426,1621.8020983373497
DS-local+nugget QML,2,5,1,3,-5998.680393221442,1607.6638052418784
DS-local+nugget QML,2,5,1,4,-5987.054204247792,1593.793512460681
DS-local+nugget QML,2,5,1,5,-5975.468581929878,1580.1923215176375
DS-local+nugget QML,2,5,1,6,-5963.922050828238,1566.8638224534711
DS-local+nugget QML,2,5,1,7,-5952.413104421177,1553.8137608708369
DS-local+nugget QML,2,5,1,8,-5940.940196437413,1541.0485082403648
DS-local+nugget QML,2,5,1,9,-5929.501758633609,1528.5725034227812
DS-local+nugget QML,2,5,1,10,-5918.096251795342,1516.3852408643584
DS-local+nugget QML,2,5,1,11,-5906.722247514485,1504.4786268809717
DS-local+nugget QML,2,5,1,12,-5895.551342831145,1492.9490025142977
DS-local+nugget QML,2,5,1,13,-5884.555101065203,1478.03175940228
DS-local+nugget QML,2,5,1,14,-5873.769416499896,1457.2247064308842
DS-local+nugget QML,2,5,1,15,-5863.210627829875,1440.9783297096235
DS-local+nugget QML,2,5,1,16,-5852.818764625808,1428.119406687788
DS-local+nugget QML,2,5,1,17,-5842.537377679772,1417.5932418726838
DS-local+nugget QML,2,5,1,18,-5832.321062859761,1408.5213395489984
DS-local+nugget QML,2,5,1,19,-5825.981727717359,4908.803097594703
DS-local+nugget QML,2,5,1,20,-5839.252852851143,12052.704393237369
DS-local+nugget QML,2,5,1,21,-5844.03055305886,13968.599039376115
DS-local+nugget QML,2,5,1,22,-5833.80395921119,12878.014659291768
DS-local+nugget QML,2,5,1,23,-5814.211906488681,9593.646739676944
DS-local+nugget QML,2,5,1,24,-5795.383975411506,4293.483275741894
DS-local+nugget QML,2,5,1,25,-5788.383915476905,1364.347109368716
DS-local+nugget QML,2,5,2,0,-6337.563933740307,4479.50461850409
DS-local+nugget QML,2,5,2,1,-6302.126700091376,4518.977443549586
DS-local+nugget QML,2,5,2,2,-6266.857852616577,4562.485403952643
DS-local+nugget QML,2,5,2,3,-6231.801397229585,4606.120496823605
DS-local+nugget QML,2,5,2,4,-6196.955884583344,4643.665956032328
DS-local+nugget QML,2,5,2,5,-6162.27272987302,4682.656840770533
DS-local+nugget QML,2,5,2,6,-6127.597696763179,4720.530825715373
DS-local+nugget QML,2,5,2,7,-6092.777507929595,4753.263545870373
DS-local+nugget QML,2,5,2,8,-6057.678585539038,4783.1197912306525
DS-local+nugget QML,2,5,2,9,-6022.251546609309,4796.827359710999
DS-local+nugget QML,2,5,2,10,-5986.65520957844,4781.230657213492
DS-local+nugget QML,2,5,2,11,-5951.025684166449,4752.523323308933
DS-local+nugget QML,2,5,2,12,-5915.498822328239,4706.2078915954835
DS-local+nugget QML,2,5,2,13,-5880.240917082012,4639.440313306386
DS-local+nugget QML,2,5,2,14,-5845.433037150581,4549.961278602885
DS-local+nugget QML,2,5,2,15,-5811.429006674408,4370.316133580043
DS-local+nugget QML,2,5,2,16,-5779.936790513525,4134.374095610551
DS-local+nugget QML,2,5,2,17,-5751.152936385889,3919.3033343161997
DS-local+nugget QML,2,5,2,18,-5723.799004789491,3711.6438904802844
DS-local+nugget QML,2,5,2,19,-5697.884888550488,3516.352520563692
DS-local+nugget QML,2,5,2,20,-5673.279307400052,3341.9949156751823
DS-local+nugget QML,2,5,2,21,-5649.889691187438,3182.922537662194
DS-local+nugget QML,2,5,2,22,-5627.607902636328,3041.806988736294
DS-local+nugget QML,2,5,2,23,-5606.325957292455,2916.280953298785
DS-local+nugget QML,2,5,2,24,-5585.986262579966,2789.038178239555
DS-local+nugget QML,2,5,2,25,-5566.630349869698,2650.441074650816
DS-local+nugget QML,2,5,3,0,-41294.56558692179,140113.73854581878
DS-local+nugget QML,2,5,3,1,-40391.9499784563,136467.67168082617
DS-local+nugget QML,2,5,3,2,-39511.52642679699,132915.3385918409
DS-local+nugget QML,2,5,3,3,-38652.67883457636,129454.4096883513
DS-local+nugget QML,2,5,3,4,-37814.80872005967,126082.61378380316
DS-local+nugget QML,2,5,3,5,-36997.33477930259,122797.73593922975
DS-local+nugget QML,2,5,3,6,-36199.69240509307,119597.61552737799
DS-local+nugget QML,2,5,3,7,-35421.3331616833,116480.14451019518
DS-local+nugget QML,2,5,3,8,-34661.724213396395,113443.26592240033
DS-local+nugget QML,2,5,3,9,-33920.34770467843,110484.97255798585
DS-local+nugget QML,2,5,3,10,-33196.724115397636,107603.39650144138
DS-local+nugget QML,2,5,3,11,-32490.35888045041,104796.61200748463
DS-local+nugget QML,2,5,3,12,-31800.7527879202,102062.67282240513
DS-local+nugget QML,2,5,3,13,-31127.440794516246,99399.76206003447
DS-local+nugget QML,2,5,3,14,-30469.96907758757,96806.10910066658
DS-local+nugget QML,2,5,3,15,-29827.894491649833,94280.01123501488
DS-local+nugget QML,2,5,3,16,-29200.78371475312,91819.76033941118
DS-local+nugget QML,2,5,3,17,-28588.212795589287,89423.72458686726
DS-local+nugget QML,2,5,3,18,-27989.76755737039,87090.29479971308
DS-local+nugget QML,2,5,3,19,-27405.043924166926,84817.90251214213
DS-local+nugget QML,2,5,3,20,-26833.65040961034,82605.082241724
DS-local+nugget QML,2,5,3,21,-26275.210082924532,80450.34723629591
DS-local+nugget QML,2,5,3,22,-25729.362933394288,78352.22795619124
DS-local+nugget QML,2,5,3,23,-25195.768365257787,76309.2615331487
DS-local+nugget QML,2,5,3,24,-24674.107102650363,74319.98262696918
DS-local+nugget QML,2,5,3,25,-24164.082109432315,72382.91787176202
DS-local+nugget QML,2,5,4,0,-7941.898071983076,12070.604094954295
DS-local+nugget QML,2,5,4,1,-7859.135165194093,11479.077857591617
DS-local+nugget QML,2,5,4,2,-7780.626443310042,10906.125066257107
DS-local+nugget QML,2,5,4,3,-7706.239985998138,10353.655369553138
DS-local+nugget QML,2,5,4,4,-7635.832137104114,9823.056781470677
