method,order,inference_nstep,start,iteration,approx_loglik,gradient_norm
DS-Krylov QML,6,5,0,0,-3934.9439980775846,422.71084790042175
DS-Krylov QML,6,5,0,1,-3932.408940224896,369.8706326488642
DS-Krylov QML,6,5,0,2,-3930.278362361716,316.087274992027
DS-Krylov QML,6,5,0,3,-3928.5433275043433,263.60238766936186
DS-Krylov QML,6,5,0,4,-3927.1481292399235,215.1154046203966
DS-Krylov QML,6,5,0,5,-3926.0604299545075,171.2820175484726
DS-Krylov QML,6,5,0,6,-3925.2490822423065,135.30656202535857
DS-Krylov QML,6,5,0,7,-3924.6257383140173,112.44595792859334
DS-Krylov QML,6,5,0,8,-3924.0630224531797,103.19050746397518
DS-Krylov QML,6,5,0,9,-3923.4757230673013,101.40864126945601
DS-Krylov QML,6,5,0,10,-3922.839544296305,101.35176013094414
DS-Krylov QML,6,5,0,11,-3922.1573094329233,100.2762260946703
DS-Krylov QML,6,5,0,12,-3921.4409655850636,97.43622547479858
DS-Krylov QML,6,5,0,13,-3920.7057611899227,93.16139300182883
DS-Krylov QML,6,5,0,14,-3919.9672301539636,88.3618317418545
DS-Krylov QML,6,5,0,15,-3919.2388100404855,84.17762562938498
DS-Krylov QML,6,5,0,16,-3918.530093197183,81.5838274503582
DS-Krylov QML,6,5,0,17,-3917.8461349104077,80.98546814604353
DS-Krylov QML,6,5,0,18,-3917.1879353783606,82.06436123304559
DS-Krylov QML,6,5,0,19,-3916.553630822719,84.01764387886158
DS-Krylov QML,6,5,0,20,-3915.9398296960785,85.95445542475267
DS-Krylov QML,6,5,0,21,-3915.342803571001,87.16401345225303
DS-Krylov QML,6,5,0,22,-3914.759380885352,87.20138606811031
DS-Krylov QML,6,5,0,23,-3914.187447558795,85.87245202301507
DS-Krylov QML,6,5,0,24,-3913.626047816825,83.19059620359226
DS-Krylov QML,6,5,0,25,-3913.075158131181,79.33650347324217
DS-Krylov QML,6,10,0,0,-3924.1693573810962,496.6298239529517
DS-Krylov QML,6,10,0,1,-3921.1059238374614,443.68735679250983
DS-Krylov QML,6,10,0,2,-3918.439608260384,388.8160564528502
DS-Krylov QML,6,10,0,3,-3916.1870649977914,332.29327611314187
DS-Krylov QML,6,10,0,4,-3914.3627819648145,274.7820978056609
DS-Krylov QML,6,10,0,5,-3912.972641866249,217.86589039137405
DS-Krylov QML,6,10,0,6,-3911.9938867051637,165.19818317590523
DS-Krylov QML,6,10,0,7,-3911.345576046453,123.43045432494286
DS-Krylov QML,6,10,0,8,-3910.8864672408554,100.04363404725024
