method,order,inference_nstep,start,iteration,approx_loglik,gradient_norm
DS-local+nugget QML,2,1,0,0,,
DS-local+nugget QML,2,2,0,0,,
DS-local+nugget QML,2,5,0,0,-3934.4452246337855,417.181889532569
DS-local+nugget QML,2,5,0,1,-3931.959251773599,364.0845988185596
DS-local+nugget QML,2,5,0,2,-3929.879904493882,310.1893562932718
DS-local+nugget QML,2,5,0,3,-3928.192260116526,258.07720471314025
DS-local+nugget QML,2,5,0,4,-3926.83800542606,210.1613499741082
DS-local+nugget QML,2,5,0,5,-3925.790213714964,167.05405244559975
DS-local+nugget QML,2,5,0,6,-3925.013573935536,132.420010745105
DS-local+nugget QML,2,5,0,7,-3924.4063982253947,111.37783079022576
DS-local+nugget QML,2,5,0,8,-3923.8360434345996,103.06887442484934
DS-local+nugget QML,2,5,0,9,-3923.2320297949536,101.10544004836851
DS-local+nugget QML,2,5,0,10,-3922.5802711077995,100.49171899971283
DS-local+nugget QML,2,5,0,11,-3921.886599688287,98.95236608113234
DS-local+nugget QML,2,5,0,12,-3921.1633276929692,95.91251513579398
DS-local+nugget QML,2,5,0,13,-3920.425020482963,91.73236587538761
DS-local+nugget QML,2,5,0,14,-3919.6860255634247,87.27299841894428
DS-local+nugget QML,2,5,0,15,-3918.95844417325,83.55723248536411
DS-local+nugget QML,2,5,0,16,-3918.2507150289684,81.39522881287999
DS-local+nugget QML,2,5,0,17,-3917.567177342441,81.04706629485557
DS-local+nugget QML,2,5,0,18,-3916.908603876456,82.14408788180666
DS-local+nugget QML,2,5,0,19,-3916.2732533661324,83.93047520115962
DS-local+nugget QML,2,5,0,20,-3915.6580233277314,85.60262766704184
DS-local+nugget QML,2,5,0,21,-3915.0595016260227,86.52838169195847
DS-local+nugget QML,2,5,0,22,-3914.4747726748847,86.3167763947777
DS-local+nugget QML,2,5,0,23,-3913.90187111867,84.80564892015474
DS-local+nugget QML,2,5,0,24,-3913.33986801953,82.02495334169363
DS-local+nugget QML,2,5,0,25,-3912.7886561541495,78.16132089822597
DS-local+nugget QML,2,5,0,26,-3912.2485417088988,73.52774986879366
DS-local+nugget QML,2,5,0,27,-3911.7197659314966,68.53064412197497
DS-local+nugget QML,2,5,0,28,-3911.2020909213334,63.62002468455333
DS-local+nugget QML,2,5,0,29,-3910.6945846306526,59.21024936612043
DS-local+nugget QML,2,5,0,30,-3910.1957006193747,55.57825257539797
DS-local+nugget QML,2,5,0,31,-3909.7036427562075,52.784707073040316
DS-local+nugget QML,2,5,0,32,-3909.2168745264335,50.682234057825184
DS-local+nugget QML,2,5,0,33,-3908.734572154659,49.02519820518758
DS-local+nugget QML,2,5,0,34,-3908.256861094068,47.61321377641888
DS-local+nugget QML,2,5,0,35,-3907.7847608142697,46.37787896155795
DS-local+nugget QML,2,5,0,36,-3907.319857438141,45.36980736010861
DS-local+nugget QML,2,5,0,37,-3906.863822112423,44.66438004454074
DS-local+nugget QML,2,5,0,38,-3906.417953504034,44.25088296180095
DS-local+nugget QML,2,5,0,39,-3905.9829300091383,43.982985750775306
DS-local+nugget QML,2,5,0,40,-3905.5588435122154,43.62415888368759
DS-local+nugget QML,2,10,0,0,-3924.039665924078,494.86224508595654
DS-local+nugget QML,2,10,0,1,-3920.990872858104,441.8225636038182
DS-local+nugget QML,2,10,0,2,-3918.339989076317,386.8603088217242
DS-local+nugget QML,2,10,0,3,-3916.103676706353,330.2627018202268
DS-local+nugget QML,2,10,0,4,-3914.296335411877,272.7159926653896
DS-local+nugget QML,2,10,0,5,-3912.9233751026886,215.86087317436719
DS-local+nugget QML,2,10,0,6,-3911.9603701297074,163.47277227041684
DS-local+nugget QML,2,10,0,7,-3911.3233007877675,122.33236966849313
DS-local+nugget QML,2,10,0,8,-3910.866980957094,99.74857742840894
DS-local+nugget QML,2,10,0,9,-3910.431909865066,94.15113686788239
