method,order,inference_nstep,start,iteration,elapsed_seconds,approx_loglik,gradient_norm,gamma,m,epsilon,beta_trend,sigma,tau,bs1,bs2,bs3,bs4,bs5,bs6,omegas1,omegas2,omegas3,omegas4,omegas5,omegas6,S_0,I_0,R1_0,R2_0,R3_0,raw_0,raw_1,raw_2,raw_3,raw_4,raw_5,raw_6,raw_7,raw_8,raw_9,raw_10,raw_11,raw_12,raw_13,raw_14,raw_15,raw_16,raw_17,raw_18,raw_19,raw_20,raw_21,raw_22
DS-local+nugget QML,2,5,0,0,5.241698027995881,-3934.4452246337855,417.181889532569,20.8,0.06,19.100000000000005,-0.00498,3.13,0.23,0.747,6.38,-3.44,4.23,3.33,4.55,-1.6928195213731514,-2.543383579546976,-2.8404393891479556,-4.691817992713764,-8.477972478262956,-4.390058806371146,0.6204942252291081,0.3776921370959789,0.0008423134168569054,0.0009712083525325173,1.1590552355326328e-07,3.0349529867072724,-2.8134107167600364,2.9496883350525844,-0.498,1.1410330045520618,-1.4696759700589417,0.747,6.38,-3.44,4.23,3.33,4.55,-1.6928195213731514,-2.543383579546976,-2.8404393891479556,-4.691817992713764,-8.477972478262956,-4.390058806371146,0.0,-0.496436886313891,-6.60211940291376,-6.459730556455177,-15.493251448791389
DS-local+nugget QML,2,5,0,1,6.478938286018092,-3931.959251773599,364.0845988185596,20.862493693643103,0.05982026973082079,19.042785864963427,-0.004950000000128456,3.1206240709560618,0.22931103396883126,0.744000000011904,6.377000000010579,-3.4429999999731047,4.22700000000604,3.3270000000064526,4.547000000023073,-1.695819521274777,-2.546383579471996,-2.843439389094169,-4.6948179926465174,-8.480972477779524,-4.3870588065832825,0.6211936455334274,0.3769852178889429,0.0008457962505246262,0.0009752241094964503,1.1621760853931155e-07,3.0379529867059714,-2.8164107167496986,2.946688335097168,-0.49500000001284555,1.138033004561837,-1.4726759700456171,0.744000000011904,6.377000000010579,-3.4429999999731047,4.22700000000604,3.3270000000064526,4.547000000023073,-1.695819521274777,-2.546383579471996,-2.843439389094169,-4.6948179926465174,-8.480972477779524,-4.3870588065832825,0.0,-0.499436885045671,-6.599119648886869,-6.456730840384616,-15.491689050425371
DS-local+nugget QML,2,5,0,2,7.50196532002883,-3929.879904493882,310.1893562932718,20.92518362740463,0.059642012000215086,18.98606805239587,-0.004919964169008833,3.111296241154656,0.22862409506337003,0.7410055064525551,6.374006804906331,-3.4459997332484575,4.223996941824438,3.324012386582633,4.544275362227646,-1.6988174704370853,-2.549386122995631,-2.8464427259991654,-4.697819186207716,-8.483957111913861,-4.384064086791021,0.6218934621993917,0.37627786524277795,0.000849296278966338,0.0009792597425812572,1.1653628278692887e-07,3.0409533918402425,-2.8193950539032104,2.943705449799326,-0.4919964169008833,1.135039437153993,-1.475676130449001,0.7410055064525551,6.374006804906331,-3.4459997332484575,4.223996941824438,3.324012386582633,4.544275362227646,-1.6988174704370853,-2.549386122995631,-2.8464427259991654,-4.697819186207716,-8.483957111913861,-4.384064086791021,0.0,-0.5024409216643319,-6.596115974931557,-6.453727152893192,-15.49007668864581
DS-local+nugget QML,2,5,0,3,8.524845994019415,-3928.192260116526,258.07720471314025,20.988073489817925,0.05946693936320237,18.93048152592018,-0.004889879644806987,3.1020527331107703,0.22793917760009794,0.7380247041180021,6.371031405116878,-3.44899857279949,4.220988124769343,3.3210582941000797,4.542864855487306,-1.7018102728342075,-2.552393512844537,-2.849452232438634,-4.700822637038268,-8.486897874281647,-4.381079275558381,0.6225943061376918,0.375569442629173,0.0008528160546013398,0.0009833183156477997,1.1686288600931113e-07,3.0439543473343407,-2.8223347618107764,2.940773402083141,-0.4889879644806987,1.1320640643231903,-1.4786764505276357,0.7380247041180021,6.371031405116878,-3.44899857279949,4.220988124769343,3.3210582941000797,4.542864855487306,-1.7018102728342075,-2.552393512844537,-2.849452232438634,-4.700822637038268,-8.486897874281647,-4.381079275558381,0.0,-0.5054517247958982,-6.5931065126637725,-6.450717503323633,-15.488404337513611
DS-local+nugget QML,2,5,0,4,9.547321942984127,-3926.83800542606,210.1613499741082,21.05115803014122,0.059299302501604444,18.877668953355876,-0.004859745963353852,3.0929787411943854,0.22725636313469083,0.7350740298207002,6.368100652507789,-3.45199388747497,4.217970555347113,3.3181818922766286,4.543462596310062,-1.7047910089203242,-2.5554081547201255,-2.852470884865073,-4.7038288611971835,-8.489726454384554,-4.378107941525088,0.6232967000735824,0.37485942401130423,0.0008563570228667677,0.0009874016934376638,1.1719880879468587e-07,3.0469555719235855,-2.825157735246546,2.9379796866411363,-0.4859745963353852,1.129134620479954,-1.4816765457238592,0.7350740298207002,6.368100652507789,-3.45199388747497,4.217970555347113,3.3181818922766286,4.543462596310062,-1.7047910089203242,-2.5554081547201255,-2.852470884865073,-4.7038288611971835,-8.489726454384554,-4.378107941525088,0.0,-0.5084715631319129,-6.590090556525037,-6.447700987629659,-15.486661494258955
DS-local+nugget QML,2,5,0,5,10.570364568033256,-3925.790213714964,167.05405244559975,21.11440858024028,0.059150275655988745,18.832055688711485,-0.004829573808227384,3.0842857590335893,0.22657595011240847,0.7321886373872983,6.365286675769172,-3.4549775314914983,4.214941186166386,3.315477260825137,4.545102201415804,-1.70774351408638,-2.5584321328708137,-2.855501568956346,-4.706836449493069,-8.492271856766035,-4.375151455454599,0.6240009902560382,0.37414746285116196,0.0008599191951296462,0.000991510152282083,1.1754538812154895e-07,3.049955678533075,-2.8276740282813857,2.935560507645637,-0.48295738082273837,1.1263201099797455,-1.484675069681846,0.7321886373872983,6.365286675769172,-3.4549775314914983,4.214941186166386,3.315477260825137,4.545102201415804,-1.70774351408638,-2.5584321328708137,-2.855501568956346,-4.706836449493069,-8.492271856766035,-4.375151455454599,0.0,-0.5115019499143018,-6.587068808617543,-6.444678047075384,-15.484837972399125
DS-local+nugget QML,2,5,0,6,11.593344819033518,-3925.013573935536,132.420010745105,21.177724266458462,0.05904757832508727,18.804084752735744,-0.004799392780755558,3.0765492832761416,0.2258989012461549,0.7294550176808574,6.362790021831796,-3.457928712729272,4.211897028691816,3.3131749743089993,4.547199856970518,-1.710628210083769,-2.5614671562692704,-2.8585470784220353,-4.709839991217767,-8.494105273506445,-4.372212433619231,0.6247071943447067,0.37343354608987456,0.0008635002872411131,0.0009956413742707876,1.1790390674714279e-07,3.052949887113251,-2.8294117477624954,2.934074120316997,-0.47993927807555575,1.1238086063374961,-1.4876677194148515,0.7294550176808574,6.362790021831796,-3.457928712729272,4.211897028691816,3.3131749743089993,4.547199856970518,-1.710628210083769,-2.5614671562692704,-2.8585470784220353,-4.709839991217767,-8.494105273506445,-4.372212433619231,0.0,-0.5145429842852592,-6.5840440996606135,-6.441651203142699,-15.482923665774507
DS-local+nugget QML,2,5,0,7,12.615964480035473,-3924.4063982253947,111.37783079022576,21.24078081220652,0.059025172659152546,18.80313853621191,-0.004769211177964366,3.071137270695558,0.22522817733649228,0.7270868091786419,6.3610850891024855,-3.460792238988275,4.20883569703122,3.311741023211451,4.549532635513918,-1.7133444883857412,-2.5645126255609187,-2.8616098071604323,-4.712821506238994,-8.494623571133634,-4.369287699393552,0.6254152658766807,0.37271772287202476,0.0008670990043854064,0.0009997939717052604,1.182752039313474e-07,3.0559229571013744,-2.8297912708280104,2.9340237993179294,-0.47692111779643664,1.122047939481387,-1.4906412691560085,0.7270868091786419,6.3610850891024855,-3.460792238988275,4.20883569703122,3.311741023211451,4.549532635513918,-1.7133444883857412,-2.5645126255609187,-2.8616098071604323,-4.712821506238994,-8.494623571133634,-4.369287699393552,0.0,-0.5175944965033263,-6.581017971317902,-6.438621904027741,-15.480912266741342
DS-local+nugget QML,2,5,0,8,13.638295318989549,-3923.8360434345996,103.06887442484934,21.302766147623693,0.059073150983297254,18.822861498663734,-0.004738909624855863,3.0694133979603633,0.2245707999168732,0.7254372020107038,6.3606174836992935,-3.463443927232759,4.205757305575075,3.3115008590172255,4.55202791563584,-1.7156920023715474,-2.567559752854187,-2.8646900583115857,-4.715729673139569,-8.493899991639603,-4.366353880291867,0.6261264618067477,0.37199871424656006,0.0008707258060497638,0.0010039794813196815,1.1865932289952472e-07,3.0588369303691287,-2.8289787558776798,2.9350721682245346,-0.47389096248558626,1.1214864677588974,-1.4935642544045624,0.7254372020107038,6.3606174836992935,-3.463443927232759,4.205757305575075,3.3115008590172255,4.55202791563584,-1.7156920023715474,-2.567559752854187,-2.8646900583115857,-4.715729673139569,-8.493899991639603,-4.366353880291867,0.0,-0.5206619684226907,-6.577980521670911,-6.4355807822353,-15.478806369736926
DS-local+nugget QML,2,5,0,9,14.660686558985617,-3923.2320297949536,101.10544004836851,21.362455076512706,0.05916354233176696,18.854551137098163,-0.004708319366289047,3.07094587728759,0.2239365078132175,0.7247049640418407,6.361208770399878,-3.4657099650849865,4.202669638200607,3.3122262934102396,4.554667344422217,-1.7174594141436026,-2.57058822577923,-2.867779374445676,-4.718466094963291,-8.492416325581711,-4.363381590003854,0.6268427304400384,0.37127453701348795,0.0008743972536571805,0.0010082162374453023,1.1905537107095918e-07,3.0616349455261083,-2.827449765789321,2.936754324386017,-0.47083193662890466,1.1219856174960219,-1.496392714568287,0.7247049640418407,6.361208770399878,-3.4657099650849865,4.202669638200607,3.3122262934102396,4.554667344422217,-1.7174594141436026,-2.57058822577923,-2.867779374445676,-4.718466094963291,-8.492416325581711,-4.363381590003854,0.0,-0.5237538996273885,-6.57491616348184,-6.432513012607998,-15.476617550481246
