method,inference_nstep,start,iteration,elapsed_seconds,approx_loglik,euler_loglik,euler_se,evaluation_status,eval_particles,eval_replicates
DS-local+nugget QML,5,0,0,5.241698027995881,-3934.4452246337855,-3748.531562995436,0.5771408094718429,ok,5000,4
DS-local+nugget QML,5,0,1,6.478938286018092,-3931.959251773599,-3748.0679659056304,0.9170156136526472,ok,5000,4
DS-local+nugget QML,5,0,2,7.50196532002883,-3929.879904493882,-3747.6982852398746,0.5603566337189794,ok,5000,4
DS-local+nugget QML,5,0,3,8.524845994019415,-3928.192260116526,-3748.5075881500284,0.36520614906585913,ok,5000,4
DS-local+nugget QML,5,0,4,9.547321942984128,-3926.83800542606,-3748.733926992305,0.5660038518075131,ok,5000,4
DS-local+nugget QML,5,0,5,10.570364568033256,-3925.790213714964,-3749.4852228688787,0.5099258206801597,ok,5000,4
DS-local+nugget QML,5,0,6,11.593344819033518,-3925.013573935536,-3750.345520660276,0.2781678936013204,ok,5000,4
DS-local+nugget QML,5,0,7,12.615964480035473,-3924.4063982253942,-3750.0593461993544,0.4973763276705409,ok,5000,4
DS-local+nugget QML,5,0,8,13.638295318989549,-3923.8360434346,-3750.17059382292,0.4363723412381008,ok,5000,4
DS-local+nugget QML,5,0,9,14.660686558985615,-3923.2320297949536,-3750.5370246100283,0.8644436912659605,ok,5000,4
DS-local+nugget QML,5,0,10,15.683303389989304,-3922.5802711078,-3750.6905476127595,0.9821211610911004,ok,5000,4
DS-local+nugget QML,5,0,11,16.70601910102414,-3921.886599688287,-3751.42476821906,0.38498929584175434,ok,5000,4
DS-local+nugget QML,5,0,12,17.728297627007123,-3921.163327692969,-3752.0610450021027,0.19727014477112187,ok,5000,4
DS-local+nugget QML,5,0,13,18.751034839020576,-3920.425020482963,-3752.4007308539935,0.2748152420726203,ok,5000,4
DS-local+nugget QML,5,0,14,19.773692440998275,-3919.6860255634247,-3751.860684716808,0.3544609300036053,ok,5000,4
DS-local+nugget QML,5,0,15,20.79594214801909,-3918.95844417325,-3751.9661019617724,0.19644742709341137,ok,5000,4
DS-local+nugget QML,5,0,16,21.81783609400736,-3918.250715028968,-3752.2206576517237,0.2809510149405256,ok,5000,4
DS-local+nugget QML,5,0,17,22.840384595037904,-3917.567177342441,-3751.6545282789075,0.6857041469495401,ok,5000,4
DS-local+nugget QML,5,0,18,23.862365295994096,-3916.908603876456,-3752.5517465328267,0.3474934772800481,ok,5000,4
DS-local+nugget QML,5,0,19,24.8846358670271,-3916.273253366133,-3753.0733344625655,0.5534207403540178,ok,5000,4
DS-local+nugget QML,5,0,20,25.908793154987507,-3915.6580233277314,-3753.2551491543095,0.4623295642963387,ok,5000,4
DS-local+nugget QML,5,0,21,26.935278794029728,-3915.059501626023,-3752.0681624648487,0.29504978243355684,ok,5000,4
DS-local+nugget QML,5,0,22,27.9618123479886,-3914.4747726748847,-3753.2417218189853,0.34077003098107356,ok,5000,4
DS-local+nugget QML,5,0,23,28.988170379016083,-3913.90187111867,-3753.065979569931,0.29119163848840807,ok,5000,4
DS-local+nugget QML,5,0,24,30.015145332028624,-3913.33986801953,-3753.4785302998116,0.6307603848398762,ok,5000,4
DS-local+nugget QML,5,0,25,31.041968408040702,-3912.7886561541495,-3754.5051969644005,0.39886620821437924,ok,5000,4
DS-local+nugget QML,10,0,0,5.759556195989717,-3924.039665924078,-3747.535134813876,0.4105188547224781,ok,5000,4
DS-local+nugget QML,10,0,1,7.698239563964307,-3920.990872858104,-3748.6362141652776,0.3838171697532901,ok,5000,4
DS-local+nugget QML,10,0,2,9.63741026999196,-3918.339989076317,-3748.28767499712,0.29616964510665533,ok,5000,4
DS-local+nugget QML,10,0,3,11.576392090006266,-3916.103676706353,-3748.9490111605874,0.18679225884151068,ok,5000,4
DS-local+nugget QML,10,0,4,13.515854388009757,-3914.296335411877,-3748.1229454632044,0.5297030420744557,ok,5000,4
DS-local+nugget QML,10,0,5,15.454948617960326,-3912.9233751026886,-3749.4709900206394,0.3539220687850794,ok,5000,4
DS-local+nugget QML,10,0,6,17.39447967900196,-3911.9603701297074,-3749.6270319989253,0.4483879444265219,ok,5000,4
DS-local+nugget QML,10,0,7,19.334031091013458,-3911.323300787768,-3751.47464319312,0.3059577847359897,ok,5000,4
DS-local+nugget QML,10,0,8,21.273628138995264,-3910.866980957094,-3751.385825270143,0.12825703308755923,ok,5000,4
DS-local+nugget QML,10,0,9,23.212833266996316,-3910.431909865066,-3752.08370339091,0.7141190259416369,ok,5000,4
DS-local+nugget QML,10,0,10,25.15255017700838,-3909.943835218614,-3752.252816878495,0.12888249023251877,ok,5000,4
DS-local+nugget QML,10,0,11,27.091829336015508,-3909.389997233892,-3752.431861876051,0.58466208487311,ok,5000,4
DS-local+nugget QML,10,0,12,29.03119437600253,-3908.778104175048,-3753.2626808796626,0.6125954898198436,ok,5000,4
DS-local+nugget QML,10,0,13,30.97070571198128,-3908.123620558122,-3752.1828692463578,0.33042292523789735,ok,5000,4
